#wls	flux	fluxerr
1.592040E+03	4.224136E-04	2.886373E-06
1.631841E+03	4.286630E-04	2.929076E-06
1.671642E+03	4.345721E-04	2.969453E-06
1.711443E+03	4.400990E-04	3.007218E-06
1.751244E+03	4.451253E-04	3.041563E-06
1.791045E+03	4.495174E-04	3.071574E-06
1.830846E+03	4.531021E-04	3.096069E-06
1.870647E+03	4.557228E-04	3.113976E-06
1.910448E+03	4.570517E-04	3.123056E-06
1.950249E+03	4.569982E-04	3.122690E-06
1.990050E+03	4.554627E-04	3.112198E-06
2.029851E+03	4.527988E-04	3.093996E-06
2.069652E+03	4.497677E-04	3.073284E-06
2.109453E+03	4.476069E-04	3.058519E-06
2.149254E+03	4.476595E-04	3.058878E-06
2.189055E+03	4.505298E-04	3.078491E-06
2.228856E+03	4.561444E-04	3.116855E-06
2.268657E+03	4.637847E-04	3.169062E-06
2.308458E+03	4.728839E-04	3.231237E-06
2.348259E+03	4.830217E-04	3.300509E-06
2.388060E+03	4.939848E-04	3.375420E-06
2.427861E+03	5.058620E-04	3.456578E-06
2.467662E+03	5.188866E-04	3.545575E-06
2.507463E+03	5.334178E-04	3.644867E-06
2.547264E+03	5.498594E-04	3.757213E-06
2.587065E+03	5.687316E-04	3.886168E-06
2.626866E+03	5.909119E-04	4.037726E-06
2.666667E+03	6.165221E-04	4.212722E-06
2.706468E+03	6.453954E-04	4.410014E-06
2.746269E+03	6.774965E-04	4.629362E-06
2.786070E+03	7.127511E-04	4.870258E-06
2.825871E+03	7.513418E-04	5.133949E-06
2.865672E+03	7.934170E-04	5.421451E-06
2.905473E+03	8.393856E-04	5.735556E-06
2.945274E+03	8.899830E-04	6.081290E-06
2.985075E+03	9.460486E-04	6.464389E-06
2.995025E+03	9.610769E-04	6.567078E-06
3.004975E+03	9.765212E-04	6.672609E-06
3.014925E+03	9.924552E-04	6.781486E-06
3.024876E+03	1.008868E-03	6.893635E-06
3.034826E+03	1.025818E-03	7.009459E-06
3.044776E+03	1.043338E-03	7.129170E-06
3.054726E+03	1.061471E-03	7.253077E-06
3.064677E+03	1.080267E-03	7.381505E-06
3.074627E+03	1.099712E-03	7.514379E-06
3.084577E+03	1.119861E-03	7.652058E-06
3.094527E+03	1.140768E-03	7.794916E-06
3.104478E+03	1.162461E-03	7.943140E-06
3.114428E+03	1.184969E-03	8.096940E-06
3.124378E+03	1.208389E-03	8.256967E-06
3.134328E+03	1.232726E-03	8.423264E-06
3.144279E+03	1.258022E-03	8.596117E-06
3.154229E+03	1.284417E-03	8.776470E-06
3.164179E+03	1.311898E-03	8.964248E-06
3.174129E+03	1.340583E-03	9.160256E-06
3.184080E+03	1.370503E-03	9.364699E-06
3.194030E+03	1.401787E-03	9.578467E-06
3.203980E+03	1.434511E-03	9.802071E-06
3.213930E+03	1.468757E-03	1.003608E-05
3.223881E+03	1.504647E-03	1.028131E-05
3.233831E+03	1.542314E-03	1.053870E-05
3.243781E+03	1.581836E-03	1.080875E-05
3.253731E+03	1.623366E-03	1.109252E-05
3.263682E+03	1.667039E-03	1.139094E-05
3.273632E+03	1.713035E-03	1.170523E-05
3.283582E+03	1.761518E-03	1.203652E-05
3.293532E+03	1.812665E-03	1.238601E-05
3.303483E+03	1.866708E-03	1.275529E-05
3.313433E+03	1.923789E-03	1.314532E-05
3.323383E+03	1.984241E-03	1.355840E-05
3.333333E+03	2.048239E-03	1.399570E-05
3.343284E+03	2.116035E-03	1.445895E-05
3.353234E+03	2.187926E-03	1.495018E-05
3.363184E+03	2.264136E-03	1.547093E-05
3.373134E+03	2.344878E-03	1.602264E-05
3.383085E+03	2.430388E-03	1.660694E-05
3.393035E+03	2.520839E-03	1.722499E-05
3.402985E+03	2.616450E-03	1.787830E-05
