#wls	flux	fluxerr
1.592040E+03	1.409122E-05	3.678060E-07
1.631841E+03	1.434592E-05	3.737097E-07
1.671642E+03	1.460242E-05	3.796162E-07
1.711443E+03	1.485770E-05	3.854462E-07
1.751244E+03	1.511072E-05	3.911712E-07
1.791045E+03	1.535829E-05	3.967084E-07
1.830846E+03	1.559884E-05	4.020169E-07
1.870647E+03	1.582142E-05	4.068153E-07
1.910448E+03	1.602557E-05	4.110939E-07
1.950249E+03	1.620359E-05	4.146581E-07
1.990050E+03	1.635552E-05	4.175125E-07
2.029851E+03	1.649557E-05	4.200234E-07
2.069652E+03	1.664673E-05	4.227765E-07
2.109453E+03	1.685940E-05	4.270447E-07
2.149254E+03	1.717450E-05	4.338490E-07
2.189055E+03	1.761498E-05	4.437445E-07
2.228856E+03	1.816155E-05	4.562184E-07
2.268657E+03	1.878684E-05	4.705606E-07
2.308458E+03	1.945295E-05	4.858044E-07
2.348259E+03	2.013481E-05	5.013139E-07
2.388060E+03	2.081847E-05	5.167361E-07
2.427861E+03	2.150176E-05	5.320145E-07
2.467662E+03	2.217995E-05	5.470291E-07
2.507463E+03	2.285404E-05	5.618037E-07
2.547264E+03	2.352600E-05	5.763842E-07
2.587065E+03	2.420225E-05	5.909257E-07
2.626866E+03	2.487687E-05	6.052807E-07
2.666667E+03	2.556079E-05	6.197117E-07
2.706468E+03	2.625696E-05	6.342857E-07
2.746269E+03	2.695952E-05	6.488558E-07
2.786070E+03	2.768122E-05	6.637240E-07
2.825871E+03	2.841714E-05	6.787654E-07
2.865672E+03	2.918732E-05	6.944511E-07
2.905473E+03	2.998394E-05	7.105843E-07
2.945274E+03	3.082010E-05	7.274647E-07
2.985075E+03	3.171108E-05	7.454389E-07
2.995025E+03	3.194293E-05	7.501141E-07
3.004975E+03	3.217883E-05	7.548707E-07
3.014925E+03	3.241899E-05	7.597134E-07
3.024876E+03	3.266373E-05	7.646498E-07
3.034826E+03	3.291373E-05	7.696947E-07
3.044776E+03	3.316965E-05	7.748637E-07
3.054726E+03	3.343161E-05	7.801590E-07
3.064677E+03	3.369974E-05	7.855832E-07
3.074627E+03	3.397421E-05	7.911395E-07
3.084577E+03	3.425517E-05	7.968312E-07
3.094527E+03	3.454284E-05	8.026626E-07
3.104478E+03	3.483740E-05	8.086378E-07
3.114428E+03	3.513909E-05	8.147614E-07
3.124378E+03	3.544814E-05	8.210385E-07
3.134328E+03	3.576482E-05	8.274746E-07
3.144279E+03	3.609547E-05	8.342156E-07
3.154229E+03	3.642828E-05	8.409878E-07
3.164179E+03	3.676957E-05	8.479371E-07
3.174129E+03	3.711967E-05	8.550698E-07
3.184080E+03	3.747889E-05	8.623930E-07
3.194030E+03	3.784758E-05	8.699136E-07
3.203980E+03	3.823250E-05	8.777863E-07
3.213930E+03	3.862125E-05	8.857254E-07
3.223881E+03	3.902057E-05	8.938849E-07
3.233831E+03	3.943085E-05	9.022730E-07
3.243781E+03	3.985247E-05	9.108974E-07
3.253731E+03	4.029257E-05	9.199206E-07
3.263682E+03	4.073816E-05	9.290447E-07
3.273632E+03	4.119637E-05	9.384316E-07
3.283582E+03	4.166757E-05	9.480887E-07
3.293532E+03	4.215930E-05	9.581866E-07
3.303483E+03	4.265795E-05	9.684147E-07
3.313433E+03	4.317099E-05	9.789418E-07
3.323383E+03	4.369880E-05	9.897753E-07
3.333333E+03	4.424929E-05	1.001093E-06
3.343284E+03	4.480821E-05	1.012571E-06
3.353234E+03	4.538332E-05	1.024385E-06
3.363184E+03	4.598271E-05	1.036715E-06
3.373134E+03	4.659173E-05	1.049228E-06
3.383085E+03	4.721830E-05	1.062104E-06
3.393035E+03	4.787084E-05	1.075530E-06
3.402985E+03	4.853404E-05	1.089160E-06
3.412935E+03	4.921617E-05	1.103178E-06
3.422886E+03	4.992594E-05	1.117778E-06
3.432836E+03	5.064737E-05	1.132602E-06
3.442786E+03	5.138903E-05	1.147838E-06
