#wls	flux	fluxerr	mangling_mask
3.945519E+03	2.694048E-16	9.967733E-17	1.972505E+01
3.946987E+03	2.687780E-16	9.790732E-17	1.972393E+01
3.948454E+03	2.692561E-16	9.771189E-17	1.972283E+01
3.949931E+03	2.699314E-16	8.473743E-17	1.972174E+01
3.951399E+03	2.697590E-16	8.373217E-17	1.972067E+01
3.952866E+03	2.691924E-16	8.220199E-17	1.971961E+01
3.954333E+03	2.703022E-16	8.340284E-17	1.971858E+01
3.955811E+03	2.723191E-16	8.392588E-17	1.971755E+01
3.957278E+03	2.737642E-16	8.382604E-17	1.971655E+01
3.958745E+03	2.744011E-16	8.384625E-17	1.971556E+01
3.960223E+03	2.744270E-16	8.338675E-17	1.971458E+01
3.961690E+03	2.752417E-16	8.316839E-17	1.971363E+01
3.963157E+03	2.730010E-16	8.254655E-17	1.971269E+01
3.964624E+03	2.733825E-16	7.494995E-17	1.971177E+01
3.966102E+03	2.751636E-16	7.362039E-17	1.971086E+01
3.967569E+03	2.747570E-16	7.355210E-17	1.970997E+01
3.969037E+03	2.759078E-16	7.340473E-17	1.970910E+01
3.970504E+03	2.778864E-16	7.341716E-17	1.970825E+01
3.971981E+03	2.774015E-16	7.210380E-17	1.970741E+01
3.973448E+03	2.781980E-16	7.190696E-17	1.970659E+01
3.974916E+03	2.796646E-16	6.924519E-17	1.970579E+01
3.976393E+03	2.804810E-16	6.924222E-17	1.970500E+01
3.977860E+03	2.829528E-16	6.919339E-17	1.970424E+01
3.979328E+03	2.828830E-16	6.990118E-17	1.970349E+01
3.980795E+03	2.801535E-16	6.607575E-17	1.970276E+01
3.982272E+03	2.799857E-16	6.595128E-17	1.970204E+01
3.983740E+03	2.808229E-16	7.109782E-17	1.970134E+01
3.985207E+03	2.822120E-16	7.222651E-17	1.970066E+01
3.986674E+03	2.834633E-16	7.211756E-17	1.970000E+01
3.988152E+03	2.835722E-16	7.326528E-17	1.969935E+01
3.989619E+03	2.836617E-16	7.062855E-17	1.969873E+01
3.991086E+03	2.837317E-16	7.094885E-17	1.969812E+01
3.992564E+03	2.819701E-16	7.287888E-17	1.969752E+01
3.994031E+03	2.837346E-16	7.109702E-17	1.969695E+01
3.995498E+03	2.880204E-16	7.439697E-17	1.969640E+01
3.996965E+03	2.918730E-16	7.405399E-17	1.969586E+01
3.998443E+03	2.901714E-16	7.190342E-17	1.969534E+01
3.999910E+03	2.855161E-16	7.143156E-17	1.969484E+01
4.001377E+03	2.835987E-16	7.118020E-17	1.969436E+01
4.002855E+03	2.852857E-16	7.160287E-17	1.969389E+01
4.004322E+03	2.847278E-16	7.128417E-17	1.969344E+01
4.005789E+03	2.797787E-16	7.018757E-17	1.969302E+01
4.007257E+03	2.784929E-16	7.078084E-17	1.969261E+01
4.008734E+03	2.794128E-16	7.109555E-17	1.969222E+01
4.010201E+03	2.783442E-16	7.087786E-17	1.969184E+01
4.011669E+03	2.751886E-16	7.075021E-17	1.969149E+01
4.013136E+03	2.739040E-16	7.053412E-17	1.969116E+01
4.014613E+03	2.764790E-16	7.718231E-17	1.969084E+01
4.016081E+03	2.777351E-16	7.778858E-17	1.969054E+01
4.017548E+03	2.784400E-16	7.791974E-17	1.969026E+01
4.019015E+03	2.787317E-16	7.960322E-17	1.969000E+01
4.020492E+03	2.804412E-16	7.969761E-17	1.968976E+01
4.021960E+03	2.815801E-16	8.014726E-17	1.968954E+01
4.023427E+03	2.834477E-16	8.143406E-17	1.968933E+01
4.024904E+03	2.872253E-16	8.166923E-17	1.968915E+01
4.026372E+03	2.901959E-16	8.200073E-17	1.968898E+01
4.027839E+03	2.938953E-16	8.221963E-17	1.968884E+01
4.029306E+03	2.967089E-16	8.488319E-17	1.968871E+01
4.030784E+03	2.987549E-16	8.560027E-17	1.968861E+01
4.032251E+03	3.020809E-16	8.608510E-17	1.968852E+01
4.033718E+03	3.023358E-16	8.248236E-17	1.968845E+01
4.035196E+03	3.031029E-16	8.128455E-17	1.968840E+01
4.036663E+03	3.053863E-16	8.236180E-17	1.968837E+01
4.038130E+03	3.049137E-16	8.105330E-17	1.968836E+01
4.039597E+03	3.025906E-16	8.155158E-17	1.968837E+01
4.041075E+03	3.020791E-16	8.251025E-17	1.968840E+01
4.042542E+03	3.030053E-16	7.845539E-17	1.968845E+01
4.044010E+03	3.030063E-16	7.707431E-17	1.968852E+01
4.045477E+03	3.010782E-16	7.598320E-17	1.968861E+01
4.046954E+03	2.998395E-16	8.134613E-17	1.968872E+01
4.048421E+03	3.026570E-16	8.298648E-17	1.968885E+01
4.049889E+03	3.040966E-16	8.307406E-17	1.968900E+01
4.051366E+03	3.061469E-16	8.402170E-17	1.968917E+01
4.052833E+03	3.063073E-16	8.460755E-17	1.968936E+01
4.054301E+03	3.034162E-16	8.514421E-17	1.968957E+01
4.055768E+03	3.026912E-16	8.505080E-17	1.968980E+01
4.057245E+03	3.026754E-16	9.001487E-17	1.969005E+01
4.058713E+03	3.021873E-16	9.049361E-17	1.969032E+01
4.060180E+03	3.036883E-16	9.155069E-17	1.969061E+01
4.061647E+03	3.037522E-16	9.146727E-17	1.969092E+01
4.063124E+03	3.044465E-16	9.285634E-17	1.969126E+01
