#wls	flux	fluxerr
1.583218E+03	3.247328E-05	1.886739E-06
1.622798E+03	3.385402E-05	1.957960E-06
1.662379E+03	3.495818E-05	2.012305E-06
1.701959E+03	3.571326E-05	2.045820E-06
1.741540E+03	3.609842E-05	2.057592E-06
1.781120E+03	3.599093E-05	2.040965E-06
1.820701E+03	3.528644E-05	1.990483E-06
1.860281E+03	3.386123E-05	1.899749E-06
1.899861E+03	3.166051E-05	1.766393E-06
1.939442E+03	2.877077E-05	1.595981E-06
1.979022E+03	2.542288E-05	1.401964E-06
2.018603E+03	2.207203E-05	1.209811E-06
2.058183E+03	1.929776E-05	1.051162E-06
2.097764E+03	1.763482E-05	9.544313E-07
2.137344E+03	1.742760E-05	9.370055E-07
2.176925E+03	1.884155E-05	1.006168E-06
2.216505E+03	2.191520E-05	1.162156E-06
2.256085E+03	2.657141E-05	1.398983E-06
2.295666E+03	3.262628E-05	1.705120E-06
2.335246E+03	3.981025E-05	2.064809E-06
2.374827E+03	4.780931E-05	2.460373E-06
2.414407E+03	5.642340E-05	2.880409E-06
2.453988E+03	6.544476E-05	3.313419E-06
2.493568E+03	7.478116E-05	3.754027E-06
2.533149E+03	8.437734E-05	4.198836E-06
2.572729E+03	9.424253E-05	4.647710E-06
2.612310E+03	1.044185E-04	5.102074E-06
2.651890E+03	1.148762E-04	5.559823E-06
2.691470E+03	1.257439E-04	6.026443E-06
2.731051E+03	1.370376E-04	6.501820E-06
2.770631E+03	1.488772E-04	6.990673E-06
2.810212E+03	1.612823E-04	7.492796E-06
2.849792E+03	1.743854E-04	8.013106E-06
2.889373E+03	1.882494E-04	8.553058E-06
2.928953E+03	2.029806E-04	9.115890E-06
2.968534E+03	2.186928E-04	9.704906E-06
2.978429E+03	2.227997E-04	9.857152E-06
2.988324E+03	2.269401E-04	1.000965E-05
2.998219E+03	2.312058E-04	1.016641E-05
3.008114E+03	2.355192E-04	1.032398E-05
3.018009E+03	2.399705E-04	1.048627E-05
3.027904E+03	2.446086E-04	1.065535E-05
3.037799E+03	2.494244E-04	1.083074E-05
3.047694E+03	2.544582E-04	1.101410E-05
3.057590E+03	2.596071E-04	1.120090E-05
3.067485E+03	2.649119E-04	1.139283E-05
3.077380E+03	2.703660E-04	1.158954E-05
3.087275E+03	2.759639E-04	1.179072E-05
3.097170E+03	2.816998E-04	1.199606E-05
3.107065E+03	2.876196E-04	1.220743E-05
3.116960E+03	2.936180E-04	1.242030E-05
3.126855E+03	2.997926E-04	1.263874E-05
3.136750E+03	3.060888E-04	1.286037E-05
3.146646E+03	3.125560E-04	1.308720E-05
3.156541E+03	3.191397E-04	1.331687E-05
3.166436E+03	3.258369E-04	1.354919E-05
3.176331E+03	3.326451E-04	1.378402E-05
3.186226E+03	3.396174E-04	1.402347E-05
3.196121E+03	3.467532E-04	1.426744E-05
3.206016E+03	3.539972E-04	1.451358E-05
3.215911E+03	3.614043E-04	1.476409E-05
3.225806E+03	3.689188E-04	1.501661E-05
3.235702E+03	3.766540E-04	1.527568E-05
3.245597E+03	3.844979E-04	1.553666E-05
3.255492E+03	3.925085E-04	1.580183E-05
3.265387E+03	4.006876E-04	1.607118E-05
3.275282E+03	4.090372E-04	1.634471E-05
3.285177E+03	4.175597E-04	1.662242E-05
3.295072E+03	4.262579E-04	1.690433E-05
3.304967E+03	4.351345E-04	1.719046E-05
3.314862E+03	4.442534E-04	1.748324E-05
3.324758E+03	4.536194E-04	1.778273E-05
3.334653E+03	4.631137E-04	1.808417E-05
3.344548E+03	4.729254E-04	1.839485E-05
3.354443E+03	4.829362E-04	1.871002E-05
3.364338E+03	4.932131E-04	1.903216E-05
3.374233E+03	5.037620E-04	1.936138E-05
3.384128E+03	5.145249E-04	1.969531E-05
3.394023E+03	5.256351E-04	2.003894E-05
3.403918E+03	5.370360E-04	2.038992E-05
3.413814E+03	5.487992E-04	2.075083E-05
3.423709E+03	5.608669E-04	2.111930E-05
3.433604E+03	5.732464E-04	2.149546E-05
3.443499E+03	5.860108E-04	2.188188E-05
3.453394E+03	5.991691E-04	2.227871E-05
3.463289E+03	6.127296E-04	2.268604E-05
3.473184E+03	6.267014E-04	2.310402E-05
3.483079E+03	6.410934E-04	2.353276E-05
3.492974E+03	6.559832E-04	2.397489E-05
3.502870E+03	6.713126E-04	2.442804E-05
3.512765E+03	6.871602E-04	2.489485E-05
3.522660E+03	7.035365E-04	2.537542E-05
3.532555E+03	7.204529E-04	2.586991E-05
3.542450E+03	7.379200E-04	2.637843E-05
3.552345E+03	7.559487E-04	2.690108E-05
3.562240E+03	7.745503E-04	2.743798E-05
3.572135E+03	7.938800E-04	2.799432E-05
3.582030E+03	8.137341E-04	2.856259E-05
3.591926E+03	8.343414E-04	2.915052E-05
3.601821E+03	8.556422E-04	2.975565E-05
3.611716E+03	8.776495E-04	3.037809E-05
3.621611E+03	9.003753E-04	3.101791E-05
3.631506E+03	9.239072E-04	3.167774E-05
3.641401E+03	9.482596E-04	3.235768E-05
3.651296E+03	9.733692E-04	3.305516E-05
3.661191E+03	9.993256E-04	3.377284E-05
3.671086E+03	1.026142E-03	3.451071E-05
3.680982E+03	1.053909E-03	3.527142E-05
3.690877E+03	1.082485E-03	3.604974E-05
3.700772E+03	1.112118E-03	3.685351E-05
3.710667E+03	1.142665E-03	3.767747E-05
3.720562E+03	1.174219E-03	3.852422E-05
3.730457E+03	1.206793E-03	3.939368E-05
3.740352E+03	1.240401E-03	4.028581E-05
3.750247E+03	1.275137E-03	4.120315E-05
3.760142E+03	1.310935E-03	4.214297E-05
3.770038E+03	1.347889E-03	4.310777E-05
3.779933E+03	1.386012E-03	4.409744E-05
3.789828E+03	1.425234E-03	4.510917E-05
3.799723E+03	1.465736E-03	4.614806E-05
3.809618E+03	1.507445E-03	4.721130E-05
3.819513E+03	1.550459E-03	4.830128E-05
3.829408E+03	1.594790E-03	4.941780E-05
3.839303E+03	1.640365E-03	5.055793E-05
3.849198E+03	1.687280E-03	5.172403E-05
3.859094E+03	1.735546E-03	5.291579E-05
3.868989E+03	1.785261E-03	5.413557E-05
3.878884E+03	1.836349E-03	5.538034E-05
3.888779E+03	1.888816E-03	5.664971E-05
3.898674E+03	1.942852E-03	5.794864E-05
3.908569E+03	1.998285E-03	5.927136E-05
3.918464E+03	2.055214E-03	6.062008E-05
3.928359E+03	2.113645E-03	6.199436E-05
3.938255E+03	2.173584E-03	6.339370E-05
3.948150E+03	2.235130E-03	6.482026E-05
3.958045E+03	2.298196E-03	6.627082E-05
3.967940E+03	2.362785E-03	6.774484E-05
3.977835E+03	2.428995E-03	6.924443E-05
3.987730E+03	2.496829E-03	7.076899E-05
3.997625E+03	2.566193E-03	7.231522E-05
4.007520E+03	2.637184E-03	7.388519E-05
4.017415E+03	2.709803E-03	7.547824E-05
4.027311E+03	2.784048E-03	7.709371E-05
4.037206E+03	2.859919E-03	7.873094E-05
4.047101E+03	2.937315E-03	8.038654E-05
4.056996E+03	3.016428E-03	8.206520E-05
4.066891E+03	3.097057E-03	8.376084E-05
4.076786E+03	3.179294E-03	8.547544E-05
4.086681E+03	3.263036E-03	8.720564E-05
4.096576E+03	3.348470E-03	8.895598E-05
4.106471E+03	3.435391E-03	9.072048E-05
4.116367E+03	3.523787E-03	9.249839E-05
4.126262E+03	3.613755E-03	9.429182E-05
4.136157E+03	3.705071E-03	9.609456E-05
4.146052E+03	3.797931E-03	9.791134E-05
4.155947E+03	3.892220E-03	9.973886E-05
4.165842E+03	3.987820E-03	1.015738E-04
4.175737E+03	4.084713E-03	1.034155E-04
4.185632E+03	4.182991E-03	1.052661E-04
4.195527E+03	4.282425E-03	1.071196E-04
4.205423E+03	4.383101E-03	1.089782E-04
4.215318E+03	4.484897E-03	1.108388E-04
4.225213E+03	4.587790E-03	1.127007E-04
4.235108E+03	4.691654E-03	1.145610E-04
4.245003E+03	4.796566E-03	1.164218E-04
