#wls	flux	fluxerr
1.583218E+03	5.882861E-19	3.747940E-20
1.622798E+03	6.167031E-19	3.915325E-20
1.662379E+03	6.385084E-19	4.039282E-20
1.701959E+03	6.535476E-19	4.119249E-20
1.741540E+03	6.599371E-19	4.143838E-20
1.781120E+03	6.563550E-19	4.105381E-20
1.820701E+03	6.399298E-19	3.986718E-20
1.860281E+03	6.089762E-19	3.778372E-20
1.899861E+03	5.629901E-19	3.478387E-20
1.939442E+03	5.032637E-19	3.095964E-20
1.979022E+03	4.354858E-19	2.667145E-20
2.018603E+03	3.689715E-19	2.249498E-20
2.058183E+03	3.143165E-19	1.907334E-20
2.097764E+03	2.805820E-19	1.694461E-20
2.137344E+03	2.729573E-19	1.640297E-20
2.176925E+03	2.937779E-19	1.756489E-20
2.216505E+03	3.439741E-19	2.045935E-20
2.256085E+03	4.232731E-19	2.504184E-20
2.295666E+03	5.291828E-19	3.113645E-20
2.335246E+03	6.574103E-19	3.846403E-20
2.374827E+03	8.033038E-19	4.672919E-20
2.414407E+03	9.616838E-19	5.561154E-20
2.453988E+03	1.129083E-18	6.489560E-20
2.493568E+03	1.303040E-18	7.442767E-20
2.533149E+03	1.482166E-18	8.411833E-20
2.572729E+03	1.665901E-18	9.392642E-20
2.612310E+03	1.854263E-18	1.038439E-19
2.651890E+03	2.048200E-18	1.139142E-19
2.691470E+03	2.247897E-18	1.241369E-19
2.731051E+03	2.454162E-18	1.345453E-19
2.770631E+03	2.668563E-18	1.452124E-19
2.810212E+03	2.892188E-18	1.561825E-19
2.849792E+03	3.126903E-18	1.675394E-19
2.889373E+03	3.373236E-18	1.792924E-19
2.928953E+03	3.634799E-18	1.916118E-19
2.968534E+03	3.911518E-18	2.044687E-19
2.978429E+03	3.983913E-18	2.078081E-19
2.988324E+03	4.057065E-18	2.111690E-19
2.998219E+03	4.130985E-18	2.145517E-19
3.008114E+03	4.206765E-18	2.180124E-19
3.018009E+03	4.285222E-18	2.215925E-19
3.027904E+03	4.367235E-18	2.253365E-19
3.037799E+03	4.450909E-18	2.291455E-19
3.047694E+03	4.538809E-18	2.331506E-19
3.057590E+03	4.629211E-18	2.372618E-19
3.067485E+03	4.722871E-18	2.415169E-19
3.077380E+03	4.819669E-18	2.459085E-19
3.087275E+03	4.918545E-18	2.503815E-19
3.097170E+03	5.020321E-18	2.549767E-19
3.107065E+03	5.124903E-18	2.596883E-19
3.116960E+03	5.232206E-18	2.645109E-19
3.126855E+03	5.341160E-18	2.693894E-19
3.136750E+03	5.453672E-18	2.744190E-19
3.146646E+03	5.567680E-18	2.794950E-19
3.156541E+03	5.684123E-18	2.846636E-19
3.166436E+03	5.802954E-18	2.899216E-19
3.176331E+03	5.924133E-18	2.952660E-19
3.186226E+03	6.048690E-18	3.007469E-19
3.196121E+03	6.174479E-18	3.062567E-19
3.206016E+03	6.303621E-18	3.118996E-19
3.215911E+03	6.433933E-18	3.175667E-19
3.225806E+03	6.567598E-18	3.233648E-19
3.235702E+03	6.703519E-18	3.292387E-19
3.245597E+03	6.842838E-18	3.352435E-19
3.255492E+03	6.984444E-18	3.413234E-19
3.265387E+03	7.128352E-18	3.474782E-19
