#wls	flux	fluxerr
1.600000E+03	2.465353E-17	1.682394E-18
1.640000E+03	2.485603E-17	1.690385E-18
1.680000E+03	2.506964E-17	1.698893E-18
1.720000E+03	2.529456E-17	1.707918E-18
1.760000E+03	2.554110E-17	1.718138E-18
1.800000E+03	2.580945E-17	1.729544E-18
1.840000E+03	2.608983E-17	1.741456E-18
1.880000E+03	2.640257E-17	1.755212E-18
1.920000E+03	2.672798E-17	1.769471E-18
1.960000E+03	2.707645E-17	1.784902E-18
2.000000E+03	2.744842E-17	1.801502E-18
2.040000E+03	2.784439E-17	1.819276E-18
2.080000E+03	2.827486E-17	1.838873E-18
2.120000E+03	2.873053E-17	1.859650E-18
2.160000E+03	2.921212E-17	1.881620E-18
2.200000E+03	2.973037E-17	1.905432E-18
2.240000E+03	3.028618E-17	1.931096E-18
2.280000E+03	3.087069E-17	1.958000E-18
2.320000E+03	3.150486E-17	1.987420E-18
2.360000E+03	3.217020E-17	2.018132E-18
2.400000E+03	3.287806E-17	2.050794E-18
2.440000E+03	3.363006E-17	2.085443E-18
2.480000E+03	3.443794E-17	2.122736E-18
2.520000E+03	3.528384E-17	2.161497E-18
2.560000E+03	3.617988E-17	2.202400E-18
2.600000E+03	3.713851E-17	2.246119E-18
2.640000E+03	3.815243E-17	2.292119E-18
2.680000E+03	3.922457E-17	2.340483E-18
2.720000E+03	4.035812E-17	2.391304E-18
2.760000E+03	4.156674E-17	2.445286E-18
2.800000E+03	4.285440E-17	2.502534E-18
2.840000E+03	4.422537E-17	2.563167E-18
2.880000E+03	4.569474E-17	2.627912E-18
2.920000E+03	4.725725E-17	2.696308E-18
2.960000E+03	4.895013E-17	2.770300E-18
3.000000E+03	5.076937E-17	2.849450E-18
3.010000E+03	5.124808E-17	2.870252E-18
3.020000E+03	5.173121E-17	2.891163E-18
3.030000E+03	5.222963E-17	2.912789E-18
3.040000E+03	5.273270E-17	2.934532E-18
3.050000E+03	5.325134E-17	2.956995E-18
3.060000E+03	5.378573E-17	2.980181E-18
3.070000E+03	5.432516E-17	3.003494E-18
3.080000E+03	5.488064E-17	3.027537E-18
3.090000E+03	5.544140E-17	3.051711E-18
3.100000E+03	5.601852E-17	3.076623E-18
3.110000E+03	5.660119E-17	3.101673E-18
