#wls	flux	fluxerr
1.600000E+03	8.595247E-17	4.129898E-17
1.640000E+03	8.629956E-17	4.091931E-17
1.680000E+03	8.669263E-17	4.054290E-17
1.720000E+03	8.719504E-17	4.019771E-17
1.760000E+03	8.780806E-17	3.988174E-17
1.800000E+03	8.853295E-17	3.959286E-17
1.840000E+03	8.937105E-17	3.932882E-17
1.880000E+03	9.032370E-17	3.908725E-17
1.920000E+03	9.142439E-17	3.887931E-17
1.960000E+03	9.264266E-17	3.868830E-17
2.000000E+03	9.404477E-17	3.853801E-17
2.040000E+03	9.556778E-17	3.839806E-17
2.080000E+03	9.727854E-17	3.829108E-17
2.120000E+03	9.914633E-17	3.819977E-17
2.160000E+03	1.012390E-16	3.814487E-17
2.200000E+03	1.034926E-16	3.809605E-17
2.240000E+03	1.059419E-16	3.806063E-17
2.280000E+03	1.086222E-16	3.804469E-17
2.320000E+03	1.115355E-16	3.804155E-17
2.360000E+03	1.146834E-16	3.804412E-17
2.400000E+03	1.181014E-16	3.805608E-17
2.440000E+03	1.217564E-16	3.805812E-17
2.480000E+03	1.257177E-16	3.806318E-17
2.520000E+03	1.299860E-16	3.806118E-17
2.560000E+03	1.345611E-16	3.804169E-17
2.600000E+03	1.394769E-16	3.800356E-17
2.640000E+03	1.448027E-16	3.795338E-17
2.680000E+03	1.505365E-16	3.787701E-17
2.720000E+03	1.567110E-16	3.776868E-17
2.760000E+03	1.633575E-16	3.762112E-17
2.800000E+03	1.705429E-16	3.743354E-17
2.840000E+03	1.782967E-16	3.719486E-17
2.880000E+03	1.866474E-16	3.689282E-17
2.920000E+03	1.956945E-16	3.652776E-17
2.960000E+03	2.054639E-16	3.608350E-17
3.000000E+03	2.160533E-16	3.555551E-17
3.010000E+03	2.188364E-16	3.540902E-17
3.020000E+03	2.216880E-16	3.525825E-17
3.030000E+03	2.245714E-16	3.509701E-17
3.040000E+03	2.275228E-16	3.493071E-17
3.050000E+03	2.305421E-16	3.475888E-17
3.060000E+03	2.336291E-16	3.458104E-17
3.070000E+03	2.367469E-16	3.439145E-17
3.080000E+03	2.399686E-16	3.420038E-17
3.090000E+03	2.432572E-16	3.400200E-17
3.100000E+03	2.465761E-16	3.379090E-17
3.110000E+03	2.499982E-16	3.357680E-17
3.120000E+03	2.534866E-16	3.335424E-17
3.130000E+03	2.570412E-16	3.312286E-17
3.140000E+03	2.606984E-16	3.288696E-17
3.150000E+03	2.643849E-16	3.263690E-17
3.160000E+03	2.682101E-16	3.238596E-17
3.170000E+03	2.720643E-16	3.212034E-17
3.180000E+03	2.760203E-16	3.184856E-17
3.190000E+03	2.800781E-16	3.157015E-17
3.200000E+03	2.842375E-16	3.128466E-17
3.210000E+03	2.884618E-16	3.098777E-17
3.220000E+03	2.927510E-16	3.067941E-17
3.230000E+03	2.971781E-16	3.036702E-17
3.240000E+03	3.017065E-16	3.004643E-17
3.250000E+03	3.062996E-16	2.971387E-17
3.260000E+03	3.110304E-16	2.937640E-17
3.270000E+03	3.158626E-16	2.903029E-17
3.280000E+03	3.207961E-16	2.867555E-17
3.290000E+03	3.258310E-16	2.831225E-17
3.300000E+03	3.310039E-16	2.794365E-17
3.310000E+03	3.362786E-16	2.756673E-17
3.320000E+03	3.416917E-16	2.718478E-17
3.330000E+03	3.472434E-16	2.679802E-17
3.340000E+03	3.528976E-16	2.640408E-17
3.350000E+03	3.586546E-16	2.600374E-17
3.360000E+03	3.645877E-16	2.560301E-17
3.370000E+03	3.706609E-16	2.520002E-17
3.380000E+03	3.768747E-16	2.479583E-17
3.390000E+03	3.832298E-16	2.439170E-17
3.400000E+03	3.897266E-16	2.398911E-17
3.410000E+03	3.964024E-16	2.359198E-17
3.420000E+03	4.032216E-16	2.320003E-17
3.430000E+03	4.101851E-16	2.281557E-17
3.440000E+03	4.173664E-16	2.244511E-17
3.450000E+03	4.246941E-16	2.208742E-17
3.460000E+03	4.322057E-16	2.174758E-17
3.470000E+03	4.399026E-16	2.142894E-17
3.480000E+03	4.477862E-16	2.113515E-17
3.490000E+03	4.558583E-16	2.087009E-17
3.500000E+03	4.641570E-16	2.063940E-17
3.510000E+03	4.726120E-16	2.044391E-17
3.520000E+03	4.813347E-16	2.029230E-17
3.530000E+03	4.902554E-16	2.018509E-17
3.540000E+03	4.994138E-16	2.012701E-17
3.550000E+03	5.088138E-16	2.012060E-17
3.560000E+03	5.184241E-16	2.016618E-17
3.570000E+03	5.283221E-16	2.026738E-17
3.580000E+03	5.384780E-16	2.042264E-17
3.590000E+03	5.488984E-16	2.063088E-17
3.600000E+03	5.596271E-16	2.089157E-17
3.610000E+03	5.706723E-16	2.120211E-17
3.620000E+03	5.820065E-16	2.155804E-17
3.630000E+03	5.936754E-16	2.195722E-17
3.640000E+03	6.056886E-16	2.239592E-17
3.650000E+03	6.180565E-16	2.287032E-17
3.660000E+03	6.307893E-16	2.337656E-17
3.670000E+03	6.439340E-16	2.391217E-17
3.680000E+03	6.575012E-16	2.447349E-17
3.690000E+03	6.714649E-16	2.505560E-17
3.700000E+03	6.858348E-16	2.565509E-17
3.710000E+03	7.006936E-16	2.627149E-17
3.720000E+03	7.160138E-16	2.690039E-17
3.730000E+03	7.318033E-16	2.753890E-17
3.740000E+03	7.481063E-16	2.818573E-17
3.750000E+03	7.648553E-16	2.883556E-17
3.760000E+03	7.821665E-16	2.949020E-17
3.770000E+03	7.999701E-16	3.014466E-17
3.780000E+03	8.183063E-16	3.079829E-17
3.790000E+03	8.371767E-16	3.144918E-17
3.800000E+03	8.565818E-16	3.209555E-17
