#wls	flux	fluxerr
1.591691E+03	8.387864E-05	3.172410E-06
1.631484E+03	7.833728E-05	2.944613E-06
1.671276E+03	7.315142E-05	2.732302E-06
1.711068E+03	6.827398E-05	2.533550E-06
1.750861E+03	6.374800E-05	2.349791E-06
1.790653E+03	5.955203E-05	2.180045E-06
1.830445E+03	5.568809E-05	2.024196E-06
1.870237E+03	5.219106E-05	1.883305E-06
1.910030E+03	4.904453E-05	1.756547E-06
1.949822E+03	4.625200E-05	1.643812E-06
1.989614E+03	4.383173E-05	1.545496E-06
2.029406E+03	4.178796E-05	1.461471E-06
2.069199E+03	4.012644E-05	1.391647E-06
2.108991E+03	3.887667E-05	1.336730E-06
2.148783E+03	3.802258E-05	1.295823E-06
2.188576E+03	3.759498E-05	1.269621E-06
2.228368E+03	3.759255E-05	1.257689E-06
2.268160E+03	3.804658E-05	1.260661E-06
2.307952E+03	3.895830E-05	1.278129E-06
2.347745E+03	4.035262E-05	1.310436E-06
2.387537E+03	4.224976E-05	1.357722E-06
2.427329E+03	4.469019E-05	1.420730E-06
2.467122E+03	4.772929E-05	1.500593E-06
2.506914E+03	5.142963E-05	1.598572E-06
2.546706E+03	5.589909E-05	1.717209E-06
2.586498E+03	6.124537E-05	1.858853E-06
2.626291E+03	6.761197E-05	2.026746E-06
2.666083E+03	7.519815E-05	2.225525E-06
2.705875E+03	8.418964E-05	2.459095E-06
2.745668E+03	9.483721E-05	2.732901E-06
2.785460E+03	1.074215E-04	3.052796E-06
2.825252E+03	1.223030E-04	3.426363E-06
2.865044E+03	1.399507E-04	3.863533E-06
2.904837E+03	1.609281E-04	4.375968E-06
2.944629E+03	1.859172E-04	4.977478E-06
2.984421E+03	2.159022E-04	5.688587E-06
2.994369E+03	2.243096E-04	5.886123E-06
3.004317E+03	2.331163E-04	6.092230E-06
3.014266E+03	2.423435E-04	6.307317E-06
3.024214E+03	2.520133E-04	6.531821E-06
3.034162E+03	2.621847E-04	6.767107E-06
3.044110E+03	2.728493E-04	7.012795E-06
3.054058E+03	2.840341E-04	7.269402E-06
3.064006E+03	2.958055E-04	7.538446E-06
3.073954E+03	3.081970E-04	7.820574E-06
3.083902E+03	3.212039E-04	8.115459E-06
3.093850E+03	3.349021E-04	8.424792E-06
3.103798E+03	3.492892E-04	8.748281E-06
3.113746E+03	3.644915E-04	9.088837E-06
3.123694E+03	3.804684E-04	9.445172E-06
3.133642E+03	3.973108E-04	9.819266E-06
3.143590E+03	4.150699E-04	1.021208E-05
3.153539E+03	4.338000E-04	1.062462E-05
3.163487E+03	4.535593E-04	1.105798E-05
3.173435E+03	4.744618E-04	1.151457E-05
3.183383E+03	4.964701E-04	1.199308E-05
3.193331E+03	5.197592E-04	1.249734E-05
3.203279E+03	5.444076E-04	1.302879E-05
3.213227E+03	5.704398E-04	1.358754E-05
3.223175E+03	5.979380E-04	1.417504E-05
3.233123E+03	6.270510E-04	1.479432E-05
3.243071E+03	6.578748E-04	1.544706E-05
3.253019E+03	6.905105E-04	1.613501E-05
3.262967E+03	7.249941E-04	1.685841E-05
3.272915E+03	7.615693E-04	1.762222E-05
3.282863E+03	8.002798E-04	1.842674E-05
3.292812E+03	8.411628E-04	1.927207E-05
3.302760E+03	8.844800E-04	2.016342E-05
3.312708E+03	9.303494E-04	2.110262E-05
3.322656E+03	9.787192E-04	2.208760E-05
3.332604E+03	1.029939E-03	2.312535E-05
3.342552E+03	1.083848E-03	2.421127E-05
3.352500E+03	1.140786E-03	2.535197E-05
3.362448E+03	1.200634E-03	2.654377E-05
3.372396E+03	1.263514E-03	2.778836E-05
3.382344E+03	1.329430E-03	2.908472E-05
3.392292E+03	1.398343E-03	3.043097E-05
3.402240E+03	1.470166E-03	3.182418E-05
3.412188E+03	1.544872E-03	3.326277E-05
3.422136E+03	1.622045E-03	3.473680E-05
3.432085E+03	1.701781E-03	3.624747E-05
3.442033E+03	1.783432E-03	3.778016E-05
3.451981E+03	1.867056E-03	3.933545E-05
3.461929E+03	1.952165E-03	4.090241E-05
3.471877E+03	2.038641E-03	4.247811E-05
3.481825E+03	2.126770E-03	4.406798E-05
3.491773E+03	2.216380E-03	4.566792E-05
3.501721E+03	2.307887E-03	4.728601E-05
3.511669E+03	2.401325E-03	4.892227E-05
3.521617E+03	2.496876E-03	5.057973E-05
3.531565E+03	2.594728E-03	5.226152E-05
3.541513E+03	2.695224E-03	5.397373E-05
3.551461E+03	2.798397E-03	5.571614E-05
3.561409E+03	2.904580E-03	5.749446E-05
3.571358E+03	3.013938E-03	5.931097E-05
3.581306E+03	3.126622E-03	6.116760E-05
3.591254E+03	3.242596E-03	6.306251E-05
3.601202E+03	3.362136E-03	6.500002E-05
3.611150E+03	3.485510E-03	6.698415E-05
3.621098E+03	3.612621E-03	6.901177E-05
3.631046E+03	3.743516E-03	7.108262E-05
3.640994E+03	3.878221E-03	7.319597E-05
3.650942E+03	4.016922E-03	7.535410E-05
3.660890E+03	4.159602E-03	7.755543E-05
3.670838E+03	4.306028E-03	7.979434E-05
3.680786E+03	4.456312E-03	8.207173E-05
3.690734E+03	4.610356E-03	8.438458E-05
3.700682E+03	4.768038E-03	8.672951E-05
3.710631E+03	4.929405E-03	8.910623E-05
3.720579E+03	5.093862E-03	9.150294E-05
3.730527E+03	5.261601E-03	9.392214E-05
3.740475E+03	5.432167E-03	9.635479E-05
3.750423E+03	5.605276E-03	9.879507E-05
3.760371E+03	5.780830E-03	1.012406E-04
3.770319E+03	5.958265E-03	1.036808E-04
3.780267E+03	6.137419E-03	1.061125E-04
3.790215E+03	6.317880E-03	1.085283E-04
3.800163E+03	6.499205E-03	1.109202E-04
3.810111E+03	6.680675E-03	1.132760E-04
3.820059E+03	6.862012E-03	1.155913E-04
3.830007E+03	7.042663E-03	1.178569E-04
3.839955E+03	7.222043E-03	1.200636E-04
3.849904E+03	7.399300E-03	1.221981E-04
3.859852E+03	7.574260E-03	1.242583E-04
3.869800E+03	7.745757E-03	1.262264E-04
3.879748E+03	7.913547E-03	1.280997E-04
3.889696E+03	8.076387E-03	1.298597E-04
3.899644E+03	8.233723E-03	1.314995E-04
3.909592E+03	8.384703E-03	1.330076E-04
3.919540E+03	8.528208E-03	1.343687E-04
3.929488E+03	8.663783E-03	1.355784E-04
3.939436E+03	8.789978E-03	1.366171E-04
3.949384E+03	8.905787E-03	1.374724E-04
3.959332E+03	9.010416E-03	1.381358E-04
3.969280E+03	9.102594E-03	1.385918E-04
3.979228E+03	9.181551E-03	1.388329E-04
3.989176E+03	9.246095E-03	1.388457E-04
3.999125E+03	9.295398E-03	1.386226E-04
4.009073E+03	9.328788E-03	1.381585E-04
4.019021E+03	9.345612E-03	1.374492E-04
4.028969E+03	9.345959E-03	1.365012E-04
4.038917E+03	9.330061E-03	1.353230E-04
4.048865E+03	9.298135E-03	1.339230E-04
4.058813E+03	9.251696E-03	1.323278E-04
4.068761E+03	9.191889E-03	1.305581E-04
4.078709E+03	9.120900E-03	1.286488E-04
4.088657E+03	9.040910E-03	1.266339E-04
4.098605E+03	8.954629E-03	1.245537E-04
4.108553E+03	8.864794E-03	1.224480E-04
4.118501E+03	8.774668E-03	1.203625E-04
4.128449E+03	8.687175E-03	1.183373E-04
4.138398E+03	8.605397E-03	1.164132E-04
4.148346E+03	8.532113E-03	1.146259E-04
4.158294E+03	8.470291E-03	1.130129E-04
4.168242E+03	8.422185E-03	1.116008E-04
4.178190E+03	8.390155E-03	1.104171E-04
4.188138E+03	8.376442E-03	1.094868E-04
4.198086E+03	8.382549E-03	1.088247E-04
4.208034E+03	8.410001E-03	1.084457E-04
4.217982E+03	8.459969E-03	1.083593E-04
4.227930E+03	8.533100E-03	1.085685E-04
4.237878E+03	8.629740E-03	1.090723E-04
4.247826E+03	8.749695E-03	1.098628E-04
4.257774E+03	8.892027E-03	1.109234E-04
4.267722E+03	9.055210E-03	1.122305E-04
4.277671E+03	9.236793E-03	1.137497E-04
4.287619E+03	9.433597E-03	1.154389E-04
4.297567E+03	9.641570E-03	1.172464E-04
4.307515E+03	9.855659E-03	1.191096E-04
4.317463E+03	1.007039E-02	1.209629E-04
4.327411E+03	1.027944E-02	1.227318E-04
4.337359E+03	1.047634E-02	1.243421E-04
4.347307E+03	1.065469E-02	1.257221E-04
4.357255E+03	1.080873E-02	1.268094E-04
4.367203E+03	1.093451E-02	1.275638E-04
4.377151E+03	1.103171E-02	1.279884E-04
4.387099E+03	1.110350E-02	1.281260E-04
4.397047E+03	1.115552E-02	1.280470E-04
4.406995E+03	1.119453E-02	1.278329E-04
4.416944E+03	1.122831E-02	1.275749E-04
4.426892E+03	1.126445E-02	1.273603E-04
4.436840E+03	1.131107E-02	1.272807E-04
4.446788E+03	1.137507E-02	1.274123E-04
4.456736E+03	1.146279E-02	1.278237E-04
4.466684E+03	1.157962E-02	1.285724E-04
4.476632E+03	1.172986E-02	1.297026E-04
4.486580E+03	1.191642E-02	1.312423E-04
4.496528E+03	1.214084E-02	1.332043E-04
4.506476E+03	1.240357E-02	1.355893E-04
4.516424E+03	1.270313E-02	1.383776E-04
4.526372E+03	1.303701E-02	1.415384E-04
4.536320E+03	1.340077E-02	1.450211E-04
4.546268E+03	1.378936E-02	1.487691E-04
4.556217E+03	1.419551E-02	1.527028E-04
4.566165E+03	1.461152E-02	1.567394E-04
4.576113E+03	1.502915E-02	1.607907E-04
4.586061E+03	1.543911E-02	1.647583E-04
4.596009E+03	1.583265E-02	1.685509E-04
4.605957E+03	1.620167E-02	1.720840E-04
4.615905E+03	1.653890E-02	1.752832E-04
4.625853E+03	1.683882E-02	1.780926E-04
4.635801E+03	1.709760E-02	1.804743E-04
4.645749E+03	1.731374E-02	1.824149E-04
4.655697E+03	1.748815E-02	1.839264E-04
4.665645E+03	1.762330E-02	1.850363E-04
4.675593E+03	1.772408E-02	1.857978E-04
4.685541E+03	1.779676E-02	1.862773E-04
4.695490E+03	1.784842E-02	1.865494E-04
4.705438E+03	1.788730E-02	1.867002E-04
4.715386E+03	1.792113E-02	1.868101E-04
4.725334E+03	1.795748E-02	1.869572E-04
4.735282E+03	1.800360E-02	1.872160E-04
4.745230E+03	1.806497E-02	1.876421E-04
4.755178E+03	1.814643E-02	1.882846E-04
4.765126E+03	1.825151E-02	1.891785E-04
4.775074E+03	1.838175E-02	1.903384E-04
4.785022E+03	1.853768E-02	1.917683E-04
4.794970E+03	1.871856E-02	1.934590E-04
4.804918E+03	1.892192E-02	1.953838E-04
4.814866E+03	1.914434E-02	1.975061E-04
4.824814E+03	1.938063E-02	1.997713E-04
4.834763E+03	1.962528E-02	2.021215E-04
4.844711E+03	1.987127E-02	2.044838E-04
4.854659E+03	2.011131E-02	2.067824E-04
4.864607E+03	2.033749E-02	2.089355E-04
4.874555E+03	2.054158E-02	2.108585E-04
4.884503E+03	2.071640E-02	2.124775E-04
4.894451E+03	2.085430E-02	2.137143E-04
4.904399E+03	2.094914E-02	2.145060E-04
4.914347E+03	2.099588E-02	2.148019E-04
4.924295E+03	2.099066E-02	2.145631E-04
4.934243E+03	2.093110E-02	2.137658E-04
4.944191E+03	2.081657E-02	2.124050E-04
