#wls	flux	fluxerr
1.591691E+03	4.739163E-05	2.823596E-07
1.631484E+03	4.511453E-05	2.687927E-07
1.671276E+03	4.296454E-05	2.559830E-07
1.711068E+03	4.093055E-05	2.438645E-07
1.750861E+03	3.903080E-05	2.325458E-07
1.790653E+03	3.726705E-05	2.220373E-07
1.830445E+03	3.564055E-05	2.123466E-07
1.870237E+03	3.415202E-05	2.034780E-07
1.910030E+03	3.280172E-05	1.954328E-07
1.949822E+03	3.157967E-05	1.881519E-07
1.989614E+03	3.050546E-05	1.817517E-07
2.029406E+03	2.956790E-05	1.761658E-07
2.069199E+03	2.875753E-05	1.713375E-07
2.108991E+03	2.809049E-05	1.673633E-07
2.148783E+03	2.754901E-05	1.641372E-07
2.188576E+03	2.714041E-05	1.617027E-07
2.228368E+03	2.686376E-05	1.600544E-07
2.268160E+03	2.671841E-05	1.591884E-07
2.307952E+03	2.669708E-05	1.590613E-07
2.347745E+03	2.680716E-05	1.597172E-07
2.387537E+03	2.704924E-05	1.611595E-07
2.427329E+03	2.741760E-05	1.633542E-07
2.467122E+03	2.791395E-05	1.663115E-07
2.506914E+03	2.854720E-05	1.700844E-07
2.546706E+03	2.931310E-05	1.746476E-07
2.586498E+03	3.021462E-05	1.800189E-07
2.626291E+03	3.126215E-05	1.862601E-07
2.666083E+03	3.244544E-05	1.933101E-07
2.705875E+03	3.378284E-05	2.012784E-07
2.745668E+03	3.527183E-05	2.101498E-07
2.785460E+03	3.691735E-05	2.199538E-07
2.825252E+03	3.872482E-05	2.307227E-07
2.865044E+03	4.070850E-05	2.425415E-07
2.904837E+03	4.286770E-05	2.554060E-07
2.944629E+03	4.522823E-05	2.694701E-07
2.984421E+03	4.780237E-05	2.848068E-07
2.994369E+03	4.848126E-05	2.888516E-07
3.004317E+03	4.917301E-05	2.929731E-07
3.014266E+03	4.988722E-05	2.972284E-07
3.024214E+03	5.061495E-05	3.015642E-07
3.034162E+03	5.136614E-05	3.060398E-07
3.044110E+03	5.212206E-05	3.105436E-07
3.054058E+03	5.291203E-05	3.152502E-07
3.064006E+03	5.370751E-05	3.199897E-07
3.073954E+03	5.452849E-05	3.248811E-07
3.083902E+03	5.537588E-05	3.299298E-07
3.093850E+03	5.624026E-05	3.350798E-07
3.103798E+03	5.712232E-05	3.403351E-07
3.113746E+03	5.803308E-05	3.457614E-07
3.123694E+03	5.897361E-05	3.513651E-07
3.133642E+03	5.994502E-05	3.571528E-07
3.143590E+03	6.093797E-05	3.630688E-07
3.153539E+03	6.195347E-05	3.691192E-07
3.163487E+03	6.301452E-05	3.754409E-07
3.173435E+03	6.410102E-05	3.819143E-07
3.183383E+03	6.522560E-05	3.886145E-07
3.193331E+03	6.639025E-05	3.955535E-07
3.203279E+03	6.759712E-05	4.027441E-07
3.213227E+03	6.884869E-05	4.102009E-07
3.223175E+03	7.014758E-05	4.179397E-07
3.233123E+03	7.148490E-05	4.259075E-07
3.243071E+03	7.288744E-05	4.342638E-07
3.253019E+03	7.434713E-05	4.429606E-07
3.262967E+03	7.588028E-05	4.520952E-07
3.272915E+03	7.746679E-05	4.615476E-07
3.282863E+03	7.913648E-05	4.714956E-07
3.292812E+03	8.088246E-05	4.818982E-07
3.302760E+03	8.271078E-05	4.927913E-07
3.312708E+03	8.464147E-05	5.042944E-07
3.322656E+03	8.668261E-05	5.164555E-07
3.332604E+03	8.882942E-05	5.292462E-07
3.342552E+03	9.109113E-05	5.427215E-07
3.352500E+03	9.349203E-05	5.570261E-07
3.362448E+03	9.604401E-05	5.722308E-07
3.372396E+03	9.876014E-05	5.884135E-07
3.382344E+03	1.016546E-04	6.056587E-07
3.392292E+03	1.047427E-04	6.240576E-07
3.402240E+03	1.080253E-04	6.436151E-07
3.412188E+03	1.115506E-04	6.646191E-07
3.422136E+03	1.153216E-04	6.870868E-07
3.432085E+03	1.193571E-04	7.111303E-07
3.442033E+03	1.236936E-04	7.369673E-07
3.451981E+03	1.283350E-04	7.646208E-07
3.461929E+03	1.333031E-04	7.942206E-07
3.471877E+03	1.386409E-04	8.260233E-07
3.481825E+03	1.443767E-04	8.601971E-07
3.491773E+03	1.505405E-04	8.969211E-07
3.501721E+03	1.571435E-04	9.362621E-07
3.511669E+03	1.642383E-04	9.785329E-07
3.521617E+03	1.718603E-04	1.023945E-06
3.531565E+03	1.800704E-04	1.072861E-06
3.541513E+03	1.888662E-04	1.125266E-06
3.551461E+03	1.983398E-04	1.181709E-06
3.561409E+03	2.085204E-04	1.242366E-06
3.571358E+03	2.194662E-04	1.307581E-06
3.581306E+03	2.312700E-04	1.377908E-06
3.591254E+03	2.440100E-04	1.453813E-06
3.601202E+03	2.577460E-04	1.535652E-06
3.611150E+03	2.726375E-04	1.624376E-06
3.621098E+03	2.887414E-04	1.720323E-06
