#wls	flux	fluxerr
1.591691E+03	8.479979E-05	3.297606E-06
1.631484E+03	7.975075E-05	3.080633E-06
1.671276E+03	7.480544E-05	2.869826E-06
1.711068E+03	7.000735E-05	2.666840E-06
1.750861E+03	6.536260E-05	2.471864E-06
1.790653E+03	6.090187E-05	2.285999E-06
1.830445E+03	5.662226E-05	2.109056E-06
1.870237E+03	5.252182E-05	1.940880E-06
1.910030E+03	4.860447E-05	1.781529E-06
1.949822E+03	4.491806E-05	1.632644E-06
1.989614E+03	4.149707E-05	1.495323E-06
2.029406E+03	3.843703E-05	1.372791E-06
2.069199E+03	3.590536E-05	1.270683E-06
2.108991E+03	3.407213E-05	1.194492E-06
2.148783E+03	3.309518E-05	1.149036E-06
2.188576E+03	3.299187E-05	1.134060E-06
2.228368E+03	3.370965E-05	1.146870E-06
2.268160E+03	3.512393E-05	1.182392E-06
2.307952E+03	3.714676E-05	1.236916E-06
2.347745E+03	3.972801E-05	1.308082E-06
2.387537E+03	4.284719E-05	1.394547E-06
2.427329E+03	4.654370E-05	1.496901E-06
2.467122E+03	5.089209E-05	1.616767E-06
2.506914E+03	5.598275E-05	1.756124E-06
2.546706E+03	6.194727E-05	1.918050E-06
2.586498E+03	6.897125E-05	2.107029E-06
2.626291E+03	7.723868E-05	2.327147E-06
2.666083E+03	8.698977E-05	2.583804E-06
2.705875E+03	9.847683E-05	2.882291E-06
2.745668E+03	1.119639E-04	3.227734E-06
2.785460E+03	1.277986E-04	3.627089E-06
2.825252E+03	1.463585E-04	4.087455E-06
2.865044E+03	1.681163E-04	4.617751E-06
2.904837E+03	1.936468E-04	5.228687E-06
2.944629E+03	2.236527E-04	5.933163E-06
2.984421E+03	2.590463E-04	6.748081E-06
2.994369E+03	2.688449E-04	6.970903E-06
3.004317E+03	2.790868E-04	7.202701E-06
3.014266E+03	2.897645E-04	7.443108E-06
3.024214E+03	3.008991E-04	7.692498E-06
3.034162E+03	3.125206E-04	7.951454E-06
3.044110E+03	3.246914E-04	8.221367E-06
3.054058E+03	3.374348E-04	8.502610E-06
3.064006E+03	3.507438E-04	8.794783E-06
3.073954E+03	3.646425E-04	9.098272E-06
3.083902E+03	3.792221E-04	9.415101E-06
3.093850E+03	3.944465E-04	9.744121E-06
3.103798E+03	4.103782E-04	1.008661E-05
3.113746E+03	4.270496E-04	1.044308E-05
3.123694E+03	4.444586E-04	1.081319E-05
3.133642E+03	4.627129E-04	1.119926E-05
3.143590E+03	4.818153E-04	1.160101E-05
3.153539E+03	5.018454E-04	1.202003E-05
3.163487E+03	5.227688E-04	1.245512E-05
3.173435E+03	5.447094E-04	1.290886E-05
3.183383E+03	5.677191E-04	1.338208E-05
3.193331E+03	5.917647E-04	1.387357E-05
3.203279E+03	6.170307E-04	1.438722E-05
3.213227E+03	6.434895E-04	1.492191E-05
3.223175E+03	6.712488E-04	1.547964E-05
3.233123E+03	7.003284E-04	1.606035E-05
3.243071E+03	7.308954E-04	1.666732E-05
3.253019E+03	7.629281E-04	1.729947E-05
3.262967E+03	7.965543E-04	1.795908E-05
3.272915E+03	8.319120E-04	1.864863E-05
3.282863E+03	8.690390E-04	1.936825E-05
3.292812E+03	9.080264E-04	2.011925E-05
3.302760E+03	9.489699E-04	2.090301E-05
3.312708E+03	9.920263E-04	2.172216E-05
3.322656E+03	1.037237E-03	2.257678E-05
3.332604E+03	1.084764E-03	2.346946E-05
3.342552E+03	1.134704E-03	2.440143E-05
3.352500E+03	1.187085E-03	2.537223E-05
3.362448E+03	1.242048E-03	2.638394E-05
3.372396E+03	1.299654E-03	2.743680E-05
3.382344E+03	1.360012E-03	2.853201E-05
3.392292E+03	1.422973E-03	2.966540E-05
3.402240E+03	1.488559E-03	3.083633E-05
3.412188E+03	1.556733E-03	3.204302E-05
3.422136E+03	1.627236E-03	3.327913E-05
3.432085E+03	1.699894E-03	3.454020E-05
3.442033E+03	1.774319E-03	3.581750E-05
3.451981E+03	1.850199E-03	3.710406E-05
3.461929E+03	1.927487E-03	3.839842E-05
3.471877E+03	2.005954E-03	3.969544E-05
3.481825E+03	2.085793E-03	4.099844E-05
3.491773E+03	2.167209E-03	4.231090E-05
3.501721E+03	2.250450E-03	4.363703E-05
3.511669E+03	2.335774E-03	4.498104E-05
3.521617E+03	2.423420E-03	4.634673E-05
3.531565E+03	2.513607E-03	4.773732E-05
3.541513E+03	2.606627E-03	4.915735E-05
3.551461E+03	2.702537E-03	5.060680E-05
3.561409E+03	2.801468E-03	5.208695E-05
3.571358E+03	2.903632E-03	5.360060E-05
3.581306E+03	3.009113E-03	5.514801E-05
3.591254E+03	3.117856E-03	5.672694E-05
3.601202E+03	3.230004E-03	5.833873E-05
3.611150E+03	3.345455E-03	5.998026E-05
3.621098E+03	3.464434E-03	6.165431E-05
3.631046E+03	3.586672E-03	6.335479E-05
3.640994E+03	3.712236E-03	6.508166E-05
3.650942E+03	3.841050E-03	6.683233E-05
3.660890E+03	3.973026E-03	6.860406E-05
3.670838E+03	4.108040E-03	7.039355E-05
3.680786E+03	4.245958E-03	7.219738E-05
3.690734E+03	4.386483E-03	7.400951E-05
3.700682E+03	4.529703E-03	7.583043E-05
3.710631E+03	4.675279E-03	7.765357E-05
3.720579E+03	4.822981E-03	7.947432E-05
3.730527E+03	4.972559E-03	8.128786E-05
3.740475E+03	5.123738E-03	8.308911E-05
3.750423E+03	5.276220E-03	8.487277E-05
3.760371E+03	5.429681E-03	8.663329E-05
3.770319E+03	5.583777E-03	8.836502E-05
3.780267E+03	5.738142E-03	9.006210E-05
3.790215E+03	5.892225E-03	9.171604E-05
3.800163E+03	6.045929E-03	9.332558E-05
3.810111E+03	6.198665E-03	9.488207E-05
3.820059E+03	6.349822E-03	9.637679E-05
3.830007E+03	6.499074E-03	9.780568E-05
3.839955E+03	6.645941E-03	9.916250E-05
3.849904E+03	6.789905E-03	1.004407E-04
