#wls	flux	fluxerr
1.591691E+03	6.764925E-19	1.442426E-20
1.631484E+03	6.679148E-19	1.422418E-20
1.671276E+03	6.581496E-19	1.399881E-20
1.711068E+03	6.475223E-19	1.375517E-20
1.750861E+03	6.358077E-19	1.348856E-20
1.790653E+03	6.230313E-19	1.319963E-20
1.830445E+03	6.086593E-19	1.287719E-20
1.870237E+03	5.925686E-19	1.251882E-20
1.910030E+03	5.744248E-19	1.211763E-20
1.949822E+03	5.539017E-19	1.166699E-20
1.989614E+03	5.314308E-19	1.117623E-20
2.029406E+03	5.087752E-19	1.068262E-20
2.069199E+03	4.882146E-19	1.023402E-20
2.108991E+03	4.732636E-19	9.903791E-21
2.148783E+03	4.670990E-19	9.757743E-21
2.188576E+03	4.707658E-19	9.816711E-21
2.228368E+03	4.830078E-19	1.005342E-20
2.268160E+03	5.010807E-19	1.040982E-20
2.307952E+03	5.225500E-19	1.083469E-20
2.347745E+03	5.454141E-19	1.128610E-20
2.387537E+03	5.690636E-19	1.175121E-20
2.427329E+03	5.928620E-19	1.221673E-20
2.467122E+03	6.171095E-19	1.268870E-20
2.506914E+03	6.419572E-19	1.317008E-20
2.546706E+03	6.682461E-19	1.367789E-20
2.586498E+03	6.960922E-19	1.421419E-20
2.626291E+03	7.262410E-19	1.479381E-20
2.666083E+03	7.592791E-19	1.542821E-20
2.705875E+03	7.956165E-19	1.612512E-20
2.745668E+03	8.364028E-19	1.690709E-20
2.785460E+03	8.822079E-19	1.778472E-20
2.825252E+03	9.336763E-19	1.876994E-20
2.865044E+03	9.920793E-19	1.988705E-20
2.904837E+03	1.058621E-18	2.115867E-20
2.944629E+03	1.134711E-18	2.261110E-20
2.984421E+03	1.221995E-18	2.427500E-20
2.994369E+03	1.245734E-18	2.472708E-20
3.004317E+03	1.270635E-18	2.520133E-20
3.014266E+03	1.296072E-18	2.568532E-20
3.024214E+03	1.322419E-18	2.618639E-20
3.034162E+03	1.350106E-18	2.671301E-20
3.044110E+03	1.378512E-18	2.725283E-20
3.054058E+03	1.408407E-18	2.782101E-20
3.064006E+03	1.439104E-18	2.840392E-20
3.073954E+03	1.471365E-18	2.901651E-20
3.083902E+03	1.504480E-18	2.964475E-20
3.093850E+03	1.539243E-18	3.030420E-20
3.103798E+03	1.575320E-18	3.098818E-20
3.113746E+03	1.612751E-18	3.169740E-20
3.123694E+03	1.651579E-18	3.243265E-20
3.133642E+03	1.691850E-18	3.319475E-20
3.143590E+03	1.733613E-18	3.398454E-20
3.153539E+03	1.776917E-18	3.480292E-20
3.163487E+03	1.821814E-18	3.565080E-20
3.173435E+03	1.868360E-18	3.652917E-20
3.183383E+03	1.917081E-18	3.744824E-20
3.193331E+03	1.967104E-18	3.839083E-20
3.203279E+03	2.018951E-18	3.936701E-20
3.213227E+03	2.073191E-18	4.038776E-20
3.223175E+03	2.128888E-18	4.143473E-20
3.233123E+03	2.187133E-18	4.252904E-20
3.243071E+03	2.247490E-18	4.366205E-20
3.253019E+03	2.309476E-18	4.482426E-20
3.262967E+03	2.374260E-18	4.603823E-20
3.272915E+03	2.441377E-18	4.729477E-20
3.282863E+03	2.510901E-18	4.859517E-20
3.292812E+03	2.582911E-18	4.994082E-20
3.302760E+03	2.657488E-18	5.133306E-20
3.312708E+03	2.734710E-18	5.277329E-20
3.322656E+03	2.814659E-18	5.426290E-20
3.332604E+03	2.897418E-18	5.580330E-20
3.342552E+03	2.983765E-18	5.740926E-20
