#wls	flux	fluxerr
1.594499E+03	5.583967E-05	1.825357E-06
1.634361E+03	5.720428E-05	1.861728E-06
1.674224E+03	5.863818E-05	1.899771E-06
1.714086E+03	6.010760E-05	1.938353E-06
1.753949E+03	6.162992E-05	1.977998E-06
1.793811E+03	6.320544E-05	2.018675E-06
1.833674E+03	6.483434E-05	2.060345E-06
1.873536E+03	6.651667E-05	2.102967E-06
1.913399E+03	6.825230E-05	2.146489E-06
1.953261E+03	7.005902E-05	2.191423E-06
1.993124E+03	7.190040E-05	2.236576E-06
2.032986E+03	7.381202E-05	2.283009E-06
2.072849E+03	7.577492E-05	2.330079E-06
2.112711E+03	7.778796E-05	2.377699E-06
2.152574E+03	7.984969E-05	2.425773E-06
2.192436E+03	8.197714E-05	2.474761E-06
2.232299E+03	8.414968E-05	2.523981E-06
2.272161E+03	8.636483E-05	2.573305E-06
2.312024E+03	8.861968E-05	2.622594E-06
2.351886E+03	9.091089E-05	2.671696E-06
2.391748E+03	9.325395E-05	2.721012E-06
2.431611E+03	9.562540E-05	2.769800E-06
2.471473E+03	9.802035E-05	2.817869E-06
2.511336E+03	1.004528E-04	2.865575E-06
2.551198E+03	1.028974E-04	2.912140E-06
2.591061E+03	1.053472E-04	2.957331E-06
2.630923E+03	1.077947E-04	3.000908E-06
2.670786E+03	1.102517E-04	3.043158E-06
2.710648E+03	1.127092E-04	3.083804E-06
2.750511E+03	1.151379E-04	3.122016E-06
2.790373E+03	1.175669E-04	3.158568E-06
2.830236E+03	1.199654E-04	3.192605E-06
2.870098E+03	1.223408E-04	3.224324E-06
2.909961E+03	1.246805E-04	3.253377E-06
2.949823E+03	1.270098E-04	3.280421E-06
2.989686E+03	1.293136E-04	3.305055E-06
2.999651E+03	1.298947E-04	3.311068E-06
3.009617E+03	1.304657E-04	3.316711E-06
3.019582E+03	1.310262E-04	3.321978E-06
3.029548E+03	1.315956E-04	3.327359E-06
3.039514E+03	1.321733E-04	3.332841E-06
3.049479E+03	1.327399E-04	3.337927E-06
3.059445E+03	1.333143E-04	3.343098E-06
3.069411E+03	1.338769E-04	3.347862E-06
3.079376E+03	1.344468E-04	3.352694E-06
3.089342E+03	1.350236E-04	3.357584E-06
3.099307E+03	1.355877E-04	3.362046E-06
3.109273E+03	1.361580E-04	3.366548E-06
3.119239E+03	1.367342E-04	3.371081E-06
3.129204E+03	1.373159E-04	3.375633E-06
3.139170E+03	1.378837E-04	3.379727E-06
3.149135E+03	1.384563E-04	3.383824E-06
3.159101E+03	1.390334E-04	3.387912E-06
3.169067E+03	1.396144E-04	3.391981E-06
3.179032E+03	1.401991E-04	3.396020E-06
3.188998E+03	1.407870E-04	3.400018E-06
3.198964E+03	1.413777E-04	3.403964E-06
3.208929E+03	1.419708E-04	3.407846E-06
3.218895E+03	1.425472E-04	3.411208E-06
3.228860E+03	1.431624E-04	3.415377E-06
3.238826E+03	1.437601E-04	3.419005E-06
3.248792E+03	1.443584E-04	3.422526E-06
3.258757E+03	1.449754E-04	3.426364E-06
3.268723E+03	1.455920E-04	3.430068E-06
3.278689E+03	1.462078E-04	3.433627E-06
3.288654E+03	1.468406E-04	3.437458E-06
3.298620E+03	1.474716E-04	3.441117E-06
3.308585E+03	1.481003E-04	3.444593E-06
3.318551E+03	1.487442E-04	3.448294E-06
3.328517E+03	1.493848E-04	3.451787E-06
3.338482E+03	1.500573E-04	3.455884E-06
3.348448E+03	1.507075E-04	3.459330E-06
3.358413E+03	1.513882E-04	3.463343E-06
3.368379E+03	1.520632E-04	3.467089E-06
3.378345E+03	1.527496E-04	3.470957E-06
3.388310E+03	1.534293E-04	3.474532E-06
3.398276E+03	1.541366E-04	3.478592E-06
3.408242E+03	1.548531E-04	3.482718E-06
3.418207E+03	1.555610E-04	3.486505E-06
3.428173E+03	1.562942E-04	3.490712E-06
3.438138E+03	1.570344E-04	3.494931E-06
3.448104E+03	1.577811E-04	3.499144E-06
3.458070E+03	1.585335E-04	3.503333E-06
3.468035E+03	1.593077E-04	3.507852E-06
3.478001E+03	1.600693E-04	3.511940E-06
3.487967E+03	1.608678E-04	3.516680E-06
3.497932E+03	1.616687E-04	3.521316E-06
3.507898E+03	1.624714E-04	3.525833E-06
3.517863E+03	1.632916E-04	3.530567E-06
