#wls	flux	fluxerr
1.594499E+03	5.763980E-03	1.594021E-04
1.634361E+03	6.237440E-03	1.721880E-04
1.674224E+03	6.723828E-03	1.852741E-04
1.714086E+03	7.218362E-03	1.985249E-04
1.753949E+03	7.714286E-03	2.117512E-04
1.793811E+03	8.199750E-03	2.246258E-04
1.833674E+03	8.658782E-03	2.367113E-04
1.873536E+03	9.071284E-03	2.474615E-04
1.913399E+03	9.414198E-03	2.562546E-04
1.953261E+03	9.665756E-03	2.625099E-04
1.993124E+03	9.814638E-03	2.659359E-04
2.032986E+03	9.873964E-03	2.669054E-04
2.072849E+03	9.893329E-03	2.667725E-04
2.112711E+03	9.953723E-03	2.677230E-04
2.152574E+03	1.013111E-02	2.717858E-04
2.192436E+03	1.044926E-02	2.795705E-04
2.232299E+03	1.086237E-02	2.898227E-04
2.272161E+03	1.128577E-02	3.002660E-04
2.312024E+03	1.164663E-02	3.089629E-04
2.351886E+03	1.190269E-02	3.148075E-04
2.391748E+03	1.204009E-02	3.174575E-04
2.431611E+03	1.206570E-02	3.171211E-04
2.471473E+03	1.199823E-02	3.143157E-04
2.511336E+03	1.186108E-02	3.096764E-04
2.551198E+03	1.167678E-02	3.038080E-04
2.591061E+03	1.145993E-02	2.971023E-04
2.630923E+03	1.122026E-02	2.898212E-04
2.670786E+03	1.096503E-02	2.821587E-04
2.710648E+03	1.069961E-02	2.742588E-04
2.750511E+03	1.042828E-02	2.662347E-04
2.790373E+03	1.015453E-02	2.581787E-04
2.830236E+03	9.881294E-03	2.501677E-04
2.870098E+03	9.611091E-03	2.422663E-04
2.909961E+03	9.345956E-03	2.345264E-04
2.949823E+03	9.087539E-03	2.269892E-04
2.989686E+03	8.837112E-03	2.196857E-04
2.999651E+03	8.775869E-03	2.178990E-04
3.009617E+03	8.715177E-03	2.161281E-04
3.019582E+03	8.655080E-03	2.143741E-04
3.029548E+03	8.595695E-03	2.126397E-04
3.039514E+03	8.537364E-03	2.109335E-04
3.049479E+03	8.480475E-03	2.092650E-04
3.059445E+03	8.424917E-03	2.076312E-04
3.069411E+03	8.370504E-03	2.060275E-04
3.079376E+03	8.317157E-03	2.044519E-04
3.089342E+03	8.264790E-03	2.029021E-04
3.099307E+03	8.213270E-03	2.013749E-04
3.109273E+03	8.162552E-03	1.998691E-04
3.119239E+03	8.112543E-03	1.983824E-04
3.129204E+03	8.063196E-03	1.969135E-04
3.139170E+03	8.014453E-03	1.954611E-04
3.149135E+03	7.966277E-03	1.940241E-04
3.159101E+03	7.918623E-03	1.926014E-04
3.169067E+03	7.871449E-03	1.911920E-04
3.179032E+03	7.824736E-03	1.897955E-04
3.188998E+03	7.778451E-03	1.884109E-04
3.198964E+03	7.732564E-03	1.870375E-04
3.208929E+03	7.687085E-03	1.856756E-04
3.218895E+03	7.641973E-03	1.843242E-04
3.228860E+03	7.597222E-03	1.829830E-04
3.238826E+03	7.552813E-03	1.816516E-04
3.248792E+03	7.508767E-03	1.803305E-04
3.258757E+03	7.465063E-03	1.790192E-04
3.268723E+03	7.421669E-03	1.777169E-04
3.278689E+03	7.378626E-03	1.764245E-04
3.288654E+03	7.335883E-03	1.751408E-04
3.298620E+03	7.293482E-03	1.738669E-04
3.308585E+03	7.251390E-03	1.726018E-04
3.318551E+03	7.209595E-03	1.713454E-04
3.328517E+03	7.168122E-03	1.700982E-04
3.338482E+03	7.126958E-03	1.688598E-04
3.348448E+03	7.086091E-03	1.676300E-04
3.358413E+03	7.045511E-03	1.664085E-04
3.368379E+03	7.005204E-03	1.651950E-04
3.378345E+03	6.965193E-03	1.639900E-04
3.388310E+03	6.925432E-03	1.627924E-04
3.398276E+03	6.885926E-03	1.616024E-04
3.408242E+03	6.846660E-03	1.604195E-04
3.418207E+03	6.807606E-03	1.592431E-04
3.428173E+03	6.768787E-03	1.580737E-04
3.438138E+03	6.730171E-03	1.569106E-04
3.448104E+03	6.691802E-03	1.557548E-04
3.458070E+03	6.653646E-03	1.546055E-04
3.468035E+03	6.615710E-03	1.534629E-04
3.478001E+03	6.578000E-03	1.523270E-04
3.487967E+03	6.540520E-03	1.511980E-04
3.497932E+03	6.503254E-03	1.500755E-04
3.507898E+03	6.466190E-03	1.489592E-04
3.517863E+03	6.429349E-03	1.478496E-04
3.527829E+03	6.392680E-03	1.467455E-04
3.537795E+03	6.356205E-03	1.456474E-04
3.547760E+03	6.319890E-03	1.445546E-04
3.557726E+03	6.283735E-03	1.434670E-04
3.567691E+03	6.247707E-03	1.423838E-04
3.577657E+03	6.211827E-03	1.413056E-04
3.587623E+03	6.176039E-03	1.402311E-04
3.597588E+03	6.140363E-03	1.391608E-04
3.607554E+03	6.104781E-03	1.380942E-04
3.617520E+03	6.069254E-03	1.370305E-04
3.627485E+03	6.033782E-03	1.359697E-04
3.637451E+03	5.998366E-03	1.349118E-04
3.647416E+03	5.962965E-03	1.338559E-04
3.657382E+03	5.927598E-03	1.328024E-04
3.667348E+03	5.892241E-03	1.317510E-04
3.677313E+03	5.856876E-03	1.307010E-04
3.687279E+03	5.821479E-03	1.296521E-04
3.697245E+03	5.786083E-03	1.286051E-04
3.707210E+03	5.750632E-03	1.275585E-04
3.717176E+03	5.715157E-03	1.265133E-04
3.727141E+03	5.679618E-03	1.254686E-04
3.737107E+03	5.644028E-03	1.244246E-04
3.747073E+03	5.608365E-03	1.233809E-04
3.757038E+03	5.572643E-03	1.223378E-04
3.767004E+03	5.536820E-03	1.212944E-04
3.776969E+03	5.500950E-03	1.202521E-04
3.786935E+03	5.464970E-03	1.192093E-04
3.796901E+03	5.428913E-03	1.181669E-04
3.806866E+03	5.392776E-03	1.171249E-04
3.816832E+03	5.356538E-03	1.160828E-04
3.826798E+03	5.320211E-03	1.150409E-04
3.836763E+03	5.283795E-03	1.139993E-04
3.846729E+03	5.247303E-03	1.129582E-04
3.856694E+03	5.210696E-03	1.119169E-04
3.866660E+03	5.174029E-03	1.108766E-04
3.876626E+03	5.137263E-03	1.098365E-04
3.886591E+03	5.100431E-03	1.087973E-04
3.896557E+03	5.063516E-03	1.077587E-04
3.906522E+03	5.026534E-03	1.067211E-04
3.916488E+03	4.989487E-03	1.056846E-04
3.926454E+03	4.952394E-03	1.046495E-04
3.936419E+03	4.915236E-03	1.036156E-04
3.946385E+03	4.878050E-03	1.025836E-04
3.956351E+03	4.840823E-03	1.015533E-04
3.966316E+03	4.803572E-03	1.005251E-04
3.976282E+03	4.766303E-03	9.949910E-05
3.986247E+03	4.729034E-03	9.847577E-05
3.996213E+03	4.691751E-03	9.745480E-05
4.006179E+03	4.654477E-03	9.643671E-05
4.016144E+03	4.617233E-03	9.542199E-05
4.026110E+03	4.580024E-03	9.441072E-05
4.036076E+03	4.542834E-03	9.340260E-05
4.046041E+03	4.505709E-03	9.239859E-05
4.056007E+03	4.468628E-03	9.139833E-05
4.065972E+03	4.431620E-03	9.040237E-05
4.075938E+03	4.394668E-03	8.941040E-05
4.085904E+03	4.357817E-03	8.842335E-05
4.095869E+03	4.321030E-03	8.744049E-05
4.105835E+03	4.284333E-03	8.646236E-05
4.115800E+03	4.247749E-03	8.548944E-05
4.125766E+03	4.211246E-03	8.452107E-05
4.135732E+03	4.174845E-03	8.355770E-05
4.145697E+03	4.138549E-03	8.259942E-05
4.155663E+03	4.102347E-03	8.164599E-05
4.165629E+03	4.066240E-03	8.069746E-05
4.175594E+03	4.030231E-03	7.975388E-05
4.185560E+03	3.994288E-03	7.881465E-05
4.195525E+03	3.958413E-03	7.787982E-05
4.205491E+03	3.922608E-03	7.694945E-05
4.215457E+03	3.886838E-03	7.602286E-05
4.225422E+03	3.851108E-03	7.510016E-05
4.235388E+03	3.815361E-03	7.418029E-05
4.245354E+03	3.779602E-03	7.326337E-05
4.255319E+03	3.743813E-03	7.234906E-05
4.265285E+03	3.707922E-03	7.143602E-05
4.275250E+03	3.671951E-03	7.052474E-05
4.285216E+03	3.635844E-03	6.961417E-05
4.295182E+03	3.599605E-03	6.870442E-05
4.305147E+03	3.563236E-03	6.779563E-05
4.315113E+03	3.526721E-03	6.688750E-05
4.325078E+03	3.490081E-03	6.598050E-05
4.335044E+03	3.453355E-03	6.507543E-05
4.345010E+03	3.416562E-03	6.417267E-05
4.354975E+03	3.379761E-03	6.327339E-05
4.364941E+03	3.343007E-03	6.237864E-05
4.374907E+03	3.306379E-03	6.148989E-05
4.384872E+03	3.269894E-03	6.060747E-05
4.394838E+03	3.233628E-03	5.973281E-05
4.404803E+03	3.197602E-03	5.886626E-05
4.414769E+03	3.161856E-03	5.800857E-05
4.424735E+03	3.126428E-03	5.716036E-05
4.434700E+03	3.091342E-03	5.632206E-05
4.444666E+03	3.056634E-03	5.549431E-05
4.454632E+03	3.022311E-03	5.467715E-05
4.464597E+03	2.988393E-03	5.387094E-05
4.474563E+03	2.954904E-03	5.307601E-05
4.484528E+03	2.921866E-03	5.229275E-05
4.494494E+03	2.889268E-03	5.152087E-05
4.504460E+03	2.857130E-03	5.076067E-05
4.514425E+03	2.825458E-03	5.001220E-05
4.524391E+03	2.794242E-03	4.927521E-05
4.534356E+03	2.763502E-03	4.855001E-05
4.544322E+03	2.733213E-03	4.783605E-05
4.554288E+03	2.703377E-03	4.713335E-05
