#wls	flux	fluxerr
1.594499E+03	1.139447E-17	5.677126E-19
1.634361E+03	1.151780E-17	5.713136E-19
1.674224E+03	1.161003E-17	5.732601E-19
1.714086E+03	1.167885E-17	5.739483E-19
1.753949E+03	1.172118E-17	5.732413E-19
1.793811E+03	1.172315E-17	5.704806E-19
1.833674E+03	1.167748E-17	5.653427E-19
1.873536E+03	1.157038E-17	5.571987E-19
1.913399E+03	1.138405E-17	5.452433E-19
1.953261E+03	1.112407E-17	5.298067E-19
1.993124E+03	1.078542E-17	5.107151E-19
2.032986E+03	1.041779E-17	4.903769E-19
2.072849E+03	1.008797E-17	4.719472E-19
2.112711E+03	9.901358E-18	4.602993E-19
2.152574E+03	9.949155E-18	4.595211E-19
2.192436E+03	1.027498E-17	4.713996E-19
2.232299E+03	1.085159E-17	4.944284E-19
2.272161E+03	1.161719E-17	5.255608E-19
2.312024E+03	1.249870E-17	5.613139E-19
2.351886E+03	1.343822E-17	5.989712E-19
2.391748E+03	1.440422E-17	6.370575E-19
2.431611E+03	1.537036E-17	6.743660E-19
2.471473E+03	1.634554E-17	7.112604E-19
2.511336E+03	1.732264E-17	7.473989E-19
2.551198E+03	1.831740E-17	7.834286E-19
2.591061E+03	1.934289E-17	8.198582E-19
2.630923E+03	2.040228E-17	8.567587E-19
2.670786E+03	2.151479E-17	8.948623E-19
2.710648E+03	2.268918E-17	9.344367E-19
2.750511E+03	2.393984E-17	9.759622E-19
2.790373E+03	2.528746E-17	1.020146E-18
2.830236E+03	2.673601E-17	1.066985E-18
2.870098E+03	2.831962E-17	1.117659E-18
2.909961E+03	3.003785E-17	1.171928E-18
2.949823E+03	3.193408E-17	1.231239E-18
2.989686E+03	3.401668E-17	1.295615E-18
2.999651E+03	3.456886E-17	1.312555E-18
3.009617E+03	3.513999E-17	1.330063E-18
3.019582E+03	3.572393E-17	1.347898E-18
3.029548E+03	3.632138E-17	1.366084E-18
3.039514E+03	3.694092E-17	1.384933E-18
3.049479E+03	3.757836E-17	1.404283E-18
3.059445E+03	3.823396E-17	1.424133E-18
3.069411E+03	3.891422E-17	1.444719E-18
3.079376E+03	3.961912E-17	1.466029E-18
3.089342E+03	4.034195E-17	1.487806E-18
3.099307E+03	4.108945E-17	1.510289E-18
3.109273E+03	4.186170E-17	1.533471E-18
3.119239E+03	4.265198E-17	1.557096E-18
3.129204E+03	4.346722E-17	1.581409E-18
3.139170E+03	4.430763E-17	1.606406E-18
3.149135E+03	4.517342E-17	1.632085E-18
3.159101E+03	4.606486E-17	1.658443E-18
3.169067E+03	4.698221E-17	1.685479E-18
3.179032E+03	4.792578E-17	1.713193E-18
3.188998E+03	4.888876E-17	1.741331E-18
3.198964E+03	4.989297E-17	1.770658E-18
3.208929E+03	5.091730E-17	1.800410E-18
3.218895E+03	5.197667E-17	1.831102E-18
3.228860E+03	5.305686E-17	1.862222E-18
3.238826E+03	5.418051E-17	1.894551E-18
3.248792E+03	5.533338E-17	1.927573E-18
3.258757E+03	5.651597E-17	1.961293E-18
3.268723E+03	5.773639E-17	1.995977E-18
3.278689E+03	5.899531E-17	2.031633E-18
3.288654E+03	6.028573E-17	2.068002E-18
3.298620E+03	6.161606E-17	2.105357E-18
3.308585E+03	6.298693E-17	2.143701E-18
3.318551E+03	6.439916E-17	2.183044E-18
3.328517E+03	6.585351E-17	2.223393E-18
3.338482E+03	6.735878E-17	2.265024E-18
3.348448E+03	6.889991E-17	2.307411E-18
3.358413E+03	7.049373E-17	2.351096E-18
3.368379E+03	7.213310E-17	2.395820E-18
3.378345E+03	7.382707E-17	2.441860E-18
3.388310E+03	7.557673E-17	2.489227E-18
3.398276E+03	7.737480E-17	2.537657E-18
3.408242E+03	7.923063E-17	2.587432E-18
3.418207E+03	8.114518E-17	2.638556E-18
3.428173E+03	8.311966E-17	2.691042E-18
3.438138E+03	8.515511E-17	2.744895E-18
3.448104E+03	8.725262E-17	2.800122E-18
3.458070E+03	8.942200E-17	2.857006E-18
3.468035E+03	9.166453E-17	2.915556E-18
3.478001E+03	9.397268E-17	2.975497E-18
3.487967E+03	9.634764E-17	3.036836E-18
3.497932E+03	9.880818E-17	3.100131E-18
3.507898E+03	1.013468E-16	3.165107E-18
3.517863E+03	1.039647E-16	3.231767E-18
3.527829E+03	1.066632E-16	3.300108E-18
3.537795E+03	1.094525E-16	3.370410E-18
3.547760E+03	1.123247E-16	3.442387E-18
3.557726E+03	1.152995E-16	3.516601E-18
3.567691E+03	1.183596E-16	3.592475E-18
3.577657E+03	1.215153E-16	3.670281E-18
3.587623E+03	1.247676E-16	3.750006E-18
3.597588E+03	1.281271E-16	3.831915E-18
3.607554E+03	1.315852E-16	3.915705E-18
3.617520E+03	1.351523E-16	4.001635E-18
3.627485E+03	1.388293E-16	4.089676E-18
3.637451E+03	1.426167E-16	4.179793E-18
3.647416E+03	1.465149E-16	4.271945E-18
3.657382E+03	1.505243E-16	4.366087E-18
3.667348E+03	1.546550E-16	4.462455E-18
3.677313E+03	1.588967E-16	4.560699E-18
3.687279E+03	1.632593E-16	4.661043E-18
3.697245E+03	1.677422E-16	4.763413E-18
3.707210E+03	1.723444E-16	4.867722E-18
3.717176E+03	1.770647E-16	4.973879E-18
3.727141E+03	1.819119E-16	5.082072E-18
3.737107E+03	1.868738E-16	5.191896E-18
3.747073E+03	1.919584E-16	5.303519E-18
3.757038E+03	1.971629E-16	5.416803E-18
3.767004E+03	2.024733E-16	5.531307E-18
3.776969E+03	2.079072E-16	5.647457E-18
3.786935E+03	2.134604E-16	5.765080E-18
3.796901E+03	2.191062E-16	5.883397E-18
3.806866E+03	2.248719E-16	6.003092E-18
3.816832E+03	2.307292E-16	6.123361E-18
3.826798E+03	2.366826E-16	6.244269E-18
3.836763E+03	2.427247E-16	6.365577E-18
3.846729E+03	2.488471E-16	6.487027E-18
3.856694E+03	2.550413E-16	6.608355E-18
3.866660E+03	2.613090E-16	6.729574E-18
3.876626E+03	2.676404E-16	6.850391E-18
3.886591E+03	2.740135E-16	6.970222E-18
3.896557E+03	2.804285E-16	7.089049E-18
3.906522E+03	2.868738E-16	7.206563E-18
3.916488E+03	2.933487E-16	7.322729E-18
3.926454E+03	2.998179E-16	7.436662E-18
3.936419E+03	3.062802E-16	7.548337E-18
3.946385E+03	3.127341E-16	7.657718E-18
3.956351E+03	3.191551E-16	7.764222E-18
3.966316E+03	3.255305E-16	7.867557E-18
3.976282E+03	3.318590E-16	7.967716E-18
3.986247E+03	3.381281E-16	8.064431E-18
3.996213E+03	3.443147E-16	8.157185E-18
4.006179E+03	3.504075E-16	8.245758E-18
4.016144E+03	3.564186E-16	8.330482E-18
4.026110E+03	3.623047E-16	8.410398E-18
4.036076E+03	3.680797E-16	8.485892E-18
4.046041E+03	3.737362E-16	8.556857E-18
4.056007E+03	3.792569E-16	8.622964E-18
4.065972E+03	3.846483E-16	8.684432E-18
4.075938E+03	3.898961E-16	8.741013E-18
4.085904E+03	3.949988E-16	8.792749E-18
4.095869E+03	3.999562E-16	8.839720E-18
4.105835E+03	4.047701E-16	8.882039E-18
4.115800E+03	4.094436E-16	8.919858E-18
4.125766E+03	4.139711E-16	8.953133E-18
4.135732E+03	4.183591E-16	8.982085E-18
4.145697E+03	4.226260E-16	9.007187E-18
4.155663E+03	4.267709E-16	9.028490E-18
4.165629E+03	4.307945E-16	9.046080E-18
4.175594E+03	4.347092E-16	9.060289E-18
4.185560E+03	4.385384E-16	9.071665E-18
4.195525E+03	4.422669E-16	9.079954E-18
4.205491E+03	4.459397E-16	9.086136E-18
4.215457E+03	4.495343E-16	9.089801E-18
4.225422E+03	4.530969E-16	9.091928E-18
4.235388E+03	4.566167E-16	9.092336E-18
4.245354E+03	4.601217E-16	9.091619E-18
4.255319E+03	4.636124E-16	9.089811E-18
4.265285E+03	4.671175E-16	9.087499E-18
4.275250E+03	4.706475E-16	9.084904E-18
4.285216E+03	4.742050E-16	9.082081E-18
4.295182E+03	4.778283E-16	9.079772E-18
4.305147E+03	4.815115E-16	9.077862E-18
4.315113E+03	4.852847E-16	9.076910E-18
4.325078E+03	4.891603E-16	9.077132E-18
4.335044E+03	4.931423E-16	9.078588E-18
4.345010E+03	4.972606E-16	9.081804E-18
4.354975E+03	5.015194E-16	9.086825E-18
4.364941E+03	5.059308E-16	9.093841E-18
4.374907E+03	5.105232E-16	9.103325E-18
4.384872E+03	5.152905E-16	9.115128E-18
4.394838E+03	5.202592E-16	9.129676E-18
4.404803E+03	5.254299E-16	9.146931E-18
4.414769E+03	5.308184E-16	9.167126E-18
4.424735E+03	5.364155E-16	9.190052E-18
4.434700E+03	5.422433E-16	9.216046E-18
4.444666E+03	5.483067E-16	9.245140E-18
4.454632E+03	5.545932E-16	9.277081E-18
4.464597E+03	5.611298E-16	9.312280E-18
4.474563E+03	5.679095E-16	9.350576E-18
4.484528E+03	5.749323E-16	9.391930E-18
4.494494E+03	5.822127E-16	9.436542E-18
4.504460E+03	5.897469E-16	9.484310E-18
4.514425E+03	5.975375E-16	9.535229E-18
4.524391E+03	6.055772E-16	9.589139E-18
4.534356E+03	6.138655E-16	9.645993E-18
4.544322E+03	6.224002E-16	9.705722E-18
4.554288E+03	6.311692E-16	9.768106E-18
4.564253E+03	6.401772E-16	9.833195E-18
4.574219E+03	6.494091E-16	9.900738E-18
4.584185E+03	6.588596E-16	9.970644E-18
4.594150E+03	6.685115E-16	1.004265E-17
4.604116E+03	6.783754E-16	1.011691E-17
4.614081E+03	6.884263E-16	1.019305E-17
4.624047E+03	6.986564E-16	1.027099E-17
4.634013E+03	7.090654E-16	1.035073E-17
4.643978E+03	7.196473E-16	1.043222E-17
4.653944E+03	7.303843E-16	1.051522E-17
4.663910E+03	7.412791E-16	1.059981E-17
4.673875E+03	7.523143E-16	1.068578E-17
4.683841E+03	7.634928E-16	1.077323E-17
4.693806E+03	7.748046E-16	1.086207E-17
4.703772E+03	7.862417E-16	1.095224E-17
4.713738E+03	7.977938E-16	1.104366E-17
