#wls	flux	fluxerr
1.600000E+03	7.625954E-18	1.131647E-18
1.640000E+03	7.825405E-18	1.155957E-18
1.680000E+03	8.032947E-18	1.181045E-18
1.720000E+03	8.251034E-18	1.207240E-18
1.760000E+03	8.472834E-18	1.233508E-18
1.800000E+03	8.705418E-18	1.260852E-18
1.840000E+03	8.946586E-18	1.288913E-18
1.880000E+03	9.196425E-18	1.317668E-18
1.920000E+03	9.455008E-18	1.347087E-18
1.960000E+03	9.719948E-18	1.376793E-18
2.000000E+03	9.996157E-18	1.407441E-18
2.040000E+03	1.028124E-17	1.438647E-18
2.080000E+03	1.057768E-17	1.470712E-18
2.120000E+03	1.088043E-17	1.502885E-18
2.160000E+03	1.119448E-17	1.535810E-18
2.200000E+03	1.151719E-17	1.569069E-18
2.240000E+03	1.184841E-17	1.602593E-18
2.280000E+03	1.219057E-17	1.636654E-18
2.320000E+03	1.254349E-17	1.671169E-18
2.360000E+03	1.290424E-17	1.705688E-18
2.400000E+03	1.327515E-17	1.740462E-18
2.440000E+03	1.365314E-17	1.775024E-18
2.480000E+03	1.404317E-17	1.809959E-18
2.520000E+03	1.443927E-17	1.844430E-18
2.560000E+03	1.484633E-17	1.879001E-18
2.600000E+03	1.526091E-17	1.913165E-18
2.640000E+03	1.568502E-17	1.947110E-18
2.680000E+03	1.611783E-17	1.980660E-18
2.720000E+03	1.655838E-17	2.013627E-18
2.760000E+03	1.700845E-17	2.046157E-18
2.800000E+03	1.746403E-17	2.077695E-18
2.840000E+03	1.793244E-17	2.109039E-18
2.880000E+03	1.840654E-17	2.139264E-18
2.920000E+03	1.889057E-17	2.168794E-18
2.960000E+03	1.938577E-17	2.197683E-18
3.000000E+03	1.989036E-17	2.225639E-18
3.010000E+03	2.001847E-17	2.232528E-18
3.020000E+03	2.014556E-17	2.239173E-18
3.030000E+03	2.027450E-17	2.245892E-18
3.040000E+03	2.040526E-17	2.252680E-18
3.050000E+03	2.053490E-17	2.259210E-18
3.060000E+03	2.066630E-17	2.265798E-18
3.070000E+03	2.079940E-17	2.272436E-18
3.080000E+03	2.093128E-17	2.278803E-18
3.090000E+03	2.106480E-17	2.285209E-18
3.100000E+03	2.119993E-17	2.291649E-18
3.110000E+03	2.133372E-17	2.297803E-18
3.120000E+03	2.147193E-17	2.304289E-18
3.130000E+03	2.160872E-17	2.310479E-18
3.140000E+03	2.174697E-17	2.316677E-18
3.150000E+03	2.188374E-17	2.322571E-18
3.160000E+03	2.202474E-17	2.328766E-18
3.170000E+03	2.216418E-17	2.334645E-18
3.180000E+03	2.230490E-17	2.340508E-18
3.190000E+03	2.244972E-17	2.346648E-18
3.200000E+03	2.259285E-17	2.352456E-18
3.210000E+03	2.273713E-17	2.358227E-18
3.220000E+03	2.288249E-17	2.363954E-18
3.230000E+03	2.302890E-17	2.369629E-18
3.240000E+03	2.317632E-17	2.375247E-18
3.250000E+03	2.332468E-17	2.380800E-18
3.260000E+03	2.347680E-17	2.386572E-18
3.270000E+03	2.362691E-17	2.391974E-18
3.280000E+03	2.377784E-17	2.397292E-18
3.290000E+03	2.393236E-17	2.402802E-18
3.300000E+03	2.408758E-17	2.408212E-18
3.310000E+03	2.424345E-17	2.413514E-18
3.320000E+03	2.439992E-17	2.418702E-18
3.330000E+03	2.455975E-17	2.424047E-18
3.340000E+03	2.472008E-17	2.429263E-18
3.350000E+03	2.488084E-17	2.434341E-18
3.360000E+03	2.504480E-17	2.439550E-18
3.370000E+03	2.520909E-17	2.444608E-18
3.380000E+03	2.537366E-17	2.449507E-18
3.390000E+03	2.554125E-17	2.454510E-18
3.400000E+03	2.570902E-17	2.459342E-18
3.410000E+03	2.587967E-17	2.464259E-18
3.420000E+03	2.605040E-17	2.468990E-18
3.430000E+03	2.622667E-17	2.474049E-18
3.440000E+03	2.640014E-17	2.478647E-18
3.450000E+03	2.657901E-17	2.483551E-18
3.460000E+03	2.675774E-17	2.488239E-18
3.470000E+03	2.693629E-17	2.492707E-18
3.480000E+03	2.712005E-17	2.497450E-18
3.490000E+03	2.730351E-17	2.501958E-18
3.500000E+03	2.748936E-17	2.506474E-18
3.510000E+03	2.767752E-17	2.510987E-18
3.520000E+03	2.786796E-17	2.515490E-18
3.530000E+03	2.806060E-17	2.519974E-18
3.540000E+03	2.825542E-17	2.524432E-18
3.550000E+03	2.845235E-17	2.528855E-18
3.560000E+03	2.865136E-17	2.533236E-18
3.570000E+03	2.885240E-17	2.537568E-18
3.580000E+03	2.905544E-17	2.541845E-18
3.590000E+03	2.926307E-17	2.546289E-18
3.600000E+03	2.947001E-17	2.550436E-18
3.610000E+03	2.968147E-17	2.554735E-18
3.620000E+03	2.989480E-17	2.558952E-18
3.630000E+03	3.011259E-17	2.563304E-18
3.640000E+03	3.033220E-17	2.567562E-18
3.650000E+03	3.055366E-17	2.571725E-18
3.660000E+03	3.077951E-17	2.576001E-18
3.670000E+03	3.100719E-17	2.580173E-18
3.680000E+03	3.123926E-17	2.584449E-18
3.690000E+03	3.147319E-17	2.588613E-18
3.700000E+03	3.171154E-17	2.592872E-18
3.710000E+03	3.195432E-17	2.597220E-18
3.720000E+03	3.219906E-17	2.601451E-18
3.730000E+03	3.245081E-17	2.605967E-18
3.740000E+03	3.270462E-17	2.610364E-18
3.750000E+03	3.296059E-17	2.614645E-18
3.760000E+03	3.322374E-17	2.619202E-18
3.770000E+03	3.349167E-17	2.623839E-18
3.780000E+03	3.376205E-17	2.628365E-18
3.790000E+03	3.403989E-17	2.633164E-18
3.800000E+03	3.432045E-17	2.637861E-18
3.810000E+03	3.460874E-17	2.642836E-18
3.820000E+03	3.490248E-17	2.647903E-18
3.830000E+03	3.520189E-17	2.653070E-18
3.840000E+03	3.550716E-17	2.658344E-18
3.850000E+03	3.581853E-17	2.663735E-18
3.860000E+03	3.613863E-17	2.669426E-18
3.870000E+03	3.646536E-17	2.675252E-18
3.880000E+03	3.679903E-17	2.681226E-18
3.890000E+03	3.714232E-17	2.687531E-18
3.900000E+03	3.749323E-17	2.694010E-18
3.910000E+03	3.785451E-17	2.700847E-18
3.920000E+03	3.822424E-17	2.707892E-18
3.930000E+03	3.860292E-17	2.715167E-18
3.940000E+03	3.899563E-17	2.723016E-18
3.950000E+03	3.939601E-17	2.730975E-18
3.960000E+03	3.981155E-17	2.739550E-18
3.970000E+03	4.023827E-17	2.748447E-18
3.980000E+03	4.067689E-17	2.757698E-18
3.990000E+03	4.113039E-17	2.767487E-18
4.000000E+03	4.160184E-17	2.777999E-18
4.010000E+03	4.208526E-17	2.788810E-18
4.020000E+03	4.258837E-17	2.800411E-18
4.030000E+03	4.310758E-17	2.812541E-18
4.040000E+03	4.364621E-17	2.825390E-18
4.050000E+03	4.420536E-17	2.839002E-18
4.060000E+03	4.478621E-17	2.853422E-18
4.070000E+03	4.538776E-17	2.868557E-18
