#wls	flux	fluxerr
1.584158E+03	-2.003088E-04	-0.000000E+00
1.623762E+03	-2.023798E-04	-0.000000E+00
1.663366E+03	-2.045940E-04	-0.000000E+00
1.702970E+03	-2.069602E-04	-0.000000E+00
1.742574E+03	-2.094877E-04	-0.000000E+00
1.782178E+03	-2.121862E-04	-0.000000E+00
1.821782E+03	-2.150654E-04	-0.000000E+00
1.861386E+03	-2.181354E-04	-0.000000E+00
1.900990E+03	-2.214066E-04	-0.000000E+00
1.940594E+03	-2.248893E-04	-0.000000E+00
1.980198E+03	-2.285938E-04	-0.000000E+00
2.019802E+03	-2.325300E-04	-0.000000E+00
2.059406E+03	-2.367075E-04	-0.000000E+00
2.099010E+03	-2.411350E-04	-0.000000E+00
2.138614E+03	-2.458205E-04	-0.000000E+00
2.178218E+03	-2.507701E-04	-0.000000E+00
2.217822E+03	-2.559882E-04	-0.000000E+00
2.257426E+03	-2.614768E-04	-0.000000E+00
2.297030E+03	-2.672345E-04	-0.000000E+00
2.336634E+03	-2.732560E-04	-0.000000E+00
2.376238E+03	-2.795312E-04	-0.000000E+00
2.415842E+03	-2.860441E-04	-0.000000E+00
2.455446E+03	-2.927716E-04	-0.000000E+00
2.495050E+03	-2.996825E-04	-0.000000E+00
2.534653E+03	-3.067359E-04	-0.000000E+00
2.574257E+03	-3.138804E-04	-0.000000E+00
2.613861E+03	-3.210524E-04	-0.000000E+00
2.653465E+03	-3.281756E-04	-0.000000E+00
2.693069E+03	-3.351599E-04	-0.000000E+00
2.732673E+03	-3.419018E-04	-0.000000E+00
2.772277E+03	-3.482855E-04	-0.000000E+00
2.811881E+03	-3.541836E-04	-0.000000E+00
2.851485E+03	-3.594616E-04	-0.000000E+00
2.891089E+03	-3.639824E-04	-0.000000E+00
2.930693E+03	-3.676137E-04	-0.000000E+00
2.970297E+03	-3.702352E-04	-0.000000E+00
2.980198E+03	-3.707212E-04	-0.000000E+00
2.990099E+03	-3.711364E-04	-0.000000E+00
3.000000E+03	-3.714805E-04	-0.000000E+00
3.009901E+03	-3.717520E-04	-0.000000E+00
3.019802E+03	-3.719505E-04	-0.000000E+00
3.029703E+03	-3.720753E-04	-0.000000E+00
3.039604E+03	-3.721265E-04	-0.000000E+00
3.049505E+03	-3.721035E-04	-0.000000E+00
3.059406E+03	-3.720068E-04	-0.000000E+00
3.069307E+03	-3.718365E-04	-0.000000E+00
3.079208E+03	-3.715932E-04	-0.000000E+00
3.089109E+03	-3.712779E-04	-0.000000E+00
3.099010E+03	-3.708915E-04	-0.000000E+00
3.108911E+03	-3.704353E-04	-0.000000E+00
3.118812E+03	-3.699112E-04	-0.000000E+00
3.128713E+03	-3.693206E-04	-0.000000E+00
3.138614E+03	-3.686662E-04	-0.000000E+00
3.148515E+03	-3.679498E-04	-0.000000E+00
3.158416E+03	-3.671748E-04	-0.000000E+00
3.168317E+03	-3.663431E-04	-0.000000E+00
3.178218E+03	-3.654589E-04	-0.000000E+00
3.188119E+03	-3.645247E-04	-0.000000E+00
3.198020E+03	-3.635448E-04	-0.000000E+00
3.207921E+03	-3.625226E-04	-0.000000E+00
3.217822E+03	-3.614620E-04	-0.000000E+00
3.227723E+03	-3.603675E-04	-0.000000E+00
3.237624E+03	-3.592429E-04	-0.000000E+00
3.247525E+03	-3.580927E-04	-0.000000E+00
3.257426E+03	-3.569213E-04	-0.000000E+00
3.267327E+03	-3.557327E-04	-0.000000E+00
3.277228E+03	-3.545316E-04	-0.000000E+00
3.287129E+03	-3.533218E-04	-0.000000E+00
3.297030E+03	-3.521075E-04	-0.000000E+00
3.306931E+03	-3.508923E-04	-0.000000E+00
3.316832E+03	-3.496797E-04	-0.000000E+00
3.326733E+03	-3.484725E-04	-0.000000E+00
3.336634E+03	-3.472736E-04	-0.000000E+00
3.346535E+03	-3.460853E-04	-0.000000E+00
3.356436E+03	-3.449085E-04	-0.000000E+00
3.366337E+03	-3.437438E-04	-0.000000E+00
3.376238E+03	-3.425917E-04	-0.000000E+00
3.386139E+03	-3.414511E-04	-0.000000E+00
3.396040E+03	-3.403197E-04	-0.000000E+00
3.405941E+03	-3.391951E-04	-0.000000E+00
3.415842E+03	-3.380734E-04	-0.000000E+00
3.425743E+03	-3.369488E-04	-0.000000E+00
3.435644E+03	-3.358158E-04	-0.000000E+00
3.445545E+03	-3.346672E-04	-0.000000E+00
3.455446E+03	-3.334943E-04	-0.000000E+00
3.465347E+03	-3.322877E-04	-0.000000E+00
3.475248E+03	-3.310376E-04	-0.000000E+00
3.485149E+03	-3.297327E-04	-0.000000E+00
