#wls	flux	fluxerr
1.584158E+03	3.009186E-04	2.921224E-07
1.623762E+03	3.240342E-04	3.145624E-07
1.663366E+03	3.450596E-04	3.349731E-07
1.702970E+03	3.632372E-04	3.526193E-07
1.742574E+03	3.777040E-04	3.666632E-07
1.782178E+03	3.867782E-04	3.754722E-07
1.821782E+03	3.884700E-04	3.771146E-07
1.861386E+03	3.808334E-04	3.697011E-07
1.900990E+03	3.624629E-04	3.518677E-07
1.940594E+03	3.336417E-04	3.238889E-07
1.980198E+03	2.973785E-04	2.886858E-07
2.019802E+03	2.597580E-04	2.521650E-07
2.059406E+03	2.289494E-04	2.222569E-07
2.099010E+03	2.125910E-04	2.063766E-07
2.138614E+03	2.165040E-04	2.101752E-07
2.178218E+03	2.451533E-04	2.379871E-07
2.217822E+03	3.027808E-04	2.939300E-07
2.257426E+03	3.932392E-04	3.817442E-07
2.297030E+03	5.189207E-04	5.037517E-07
2.336634E+03	6.803439E-04	6.604561E-07
2.376238E+03	8.766790E-04	8.510517E-07
2.415842E+03	1.106927E-03	1.074568E-06
2.455446E+03	1.370634E-03	1.330567E-06
2.495050E+03	1.668198E-03	1.619431E-06
2.534653E+03	2.000866E-03	1.942373E-06
2.574257E+03	2.370551E-03	2.301248E-06
2.613861E+03	2.779552E-03	2.698290E-06
2.653465E+03	3.230239E-03	3.135797E-06
2.693069E+03	3.724266E-03	3.615374E-06
2.732673E+03	4.262962E-03	4.138311E-06
2.772277E+03	4.846066E-03	4.704355E-06
2.811881E+03	5.471104E-03	5.311098E-06
2.851485E+03	6.133880E-03	5.954469E-06
2.891089E+03	6.828179E-03	6.628430E-06
2.930693E+03	7.547784E-03	7.326942E-06
2.970297E+03	8.284287E-03	8.041841E-06
2.980198E+03	8.469987E-03	8.222091E-06
2.990099E+03	8.655854E-03	8.402500E-06
3.000000E+03	8.841810E-03	8.582995E-06
3.009901E+03	9.028081E-03	8.763794E-06
3.019802E+03	9.216309E-03	8.946491E-06
3.029703E+03	9.408519E-03	9.133051E-06
3.039604E+03	9.604136E-03	9.322917E-06
3.049505E+03	9.802145E-03	9.515102E-06
3.059406E+03	1.000221E-02	9.709281E-06
3.069307E+03	1.020332E-02	9.904471E-06
3.079208E+03	1.040515E-02	1.010036E-05
3.089109E+03	1.060671E-02	1.029598E-05
3.099010E+03	1.080769E-02	1.049104E-05
3.108911E+03	1.100712E-02	1.068458E-05
3.118812E+03	1.120448E-02	1.087612E-05
3.128713E+03	1.139930E-02	1.106519E-05
