#wls	flux	fluxerr
1.600000E+03	1.137832E-17	0.000000E+00
1.640000E+03	1.146465E-17	0.000000E+00
1.680000E+03	1.155675E-17	0.000000E+00
1.720000E+03	1.165483E-17	0.000000E+00
1.760000E+03	1.175704E-17	0.000000E+00
1.800000E+03	1.186561E-17	0.000000E+00
1.840000E+03	1.197866E-17	0.000000E+00
1.880000E+03	1.210052E-17	0.000000E+00
1.920000E+03	1.222725E-17	0.000000E+00
1.960000E+03	1.236110E-17	0.000000E+00
2.000000E+03	1.250014E-17	0.000000E+00
2.040000E+03	1.264879E-17	0.000000E+00
2.080000E+03	1.280295E-17	0.000000E+00
2.120000E+03	1.296490E-17	0.000000E+00
2.160000E+03	1.313699E-17	0.000000E+00
2.200000E+03	1.331496E-17	0.000000E+00
2.240000E+03	1.350108E-17	0.000000E+00
2.280000E+03	1.369544E-17	0.000000E+00
2.320000E+03	1.389809E-17	0.000000E+00
2.360000E+03	1.410900E-17	0.000000E+00
2.400000E+03	1.433052E-17	0.000000E+00
2.440000E+03	1.455790E-17	0.000000E+00
2.480000E+03	1.479573E-17	0.000000E+00
2.520000E+03	1.503911E-17	0.000000E+00
2.560000E+03	1.529261E-17	0.000000E+00
2.600000E+03	1.555360E-17	0.000000E+00
2.640000E+03	1.582424E-17	0.000000E+00
2.680000E+03	1.609922E-17	0.000000E+00
2.720000E+03	1.638313E-17	0.000000E+00
2.760000E+03	1.667305E-17	0.000000E+00
2.800000E+03	1.697111E-17	0.000000E+00
2.840000E+03	1.727421E-17	0.000000E+00
2.880000E+03	1.758187E-17	0.000000E+00
2.920000E+03	1.789356E-17	0.000000E+00
2.960000E+03	1.821153E-17	0.000000E+00
3.000000E+03	1.853263E-17	0.000000E+00
3.010000E+03	1.861362E-17	0.000000E+00
3.020000E+03	1.869458E-17	0.000000E+00
3.030000E+03	1.877554E-17	0.000000E+00
3.040000E+03	1.885929E-17	0.000000E+00
3.050000E+03	1.894022E-17	0.000000E+00
3.060000E+03	1.902111E-17	0.000000E+00
3.070000E+03	1.910480E-17	0.000000E+00
3.080000E+03	1.918846E-17	0.000000E+00
3.090000E+03	1.926926E-17	0.000000E+00
3.100000E+03	1.935284E-17	0.000000E+00
3.110000E+03	1.943641E-17	0.000000E+00
