#wls	flux	fluxerr
1.600000E+03	5.243915E-17	4.018393E-17
1.640000E+03	5.318298E-17	4.072619E-17
1.680000E+03	5.399069E-17	4.131266E-17
1.720000E+03	5.487743E-17	4.195410E-17
1.760000E+03	5.585943E-17	4.266195E-17
1.800000E+03	5.693297E-17	4.343223E-17
1.840000E+03	5.810513E-17	4.426899E-17
1.880000E+03	5.939461E-17	4.518493E-17
1.920000E+03	6.081058E-17	4.618515E-17
1.960000E+03	6.235175E-17	4.726648E-17
2.000000E+03	6.406348E-17	4.846073E-17
2.040000E+03	6.592386E-17	4.974824E-17
2.080000E+03	6.798225E-17	5.116266E-17
2.120000E+03	7.023042E-17	5.269349E-17
2.160000E+03	7.271061E-17	5.436739E-17
2.200000E+03	7.544318E-17	5.619351E-17
2.240000E+03	7.843696E-17	5.817135E-17
2.280000E+03	8.174340E-17	6.033070E-17
2.320000E+03	8.539081E-17	6.268242E-17
2.360000E+03	8.941019E-17	6.523748E-17
2.400000E+03	9.385083E-17	6.801794E-17
2.440000E+03	9.875106E-17	7.103516E-17
2.480000E+03	1.041689E-16	7.431158E-17
2.520000E+03	1.101504E-16	7.785752E-17
2.560000E+03	1.167626E-16	8.169398E-17
2.600000E+03	1.240774E-16	8.584075E-17
2.640000E+03	1.321716E-16	9.031543E-17
2.680000E+03	1.411256E-16	9.513225E-17
2.720000E+03	1.510219E-16	1.003006E-16
2.760000E+03	1.619200E-16	1.058084E-16
2.800000E+03	1.739418E-16	1.116786E-16
2.840000E+03	1.871346E-16	1.178796E-16
2.880000E+03	2.016025E-16	1.244122E-16
2.920000E+03	2.173801E-16	1.312308E-16
2.960000E+03	2.344941E-16	1.382871E-16
3.000000E+03	2.529262E-16	1.455115E-16
3.010000E+03	2.577553E-16	1.473465E-16
3.020000E+03	2.626410E-16	1.491736E-16
3.030000E+03	2.676100E-16	1.510074E-16
3.040000E+03	2.726590E-16	1.528456E-16
3.050000E+03	2.777534E-16	1.546684E-16
3.060000E+03	2.829506E-16	1.565076E-16
3.070000E+03	2.881843E-16	1.583260E-16
3.080000E+03	2.934802E-16	1.601382E-16
3.090000E+03	2.988651E-16	1.619583E-16
3.100000E+03	3.042696E-16	1.637489E-16
3.110000E+03	3.097515E-16	1.655415E-16
3.120000E+03	3.152722E-16	1.673156E-16
3.130000E+03	3.208246E-16	1.690678E-16
3.140000E+03	3.264009E-16	1.707948E-16
3.150000E+03	3.320265E-16	1.725104E-16
3.160000E+03	3.376599E-16	1.741939E-16
3.170000E+03	3.433259E-16	1.758589E-16
3.180000E+03	3.489817E-16	1.774846E-16
3.190000E+03	3.546175E-16	1.790671E-16
3.200000E+03	3.602918E-16	1.806373E-16
3.210000E+03	3.659262E-16	1.821568E-16
3.220000E+03	3.715442E-16	1.836391E-16
3.230000E+03	3.771354E-16	1.850804E-16
3.240000E+03	3.826886E-16	1.864767E-16
3.250000E+03	3.881580E-16	1.878075E-16
3.260000E+03	3.936016E-16	1.891027E-16
3.270000E+03	3.989735E-16	1.903417E-16
3.280000E+03	4.042620E-16	1.915209E-16
3.290000E+03	4.094909E-16	1.926532E-16
3.300000E+03	4.146137E-16	1.937187E-16
3.310000E+03	4.196195E-16	1.947141E-16
3.320000E+03	4.245670E-16	1.956686E-16
3.330000E+03	4.293410E-16	1.965306E-16
3.340000E+03	4.340358E-16	1.973454E-16
3.350000E+03	4.385718E-16	1.980785E-16
3.360000E+03	4.429745E-16	1.987432E-16
3.370000E+03	4.472351E-16	1.993372E-16
3.380000E+03	4.513796E-16	1.998736E-16
3.390000E+03	4.553317E-16	2.003202E-16
3.400000E+03	4.591531E-16	2.007058E-16
3.410000E+03	4.628033E-16	2.010139E-16
3.420000E+03	4.663107E-16	2.012582E-16
3.430000E+03	4.696702E-16	2.014376E-16
3.440000E+03	4.728446E-16	2.015373E-16
3.450000E+03	4.758638E-16	2.015711E-16
3.460000E+03	4.787254E-16	2.015389E-16
3.470000E+03	4.814276E-16	2.014406E-16
3.480000E+03	4.840012E-16	2.012898E-16
3.490000E+03	4.863820E-16	2.010603E-16
3.500000E+03	4.886339E-16	2.007790E-16
3.510000E+03	4.907573E-16	2.004462E-16
3.520000E+03	4.927225E-16	2.000499E-16
3.530000E+03	4.945623E-16	1.996034E-16
3.540000E+03	4.962787E-16	1.991074E-16
3.550000E+03	4.978743E-16	1.985626E-16
3.560000E+03	4.993813E-16	1.979813E-16
3.570000E+03	5.007448E-16	1.973411E-16
3.580000E+03	5.020264E-16	1.966657E-16
3.590000E+03	5.032292E-16	1.959555E-16
3.600000E+03	5.043294E-16	1.952001E-16
3.610000E+03	5.053589E-16	1.944109E-16
3.620000E+03	5.063487E-16	1.935985E-16
3.630000E+03	5.072493E-16	1.927429E-16
3.640000E+03	5.080927E-16	1.918547E-16
3.650000E+03	5.089094E-16	1.909442E-16
3.660000E+03	5.097035E-16	1.900114E-16
3.670000E+03	5.104548E-16	1.890472E-16
3.680000E+03	5.111936E-16	1.880612E-16
3.690000E+03	5.119249E-16	1.870539E-16
3.700000E+03	5.126542E-16	1.860255E-16
3.710000E+03	5.134104E-16	1.849850E-16
3.720000E+03	5.141529E-16	1.839161E-16
3.730000E+03	5.149340E-16	1.828360E-16
3.740000E+03	5.157595E-16	1.817451E-16
3.750000E+03	5.166352E-16	1.806437E-16
3.760000E+03	5.175461E-16	1.795250E-16
3.770000E+03	5.185419E-16	1.784046E-16
3.780000E+03	5.195868E-16	1.772684E-16
3.790000E+03	5.207297E-16	1.761314E-16
3.800000E+03	5.219567E-16	1.749872E-16
3.810000E+03	5.232949E-16	1.738428E-16
3.820000E+03	5.247313E-16	1.726922E-16
3.830000E+03	5.262926E-16	1.715420E-16
3.840000E+03	5.279851E-16	1.703922E-16
