#wls	flux	fluxerr
1.593911E+03	1.272567E-04	7.137435E-06
1.633759E+03	1.280973E-04	7.161835E-06
1.673607E+03	1.291039E-04	7.194679E-06
1.713455E+03	1.302796E-04	7.236040E-06
1.753302E+03	1.316284E-04	7.286016E-06
1.793150E+03	1.330970E-04	7.341558E-06
1.832998E+03	1.348053E-04	7.409161E-06
1.872846E+03	1.367016E-04	7.485826E-06
1.912694E+03	1.387925E-04	7.571770E-06
1.952541E+03	1.411433E-04	7.670397E-06
1.992389E+03	1.437049E-04	7.778849E-06
2.032237E+03	1.466038E-04	7.903777E-06
2.072085E+03	1.497351E-04	8.039293E-06
2.111932E+03	1.531703E-04	8.189026E-06
2.151780E+03	1.569843E-04	8.356706E-06
2.191628E+03	1.611955E-04	8.543006E-06
2.231476E+03	1.658254E-04	8.748717E-06
2.271324E+03	1.708980E-04	8.974757E-06
2.311171E+03	1.764411E-04	9.222190E-06
2.351019E+03	1.825482E-04	9.495462E-06
2.390867E+03	1.891944E-04	9.792796E-06
2.430715E+03	1.965476E-04	1.012235E-05
2.470562E+03	2.044663E-04	1.047624E-05
2.510410E+03	2.131967E-04	1.086649E-05
2.550258E+03	2.227387E-04	1.129235E-05
2.590106E+03	2.331641E-04	1.175669E-05
2.629954E+03	2.445547E-04	1.226279E-05
2.669801E+03	2.570728E-04	1.281781E-05
2.709649E+03	2.708992E-04	1.342967E-05
2.749497E+03	2.860154E-04	1.409623E-05
2.789345E+03	3.027811E-04	1.483385E-05
2.829192E+03	3.212879E-04	1.564544E-05
2.869040E+03	3.417191E-04	1.653820E-05
2.908888E+03	3.644441E-04	1.752806E-05
2.948736E+03	3.896233E-04	1.862047E-05
2.988584E+03	4.176082E-04	1.982977E-05
2.998546E+03	4.251075E-04	2.015312E-05
3.008508E+03	4.328452E-04	2.048653E-05
3.018469E+03	4.407382E-04	2.082603E-05
3.028431E+03	4.488801E-04	2.117599E-05
3.038393E+03	4.571867E-04	2.153239E-05
3.048355E+03	4.657538E-04	2.189969E-05
3.058317E+03	4.745881E-04	2.227816E-05
3.068279E+03	4.836029E-04	2.266365E-05
3.078241E+03	4.928970E-04	2.306074E-05
3.088203E+03	5.024775E-04	2.346972E-05
3.098165E+03	5.123518E-04	2.389084E-05
3.108127E+03	5.224298E-04	2.431985E-05
3.118089E+03	5.328144E-04	2.476148E-05
3.128051E+03	5.435134E-04	2.521601E-05
3.138013E+03	5.545344E-04	2.568374E-05
3.147975E+03	5.657841E-04	2.616026E-05
3.157937E+03	5.774725E-04	2.665521E-05
3.167899E+03	5.894035E-04	2.715946E-05
3.177861E+03	6.017914E-04	2.768281E-05
3.187823E+03	6.144364E-04	2.821597E-05
3.197784E+03	6.275575E-04	2.876891E-05
3.207746E+03	6.409504E-04	2.933219E-05
3.217708E+03	6.548389E-04	2.991596E-05
3.227670E+03	6.691247E-04	3.051563E-05
3.237632E+03	6.839284E-04	3.113657E-05
3.247594E+03	6.991493E-04	3.177411E-05
3.257556E+03	7.147966E-04	3.242856E-05
3.267518E+03	7.308788E-04	3.310021E-05
3.277480E+03	7.475221E-04	3.379466E-05
3.287442E+03	7.647391E-04	3.451234E-05
3.297404E+03	7.825430E-04	3.525373E-05
3.307366E+03	8.008255E-04	3.601381E-05
3.317328E+03	8.197179E-04	3.679836E-05
3.327290E+03	8.391094E-04	3.760229E-05
3.337252E+03	8.592594E-04	3.843708E-05
3.347214E+03	8.800581E-04	3.929766E-05
3.357176E+03	9.015186E-04	4.018445E-05
3.367138E+03	9.236534E-04	4.109787E-05
3.377099E+03	9.464748E-04	4.203830E-05
3.387061E+03	9.701289E-04	4.301208E-05
3.397023E+03	9.944976E-04	4.401377E-05
3.406985E+03	1.019729E-03	4.504980E-05
3.416947E+03	1.045703E-03	4.611460E-05
3.426909E+03	1.072570E-03	4.721467E-05
3.436871E+03	1.100346E-03	4.835053E-05
3.446833E+03	1.128904E-03	4.951640E-05
3.456795E+03	1.158545E-03	5.072528E-05
3.466757E+03	1.189144E-03	5.197142E-05
3.476719E+03	1.220715E-03	5.325530E-05
3.486681E+03	1.253275E-03	5.457741E-05
3.496643E+03	1.286991E-03	5.594478E-05
3.506605E+03	1.321885E-03	5.735811E-05
3.516567E+03	1.357822E-03	5.881131E-05
3.526529E+03	1.394975E-03	6.031169E-05
3.536491E+03	1.433368E-03	6.185991E-05
3.546453E+03	1.473022E-03	6.345668E-05
3.556414E+03	1.513958E-03	6.510267E-05
3.566376E+03	1.556363E-03	6.680552E-05
3.576338E+03	1.600089E-03	6.855870E-05
3.586300E+03	1.645147E-03	7.036234E-05
3.596262E+03	1.691709E-03	7.222348E-05
3.606224E+03	1.739770E-03	7.414169E-05
3.616186E+03	1.789321E-03	7.611619E-05
3.626148E+03	1.840520E-03	7.815341E-05
3.636110E+03	1.892993E-03	8.023717E-05
3.646072E+03	1.947065E-03	8.238098E-05
3.656034E+03	2.002526E-03	8.457565E-05
3.665996E+03	2.059337E-03	8.681927E-05
3.675958E+03	2.117824E-03	8.912526E-05
3.685920E+03	2.177572E-03	9.147589E-05
3.695882E+03	2.238901E-03	9.388435E-05
3.705844E+03	2.301375E-03	9.633208E-05
3.715806E+03	2.365305E-03	9.883187E-05
3.725768E+03	2.430429E-03	1.013725E-04
3.735730E+03	2.496853E-03	1.039580E-04
3.745691E+03	2.564491E-03	1.065847E-04
3.755653E+03	2.633047E-03	1.092400E-04
3.765615E+03	2.702803E-03	1.119353E-04
3.775577E+03	2.773442E-03	1.146575E-04
3.785539E+03	2.844836E-03	1.174009E-04
3.795501E+03	2.916842E-03	1.201596E-04
3.805463E+03	2.989713E-03	1.229437E-04
3.815425E+03	3.062675E-03	1.257215E-04
3.825387E+03	3.136164E-03	1.285106E-04
3.835349E+03	3.209790E-03	1.312952E-04
3.845311E+03	3.283555E-03	1.340751E-04
3.855273E+03	3.356841E-03	1.368253E-04
3.865235E+03	3.430033E-03	1.395614E-04
3.875197E+03	3.502484E-03	1.422572E-04
3.885159E+03	3.573940E-03	1.449026E-04
3.895121E+03	3.644539E-03	1.475034E-04
3.905083E+03	3.713781E-03	1.500394E-04
3.915045E+03	3.781344E-03	1.524981E-04
3.925006E+03	3.847067E-03	1.548733E-04
3.934968E+03	3.910349E-03	1.571412E-04
3.944930E+03	3.970941E-03	1.592923E-04
3.954892E+03	4.028152E-03	1.612996E-04
3.964854E+03	4.081854E-03	1.631585E-04
3.974816E+03	4.131298E-03	1.648400E-04
3.984778E+03	4.175717E-03	1.663144E-04
3.994740E+03	4.215129E-03	1.675834E-04
4.004702E+03	4.248395E-03	1.686029E-04
4.014664E+03	4.275377E-03	1.693688E-04
4.024626E+03	4.295600E-03	1.698635E-04
4.034588E+03	4.308675E-03	1.700731E-04
4.044550E+03	4.314139E-03	1.699808E-04
4.054512E+03	4.312033E-03	1.695899E-04
4.064474E+03	4.302544E-03	1.689094E-04
4.074436E+03	4.285517E-03	1.679346E-04
4.084398E+03	4.261482E-03	1.666880E-04
4.094360E+03	4.231111E-03	1.651972E-04
4.104321E+03	4.194891E-03	1.634826E-04
4.114283E+03	4.153593E-03	1.615754E-04
4.124245E+03	4.108069E-03	1.595097E-04
4.134207E+03	4.059376E-03	1.573274E-04
4.144169E+03	4.008333E-03	1.550609E-04
4.154131E+03	3.955928E-03	1.527488E-04
4.164093E+03	3.903277E-03	1.504345E-04
4.174055E+03	3.851112E-03	1.481460E-04
4.184017E+03	3.800734E-03	1.459333E-04
4.193979E+03	3.752674E-03	1.438164E-04
4.203941E+03	3.707864E-03	1.418303E-04
4.213903E+03	3.667137E-03	1.400061E-04
4.223865E+03	3.631015E-03	1.383630E-04
4.233827E+03	3.599937E-03	1.369164E-04
4.243789E+03	3.574552E-03	1.356901E-04
4.253751E+03	3.555019E-03	1.346887E-04
4.263713E+03	3.541720E-03	1.339254E-04
4.273675E+03	3.534774E-03	1.334033E-04
4.283637E+03	3.534426E-03	1.331303E-04
4.293598E+03	3.540704E-03	1.331059E-04
4.303560E+03	3.553779E-03	1.333351E-04
4.313522E+03	3.573553E-03	1.338126E-04
4.323484E+03	3.600197E-03	1.345434E-04
4.333446E+03	3.633811E-03	1.355296E-04
4.343408E+03	3.674533E-03	1.367748E-04
4.353370E+03	3.722373E-03	1.382777E-04
4.363332E+03	3.777725E-03	1.400514E-04
4.373294E+03	3.840720E-03	1.420989E-04
4.383256E+03	3.911796E-03	1.444346E-04
4.393218E+03	3.991390E-03	1.470729E-04
4.403180E+03	4.079849E-03	1.500244E-04
