#wls	flux	fluxerr
1.593911E+03	7.218693E-06	1.255257E-07
1.633759E+03	7.395883E-06	1.286068E-07
1.673607E+03	7.579188E-06	1.317943E-07
1.713455E+03	7.776273E-06	1.352214E-07
1.753302E+03	7.984327E-06	1.388393E-07
1.793150E+03	8.204075E-06	1.426605E-07
1.832998E+03	8.436299E-06	1.466986E-07
1.872846E+03	8.681825E-06	1.509680E-07
1.912694E+03	8.945614E-06	1.555551E-07
1.952541E+03	9.220598E-06	1.603367E-07
1.992389E+03	9.516046E-06	1.654743E-07
2.032237E+03	9.829016E-06	1.709165E-07
2.072085E+03	1.016071E-05	1.766843E-07
2.111932E+03	1.051241E-05	1.828001E-07
2.151780E+03	1.089031E-05	1.893713E-07
2.191628E+03	1.128644E-05	1.962597E-07
2.231476E+03	1.171216E-05	2.036624E-07
2.271324E+03	1.216440E-05	2.115265E-07
2.311171E+03	1.264504E-05	2.198843E-07
2.351019E+03	1.315608E-05	2.287707E-07
2.390867E+03	1.370550E-05	2.383245E-07
2.430715E+03	1.428416E-05	2.483868E-07
2.470562E+03	1.490644E-05	2.592077E-07
2.510410E+03	1.556923E-05	2.707329E-07
2.550258E+03	1.627543E-05	2.830131E-07
2.590106E+03	1.702818E-05	2.961025E-07
2.629954E+03	1.783083E-05	3.100598E-07
2.669801E+03	1.869465E-05	3.250808E-07
2.709649E+03	1.960861E-05	3.409736E-07
2.749497E+03	2.059256E-05	3.580835E-07
2.789345E+03	2.164347E-05	3.763577E-07
2.829192E+03	2.276634E-05	3.958833E-07
2.869040E+03	2.396657E-05	4.167541E-07
2.908888E+03	2.525999E-05	4.392453E-07
2.948736E+03	2.663353E-05	4.631297E-07
2.988584E+03	2.811457E-05	4.888835E-07
2.998546E+03	2.850096E-05	4.956024E-07
3.008508E+03	2.889405E-05	5.024379E-07
3.018469E+03	2.929398E-05	5.093923E-07
3.028431E+03	2.970086E-05	5.164675E-07
3.038393E+03	3.011482E-05	5.236658E-07
3.048355E+03	3.053605E-05	5.309905E-07
3.058317E+03	3.096463E-05	5.384431E-07
3.068279E+03	3.140075E-05	5.460267E-07
3.078241E+03	3.184453E-05	5.537436E-07
3.088203E+03	3.229614E-05	5.615967E-07
3.098165E+03	3.275574E-05	5.695886E-07
3.108127E+03	3.322346E-05	5.777218E-07
3.118089E+03	3.369950E-05	5.859997E-07
3.128051E+03	3.418400E-05	5.944246E-07
3.138013E+03	3.467714E-05	6.029999E-07
3.147975E+03	3.517910E-05	6.117285E-07
3.157937E+03	3.569007E-05	6.206136E-07
3.167899E+03	3.621022E-05	6.296584E-07
3.177861E+03	3.673973E-05	6.388661E-07
3.187823E+03	3.727883E-05	6.482405E-07
3.197784E+03	3.784193E-05	6.580323E-07
3.207746E+03	3.840094E-05	6.677528E-07
3.217708E+03	3.897012E-05	6.776504E-07
3.227670E+03	3.954972E-05	6.877289E-07
3.237632E+03	4.013992E-05	6.979920E-07
3.247594E+03	4.074099E-05	7.084439E-07
3.257556E+03	4.135312E-05	7.190883E-07
3.267518E+03	4.199221E-05	7.302014E-07
3.277480E+03	4.262745E-05	7.412476E-07
