#wls	flux	fluxerr
1.593911E+03	6.635836E-05	4.790406E-06
1.633759E+03	6.716474E-05	4.837186E-06
1.673607E+03	6.790854E-05	4.878948E-06
1.713455E+03	6.858335E-05	4.915257E-06
1.753302E+03	6.915118E-05	4.943425E-06
1.793150E+03	6.960382E-05	4.962917E-06
1.832998E+03	6.987084E-05	4.968783E-06
1.872846E+03	6.994964E-05	4.960939E-06
1.912694E+03	6.973461E-05	4.932024E-06
1.952541E+03	6.921350E-05	4.881348E-06
1.992389E+03	6.840493E-05	4.810410E-06
2.032237E+03	6.744153E-05	4.728695E-06
2.072085E+03	6.661617E-05	4.656785E-06
2.111932E+03	6.637037E-05	4.625370E-06
2.151780E+03	6.705231E-05	4.658271E-06
2.191628E+03	6.887523E-05	4.769645E-06
2.231476E+03	7.170259E-05	4.949288E-06
2.271324E+03	7.524253E-05	5.176419E-06
2.311171E+03	7.918807E-05	5.429467E-06
2.351019E+03	8.331460E-05	5.692765E-06
2.390867E+03	8.752271E-05	5.959380E-06
2.430715E+03	9.174205E-05	6.224447E-06
2.470562E+03	9.597386E-05	6.488008E-06
2.510410E+03	1.002721E-04	6.753658E-06
2.550258E+03	1.046235E-04	7.020429E-06
2.590106E+03	1.091278E-04	7.294918E-06
2.629954E+03	1.138348E-04	7.580310E-06
2.669801E+03	1.187380E-04	7.875987E-06
2.709649E+03	1.239472E-04	8.189043E-06
2.749497E+03	1.295196E-04	8.522971E-06
2.789345E+03	1.355165E-04	8.881488E-06
2.829192E+03	1.420045E-04	9.268607E-06
2.869040E+03	1.490581E-04	9.688752E-06
2.908888E+03	1.568276E-04	1.015120E-05
2.948736E+03	1.653780E-04	1.065956E-05
2.988584E+03	1.748920E-04	1.122493E-05
2.998546E+03	1.774569E-04	1.137739E-05
3.008508E+03	1.800790E-04	1.153315E-05
3.018469E+03	1.827606E-04	1.169236E-05
3.028431E+03	1.855427E-04	1.185761E-05
3.038393E+03	1.883968E-04	1.202707E-05
3.048355E+03	1.913692E-04	1.220368E-05
3.058317E+03	1.944621E-04	1.238756E-05
3.068279E+03	1.976000E-04	1.257387E-05
3.078241E+03	2.009006E-04	1.277008E-05
3.088203E+03	2.042885E-04	1.297139E-05
3.098165E+03	2.078054E-04	1.318041E-05
3.108127E+03	2.114139E-04	1.339475E-05
3.118089E+03	2.151978E-04	1.361970E-05
3.128051E+03	2.190382E-04	1.384771E-05
3.138013E+03	2.230613E-04	1.408673E-05
3.147975E+03	2.271882E-04	1.433175E-05
3.157937E+03	2.315073E-04	1.458832E-05
3.167899E+03	2.359383E-04	1.485134E-05
3.177861E+03	2.405279E-04	1.512375E-05
3.187823E+03	2.452815E-04	1.540584E-05
3.197784E+03	2.501597E-04	1.569511E-05
3.207746E+03	2.552572E-04	1.599746E-05
3.217708E+03	2.605354E-04	1.631045E-05
3.227670E+03	2.660011E-04	1.663446E-05
3.237632E+03	2.716603E-04	1.696983E-05
3.247594E+03	2.775202E-04	1.731698E-05
3.257556E+03	2.836363E-04	1.767931E-05
3.267518E+03	2.899200E-04	1.805128E-05
3.277480E+03	2.964765E-04	1.843939E-05
3.287442E+03	3.032659E-04	1.884111E-05
3.297404E+03	3.103475E-04	1.926008E-05
3.307366E+03	3.176811E-04	1.969374E-05
3.317328E+03	3.253284E-04	2.014588E-05
3.327290E+03	3.332481E-04	2.061388E-05
3.337252E+03	3.415047E-04	2.110168E-05
3.347214E+03	3.500563E-04	2.160663E-05
3.357176E+03	3.589698E-04	2.213279E-05
3.367138E+03	3.682590E-04	2.268096E-05
3.377099E+03	3.779386E-04	2.325196E-05
3.387061E+03	3.880239E-04	2.384668E-05
3.397023E+03	3.984711E-04	2.446234E-05
3.406985E+03	4.094142E-04	2.510709E-05
3.416947E+03	4.208116E-04	2.577832E-05
3.426909E+03	4.326807E-04	2.647698E-05
3.436871E+03	4.450391E-04	2.720408E-05
3.446833E+03	4.579697E-04	2.796460E-05
3.456795E+03	4.713634E-04	2.875177E-05
3.466757E+03	4.854359E-04	2.957866E-05
3.476719E+03	5.000783E-04	3.043853E-05
3.486681E+03	5.153102E-04	3.133247E-05
3.496643E+03	5.312924E-04	3.227015E-05
3.506605E+03	5.479095E-04	3.324443E-05
3.516567E+03	5.652547E-04	3.426086E-05
3.526529E+03	5.833521E-04	3.532077E-05
3.536491E+03	6.022254E-04	3.642547E-05
3.546453E+03	6.218980E-04	3.757626E-05
3.556414E+03	6.423926E-04	3.877436E-05
3.566376E+03	6.638100E-04	4.002573E-05
3.576338E+03	6.860933E-04	4.132679E-05
3.586300E+03	7.093422E-04	4.268339E-05
3.596262E+03	7.334910E-04	4.409145E-05
3.606224E+03	7.586369E-04	4.555666E-05
3.616186E+03	7.847912E-04	4.707953E-05
3.626148E+03	8.119619E-04	4.866040E-05
3.636110E+03	8.401530E-04	5.029936E-05
3.646072E+03	8.692706E-04	5.199064E-05
3.656034E+03	8.995872E-04	5.375038E-05
3.665996E+03	9.308134E-04	5.556115E-05
3.675958E+03	9.631225E-04	5.743315E-05
3.685920E+03	9.964968E-04	5.936519E-05
3.695882E+03	1.030809E-03	6.134956E-05
3.705844E+03	1.066126E-03	6.339007E-05
3.715806E+03	1.102407E-03	6.548417E-05
3.725768E+03	1.139602E-03	6.762887E-05
3.735730E+03	1.177655E-03	6.982063E-05
3.745691E+03	1.216499E-03	7.205536E-05
3.755653E+03	1.256169E-03	7.433505E-05
3.765615E+03	1.296583E-03	7.665476E-05
3.775577E+03	1.337534E-03	7.900224E-05
3.785539E+03	1.379034E-03	8.137798E-05
3.795501E+03	1.420851E-03	8.376835E-05
3.805463E+03	1.463095E-03	8.617980E-05
3.815425E+03	1.505637E-03	8.860467E-05
3.825387E+03	1.548096E-03	9.102052E-05
3.835349E+03	1.590558E-03	9.343250E-05
