#wls	flux	fluxerr
1.600000E+03	4.442350E-17	3.103071E-18
1.640000E+03	4.469981E-17	3.115078E-18
1.680000E+03	4.500027E-17	3.128522E-18
1.720000E+03	4.534319E-17	3.144657E-18
1.760000E+03	4.571155E-17	3.162279E-18
1.800000E+03	4.612376E-17	3.182641E-18
1.840000E+03	4.658064E-17	3.205773E-18
1.880000E+03	4.708325E-17	3.231717E-18
1.920000E+03	4.761554E-17	3.259346E-18
1.960000E+03	4.821363E-17	3.291103E-18
2.000000E+03	4.884475E-17	3.324713E-18
2.040000E+03	4.954536E-17	3.362628E-18
2.080000E+03	5.030063E-17	3.403795E-18
2.120000E+03	5.111335E-17	3.448365E-18
2.160000E+03	5.198671E-17	3.496510E-18
2.200000E+03	5.294149E-17	3.549580E-18
2.240000E+03	5.396487E-17	3.606660E-18
2.280000E+03	5.506171E-17	3.668022E-18
2.320000E+03	5.625475E-17	3.735122E-18
2.360000E+03	5.755051E-17	3.808321E-18
2.400000E+03	5.893918E-17	3.886897E-18
2.440000E+03	6.044649E-17	3.972470E-18
2.480000E+03	6.206478E-17	4.064450E-18
2.520000E+03	6.382246E-17	4.164608E-18
2.560000E+03	6.573232E-17	4.273672E-18
2.600000E+03	6.779104E-17	4.391313E-18
2.640000E+03	7.005087E-17	4.520790E-18
2.680000E+03	7.249483E-17	4.660863E-18
2.720000E+03	7.516245E-17	4.813926E-18
2.760000E+03	7.807842E-17	4.981389E-18
2.800000E+03	8.127101E-17	5.164862E-18
2.840000E+03	8.479191E-17	5.367416E-18
2.880000E+03	8.867943E-17	5.591223E-18
2.920000E+03	9.299748E-17	5.840029E-18
2.960000E+03	9.781902E-17	6.118083E-18
3.000000E+03	1.031837E-16	6.427493E-18
3.010000E+03	1.046223E-16	6.510481E-18
3.020000E+03	1.061155E-16	6.596676E-18
3.030000E+03	1.076426E-16	6.684794E-18
3.040000E+03	1.092048E-16	6.774895E-18
3.050000E+03	1.108258E-16	6.868439E-18
3.060000E+03	1.125070E-16	6.965513E-18
3.070000E+03	1.142277E-16	7.064816E-18
3.080000E+03	1.160121E-16	7.167839E-18
3.090000E+03	1.178390E-16	7.273263E-18
3.100000E+03	1.197330E-16	7.382601E-18
3.110000E+03	1.216964E-16	7.495978E-18
3.120000E+03	1.237075E-16	7.612043E-18
3.130000E+03	1.257918E-16	7.732365E-18
3.140000E+03	1.279517E-16	7.857071E-18
3.150000E+03	1.301897E-16	7.986302E-18
3.160000E+03	1.324834E-16	8.118677E-18
3.170000E+03	1.348848E-16	8.257367E-18
3.180000E+03	1.373469E-16	8.399472E-18
3.190000E+03	1.398971E-16	8.546665E-18
3.200000E+03	1.425384E-16	8.699110E-18
3.210000E+03	1.452738E-16	8.856978E-18
3.220000E+03	1.481066E-16	9.020445E-18
3.230000E+03	1.510399E-16	9.189697E-18
3.240000E+03	1.540773E-16	9.364919E-18
3.250000E+03	1.572223E-16	9.546317E-18
3.260000E+03	1.604784E-16	9.734090E-18
3.270000E+03	1.638777E-16	9.930150E-18
3.280000E+03	1.673967E-16	1.013306E-17
3.290000E+03	1.710397E-16	1.034306E-17
3.300000E+03	1.748399E-16	1.056213E-17
3.310000E+03	1.787737E-16	1.078882E-17
3.320000E+03	1.828457E-16	1.102340E-17
3.330000E+03	1.870909E-16	1.126794E-17
3.340000E+03	1.915157E-16	1.152280E-17
3.350000E+03	1.960955E-16	1.178647E-17
3.360000E+03	2.008672E-16	1.206115E-17
3.370000E+03	2.058060E-16	1.234531E-17
3.380000E+03	2.109824E-16	1.264316E-17
3.390000E+03	2.163399E-16	1.295126E-17
3.400000E+03	2.219178E-16	1.327196E-17
3.410000E+03	2.277582E-16	1.360773E-17
3.420000E+03	2.338022E-16	1.395501E-17
3.430000E+03	2.400918E-16	1.431626E-17
3.440000E+03	2.466710E-16	1.469409E-17
3.450000E+03	2.535148E-16	1.508695E-17
3.460000E+03	2.606325E-16	1.549536E-17
3.470000E+03	2.680707E-16	1.592205E-17
3.480000E+03	2.758033E-16	1.636542E-17
3.490000E+03	2.838786E-16	1.682828E-17
3.500000E+03	2.923085E-16	1.731130E-17
3.510000E+03	3.010658E-16	1.781281E-17
3.520000E+03	3.102007E-16	1.833573E-17
3.530000E+03	3.197255E-16	1.888074E-17
3.540000E+03	3.296525E-16	1.944851E-17
3.550000E+03	3.400358E-16	2.004216E-17
3.560000E+03	3.508032E-16	2.065739E-17
3.570000E+03	3.620516E-16	2.129984E-17
3.580000E+03	3.737493E-16	2.196758E-17
3.590000E+03	3.859517E-16	2.266381E-17
3.600000E+03	3.986237E-16	2.338641E-17
3.610000E+03	4.118176E-16	2.413837E-17
3.620000E+03	4.255387E-16	2.491994E-17
3.630000E+03	4.397414E-16	2.572839E-17
3.640000E+03	4.545233E-16	2.656936E-17
3.650000E+03	4.698354E-16	2.743992E-17
3.660000E+03	4.856735E-16	2.833977E-17
3.670000E+03	5.020310E-16	2.926845E-17
3.680000E+03	5.189507E-16	3.022841E-17
3.690000E+03	5.364221E-16	3.121897E-17
3.700000E+03	5.543759E-16	3.223604E-17
3.710000E+03	5.728470E-16	3.328161E-17
3.720000E+03	5.918130E-16	3.435433E-17
3.730000E+03	6.112471E-16	3.545259E-17
3.740000E+03	6.311177E-16	3.657451E-17
3.750000E+03	6.513886E-16	3.771796E-17
3.760000E+03	6.720783E-16	3.888397E-17
3.770000E+03	6.931427E-16	4.006995E-17
3.780000E+03	7.144710E-16	4.126946E-17
3.790000E+03	7.360683E-16	4.248278E-17
3.800000E+03	7.578742E-16	4.370640E-17
