#wls	flux	fluxerr
1.596074E+03	5.273600E-05	1.755071E-06
1.635976E+03	5.386386E-05	1.786938E-06
1.675877E+03	5.500852E-05	1.818988E-06
1.715779E+03	5.622004E-05	1.852855E-06
1.755681E+03	5.745027E-05	1.886922E-06
1.795583E+03	5.873333E-05	1.922291E-06
1.835485E+03	6.007066E-05	1.958976E-06
1.875387E+03	6.144687E-05	1.996447E-06
1.915288E+03	6.288029E-05	2.035268E-06
1.955190E+03	6.437264E-05	2.075462E-06
1.995092E+03	6.590849E-05	2.116495E-06
2.034994E+03	6.750683E-05	2.158944E-06
2.074896E+03	6.918734E-05	2.203394E-06
2.114798E+03	7.091727E-05	2.248760E-06
2.154699E+03	7.271647E-05	2.295629E-06
2.194601E+03	7.458752E-05	2.344037E-06
2.234503E+03	7.655131E-05	2.394588E-06
2.274405E+03	7.857476E-05	2.446193E-06
2.314307E+03	8.071587E-05	2.500604E-06
2.354209E+03	8.292336E-05	2.556166E-06
2.394110E+03	8.525673E-05	2.614651E-06
2.434012E+03	8.768321E-05	2.674980E-06
2.473914E+03	9.022632E-05	2.737799E-06
2.513816E+03	9.289137E-05	2.803187E-06
2.553718E+03	9.568408E-05	2.871233E-06
2.593620E+03	9.863033E-05	2.942618E-06
2.633522E+03	1.017176E-04	3.016866E-06
2.673423E+03	1.049731E-04	3.094682E-06
2.713325E+03	1.084055E-04	3.176200E-06
2.753227E+03	1.120239E-04	3.261566E-06
2.793129E+03	1.158592E-04	3.351537E-06
2.833031E+03	1.199015E-04	3.445687E-06
2.872933E+03	1.241842E-04	3.544816E-06
2.912834E+03	1.287203E-04	3.649131E-06
2.952736E+03	1.335463E-04	3.759481E-06
2.992638E+03	1.386563E-04	3.875501E-06
3.002614E+03	1.400017E-04	3.906024E-06
3.012589E+03	1.413370E-04	3.936109E-06
3.022564E+03	1.427295E-04	3.967625E-06
3.032540E+03	1.441121E-04	3.998705E-06
3.042515E+03	1.455303E-04	4.030608E-06
3.052491E+03	1.469616E-04	4.062707E-06
3.062466E+03	1.484293E-04	4.095639E-06
3.072442E+03	1.499107E-04	4.128778E-06
3.082417E+03	1.514291E-04	4.162758E-06
3.092393E+03	1.529620E-04	4.196958E-06
3.102368E+03	1.545096E-04	4.231382E-06
3.112344E+03	1.560953E-04	4.266662E-06
3.122319E+03	1.576964E-04	4.302177E-06
3.132295E+03	1.593365E-04	4.338563E-06
3.142270E+03	1.609926E-04	4.375192E-06
3.152245E+03	1.626885E-04	4.412707E-06
3.162221E+03	1.644012E-04	4.450477E-06
3.172196E+03	1.661547E-04	4.489147E-06
3.182172E+03	1.679256E-04	4.528077E-06
3.192147E+03	1.697381E-04	4.567922E-06
3.202123E+03	1.715688E-04	4.608042E-06
3.212098E+03	1.734178E-04	4.648437E-06
3.222074E+03	1.753100E-04	4.689769E-06
3.232049E+03	1.772455E-04	4.732037E-06
3.242025E+03	1.792008E-04	4.774604E-06
3.252000E+03	1.812006E-04	4.818126E-06
3.261976E+03	1.832207E-04	4.861952E-06
3.271951E+03	1.852863E-04	4.906749E-06
3.281926E+03	1.873731E-04	4.951861E-06
3.291902E+03	1.895063E-04	4.997956E-06
3.301877E+03	1.916615E-04	5.044379E-06
3.311853E+03	1.938640E-04	5.091795E-06
3.321828E+03	1.961146E-04	5.140213E-06
3.331804E+03	1.983883E-04	5.188976E-06
3.341779E+03	2.007110E-04	5.238754E-06
3.351755E+03	2.030575E-04	5.288882E-06
3.361730E+03	2.054540E-04	5.340037E-06
3.371706E+03	2.078751E-04	5.391554E-06
3.381681E+03	2.103732E-04	5.444785E-06
3.391657E+03	2.128703E-04	5.497702E-06
3.401632E+03	2.154457E-04	5.552350E-06
3.411607E+03	2.180471E-04	5.607372E-06
3.421583E+03	2.206748E-04	5.662769E-06
3.431558E+03	2.233823E-04	5.719911E-06
3.441534E+03	2.260898E-04	5.776744E-06
3.451509E+03	2.288782E-04	5.835332E-06
3.461485E+03	2.316939E-04	5.894300E-06
3.471460E+03	2.345644E-04	5.954339E-06
3.481436E+03	2.374901E-04	6.015453E-06
3.491411E+03	2.404438E-04	6.076944E-06
3.501387E+03	2.434530E-04	6.139504E-06
3.511362E+03	2.465181E-04	6.203135E-06
