#wls	flux	fluxerr
1.596074E+03	1.719592E-18	1.123854E-19
1.635976E+03	1.817647E-18	1.186126E-19
1.675877E+03	1.901429E-18	1.238856E-19
1.715779E+03	1.967929E-18	1.280123E-19
1.755681E+03	2.012985E-18	1.307271E-19
1.795583E+03	2.030392E-18	1.316343E-19
1.835485E+03	2.012498E-18	1.302474E-19
1.875387E+03	1.952090E-18	1.261124E-19
1.915288E+03	1.844314E-18	1.189316E-19
1.955190E+03	1.692529E-18	1.089386E-19
1.995092E+03	1.509304E-18	9.695822E-20
2.034994E+03	1.321906E-18	8.475178E-20
2.074896E+03	1.164420E-18	7.450337E-20
2.114798E+03	1.070174E-18	6.833066E-20
2.154699E+03	1.061102E-18	6.760671E-20
2.194601E+03	1.148287E-18	7.300132E-20
2.234503E+03	1.334673E-18	8.465996E-20
2.274405E+03	1.615029E-18	1.022071E-19
2.314307E+03	1.977258E-18	1.248350E-19
2.354209E+03	2.403569E-18	1.513824E-19
2.394110E+03	2.876899E-18	1.807434E-19
2.434012E+03	3.381516E-18	2.119046E-19
2.473914E+03	3.906295E-18	2.441502E-19
2.513816E+03	4.444210E-18	2.770263E-19
2.553718E+03	4.992491E-18	3.103478E-19
2.593620E+03	5.548962E-18	3.439678E-19
2.633522E+03	6.116045E-18	3.780252E-19
2.673423E+03	6.694159E-18	4.125328E-19
2.713325E+03	7.286538E-18	4.476763E-19
2.753227E+03	7.895690E-18	4.835934E-19
2.793129E+03	8.524325E-18	5.204321E-19
2.833031E+03	9.176764E-18	5.584356E-19
2.872933E+03	9.854542E-18	5.976741E-19
2.912834E+03	1.056562E-17	6.386041E-19
2.952736E+03	1.131024E-17	6.812091E-19
2.992638E+03	1.209539E-17	7.258776E-19
3.002614E+03	1.229848E-17	7.373908E-19
3.012589E+03	1.250348E-17	7.489927E-19
3.022564E+03	1.271231E-17	7.607971E-19
3.032540E+03	1.292575E-17	7.728508E-19
3.042515E+03	1.314402E-17	7.851657E-19
3.052491E+03	1.336995E-17	7.979096E-19
3.062466E+03	1.360495E-17	8.111643E-19
3.072442E+03	1.384856E-17	8.249019E-19
3.082417E+03	1.410037E-17	8.390956E-19
3.092393E+03	1.435599E-17	8.534828E-19
3.102368E+03	1.462103E-17	8.683965E-19
3.112344E+03	1.489114E-17	8.835756E-19
3.122319E+03	1.516804E-17	8.991217E-19
3.132295E+03	1.544937E-17	9.148931E-19
3.142270E+03	1.573693E-17	9.309961E-19
3.152245E+03	1.603052E-17	9.474166E-19
3.162221E+03	1.632778E-17	9.640145E-19
