#wls	flux	fluxerr
1.600000E+03	3.891197E-14	0.000000E+00
1.640000E+03	4.096331E-14	0.000000E+00
1.680000E+03	4.305923E-14	0.000000E+00
1.720000E+03	4.518919E-14	0.000000E+00
1.760000E+03	4.734024E-14	0.000000E+00
1.800000E+03	4.949726E-14	0.000000E+00
1.840000E+03	5.164210E-14	0.000000E+00
1.880000E+03	5.375483E-14	0.000000E+00
1.920000E+03	5.581207E-14	0.000000E+00
1.960000E+03	5.778866E-14	0.000000E+00
2.000000E+03	5.965713E-14	0.000000E+00
2.040000E+03	6.138988E-14	0.000000E+00
2.080000E+03	6.295855E-14	0.000000E+00
2.120000E+03	6.433171E-14	0.000000E+00
2.160000E+03	6.545466E-14	0.000000E+00
2.200000E+03	6.625732E-14	0.000000E+00
2.240000E+03	6.668308E-14	0.000000E+00
2.280000E+03	6.670976E-14	0.000000E+00
2.320000E+03	6.635724E-14	0.000000E+00
2.360000E+03	6.567920E-14	0.000000E+00
2.400000E+03	6.474981E-14	0.000000E+00
2.440000E+03	6.364816E-14	0.000000E+00
2.480000E+03	6.244983E-14	0.000000E+00
2.520000E+03	6.122147E-14	0.000000E+00
2.560000E+03	6.001780E-14	0.000000E+00
2.600000E+03	5.887546E-14	0.000000E+00
2.640000E+03	5.780350E-14	0.000000E+00
2.680000E+03	5.679353E-14	0.000000E+00
2.720000E+03	5.583655E-14	0.000000E+00
2.760000E+03	5.492587E-14	0.000000E+00
2.800000E+03	5.405608E-14	0.000000E+00
2.840000E+03	5.322330E-14	0.000000E+00
2.880000E+03	5.242400E-14	0.000000E+00
2.920000E+03	5.165440E-14	0.000000E+00
2.960000E+03	5.091002E-14	0.000000E+00
3.000000E+03	5.018578E-14	0.000000E+00
3.010000E+03	5.000710E-14	0.000000E+00
3.020000E+03	4.982926E-14	0.000000E+00
3.030000E+03	4.965225E-14	0.000000E+00
3.040000E+03	4.947572E-14	0.000000E+00
3.050000E+03	4.929965E-14	0.000000E+00
3.060000E+03	4.912402E-14	0.000000E+00
3.070000E+03	4.894866E-14	0.000000E+00
3.080000E+03	4.877338E-14	0.000000E+00
3.090000E+03	4.859817E-14	0.000000E+00
3.100000E+03	4.842299E-14	0.000000E+00
3.110000E+03	4.824752E-14	0.000000E+00
3.120000E+03	4.807174E-14	0.000000E+00
3.130000E+03	4.789546E-14	0.000000E+00
3.140000E+03	4.771881E-14	0.000000E+00
3.150000E+03	4.754133E-14	0.000000E+00
3.160000E+03	4.736327E-14	0.000000E+00
3.170000E+03	4.718416E-14	0.000000E+00
3.180000E+03	4.700413E-14	0.000000E+00
3.190000E+03	4.682299E-14	0.000000E+00
3.200000E+03	4.664058E-14	0.000000E+00
3.210000E+03	4.645686E-14	0.000000E+00
3.220000E+03	4.627182E-14	0.000000E+00
3.230000E+03	4.608526E-14	0.000000E+00
3.240000E+03	4.589718E-14	0.000000E+00
3.250000E+03	4.570739E-14	0.000000E+00
3.260000E+03	4.551570E-14	0.000000E+00
3.270000E+03	4.532241E-14	0.000000E+00
3.280000E+03	4.512718E-14	0.000000E+00
3.290000E+03	4.492999E-14	0.000000E+00
3.300000E+03	4.473095E-14	0.000000E+00
3.310000E+03	4.452989E-14	0.000000E+00
3.320000E+03	4.432679E-14	0.000000E+00
3.330000E+03	4.412177E-14	0.000000E+00
3.340000E+03	4.391479E-14	0.000000E+00
3.350000E+03	4.370583E-14	0.000000E+00
3.360000E+03	4.349501E-14	0.000000E+00
3.370000E+03	4.328216E-14	0.000000E+00
3.380000E+03	4.306769E-14	0.000000E+00
3.390000E+03	4.285156E-14	0.000000E+00
3.400000E+03	4.263374E-14	0.000000E+00
3.410000E+03	4.241438E-14	0.000000E+00
3.420000E+03	4.219370E-14	0.000000E+00
3.430000E+03	4.197170E-14	0.000000E+00
3.440000E+03	4.174849E-14	0.000000E+00
3.450000E+03	4.152421E-14	0.000000E+00
3.460000E+03	4.129839E-14	0.000000E+00
3.470000E+03	4.107102E-14	0.000000E+00
3.480000E+03	4.084183E-14	0.000000E+00
3.490000E+03	4.061039E-14	0.000000E+00
3.500000E+03	4.037648E-14	0.000000E+00
3.510000E+03	4.013985E-14	0.000000E+00
3.520000E+03	3.990033E-14	0.000000E+00
3.530000E+03	3.965790E-14	0.000000E+00
3.540000E+03	3.941230E-14	0.000000E+00
3.550000E+03	3.916348E-14	0.000000E+00
3.560000E+03	3.891154E-14	0.000000E+00
3.570000E+03	3.865666E-14	0.000000E+00
3.580000E+03	3.839890E-14	0.000000E+00
3.590000E+03	3.813837E-14	0.000000E+00
3.600000E+03	3.787561E-14	0.000000E+00
3.610000E+03	3.761078E-14	0.000000E+00
3.620000E+03	3.734417E-14	0.000000E+00
3.630000E+03	3.707607E-14	0.000000E+00
3.640000E+03	3.680709E-14	0.000000E+00
3.650000E+03	3.653744E-14	0.000000E+00
3.660000E+03	3.626779E-14	0.000000E+00
3.670000E+03	3.599863E-14	0.000000E+00
3.680000E+03	3.573070E-14	0.000000E+00
3.690000E+03	3.546478E-14	0.000000E+00
3.700000E+03	3.520228E-14	0.000000E+00
3.710000E+03	3.494442E-14	0.000000E+00
3.720000E+03	3.469299E-14	0.000000E+00
3.730000E+03	3.444961E-14	0.000000E+00
3.740000E+03	3.421681E-14	0.000000E+00
3.750000E+03	3.399676E-14	0.000000E+00
3.760000E+03	3.379183E-14	0.000000E+00
3.770000E+03	3.360447E-14	0.000000E+00
3.780000E+03	3.343690E-14	0.000000E+00
3.790000E+03	3.329128E-14	0.000000E+00
3.800000E+03	3.316888E-14	0.000000E+00
3.810000E+03	3.307116E-14	0.000000E+00
3.820000E+03	3.299845E-14	0.000000E+00
3.830000E+03	3.295078E-14	0.000000E+00
3.840000E+03	3.292737E-14	0.000000E+00
3.850000E+03	3.292710E-14	0.000000E+00
3.860000E+03	3.294785E-14	0.000000E+00
3.870000E+03	3.298739E-14	0.000000E+00
3.880000E+03	3.304278E-14	0.000000E+00
3.890000E+03	3.311078E-14	0.000000E+00
3.900000E+03	3.318826E-14	0.000000E+00
3.910000E+03	3.327165E-14	0.000000E+00
3.920000E+03	3.335787E-14	0.000000E+00
3.930000E+03	3.344381E-14	0.000000E+00
3.940000E+03	3.352664E-14	0.000000E+00
3.950000E+03	3.360417E-14	0.000000E+00
3.960000E+03	3.367417E-14	0.000000E+00
3.970000E+03	3.373520E-14	0.000000E+00
3.980000E+03	3.378585E-14	0.000000E+00
3.990000E+03	3.382501E-14	0.000000E+00
4.000000E+03	3.385207E-14	0.000000E+00
4.010000E+03	3.386613E-14	0.000000E+00
4.020000E+03	3.386681E-14	0.000000E+00
4.030000E+03	3.385331E-14	0.000000E+00
4.040000E+03	3.382534E-14	0.000000E+00
4.050000E+03	3.378229E-14	0.000000E+00
4.060000E+03	3.372367E-14	0.000000E+00
4.070000E+03	3.364927E-14	0.000000E+00
4.080000E+03	3.355898E-14	0.000000E+00
4.090000E+03	3.345331E-14	0.000000E+00
4.100000E+03	3.333277E-14	0.000000E+00
4.110000E+03	3.319864E-14	0.000000E+00
4.120000E+03	3.305277E-14	0.000000E+00
4.130000E+03	3.289720E-14	0.000000E+00
