#wls	flux	fluxerr
1.600000E+03	3.380081E-17	4.519827E-17
1.640000E+03	3.460352E-17	4.590980E-17
1.680000E+03	3.544576E-17	4.664719E-17
1.720000E+03	3.631586E-17	4.739320E-17
1.760000E+03	3.722884E-17	4.816554E-17
1.800000E+03	3.818675E-17	4.896453E-17
1.840000E+03	3.917762E-17	4.977256E-17
1.880000E+03	4.021740E-17	5.060765E-17
1.920000E+03	4.129391E-17	5.145190E-17
1.960000E+03	4.242381E-17	5.232355E-17
2.000000E+03	4.359467E-17	5.320443E-17
2.040000E+03	4.482391E-17	5.411296E-17
2.080000E+03	4.611451E-17	5.504934E-17
2.120000E+03	4.745372E-17	5.599498E-17
2.160000E+03	4.886023E-17	5.696856E-17
2.200000E+03	5.033757E-17	5.797019E-17
2.240000E+03	5.188948E-17	5.899994E-17
2.280000E+03	5.350273E-17	6.003852E-17
2.320000E+03	5.519801E-17	6.110494E-17
2.360000E+03	5.697973E-17	6.219908E-17
2.400000E+03	5.883426E-17	6.330107E-17
2.440000E+03	6.078402E-17	6.443006E-17
2.480000E+03	6.283415E-17	6.558566E-17
2.520000E+03	6.499007E-17	6.676736E-17
2.560000E+03	6.725751E-17	6.797455E-17
2.600000E+03	6.962206E-17	6.918615E-17
2.640000E+03	7.213034E-17	7.044162E-17
2.680000E+03	7.474764E-17	7.169913E-17
2.720000E+03	7.750117E-17	7.297755E-17
2.760000E+03	8.039805E-17	7.427522E-17
2.800000E+03	8.344565E-17	7.559014E-17
2.840000E+03	8.665160E-17	7.691997E-17
2.880000E+03	9.002374E-17	7.826197E-17
2.920000E+03	9.357010E-17	7.961288E-17
2.960000E+03	9.729884E-17	8.096894E-17
3.000000E+03	1.012182E-16	8.232574E-17
3.010000E+03	1.022115E-16	8.265049E-17
3.020000E+03	1.032420E-16	8.299485E-17
3.030000E+03	1.042837E-16	8.333743E-17
3.040000E+03	1.053365E-16	8.367814E-17
3.050000E+03	1.063736E-16	8.399551E-17
3.060000E+03	1.074489E-16	8.433215E-17
3.070000E+03	1.085358E-16	8.466661E-17
3.080000E+03	1.096342E-16	8.499877E-17
3.090000E+03	1.107721E-16	8.534994E-17
3.100000E+03	1.118941E-16	8.567716E-17
3.110000E+03	1.130280E-16	8.600173E-17
3.120000E+03	1.141738E-16	8.632351E-17
3.130000E+03	1.153601E-16	8.666383E-17
3.140000E+03	1.165302E-16	8.697965E-17
3.150000E+03	1.177414E-16	8.731374E-17
3.160000E+03	1.189360E-16	8.762302E-17
3.170000E+03	1.201723E-16	8.795030E-17
3.180000E+03	1.214214E-16	8.827394E-17
3.190000E+03	1.226536E-16	8.857228E-17
3.200000E+03	1.239282E-16	8.888814E-17
3.210000E+03	1.252158E-16	8.919985E-17
3.220000E+03	1.265164E-16	8.950724E-17
3.230000E+03	1.278300E-16	8.981012E-17
3.240000E+03	1.291568E-16	9.010830E-17
3.250000E+03	1.304968E-16	9.040158E-17
3.260000E+03	1.318812E-16	9.071125E-17
3.270000E+03	1.332479E-16	9.099411E-17
3.280000E+03	1.346278E-16	9.127143E-17
3.290000E+03	1.360529E-16	9.156448E-17
3.300000E+03	1.374596E-16	9.183005E-17
3.310000E+03	1.389121E-16	9.211087E-17
3.320000E+03	1.403458E-16	9.236374E-17
3.330000E+03	1.418256E-16	9.263134E-17
3.340000E+03	1.433193E-16	9.289193E-17
3.350000E+03	1.448267E-16	9.314524E-17
3.360000E+03	1.463144E-16	9.336959E-17
3.370000E+03	1.478491E-16	9.360752E-17
3.380000E+03	1.493976E-16	9.383732E-17
3.390000E+03	1.509598E-16	9.405867E-17
3.400000E+03	1.525701E-16	9.429259E-17
3.410000E+03	1.541598E-16	9.449610E-17
3.420000E+03	1.557630E-16	9.469022E-17
