#wls	flux	fluxerr
1.600000E+03	1.566874E-17	2.168151E-17
1.640000E+03	1.608407E-17	2.209994E-17
1.680000E+03	1.651747E-17	2.253006E-17
1.720000E+03	1.696986E-17	2.297207E-17
1.760000E+03	1.744219E-17	2.342612E-17
1.800000E+03	1.793544E-17	2.389232E-17
1.840000E+03	1.846076E-17	2.438409E-17
1.880000E+03	1.899936E-17	2.487508E-17
1.920000E+03	1.956220E-17	2.537838E-17
1.960000E+03	2.015050E-17	2.589397E-17
2.000000E+03	2.077678E-17	2.643604E-17
2.040000E+03	2.142019E-17	2.697608E-17
2.080000E+03	2.209306E-17	2.752790E-17
2.120000E+03	2.280909E-17	2.810629E-17
2.160000E+03	2.354566E-17	2.868091E-17
2.200000E+03	2.432925E-17	2.928173E-17
2.240000E+03	2.513588E-17	2.987707E-17
2.280000E+03	2.599372E-17	3.049778E-17
2.320000E+03	2.687731E-17	3.111079E-17
2.360000E+03	2.781662E-17	3.174777E-17
2.400000E+03	2.879977E-17	3.239127E-17
2.440000E+03	2.981307E-17	3.302242E-17
2.480000E+03	3.088949E-17	3.367411E-17
2.520000E+03	3.201593E-17	3.432734E-17
2.560000E+03	3.317721E-17	3.496168E-17
2.600000E+03	3.440967E-17	3.561100E-17
2.640000E+03	3.569876E-17	3.625460E-17
2.680000E+03	3.704675E-17	3.688944E-17
2.720000E+03	3.845591E-17	3.751216E-17
2.760000E+03	3.992851E-17	3.811903E-17
2.800000E+03	4.144546E-17	3.868598E-17
2.840000E+03	4.305091E-17	3.924814E-17
2.880000E+03	4.472640E-17	3.978089E-17
2.920000E+03	4.647401E-17	4.027886E-17
2.960000E+03	4.829570E-17	4.073625E-17
3.000000E+03	5.019329E-17	4.114679E-17
3.010000E+03	5.067330E-17	4.123609E-17
3.020000E+03	5.118407E-17	4.134292E-17
3.030000E+03	5.167385E-17	4.142520E-17
3.040000E+03	5.216843E-17	4.150379E-17
3.050000E+03	5.266782E-17	4.157857E-17
3.060000E+03	5.319901E-17	4.167055E-17
3.070000E+03	5.370834E-17	4.173741E-17
3.080000E+03	5.422254E-17	4.180011E-17
3.090000E+03	5.474163E-17	4.185853E-17
3.100000E+03	5.529358E-17	4.193376E-17
3.110000E+03	5.582274E-17	4.198330E-17
3.120000E+03	5.635683E-17	4.202819E-17
3.130000E+03	5.689585E-17	4.206832E-17
3.140000E+03	5.746881E-17	4.212480E-17
3.150000E+03	5.801800E-17	4.215502E-17
3.160000E+03	5.857216E-17	4.218010E-17
3.170000E+03	5.913128E-17	4.219990E-17
3.180000E+03	5.972542E-17	4.223553E-17
3.190000E+03	6.029476E-17	4.224438E-17
3.200000E+03	6.086907E-17	4.224755E-17
3.210000E+03	6.144836E-17	4.224491E-17
3.220000E+03	6.206375E-17	4.225753E-17
3.230000E+03	6.265325E-17	4.224286E-17
3.240000E+03	6.324770E-17	4.222197E-17
3.250000E+03	6.384711E-17	4.219473E-17
3.260000E+03	6.448372E-17	4.218212E-17
3.270000E+03	6.509327E-17	4.214174E-17
3.280000E+03	6.570774E-17	4.209460E-17
3.290000E+03	6.636024E-17	4.206156E-17
3.300000E+03	6.698476E-17	4.200044E-17
3.310000E+03	6.761413E-17	4.193215E-17
3.320000E+03	6.824833E-17	4.185654E-17
3.330000E+03	6.892167E-17	4.179431E-17
3.340000E+03	6.956574E-17	4.170362E-17
3.350000E+03	7.021455E-17	4.160521E-17
3.360000E+03	7.086806E-17	4.149894E-17
3.370000E+03	7.156181E-17	4.140528E-17
3.380000E+03	7.222493E-17	4.128285E-17
3.390000E+03	7.289263E-17	4.115217E-17
3.400000E+03	7.356487E-17	4.101312E-17
3.410000E+03	7.427842E-17	4.088584E-17
3.420000E+03	7.495991E-17	4.072959E-17
3.430000E+03	7.564578E-17	4.056459E-17
3.440000E+03	7.633597E-17	4.039074E-17
3.450000E+03	7.706854E-17	4.022780E-17
3.460000E+03	7.776752E-17	4.003578E-17
3.470000E+03	7.847063E-17	3.983457E-17
3.480000E+03	7.921690E-17	3.964362E-17
3.490000E+03	7.992838E-17	3.942359E-17
3.500000E+03	8.064377E-17	3.919407E-17
3.510000E+03	8.136299E-17	3.895496E-17
3.520000E+03	8.212637E-17	3.872525E-17
3.530000E+03	8.285331E-17	3.846658E-17
3.540000E+03	8.358380E-17	3.819810E-17
3.550000E+03	8.431775E-17	3.791972E-17
3.560000E+03	8.509684E-17	3.764989E-17
3.570000E+03	8.583774E-17	3.735141E-17
3.580000E+03	8.658177E-17	3.704288E-17
3.590000E+03	8.737166E-17	3.674227E-17
3.600000E+03	8.812198E-17	3.641338E-17
3.610000E+03	8.887508E-17	3.607436E-17
3.620000E+03	8.963085E-17	3.572519E-17
3.630000E+03	9.043336E-17	3.538319E-17
3.640000E+03	9.119440E-17	3.501358E-17
3.650000E+03	9.195770E-17	3.463387E-17
3.660000E+03	9.272311E-17	3.424409E-17
3.670000E+03	9.353611E-17	3.386083E-17
3.680000E+03	9.430565E-17	3.345089E-17
3.690000E+03	9.507684E-17	3.303108E-17
3.700000E+03	9.584952E-17	3.260150E-17
3.710000E+03	9.667058E-17	3.217791E-17
3.720000E+03	9.744610E-17	3.172891E-17
3.730000E+03	9.822260E-17	3.127052E-17
3.740000E+03	9.899990E-17	3.080290E-17
3.750000E+03	9.982628E-17	3.034098E-17
3.760000E+03	1.006050E-16	2.985526E-17
3.770000E+03	1.013839E-16	2.936094E-17
3.780000E+03	1.021629E-16	2.885827E-17
3.790000E+03	1.029916E-16	2.836128E-17
3.800000E+03	1.037704E-16	2.784253E-17
3.810000E+03	1.045486E-16	2.731636E-17
3.820000E+03	1.053260E-16	2.678313E-17
3.830000E+03	1.061536E-16	2.625592E-17
3.840000E+03	1.069291E-16	2.570952E-17
3.850000E+03	1.077031E-16	2.515735E-17
3.860000E+03	1.084754E-16	2.459992E-17
3.870000E+03	1.092985E-16	2.404936E-17
3.880000E+03	1.100670E-16	2.348280E-17
3.890000E+03	1.108331E-16	2.291273E-17
3.900000E+03	1.115966E-16	2.233983E-17
3.910000E+03	1.124112E-16	2.177529E-17
3.920000E+03	1.131688E-16	2.119868E-17
3.930000E+03	1.139231E-16	2.062158E-17
3.940000E+03	1.146737E-16	2.004488E-17
3.950000E+03	1.154757E-16	1.947887E-17
3.960000E+03	1.162184E-16	1.890559E-17
3.970000E+03	1.169567E-16	1.833575E-17
3.980000E+03	1.176902E-16	1.777046E-17
3.990000E+03	1.184755E-16	1.721915E-17
4.000000E+03	1.191992E-16	1.666631E-17
4.010000E+03	1.199175E-16	1.612168E-17
4.020000E+03	1.206303E-16	1.558650E-17
4.030000E+03	1.213955E-16	1.506913E-17
4.040000E+03	1.220976E-16	1.455601E-17
4.050000E+03	1.227945E-16	1.405555E-17
4.060000E+03	1.234867E-16	1.356853E-17
4.070000E+03	1.241745E-16	1.309561E-17
4.080000E+03	1.249182E-16	1.264328E-17
4.090000E+03	1.255997E-16	1.219959E-17
4.100000E+03	1.262788E-16	1.177089E-17
4.110000E+03	1.269562E-16	1.135711E-17
4.120000E+03	1.276930E-16	1.096321E-17
4.130000E+03	1.283687E-16	1.057816E-17
4.140000E+03	1.290444E-16	1.020676E-17
4.150000E+03	1.297207E-16	9.848284E-18
4.160000E+03	1.303986E-16	9.501848E-18
4.170000E+03	1.311413E-16	9.170811E-18
4.180000E+03	1.318263E-16	8.845250E-18
4.190000E+03	1.325167E-16	8.528510E-18
4.200000E+03	1.332141E-16	8.219377E-18
4.210000E+03	1.339199E-16	7.916612E-18
4.220000E+03	1.346995E-16	7.622578E-18
4.230000E+03	1.354276E-16	7.328743E-18
4.240000E+03	1.361693E-16	7.037752E-18
4.250000E+03	1.369265E-16	6.748646E-18
4.260000E+03	1.377012E-16	6.460663E-18
4.270000E+03	1.385606E-16	6.176196E-18
4.280000E+03	1.393762E-16	5.889096E-18
4.290000E+03	1.402146E-16	5.602616E-18
4.300000E+03	1.410771E-16	5.317487E-18
4.310000E+03	1.419650E-16	5.035125E-18
4.320000E+03	1.428790E-16	4.757866E-18
4.330000E+03	1.438875E-16	4.491377E-18
4.340000E+03	1.448562E-16	4.236465E-18
4.350000E+03	1.458521E-16	4.002473E-18
4.360000E+03	1.468747E-16	3.798747E-18
4.370000E+03	1.479227E-16	3.636782E-18
4.380000E+03	1.489942E-16	3.529436E-18
4.390000E+03	1.501569E-16	3.490344E-18
4.400000E+03	1.512703E-16	3.516751E-18
4.410000E+03	1.524053E-16	3.599291E-18
4.420000E+03	1.535629E-16	3.725301E-18
4.430000E+03	1.547435E-16	3.882826E-18
4.440000E+03	1.559473E-16	4.061777E-18
4.450000E+03	1.571735E-16	4.254264E-18
4.460000E+03	1.584946E-16	4.456530E-18
4.470000E+03	1.597608E-16	4.660417E-18
4.480000E+03	1.610420E-16	4.865179E-18
4.490000E+03	1.623341E-16	5.069108E-18
4.500000E+03	1.636327E-16	5.271233E-18
4.510000E+03	1.649335E-16	5.471075E-18
4.520000E+03	1.662322E-16	5.668453E-18
4.530000E+03	1.676033E-16	5.866079E-18
4.540000E+03	1.688887E-16	6.058662E-18
4.550000E+03	1.701630E-16	6.248909E-18
4.560000E+03	1.714237E-16	6.436885E-18
4.570000E+03	1.726683E-16	6.622631E-18
4.580000E+03	1.738940E-16	6.806156E-18
4.590000E+03	1.750979E-16	6.987429E-18
4.600000E+03	1.762776E-16	7.166372E-18
4.610000E+03	1.774311E-16	7.342845E-18
4.620000E+03	1.786397E-16	7.520123E-18
4.630000E+03	1.797382E-16	7.691070E-18
4.640000E+03	1.808088E-16	7.858764E-18
4.650000E+03	1.818524E-16	8.022841E-18
4.660000E+03	1.828700E-16	8.182914E-18
4.670000E+03	1.838634E-16	8.338582E-18
4.680000E+03	1.848350E-16	8.489455E-18
4.690000E+03	1.857875E-16	8.635183E-18
4.700000E+03	1.867246E-16	8.775471E-18
4.710000E+03	1.876505E-16	8.910117E-18
4.720000E+03	1.885698E-16	9.039034E-18
4.730000E+03	1.894872E-16	9.162263E-18
4.740000E+03	1.904074E-16	9.279970E-18
4.750000E+03	1.913348E-16	9.392432E-18
4.760000E+03	1.923616E-16	9.504365E-18
4.770000E+03	1.933152E-16	9.607493E-18
4.780000E+03	1.942868E-16	9.706540E-18
4.790000E+03	1.952794E-16	9.801886E-18
4.800000E+03	1.962956E-16	9.893852E-18
4.810000E+03	1.973381E-16	9.982681E-18
4.820000E+03	1.984088E-16	1.006851E-17
4.830000E+03	1.995094E-16	1.015139E-17
4.840000E+03	2.006407E-16	1.023124E-17
4.850000E+03	2.018033E-16	1.030791E-17
4.860000E+03	2.029969E-16	1.038119E-17
4.870000E+03	2.042207E-16	1.045082E-17
4.880000E+03	2.054730E-16	1.051651E-17
4.890000E+03	2.067515E-16	1.057799E-17
4.900000E+03	2.080535E-16	1.063496E-17
4.910000E+03	2.093756E-16	1.068717E-17
4.920000E+03	2.107146E-16	1.073435E-17
4.930000E+03	2.120673E-16	1.077625E-17
4.940000E+03	2.134313E-16	1.081264E-17
4.950000E+03	2.148045E-16	1.084328E-17
4.960000E+03	2.161856E-16	1.086795E-17
4.970000E+03	2.175738E-16	1.088645E-17
4.980000E+03	2.189683E-16	1.089854E-17
4.990000E+03	2.203689E-16	1.090402E-17
5.000000E+03	2.217752E-16	1.090269E-17
5.010000E+03	2.231870E-16	1.089435E-17
5.020000E+03	2.246045E-16	1.087885E-17
5.030000E+03	2.259257E-16	1.085118E-17
5.040000E+03	2.273558E-16	1.082116E-17
5.050000E+03	2.287949E-16	1.078396E-17
5.060000E+03	2.302455E-16	1.073980E-17
5.070000E+03	2.317112E-16	1.068906E-17
5.080000E+03	2.331960E-16	1.063229E-17
5.090000E+03	2.347046E-16	1.057023E-17
5.100000E+03	2.362417E-16	1.050382E-17
5.110000E+03	2.378120E-16	1.043421E-17
5.120000E+03	2.394195E-16	1.036276E-17
5.121000E+03	2.491085E-16	4.762807E-17
5.123650E+03	2.515247E-16	4.785900E-17
5.126300E+03	2.545830E-16	4.818197E-17
5.128950E+03	2.575885E-16	4.849464E-17
5.131600E+03	2.590540E-16	4.857981E-17
5.134250E+03	2.597871E-16	4.855703E-17
5.136900E+03	2.615577E-16	4.868395E-17
5.139550E+03	2.626896E-16	4.871691E-17
5.142200E+03	2.630122E-16	4.863233E-17
5.144850E+03	2.630715E-16	4.850988E-17
5.147500E+03	2.627915E-16	4.814972E-17
5.150150E+03	2.628140E-16	4.805034E-17
5.152800E+03	2.630827E-16	4.789554E-17
5.155450E+03	2.631443E-16	4.736658E-17
5.158100E+03	2.629415E-16	4.691527E-17
5.160749E+03	2.628905E-16	4.655129E-17
5.163400E+03	2.633891E-16	4.648291E-17
5.166050E+03	2.636236E-16	4.623447E-17
5.168699E+03	2.630246E-16	4.625708E-17
5.171349E+03	2.625013E-16	4.647394E-17
5.173999E+03	2.625284E-16	4.549036E-17
5.176649E+03	2.624991E-16	4.508007E-17
5.179299E+03	2.622423E-16	4.517113E-17
5.181949E+03	2.626512E-16	4.493897E-17
5.184599E+03	2.630609E-16	4.287150E-17
5.187249E+03	2.638904E-16	4.256747E-17
5.189899E+03	2.650260E-16	4.296689E-17
5.192549E+03	2.665634E-16	4.308980E-17
5.195199E+03	2.682937E-16	4.312113E-17
5.197849E+03	2.698930E-16	4.317580E-17
5.200499E+03	2.719144E-16	4.339941E-17
5.203149E+03	2.748362E-16	4.367590E-17
5.205799E+03	2.772650E-16	4.395531E-17
5.208449E+03	2.773649E-16	4.400333E-17
5.211099E+03	2.759927E-16	4.367200E-17
5.213749E+03	2.739496E-16	4.322883E-17
5.216399E+03	2.719047E-16	4.291655E-17
5.219049E+03	2.693789E-16	4.200957E-17
5.221699E+03	2.674260E-16	4.169155E-17
5.224349E+03	2.682336E-16	4.170079E-17
5.226999E+03	2.686013E-16	4.145802E-17
5.229649E+03	2.670110E-16	4.157449E-17
5.232299E+03	2.661497E-16	4.237267E-17
5.234949E+03	2.655378E-16	4.291066E-17
5.237599E+03	2.637521E-16	4.247513E-17
5.240249E+03	2.618493E-16	4.220734E-17
5.242899E+03	2.612354E-16	4.202197E-17
5.245548E+03	2.617970E-16	4.321856E-17
5.248199E+03	2.628998E-16	4.374122E-17
5.250849E+03	2.653166E-16	4.385959E-17
5.253498E+03	2.678335E-16	4.417791E-17
5.256148E+03	2.696004E-16	4.405424E-17
5.258798E+03	2.707902E-16	4.408659E-17
5.261448E+03	2.730845E-16	4.421657E-17
5.264098E+03	2.757113E-16	4.405808E-17
5.266748E+03	2.770055E-16	4.380150E-17
5.269398E+03	2.788445E-16	4.448343E-17
5.272048E+03	2.800271E-16	4.446312E-17
5.274698E+03	2.800668E-16	4.457956E-17
5.277348E+03	2.810004E-16	4.425655E-17
5.279998E+03	2.821882E-16	4.303945E-17
5.282648E+03	2.822700E-16	4.237956E-17
5.285298E+03	2.834225E-16	4.285235E-17
5.287948E+03	2.863289E-16	4.326023E-17
5.290598E+03	2.882268E-16	4.356820E-17
5.293248E+03	2.883345E-16	4.232644E-17
5.295898E+03	2.890475E-16	4.155793E-17
5.298548E+03	2.909136E-16	4.174803E-17
5.301198E+03	2.930561E-16	4.174263E-17
5.303848E+03	2.935995E-16	4.172464E-17
5.306498E+03	2.933426E-16	4.152026E-17
5.309148E+03	2.925380E-16	4.130012E-17
