#wls	flux	fluxerr
1.593070E+03	8.372910E-05	2.325526E-05
1.632897E+03	8.433752E-05	2.326523E-05
1.672724E+03	8.492796E-05	2.326452E-05
1.712550E+03	8.554834E-05	2.326612E-05
1.752377E+03	8.612394E-05	2.324956E-05
1.792204E+03	8.672659E-05	2.323423E-05
1.832031E+03	8.730691E-05	2.320670E-05
1.871857E+03	8.788794E-05	2.317307E-05
1.911684E+03	8.846873E-05	2.313296E-05
1.951511E+03	8.902554E-05	2.308008E-05
1.991338E+03	8.960397E-05	2.302618E-05
2.031164E+03	9.015801E-05	2.295928E-05
2.070991E+03	9.073269E-05	2.289077E-05
2.110818E+03	9.130553E-05	2.281477E-05
2.150645E+03	9.187704E-05	2.273129E-05
2.190471E+03	9.244811E-05	2.264042E-05
2.230298E+03	9.304108E-05	2.254746E-05
2.270125E+03	9.365687E-05	2.245233E-05
2.309952E+03	9.427622E-05	2.235016E-05
2.349778E+03	9.490183E-05	2.224141E-05
2.389605E+03	9.557704E-05	2.213595E-05
2.429432E+03	9.628443E-05	2.202925E-05
2.469259E+03	9.702780E-05	2.192175E-05
2.509085E+03	9.781177E-05	2.181403E-05
2.548912E+03	9.866092E-05	2.171100E-05
2.588739E+03	9.958105E-05	2.161319E-05
2.628566E+03	1.005605E-04	2.151729E-05
2.668392E+03	1.016449E-04	2.143223E-05
2.708219E+03	1.028433E-04	2.135874E-05
2.748046E+03	1.041486E-04	2.129405E-05
2.787873E+03	1.056098E-04	2.124681E-05
2.827700E+03	1.072237E-04	2.121462E-05
2.867526E+03	1.090431E-04	2.120602E-05
2.907353E+03	1.110530E-04	2.121578E-05
2.947180E+03	1.133303E-04	2.125607E-05
2.987007E+03	1.158855E-04	2.132573E-05
2.996963E+03	1.165655E-04	2.134695E-05
3.006920E+03	1.172753E-04	2.137203E-05
3.016877E+03	1.179982E-04	2.139781E-05
3.026833E+03	1.187521E-04	2.142754E-05
3.036790E+03	1.195377E-04	2.146123E-05
3.046747E+03	1.203384E-04	2.149580E-05
3.056703E+03	1.211547E-04	2.153133E-05
3.066660E+03	1.220050E-04	2.157100E-05
3.076617E+03	1.228900E-04	2.161484E-05
3.086573E+03	1.237931E-04	2.165984E-05
3.096530E+03	1.247326E-04	2.170914E-05
3.106487E+03	1.256920E-04	2.175976E-05
3.116443E+03	1.266897E-04	2.181482E-05
3.126400E+03	1.277268E-04	2.187439E-05
