#wls	flux	fluxerr
1.593070E+03	1.709955E-17	6.581191E-20
1.632897E+03	1.723804E-17	6.634493E-20
1.672724E+03	1.732420E-17	6.667655E-20
1.712550E+03	1.736726E-17	6.684227E-20
1.752377E+03	1.735130E-17	6.678082E-20
1.792204E+03	1.726691E-17	6.645604E-20
1.832031E+03	1.710025E-17	6.581460E-20
1.871857E+03	1.682910E-17	6.477100E-20
1.911684E+03	1.642737E-17	6.322484E-20
1.951511E+03	1.589595E-17	6.117953E-20
1.991338E+03	1.524696E-17	5.868174E-20
2.031164E+03	1.454663E-17	5.598635E-20
2.070991E+03	1.392964E-17	5.361170E-20
2.110818E+03	1.355084E-17	5.215381E-20
2.150645E+03	1.356678E-17	5.221513E-20
2.190471E+03	1.402798E-17	5.399021E-20
2.230298E+03	1.491199E-17	5.739252E-20
2.270125E+03	1.611436E-17	6.202014E-20
2.309952E+03	1.752455E-17	6.744763E-20
2.349778E+03	1.904888E-17	7.331438E-20
2.389605E+03	2.063239E-17	7.940891E-20
2.429432E+03	2.223900E-17	8.559235E-20
2.469259E+03	2.387022E-17	9.187052E-20
2.509085E+03	2.553512E-17	9.827829E-20
2.548912E+03	2.724294E-17	1.048513E-19
2.588739E+03	2.900523E-17	1.116339E-19
2.628566E+03	3.085496E-17	1.187530E-19
2.668392E+03	3.280525E-17	1.262592E-19
2.708219E+03	3.487555E-17	1.342273E-19
2.748046E+03	3.709232E-17	1.427591E-19
2.787873E+03	3.948210E-17	1.519567E-19
2.827700E+03	4.205567E-17	1.618618E-19
2.867526E+03	4.485447E-17	1.726336E-19
2.907353E+03	4.788812E-17	1.843094E-19
2.947180E+03	5.119788E-17	1.970478E-19
2.987007E+03	5.479975E-17	2.109105E-19
2.996963E+03	5.575110E-17	2.145721E-19
3.006920E+03	5.672385E-17	2.183159E-19
3.016877E+03	5.771806E-17	2.221424E-19
3.026833E+03	5.873466E-17	2.260550E-19
3.036790E+03	5.977699E-17	2.300667E-19
3.046747E+03	6.084854E-17	2.341908E-19
3.056703E+03	6.195868E-17	2.384635E-19
3.066660E+03	6.308921E-17	2.428146E-19
3.076617E+03	6.425675E-17	2.473082E-19
3.086573E+03	6.545176E-17	2.519075E-19
3.096530E+03	6.668236E-17	2.566437E-19
3.106487E+03	6.793905E-17	2.614804E-19
3.116443E+03	6.923003E-17	2.664491E-19
3.126400E+03	7.055469E-17	2.715474E-19
3.136357E+03	7.190351E-17	2.767386E-19
3.146314E+03	7.327582E-17	2.820203E-19
3.156270E+03	7.468908E-17	2.874596E-19
3.166227E+03	7.612468E-17	2.929849E-19
3.176184E+03	7.760027E-17	2.986640E-19
