#wls	flux	fluxerr
1.600000E+03	1.165703E-17	1.107545E-17
1.640000E+03	1.194287E-17	1.123933E-17
1.680000E+03	1.224948E-17	1.141448E-17
1.720000E+03	1.257273E-17	1.159626E-17
1.760000E+03	1.291958E-17	1.179026E-17
1.800000E+03	1.328007E-17	1.198650E-17
1.840000E+03	1.366726E-17	1.219590E-17
1.880000E+03	1.407703E-17	1.241370E-17
1.920000E+03	1.451113E-17	1.264034E-17
1.960000E+03	1.497146E-17	1.287630E-17
2.000000E+03	1.546669E-17	1.312767E-17
2.040000E+03	1.599281E-17	1.338951E-17
2.080000E+03	1.655228E-17	1.366231E-17
2.120000E+03	1.714775E-17	1.394660E-17
2.160000E+03	1.778212E-17	1.424290E-17
2.200000E+03	1.846614E-17	1.455771E-17
2.240000E+03	1.919605E-17	1.488569E-17
2.280000E+03	1.997553E-17	1.522731E-17
2.320000E+03	2.080857E-17	1.558297E-17
2.360000E+03	2.170818E-17	1.595947E-17
2.400000E+03	2.267086E-17	1.635087E-17
2.440000E+03	2.370158E-17	1.675738E-17
2.480000E+03	2.480564E-17	1.717904E-17
2.520000E+03	2.598865E-17	1.761574E-17
2.560000E+03	2.726713E-17	1.807423E-17
2.600000E+03	2.863761E-17	1.854718E-17
2.640000E+03	3.010660E-17	1.903378E-17
2.680000E+03	3.169292E-17	1.954031E-17
2.720000E+03	3.337980E-17	2.005046E-17
2.760000E+03	3.519886E-17	2.057723E-17
2.800000E+03	3.714482E-17	2.111060E-17
2.840000E+03	3.923870E-17	2.165542E-17
2.880000E+03	4.145812E-17	2.219193E-17
2.920000E+03	4.383802E-17	2.273169E-17
2.960000E+03	4.636801E-17	2.326126E-17
3.000000E+03	4.906828E-17	2.378287E-17
3.010000E+03	4.976312E-17	2.390777E-17
3.020000E+03	5.046755E-17	2.403106E-17
3.030000E+03	5.118153E-17	2.415264E-17
3.040000E+03	5.190503E-17	2.427236E-17
3.050000E+03	5.263800E-17	2.439010E-17
3.060000E+03	5.338040E-17	2.450572E-17
3.070000E+03	5.415136E-17	2.462783E-17
3.080000E+03	5.491260E-17	2.473883E-17
3.090000E+03	5.568302E-17	2.484728E-17
3.100000E+03	5.646251E-17	2.495304E-17
3.110000E+03	5.725093E-17	2.505597E-17
3.120000E+03	5.806857E-17	2.516475E-17
3.130000E+03	5.887469E-17	2.526155E-17
3.140000E+03	5.968928E-17	2.535504E-17
3.150000E+03	6.053333E-17	2.545397E-17
3.160000E+03	6.136455E-17	2.554038E-17
3.170000E+03	6.220364E-17	2.562300E-17
3.180000E+03	6.305034E-17	2.570165E-17
3.190000E+03	6.392660E-17	2.578513E-17
3.200000E+03	6.478801E-17	2.585537E-17
3.210000E+03	6.567892E-17	2.593011E-17
3.220000E+03	6.655385E-17	2.599126E-17
3.230000E+03	6.743491E-17	2.604760E-17
3.240000E+03	6.834525E-17	2.610794E-17
3.250000E+03	6.923774E-17	2.615416E-17
3.260000E+03	7.015927E-17	2.620405E-17
3.270000E+03	7.106160E-17	2.623947E-17
3.280000E+03	7.196806E-17	2.626926E-17
3.290000E+03	7.290303E-17	2.630219E-17
3.300000E+03	7.381661E-17	2.632019E-17
3.310000E+03	7.475825E-17	2.634101E-17
3.320000E+03	7.567693E-17	2.634660E-17
3.330000E+03	7.662312E-17	2.635468E-17
3.340000E+03	7.754471E-17	2.634725E-17
3.350000E+03	7.849320E-17	2.634199E-17
3.360000E+03	7.944207E-17	2.632985E-17
3.370000E+03	8.036371E-17	2.630185E-17
3.380000E+03	8.131118E-17	2.627557E-17
3.390000E+03	8.222959E-17	2.623325E-17
3.400000E+03	8.317301E-17	2.619236E-17
3.410000E+03	8.411352E-17	2.614400E-17
3.420000E+03	8.502212E-17	2.607940E-17
3.430000E+03	8.595441E-17	2.601586E-17
3.440000E+03	8.685285E-17	2.593601E-17
3.450000E+03	8.777401E-17	2.585700E-17
3.460000E+03	8.868862E-17	2.577015E-17
3.470000E+03	8.956642E-17	2.566697E-17
3.480000E+03	9.046543E-17	2.556438E-17
3.490000E+03	9.135565E-17	2.545388E-17
3.500000E+03	9.220609E-17	2.532714E-17
3.510000E+03	9.307621E-17	2.520084E-17
3.520000E+03	9.393527E-17	2.506665E-17
3.530000E+03	9.478256E-17	2.492460E-17
3.540000E+03	9.558624E-17	2.476668E-17
3.550000E+03	9.640758E-17	2.460915E-17
3.560000E+03	9.721502E-17	2.444395E-17
3.570000E+03	9.800787E-17	2.427118E-17
3.580000E+03	9.878549E-17	2.409094E-17
3.590000E+03	9.951519E-17	2.389568E-17
3.600000E+03	1.002603E-16	2.370098E-17
3.610000E+03	1.009885E-16	2.349924E-17
3.620000E+03	1.016991E-16	2.329063E-17
3.630000E+03	1.023916E-16	2.307531E-17
3.640000E+03	1.030329E-16	2.284620E-17
3.650000E+03	1.036880E-16	2.261817E-17
3.660000E+03	1.043240E-16	2.238407E-17
3.670000E+03	1.049404E-16	2.214413E-17
3.680000E+03	1.055371E-16	2.189861E-17
3.690000E+03	1.061139E-16	2.164775E-17
3.700000E+03	1.066707E-16	2.139184E-17
3.710000E+03	1.072074E-16	2.113115E-17
3.720000E+03	1.076902E-16	2.085942E-17
3.730000E+03	1.081868E-16	2.059015E-17
3.740000E+03	1.086636E-16	2.031701E-17
3.750000E+03	1.091208E-16	2.004031E-17
3.760000E+03	1.095587E-16	1.976036E-17
3.770000E+03	1.099778E-16	1.947750E-17
3.780000E+03	1.103785E-16	1.919206E-17
3.790000E+03	1.107613E-16	1.890437E-17
3.800000E+03	1.111270E-16	1.861476E-17
3.810000E+03	1.114762E-16	1.832358E-17
3.820000E+03	1.118098E-16	1.803116E-17
3.830000E+03	1.121287E-16	1.773783E-17
3.840000E+03	1.124339E-16	1.744392E-17
3.850000E+03	1.127265E-16	1.714977E-17
3.860000E+03	1.130076E-16	1.685568E-17
3.870000E+03	1.132786E-16	1.656197E-17
3.880000E+03	1.135408E-16	1.626895E-17
3.890000E+03	1.137957E-16	1.597690E-17
3.900000E+03	1.140448E-16	1.568611E-17
3.910000E+03	1.142897E-16	1.539684E-17
3.920000E+03	1.145323E-16	1.510935E-17
3.930000E+03	1.147742E-16	1.482385E-17
3.940000E+03	1.150174E-16	1.454057E-17
3.950000E+03	1.152638E-16	1.425970E-17
3.960000E+03	1.155156E-16	1.398140E-17
3.970000E+03	1.157747E-16	1.370582E-17
3.980000E+03	1.160436E-16	1.343308E-17
3.990000E+03	1.163243E-16	1.316325E-17
4.000000E+03	1.166192E-16	1.289640E-17
4.010000E+03	1.169656E-16	1.263632E-17
4.020000E+03	1.172963E-16	1.237537E-17
4.030000E+03	1.176486E-16	1.211737E-17
4.040000E+03	1.180251E-16	1.186224E-17
4.050000E+03	1.184282E-16	1.160984E-17
4.060000E+03	1.188608E-16	1.136003E-17
4.070000E+03	1.193254E-16	1.111260E-17
4.080000E+03	1.198248E-16	1.086732E-17
4.090000E+03	1.203617E-16	1.062391E-17
4.100000E+03	1.209388E-16	1.038205E-17
4.110000E+03	1.215588E-16	1.014139E-17
4.120000E+03	1.222247E-16	9.901542E-18
4.130000E+03	1.229749E-16	9.664902E-18
4.140000E+03	1.237408E-16	9.425301E-18
4.150000E+03	1.245606E-16	9.185153E-18
4.160000E+03	1.254372E-16	8.943955E-18
4.170000E+03	1.263731E-16	8.701188E-18
4.180000E+03	1.273710E-16	8.456324E-18
4.190000E+03	1.284334E-16	8.208842E-18
4.200000E+03	1.295627E-16	7.958233E-18
4.210000E+03	1.307611E-16	7.704023E-18
4.220000E+03	1.320309E-16	7.445791E-18
4.230000E+03	1.334121E-16	7.185261E-18
4.240000E+03	1.348304E-16	6.918016E-18
4.250000E+03	1.363253E-16	6.646140E-18
4.260000E+03	1.378979E-16	6.369810E-18
4.270000E+03	1.395493E-16	6.089507E-18
4.280000E+03	1.412800E-16	5.806125E-18
4.290000E+03	1.430903E-16	5.521106E-18
4.300000E+03	1.449802E-16	5.236617E-18
4.310000E+03	1.469493E-16	4.955772E-18
4.320000E+03	1.489968E-16	4.682909E-18
4.330000E+03	1.511218E-16	4.423894E-18
4.340000E+03	1.533230E-16	4.186421E-18
4.350000E+03	1.556428E-16	3.981287E-18
4.360000E+03	1.579931E-16	3.817701E-18
4.370000E+03	1.604158E-16	3.709327E-18
4.380000E+03	1.629099E-16	3.668001E-18
4.390000E+03	1.654748E-16	3.702495E-18
4.400000E+03	1.681096E-16	3.813329E-18
4.410000E+03	1.708126E-16	3.992712E-18
4.420000E+03	1.735828E-16	4.229404E-18
4.430000E+03	1.764192E-16	4.511036E-18
4.440000E+03	1.793212E-16	4.825720E-18
4.450000E+03	1.822880E-16	5.162856E-18
4.460000E+03	1.853191E-16	5.513354E-18
4.470000E+03	1.884132E-16	5.869541E-18
4.480000E+03	1.915691E-16	6.224933E-18
4.490000E+03	1.947850E-16	6.573993E-18
4.500000E+03	1.980583E-16	6.911915E-18
4.510000E+03	2.013860E-16	7.234448E-18
4.520000E+03	2.047643E-16	7.537756E-18
4.530000E+03	2.081886E-16	7.818319E-18
4.540000E+03	2.116537E-16	8.072852E-18
4.550000E+03	2.151532E-16	8.298260E-18
4.560000E+03	2.186805E-16	8.491598E-18
4.570000E+03	2.222278E-16	8.650054E-18
4.580000E+03	2.257869E-16	8.770945E-18
4.590000E+03	2.292869E-16	8.849328E-18
4.600000E+03	2.328413E-16	8.887561E-18
4.610000E+03	2.363791E-16	8.881027E-18
4.620000E+03	2.398903E-16	8.827673E-18
4.630000E+03	2.433644E-16	8.725676E-18
4.640000E+03	2.467912E-16	8.573491E-18
4.650000E+03	2.501604E-16	8.369907E-18
4.660000E+03	2.534622E-16	8.114121E-18
4.670000E+03	2.566190E-16	7.803755E-18
4.680000E+03	2.597582E-16	7.443402E-18
4.690000E+03	2.628048E-16	7.032060E-18
4.700000E+03	2.657523E-16	6.572014E-18
4.710000E+03	2.685957E-16	6.067151E-18
4.720000E+03	2.712602E-16	5.522338E-18
4.730000E+03	2.738872E-16	4.950921E-18
4.740000E+03	2.764066E-16	4.368327E-18
4.750000E+03	2.788218E-16	3.803644E-18
4.760000E+03	2.810651E-16	3.306215E-18
4.770000E+03	2.832932E-16	2.959259E-18
4.780000E+03	2.854451E-16	2.864633E-18
4.790000E+03	2.875285E-16	3.078117E-18
4.800000E+03	2.894553E-16	3.545074E-18
4.810000E+03	2.913624E-16	4.176682E-18
4.820000E+03	2.931626E-16	4.901187E-18
4.830000E+03	2.947699E-16	5.672418E-18
4.840000E+03	2.963297E-16	6.465994E-18
4.850000E+03	2.976828E-16	7.261687E-18
4.860000E+03	2.989796E-16	8.051672E-18
4.870000E+03	3.001404E-16	8.826205E-18
4.880000E+03	3.010864E-16	9.576820E-18
4.890000E+03	3.019728E-16	1.030366E-17
4.900000E+03	3.026452E-16	1.099799E-17
4.910000E+03	3.032612E-16	1.166242E-17
4.920000E+03	3.036680E-16	1.228886E-17
4.930000E+03	3.040251E-16	1.288173E-17
4.940000E+03	3.041810E-16	1.343327E-17
4.950000E+03	3.042968E-16	1.394932E-17
4.960000E+03	3.042224E-16	1.442235E-17
4.970000E+03	3.040423E-16	1.485561E-17
4.980000E+03	3.038406E-16	1.525313E-17
4.990000E+03	3.034699E-16	1.560760E-17
5.000000E+03	3.030926E-16	1.592751E-17
5.010000E+03	3.025625E-16	1.620572E-17
5.020000E+03	3.019656E-16	1.644727E-17
5.030000E+03	3.013104E-16	1.665343E-17
5.040000E+03	3.006820E-16	1.682985E-17
5.050000E+03	2.999373E-16	1.696959E-17
5.060000E+03	2.991614E-16	1.707848E-17
5.070000E+03	2.983637E-16	1.715822E-17
5.080000E+03	2.976277E-16	1.721489E-17
5.090000E+03	2.968125E-16	1.724158E-17
5.100000E+03	2.960017E-16	1.724435E-17
5.110000E+03	2.952034E-16	1.722492E-17
5.120000E+03	2.944253E-16	1.718492E-17
5.130000E+03	2.936748E-16	1.712591E-17
5.140000E+03	2.929583E-16	1.704931E-17
5.150000E+03	2.922818E-16	1.695643E-17
5.160000E+03	2.916507E-16	1.684840E-17
5.170000E+03	2.910692E-16	1.672621E-17
5.180000E+03	2.905410E-16	1.659062E-17
5.190000E+03	2.900688E-16	1.644221E-17
5.200000E+03	2.896547E-16	1.628136E-17
5.210000E+03	2.892996E-16	1.610824E-17
5.220000E+03	2.890037E-16	1.592281E-17
5.230000E+03	2.887664E-16	1.572486E-17
5.240000E+03	2.885865E-16	1.551400E-17
5.250000E+03	2.884617E-16	1.528967E-17
5.260000E+03	2.883187E-16	1.504752E-17
5.270000E+03	2.882960E-16	1.479425E-17
5.280000E+03	2.883189E-16	1.452531E-17
5.290000E+03	2.883834E-16	1.423989E-17
5.300000E+03	2.884145E-16	1.393382E-17
5.310000E+03	2.885489E-16	1.361334E-17
5.320000E+03	2.887112E-16	1.327449E-17
5.330000E+03	2.888263E-16	1.291384E-17
5.340000E+03	2.890306E-16	1.253785E-17
5.350000E+03	2.891786E-16	1.214075E-17
5.360000E+03	2.894069E-16	1.172951E-17
5.370000E+03	2.895709E-16	1.129989E-17
5.380000E+03	2.898074E-16	1.085981E-17
5.390000E+03	2.899730E-16	1.040717E-17
5.400000E+03	2.902052E-16	9.951538E-18
5.410000E+03	2.903617E-16	9.493797E-18
5.420000E+03	2.905811E-16	9.046126E-18
5.430000E+03	2.907222E-16	8.613468E-18
5.440000E+03	2.908546E-16	8.209701E-18
5.450000E+03	2.910486E-16	7.850506E-18
5.460000E+03	2.911646E-16	7.547730E-18
5.470000E+03	2.912739E-16	7.320079E-18
5.480000E+03	2.913780E-16	7.183688E-18
5.490000E+03	2.914789E-16	7.151867E-18
5.500000E+03	2.916470E-16	7.232208E-18
5.510000E+03	2.917385E-16	7.414301E-18
5.520000E+03	2.918186E-16	7.686841E-18
5.530000E+03	2.918830E-16	8.034253E-18
5.540000E+03	2.919282E-16	8.440517E-18
5.550000E+03	2.919510E-16	8.890632E-18
5.560000E+03	2.919490E-16	9.371406E-18
5.570000E+03	2.919205E-16	9.871700E-18
5.580000E+03	2.918646E-16	1.038237E-17
5.590000E+03	2.917808E-16	1.089606E-17
5.600000E+03	2.916006E-16	1.140421E-17
5.610000E+03	2.914634E-16	1.190754E-17
5.620000E+03	2.913018E-16	1.239992E-17
5.630000E+03	2.911181E-16	1.287868E-17
5.640000E+03	2.909151E-16	1.334178E-17
5.650000E+03	2.906274E-16	1.378454E-17
5.660000E+03	2.903959E-16	1.421236E-17
5.670000E+03	2.901556E-16	1.462144E-17
5.680000E+03	2.898422E-16	1.500790E-17
5.690000E+03	2.895961E-16	1.537860E-17
5.700000E+03	2.892850E-16	1.572644E-17
5.710000E+03	2.890487E-16	1.605893E-17
5.720000E+03	2.887550E-16	1.636892E-17
5.730000E+03	2.885428E-16	1.666439E-17
5.740000E+03	2.882797E-16	1.693804E-17
5.750000E+03	2.880363E-16	1.719418E-17
5.760000E+03	2.878821E-16	1.743741E-17
5.770000E+03	2.876843E-16	1.766013E-17
5.780000E+03	2.875116E-16	1.786689E-17
5.790000E+03	2.874323E-16	1.806244E-17
5.800000E+03	2.873125E-16	1.823893E-17
5.810000E+03	2.872195E-16	1.840107E-17
5.820000E+03	2.871531E-16	1.854939E-17
5.830000E+03	2.871124E-16	1.868445E-17
5.840000E+03	2.870965E-16	1.880680E-17
5.850000E+03	2.871041E-16	1.891700E-17
5.860000E+03	2.871335E-16	1.901564E-17
5.870000E+03	2.871832E-16	1.910331E-17
5.880000E+03	2.872512E-16	1.918063E-17
5.890000E+03	2.873360E-16	1.924822E-17
5.900000E+03	2.874359E-16	1.930673E-17
5.910000E+03	2.875493E-16	1.935681E-17
5.920000E+03	2.876752E-16	1.939912E-17
5.930000E+03	2.878127E-16	1.943434E-17
5.940000E+03	2.878948E-16	1.945863E-17
5.950000E+03	2.880546E-16	1.948161E-17
5.960000E+03	2.882262E-16	1.949942E-17
5.970000E+03	2.883440E-16	1.950814E-17
5.980000E+03	2.885427E-16	1.951732E-17
5.990000E+03	2.886913E-16	1.951845E-17
6.000000E+03	2.889253E-16	1.952095E-17
6.010000E+03	2.891147E-16	1.951620E-17
6.020000E+03	2.893958E-16	1.951345E-17
6.030000E+03	2.896392E-16	1.950392E-17
6.040000E+03	2.899817E-16	1.949670E-17
6.050000E+03	2.902941E-16	1.948282E-17
6.060000E+03	2.906468E-16	1.946671E-17
6.070000E+03	2.911104E-16	1.945264E-17
6.080000E+03	2.915553E-16	1.943143E-17
6.090000E+03	2.920515E-16	1.940719E-17
6.100000E+03	2.926024E-16	1.937948E-17
6.110000E+03	2.932106E-16	1.934777E-17
