#wls	flux	fluxerr
1.590552E+03	1.390220E-01	1.589863E-04
1.630316E+03	1.549053E-01	1.771432E-04
1.670080E+03	1.734996E-01	1.983955E-04
1.709844E+03	1.956911E-01	2.237541E-04
1.749607E+03	2.229216E-01	2.548630E-04
1.789371E+03	2.571488E-01	2.939537E-04
1.812235E+03	3.767084E-01	4.305830E-04
1.813229E+03	3.730450E-01	4.263937E-04
1.814224E+03	3.691215E-01	4.219072E-04
1.815218E+03	3.650626E-01	4.172659E-04
1.816212E+03	3.610493E-01	4.126768E-04
1.817206E+03	3.569911E-01	4.080363E-04
1.818200E+03	3.530125E-01	4.034869E-04
1.819194E+03	3.490796E-01	3.989897E-04
1.820188E+03	3.451356E-01	3.944799E-04
1.821182E+03	3.411807E-01	3.899577E-04
1.822176E+03	3.374072E-01	3.856428E-04
1.823170E+03	3.339170E-01	3.816518E-04
1.824164E+03	3.306986E-01	3.779714E-04
1.825159E+03	3.276050E-01	3.744337E-04
1.826153E+03	3.245796E-01	3.709740E-04
1.827147E+03	3.217693E-01	3.677602E-04
1.828141E+03	3.194571E-01	3.651156E-04
1.829135E+03	3.174844E-01	3.628591E-04
1.830129E+03	3.156816E-01	3.607967E-04
1.831123E+03	3.143201E-01	3.592388E-04
1.832117E+03	3.131509E-01	3.579006E-04
1.833111E+03	3.120158E-01	3.566015E-04
1.834105E+03	3.108920E-01	3.553152E-04
1.835100E+03	3.096213E-01	3.538611E-04
1.836094E+03	3.084525E-01	3.525234E-04
1.837088E+03	3.075326E-01	3.514702E-04
1.838082E+03	3.065788E-01	3.503782E-04
1.839076E+03	3.053650E-01	3.489891E-04
1.840070E+03	3.041062E-01	3.475485E-04
1.841064E+03	3.030961E-01	3.463922E-04
1.842058E+03	3.022669E-01	3.454427E-04
1.843052E+03	3.017204E-01	3.448162E-04
1.844046E+03	3.017279E-01	3.448228E-04
1.845040E+03	3.019500E-01	3.450747E-04
1.846035E+03	3.023642E-01	3.455461E-04
1.847029E+03	3.028123E-01	3.460563E-04
1.848023E+03	3.032038E-01	3.465017E-04
1.849017E+03	3.035613E-01	3.469082E-04
1.850011E+03	3.039866E-01	3.473922E-04
1.851005E+03	3.046943E-01	3.481989E-04
1.851999E+03	3.059442E-01	3.496253E-04
1.852993E+03	3.076798E-01	3.516066E-04
1.853987E+03	3.098106E-01	3.540395E-04
1.854981E+03	3.123479E-01	3.569368E-04
1.855976E+03	3.149301E-01	3.598854E-04
1.856970E+03	3.173424E-01	3.626400E-04
1.857964E+03	3.197320E-01	3.653684E-04
1.858958E+03	3.222116E-01	3.681997E-04
1.859952E+03	3.249507E-01	3.713274E-04
1.860946E+03	3.279943E-01	3.748031E-04
1.861940E+03	3.312974E-01	3.785753E-04
1.862934E+03	3.345663E-01	3.823082E-04
1.863928E+03	3.377556E-01	3.859502E-04
1.864922E+03	3.407640E-01	3.893854E-04
1.865916E+03	3.435349E-01	3.925491E-04
1.866911E+03	3.463844E-01	3.958028E-04
1.867905E+03	3.493014E-01	3.991333E-04
1.868899E+03	3.522631E-01	4.025150E-04
1.869893E+03	3.551907E-01	4.058575E-04
1.870887E+03	3.580275E-01	4.090963E-04
1.871881E+03	3.607850E-01	4.122445E-04
1.872875E+03	3.634632E-01	4.153019E-04
1.873869E+03	3.660846E-01	4.182943E-04
1.874863E+03	3.687733E-01	4.213637E-04
1.875857E+03	3.716084E-01	4.246003E-04
1.876852E+03	3.745221E-01	4.279266E-04
1.877846E+03	3.774243E-01	4.312397E-04
1.878840E+03	3.802018E-01	4.344103E-04
1.879834E+03	3.825165E-01	4.370520E-04
1.880828E+03	3.841991E-01	4.389714E-04
1.881822E+03	3.853625E-01	4.402976E-04
1.882816E+03	3.863226E-01	4.413916E-04
1.883810E+03	3.871359E-01	4.423177E-04
1.884804E+03	3.879943E-01	4.432953E-04
1.885798E+03	3.888636E-01	4.442854E-04
1.886792E+03	3.896315E-01	4.451595E-04
1.887787E+03	3.902073E-01	4.458142E-04
1.888781E+03	3.895088E-01	4.450130E-04
1.889775E+03	3.875925E-01	4.428204E-04
1.890769E+03	3.881231E-01	4.434234E-04
1.891763E+03	3.888113E-01	4.442065E-04
1.892757E+03	3.893642E-01	4.448348E-04
1.893751E+03	3.897478E-01	4.452698E-04
1.894745E+03	3.900976E-01	4.456661E-04
1.895739E+03	3.903682E-01	4.459719E-04
1.896733E+03	3.907853E-01	4.464451E-04
1.897727E+03	3.909317E-01	4.466091E-04
1.898722E+03	3.905371E-01	4.461549E-04
1.899716E+03	3.898157E-01	4.453273E-04
1.900710E+03	3.889702E-01	4.443581E-04
1.901704E+03	3.879333E-01	4.431701E-04
1.902698E+03	3.867837E-01	4.418535E-04
1.903692E+03	3.853300E-01	4.401893E-04
1.904686E+03	3.836284E-01	4.382422E-04
1.905680E+03	3.822425E-01	4.366555E-04
1.906674E+03	3.812395E-01	4.355064E-04
1.907668E+03	3.808337E-01	4.350394E-04
1.908663E+03	3.809347E-01	4.351513E-04
1.909657E+03	3.814861E-01	4.357777E-04
1.910651E+03	3.819810E-01	4.363396E-04
1.911645E+03	3.817100E-01	4.360265E-04
1.912639E+03	3.811574E-01	4.353918E-04
1.913633E+03	3.807849E-01	4.349628E-04
1.914627E+03	3.806151E-01	4.347653E-04
1.915621E+03	3.806140E-01	4.347606E-04
1.916615E+03	3.807480E-01	4.349100E-04
1.917609E+03	3.811070E-01	4.353165E-04
1.918603E+03	3.815222E-01	4.357871E-04
1.919598E+03	3.818358E-01	4.361418E-04
1.920592E+03	3.820031E-01	4.363292E-04
1.921586E+03	3.819901E-01	4.363107E-04
1.922580E+03	3.819770E-01	4.362922E-04
1.923574E+03	3.820764E-01	4.364020E-04
1.924568E+03	3.826257E-01	4.370257E-04
1.925562E+03	3.837599E-01	4.383175E-04
1.926556E+03	3.852877E-01	4.400587E-04
1.927550E+03	3.870738E-01	4.420950E-04
1.928544E+03	3.890059E-01	4.442979E-04
1.929539E+03	3.909376E-01	4.465003E-04
1.930533E+03	3.927790E-01	4.485995E-04
1.931527E+03	3.947662E-01	4.508652E-04
1.932521E+03	3.966068E-01	4.529635E-04
1.933515E+03	3.983683E-01	4.549713E-04
1.934509E+03	4.001407E-01	4.569915E-04
1.935503E+03	4.019352E-01	4.590369E-04
1.936497E+03	4.038868E-01	4.612617E-04
1.937491E+03	4.060291E-01	4.637042E-04
1.938485E+03	4.084969E-01	4.665184E-04
1.939479E+03	4.111779E-01	4.695760E-04
1.940474E+03	4.138471E-01	4.726200E-04
1.941468E+03	4.162910E-01	4.754067E-04
1.942462E+03	4.186445E-01	4.780902E-04
1.943456E+03	4.212110E-01	4.810168E-04
1.944450E+03	4.239119E-01	4.840967E-04
1.945444E+03	4.266909E-01	4.872659E-04
1.946438E+03	4.294244E-01	4.903830E-04
1.947432E+03	4.320000E-01	4.933197E-04
1.948426E+03	4.341145E-01	4.957298E-04
1.949420E+03	4.359029E-01	4.977673E-04
1.950415E+03	4.377581E-01	4.998813E-04
1.951409E+03	4.395792E-01	5.019562E-04
1.952403E+03	4.412876E-01	5.039023E-04
1.953397E+03	4.428158E-01	5.056426E-04
1.954391E+03	4.441864E-01	5.072030E-04
1.955385E+03	4.451862E-01	5.083398E-04
1.956379E+03	4.457702E-01	5.090018E-04
1.957373E+03	4.461743E-01	5.094584E-04
1.958367E+03	4.465107E-01	5.098378E-04
1.959361E+03	4.471948E-01	5.106141E-04
1.960355E+03	4.484961E-01	5.120950E-04
1.961350E+03	4.497183E-01	5.134856E-04
1.962344E+03	4.505586E-01	5.144402E-04
1.963338E+03	4.511629E-01	5.151253E-04
1.964332E+03	4.518005E-01	5.158484E-04
1.965326E+03	4.525613E-01	5.167120E-04
1.966320E+03	4.532993E-01	5.175496E-04
1.967314E+03	4.540930E-01	5.184508E-04
1.968308E+03	4.548752E-01	5.193389E-04
1.969302E+03	4.557019E-01	5.202777E-04
1.970296E+03	4.567189E-01	5.214338E-04
1.971291E+03	4.579710E-01	5.228582E-04
1.972285E+03	4.593684E-01	5.244484E-04
1.973279E+03	4.608214E-01	5.261022E-04
1.974273E+03	4.623524E-01	5.278449E-04
1.975267E+03	4.641633E-01	5.299070E-04
1.976261E+03	4.663322E-01	5.323779E-04
1.977255E+03	4.686910E-01	5.350656E-04
1.978249E+03	4.708811E-01	5.375605E-04
1.979243E+03	4.729248E-01	5.398883E-04
1.980237E+03	4.749568E-01	5.422026E-04
1.981231E+03	4.765847E-01	5.440557E-04
1.982226E+03	4.779208E-01	5.455755E-04
1.983220E+03	4.790548E-01	5.468646E-04
1.984214E+03	4.799866E-01	5.479229E-04
1.985208E+03	4.808956E-01	5.489550E-04
1.986202E+03	4.815689E-01	5.497182E-04
1.987196E+03	4.819395E-01	5.501357E-04
1.988190E+03	4.822985E-01	5.505400E-04
1.989184E+03	4.830042E-01	5.513402E-04
1.990178E+03	4.840678E-01	5.525487E-04
1.991172E+03	4.852204E-01	5.538588E-04
1.992167E+03	4.863837E-01	5.551811E-04
1.993161E+03	4.873561E-01	5.562855E-04
1.994155E+03	4.878693E-01	5.568657E-04
1.995149E+03	4.881470E-01	5.571771E-04
1.996143E+03	4.882453E-01	5.572837E-04
1.997137E+03	4.883656E-01	5.574155E-04
1.998131E+03	4.887430E-01	5.578406E-04
1.999125E+03	4.894442E-01	5.586354E-04
2.000119E+03	4.904023E-01	5.597233E-04
2.001113E+03	4.914380E-01	5.608998E-04
2.002107E+03	4.923838E-01	5.619736E-04
2.003102E+03	4.932955E-01	5.630086E-04
2.004096E+03	4.941283E-01	5.639535E-04
2.005090E+03	4.948713E-01	5.647957E-04
2.006084E+03	4.958149E-01	5.658670E-04
2.007078E+03	4.972161E-01	5.674605E-04
2.008072E+03	4.990078E-01	5.694997E-04
2.009066E+03	5.010558E-01	5.718313E-04
2.010060E+03	5.029800E-01	5.740216E-04
2.011054E+03	5.045572E-01	5.758157E-04
2.012048E+03	5.057425E-01	5.771628E-04
2.013043E+03	5.068379E-01	5.784071E-04
2.014037E+03	5.078767E-01	5.795869E-04
2.015031E+03	5.090155E-01	5.808807E-04
2.016025E+03	5.103769E-01	5.824285E-04
2.017019E+03	5.116817E-01	5.839117E-04
2.018013E+03	5.129188E-01	5.853177E-04
2.019007E+03	5.140548E-01	5.866082E-04
2.020001E+03	5.151119E-01	5.878087E-04
2.020995E+03	5.161236E-01	5.889575E-04
2.021989E+03	5.170677E-01	5.900291E-04
2.022983E+03	5.181116E-01	5.912144E-04
2.023978E+03	5.192328E-01	5.924881E-04
2.024972E+03	5.201414E-01	5.935191E-04
2.025966E+03	5.205474E-01	5.939766E-04
2.026960E+03	5.203952E-01	5.937972E-04
2.027954E+03	5.196961E-01	5.929939E-04
2.028948E+03	5.184952E-01	5.916178E-04
2.029942E+03	5.172048E-01	5.901398E-04
2.030936E+03	5.162932E-01	5.890940E-04
2.031930E+03	5.157490E-01	5.884675E-04
2.032924E+03	5.153494E-01	5.880060E-04
2.033919E+03	5.150496E-01	5.876584E-04
2.034913E+03	5.146156E-01	5.871577E-04
2.035907E+03	5.139920E-01	5.864407E-04
2.036901E+03	5.131674E-01	5.854944E-04
2.037895E+03	5.121087E-01	5.842811E-04
2.038889E+03	5.107824E-01	5.827625E-04
2.039883E+03	5.094895E-01	5.812819E-04
2.040877E+03	5.084634E-01	5.801060E-04
2.041871E+03	5.076485E-01	5.791710E-04
2.042865E+03	5.069891E-01	5.784134E-04
2.043859E+03	5.062848E-01	5.776047E-04
2.044854E+03	5.054466E-01	5.766433E-04
2.045848E+03	5.044523E-01	5.755038E-04
2.046842E+03	5.032130E-01	5.740849E-04
2.047836E+03	5.017511E-01	5.724120E-04
2.048830E+03	5.003001E-01	5.707517E-04
2.049824E+03	4.988268E-01	5.690659E-04
2.050818E+03	4.972865E-01	5.673039E-04
2.051812E+03	4.957461E-01	5.655417E-04
2.052806E+03	4.942945E-01	5.638809E-04
2.053800E+03	4.930315E-01	5.624354E-04
2.054795E+03	4.920126E-01	5.612684E-04
2.055789E+03	4.907936E-01	5.598731E-04
2.056783E+03	4.892745E-01	5.581356E-04
2.057777E+03	4.876663E-01	5.562965E-04
2.058771E+03	4.861135E-01	5.545207E-04
2.059765E+03	4.846715E-01	5.528713E-04
2.060759E+03	4.833737E-01	5.513865E-04
2.061753E+03	4.821866E-01	5.500280E-04
2.062747E+03	4.811101E-01	5.487958E-04
2.063741E+03	4.801554E-01	5.477025E-04
2.064735E+03	4.795108E-01	5.469631E-04
2.065730E+03	4.792651E-01	5.466787E-04
2.066724E+03	4.793624E-01	5.467856E-04
2.067718E+03	4.796585E-01	5.471193E-04
2.068712E+03	4.801091E-01	5.476293E-04
2.069706E+03	4.807472E-01	5.483531E-04
2.070700E+03	4.814952E-01	5.492024E-04
2.071694E+03	4.823529E-01	5.501769E-04
2.072688E+03	4.832983E-01	5.512513E-04
2.073682E+03	4.844197E-01	5.525267E-04
2.074676E+03	4.856175E-01	5.538892E-04
2.075671E+03	4.869027E-01	5.553514E-04
2.076665E+03	4.881424E-01	5.567616E-04
2.077659E+03	4.894140E-01	5.582085E-04
2.078653E+03	4.908393E-01	5.598305E-04
2.079647E+03	4.926283E-01	5.618675E-04
2.080641E+03	4.947587E-01	5.642939E-04
2.081635E+03	4.969759E-01	5.668193E-04
2.082629E+03	4.993242E-01	5.694942E-04
2.083623E+03	5.018586E-01	5.723815E-04
2.084617E+03	5.046342E-01	5.755439E-04
2.085611E+03	5.076511E-01	5.789815E-04
2.086606E+03	5.107542E-01	5.825175E-04
2.087600E+03	5.139546E-01	5.861644E-04
2.088594E+03	5.169098E-01	5.895318E-04
2.089588E+03	5.195428E-01	5.925317E-04
2.090582E+03	5.219198E-01	5.952397E-04
2.091576E+03	5.241957E-01	5.978324E-04
2.092570E+03	5.263924E-01	6.003348E-04
2.093564E+03	5.283336E-01	6.025459E-04
2.094558E+03	5.299642E-01	6.044029E-04
2.095552E+03	5.313507E-01	6.059814E-04
2.096547E+03	5.324269E-01	6.072063E-04
2.097541E+03	5.333806E-01	6.082914E-04
2.098535E+03	5.345755E-01	6.096516E-04
2.099529E+03	5.361765E-01	6.114751E-04
2.100523E+03	5.378752E-01	6.134099E-04
2.101517E+03	5.394290E-01	6.151796E-04
2.102511E+03	5.406510E-01	6.165709E-04
2.103505E+03	5.415413E-01	6.175841E-04
2.104499E+03	5.422213E-01	6.183574E-04
2.105493E+03	5.428891E-01	6.191169E-04
2.106487E+03	5.435558E-01	6.198752E-04
2.107482E+03	5.443533E-01	6.207827E-04
2.108476E+03	5.452596E-01	6.218143E-04
2.109470E+03	5.462415E-01	6.229322E-04
2.110464E+03	5.469365E-01	6.237230E-04
2.111458E+03	5.472128E-01	6.240363E-04
2.112452E+03	5.472026E-01	6.240230E-04
2.113446E+03	5.470927E-01	6.238960E-04
2.114440E+03	5.469712E-01	6.237558E-04
2.115434E+03	5.467940E-01	6.235522E-04
2.116428E+03	5.466051E-01	6.233353E-04
2.117423E+03	5.464486E-01	6.231554E-04
2.118417E+03	5.463461E-01	6.230371E-04
2.119411E+03	5.463635E-01	6.230557E-04
2.120405E+03	5.464460E-01	6.231485E-04
2.121399E+03	5.466811E-01	6.234153E-04
2.122393E+03	5.470139E-01	6.237937E-04
2.123387E+03	5.474554E-01	6.242960E-04
2.124381E+03	5.480384E-01	6.249597E-04
2.125375E+03	5.485874E-01	6.255847E-04
2.126369E+03	5.490260E-01	6.260838E-04
2.127363E+03	5.493542E-01	6.264571E-04
2.128358E+03	5.495830E-01	6.267172E-04
2.129352E+03	5.496142E-01	6.267519E-04
2.130346E+03	5.494259E-01	6.265363E-04
2.131340E+03	5.490185E-01	6.260710E-04
2.132334E+03	5.485340E-01	6.255177E-04
2.133328E+03	5.479836E-01	6.248894E-04
2.134322E+03	5.474000E-01	6.242232E-04
2.135316E+03	5.468160E-01	6.235567E-04
2.136310E+03	5.462317E-01	6.228898E-04
2.137304E+03	5.455707E-01	6.221355E-04
2.138299E+03	5.447675E-01	6.212192E-04
2.139293E+03	5.438441E-01	6.201657E-04
2.140287E+03	5.426916E-01	6.188511E-04
2.141281E+03	5.412774E-01	6.172381E-04
2.142275E+03	5.397217E-01	6.154637E-04
2.143269E+03	5.381226E-01	6.136399E-04
2.144263E+03	5.365130E-01	6.118042E-04
2.145257E+03	5.349035E-01	6.099687E-04
2.146251E+03	5.333053E-01	6.081460E-04
2.147245E+03	5.317727E-01	6.063982E-04
2.148239E+03	5.303166E-01	6.047376E-04
2.149234E+03	5.290238E-01	6.032634E-04
2.150228E+03	5.279596E-01	6.020498E-04
2.151222E+03	5.271454E-01	6.011213E-04
2.152216E+03	5.265485E-01	6.004407E-04
2.153210E+03	5.260600E-01	5.998838E-04
2.154204E+03	5.256365E-01	5.994009E-04
2.155198E+03	5.252234E-01	5.989300E-04
2.156192E+03	5.248101E-01	5.984589E-04
2.157186E+03	5.242770E-01	5.978512E-04
2.158180E+03	5.235919E-01	5.970702E-04
2.159175E+03	5.227439E-01	5.961035E-04
2.160169E+03	5.219067E-01	5.951491E-04
2.161163E+03	5.211996E-01	5.943431E-04
2.162157E+03	5.206658E-01	5.937347E-04
2.163151E+03	5.202725E-01	5.932867E-04
2.164145E+03	5.199549E-01	5.929249E-04
2.165139E+03	5.196585E-01	5.925874E-04
2.166133E+03	5.193510E-01	5.922373E-04
2.167127E+03	5.190106E-01	5.918497E-04
2.168121E+03	5.185294E-01	5.913015E-04
2.169115E+03	5.178641E-01	5.905434E-04
2.170110E+03	5.170257E-01	5.895880E-04
2.171104E+03	5.161766E-01	5.886204E-04
