#wls	flux	fluxerr
1.590552E+03	2.870057E-04	2.678589E-05
1.630316E+03	2.996249E-04	2.789923E-05
1.670080E+03	3.128733E-04	2.906484E-05
1.709844E+03	3.266010E-04	3.026834E-05
1.749607E+03	3.413047E-04	3.155529E-05
1.789371E+03	3.564028E-04	3.287133E-05
1.829135E+03	3.726503E-04	3.428561E-05
1.868899E+03	3.896790E-04	3.576351E-05
1.908663E+03	4.078208E-04	3.733484E-05
1.948426E+03	4.269257E-04	3.898510E-05
1.988190E+03	4.473523E-04	4.074626E-05
2.027954E+03	4.692101E-04	4.262735E-05
2.067718E+03	4.925703E-04	4.463382E-05
2.107482E+03	5.173958E-04	4.676128E-05
2.147245E+03	5.434857E-04	4.899063E-05
2.187009E+03	5.705092E-04	5.129130E-05
2.226773E+03	5.984003E-04	5.365681E-05
2.266537E+03	6.260522E-04	5.598770E-05
2.306301E+03	6.535423E-04	5.829120E-05
2.346064E+03	6.798631E-04	6.047795E-05
2.385828E+03	7.047705E-04	6.252733E-05
2.425592E+03	7.275044E-04	6.437330E-05
2.465356E+03	7.479444E-04	6.600700E-05
2.505120E+03	7.670720E-04	6.751671E-05
2.544883E+03	7.847571E-04	6.889220E-05
2.584647E+03	8.022588E-04	7.024506E-05
2.624411E+03	8.203219E-04	7.164080E-05
2.664175E+03	8.393447E-04	7.311412E-05
2.703939E+03	8.586504E-04	7.460604E-05
2.743702E+03	8.774060E-04	7.604462E-05
2.783466E+03	8.953309E-04	7.740649E-05
2.823230E+03	9.124089E-04	7.869133E-05
2.862994E+03	9.285095E-04	7.988890E-05
2.902758E+03	9.444519E-04	8.107046E-05
2.942521E+03	9.604578E-04	8.225554E-05
2.982285E+03	9.775427E-04	8.353129E-05
2.992226E+03	9.820504E-04	8.387018E-05
3.002167E+03	9.868029E-04	8.422985E-05
3.012108E+03	9.914518E-04	8.458057E-05
3.022049E+03	9.967003E-04	8.498230E-05
3.031990E+03	1.001506E-03	8.534614E-05
3.041931E+03	1.006915E-03	8.576128E-05
3.051872E+03	1.012580E-03	8.619811E-05
3.061813E+03	1.018160E-03	8.662746E-05
3.071754E+03	1.024000E-03	8.707882E-05
3.081695E+03	1.030100E-03	8.755222E-05
3.091636E+03	1.036461E-03	8.804750E-05
3.101577E+03	1.043081E-03	8.856463E-05
3.111518E+03	1.050294E-03	8.913192E-05
3.121459E+03	1.057426E-03	8.969211E-05
3.131399E+03	1.064812E-03	9.027365E-05
3.141340E+03	1.072449E-03	9.087617E-05
3.151281E+03	1.080662E-03	9.152737E-05
3.161222E+03	1.089117E-03	9.219870E-05
3.171163E+03	1.097808E-03	9.288979E-05
3.181104E+03	1.107055E-03	9.362761E-05
3.191045E+03	1.116525E-03	9.438402E-05
3.200986E+03	1.126210E-03	9.515835E-05
3.210927E+03	1.136427E-03	9.597725E-05
3.220868E+03	1.146842E-03	9.681263E-05
3.230809E+03	1.158085E-03	9.771750E-05
3.240750E+03	1.169504E-03	9.863691E-05
3.250691E+03	1.181089E-03	9.956995E-05
3.260632E+03	1.193457E-03	1.005687E-04
3.270573E+03	1.205964E-03	1.015787E-04
3.280514E+03	1.219218E-03	1.026512E-04
3.290455E+03	1.232887E-03	1.037584E-04
3.300396E+03	1.246950E-03	1.048983E-04
3.310337E+03	1.261387E-03	1.060692E-04
3.320278E+03	1.276173E-03	1.072691E-04
3.330219E+03	1.291585E-03	1.085213E-04
3.340159E+03	1.307589E-03	1.098227E-04
3.350100E+03	1.323844E-03	1.111449E-04
3.360041E+03	1.340611E-03	1.125096E-04
3.369982E+03	1.357541E-03	1.138876E-04
3.379923E+03	1.375179E-03	1.153247E-04
3.389864E+03	1.393170E-03	1.167908E-04
3.399805E+03	1.411455E-03	1.182815E-04
3.409746E+03	1.429984E-03	1.197921E-04
3.419687E+03	1.448992E-03	1.213426E-04
3.429628E+03	1.468136E-03	1.229041E-04
3.439569E+03	1.487357E-03	1.244719E-04
3.449510E+03	1.507147E-03	1.260870E-04
3.459451E+03	1.527119E-03	1.277172E-04
3.469392E+03	1.546874E-03	1.293291E-04
3.479333E+03	1.566839E-03	1.309583E-04
3.489274E+03	1.586605E-03	1.325709E-04
3.499215E+03	1.606340E-03	1.341808E-04
3.509156E+03	1.625711E-03	1.357604E-04
3.519097E+03	1.644986E-03	1.373319E-04
3.529038E+03	1.664483E-03	1.389221E-04
3.538978E+03	1.683785E-03	1.404962E-04
3.548919E+03	1.703292E-03	1.420874E-04
3.558860E+03	1.723368E-03	1.437262E-04
3.568801E+03	1.743794E-03	1.453942E-04
3.578742E+03	1.764729E-03	1.471050E-04
3.588683E+03	1.785663E-03	1.488157E-04
3.598624E+03	1.806380E-03	1.505084E-04
3.608565E+03	1.826221E-03	1.521285E-04
3.618506E+03	1.844364E-03	1.536073E-04
3.628447E+03	1.859655E-03	1.548490E-04
3.638388E+03	1.871389E-03	1.557950E-04
3.648329E+03	1.878709E-03	1.563741E-04
3.658270E+03	1.880932E-03	1.565298E-04
3.668211E+03	1.877638E-03	1.562273E-04
3.678152E+03	1.868517E-03	1.554410E-04
3.688093E+03	1.854209E-03	1.542245E-04
3.698034E+03	1.834856E-03	1.525896E-04
3.707975E+03	1.811473E-03	1.506211E-04
3.717916E+03	1.784898E-03	1.483886E-04
3.727857E+03	1.756637E-03	1.460175E-04
3.737797E+03	1.727717E-03	1.435931E-04
3.747738E+03	1.699209E-03	1.412043E-04
3.757679E+03	1.672633E-03	1.389774E-04
3.767620E+03	1.648846E-03	1.369836E-04
3.777561E+03	1.629110E-03	1.353274E-04
3.787502E+03	1.614605E-03	1.341068E-04
3.797443E+03	1.606037E-03	1.333802E-04
3.807384E+03	1.604570E-03	1.332441E-04
3.817325E+03	1.610748E-03	1.337434E-04
3.827266E+03	1.625508E-03	1.349558E-04
3.837207E+03	1.649392E-03	1.369261E-04
3.847148E+03	1.682548E-03	1.396662E-04
3.857089E+03	1.725424E-03	1.432134E-04
3.867030E+03	1.778024E-03	1.475677E-04
3.876971E+03	1.839999E-03	1.526999E-04
3.886912E+03	1.910865E-03	1.585699E-04
3.896853E+03	1.989983E-03	1.651245E-04
3.906794E+03	2.076307E-03	1.722770E-04
3.916735E+03	2.168377E-03	1.799061E-04
3.926676E+03	2.264872E-03	1.879022E-04
3.936616E+03	2.363733E-03	1.960946E-04
3.946557E+03	2.463163E-03	2.043342E-04
3.956498E+03	2.561186E-03	2.124573E-04
3.966439E+03	2.656025E-03	2.203165E-04
3.976380E+03	2.745641E-03	2.277428E-04
3.986321E+03	2.828855E-03	2.346386E-04
3.996262E+03	2.904435E-03	2.409017E-04
4.006203E+03	2.971908E-03	2.464931E-04
4.016144E+03	3.031156E-03	2.514031E-04
4.026085E+03	3.082396E-03	2.556497E-04
4.036026E+03	3.126526E-03	2.593075E-04
4.045967E+03	3.164371E-03	2.624449E-04
4.055908E+03	3.197188E-03	2.651663E-04
4.065849E+03	3.225579E-03	2.675216E-04
4.075790E+03	3.249896E-03	2.695399E-04
4.085731E+03	3.270151E-03	2.712224E-04
4.095672E+03	3.285642E-03	2.725108E-04
4.105613E+03	3.295618E-03	2.733427E-04
4.115554E+03	3.298934E-03	2.736233E-04
4.125495E+03	3.294779E-03	2.732851E-04
4.135436E+03	3.282594E-03	2.722817E-04
4.145376E+03	3.261830E-03	2.705677E-04
4.155317E+03	3.232879E-03	2.681753E-04
4.165258E+03	3.196333E-03	2.651536E-04
4.175199E+03	3.153076E-03	2.615758E-04
4.185140E+03	3.104548E-03	2.575612E-04
4.195081E+03	3.052301E-03	2.532386E-04
4.205022E+03	2.997920E-03	2.487394E-04
4.214963E+03	2.943410E-03	2.442298E-04
4.224904E+03	2.890124E-03	2.398221E-04
4.234845E+03	2.839855E-03	2.356649E-04
4.244786E+03	2.793752E-03	2.318539E-04
4.254727E+03	2.753023E-03	2.284890E-04
