#wls	flux	fluxerr
1.590552E+03	8.518819E-02	2.253954E-06
1.630316E+03	9.595616E-02	2.538859E-06
1.670080E+03	1.087258E-01	2.876725E-06
1.709844E+03	1.240597E-01	3.282438E-06
1.749607E+03	1.426382E-01	3.773998E-06
1.789371E+03	1.650722E-01	4.367567E-06
1.829135E+03	1.915317E-01	5.067647E-06
1.868899E+03	2.210087E-01	5.847563E-06
1.908663E+03	2.501382E-01	6.618288E-06
1.948426E+03	2.738961E-01	7.246887E-06
1.988190E+03	2.873634E-01	7.603210E-06
2.027954E+03	2.915396E-01	7.713706E-06
2.067718E+03	3.005475E-01	7.952042E-06
2.107482E+03	3.186396E-01	8.430731E-06
2.147245E+03	3.274148E-01	8.662910E-06
2.187009E+03	3.193534E-01	8.449617E-06
2.226773E+03	3.058253E-01	8.091683E-06
2.266537E+03	2.794164E-01	7.392942E-06
2.306301E+03	2.509684E-01	6.640250E-06
2.346064E+03	2.352095E-01	6.223293E-06
2.385828E+03	2.329212E-01	6.162748E-06
2.425592E+03	2.433834E-01	6.439563E-06
2.465356E+03	2.505090E-01	6.628096E-06
2.505120E+03	2.406286E-01	6.366675E-06
2.544883E+03	2.260957E-01	5.982156E-06
2.584647E+03	2.165522E-01	5.729647E-06
2.624411E+03	2.137444E-01	5.655358E-06
2.664175E+03	2.155439E-01	5.702971E-06
2.703939E+03	2.094726E-01	5.542333E-06
2.743702E+03	2.000031E-01	5.291782E-06
2.783466E+03	1.980025E-01	5.238851E-06
2.823230E+03	2.017351E-01	5.337609E-06
2.862994E+03	2.059805E-01	5.449935E-06
2.902758E+03	2.042136E-01	5.403186E-06
2.942521E+03	1.971643E-01	5.216672E-06
2.982285E+03	1.868746E-01	4.944421E-06
2.992226E+03	1.841886E-01	4.873354E-06
3.002167E+03	1.815640E-01	4.803910E-06
3.012108E+03	1.790327E-01	4.736936E-06
3.022049E+03	1.766081E-01	4.672786E-06
3.031990E+03	1.742903E-01	4.611461E-06
3.041931E+03	1.721011E-01	4.553536E-06
3.051872E+03	1.700628E-01	4.499606E-06
3.061813E+03	1.682277E-01	4.451053E-06
3.071754E+03	1.666394E-01	4.409028E-06
3.081695E+03	1.653513E-01	4.374948E-06
3.091636E+03	1.643932E-01	4.349598E-06
3.101577E+03	1.637812E-01	4.333406E-06
3.111518E+03	1.634948E-01	4.325826E-06
3.121459E+03	1.634904E-01	4.325712E-06
3.131399E+03	1.637010E-01	4.331281E-06
3.141340E+03	1.640497E-01	4.340507E-06
3.151281E+03	1.644537E-01	4.351198E-06
3.161222E+03	1.648423E-01	4.361479E-06
3.171163E+03	1.651579E-01	4.369830E-06
3.181104E+03	1.653510E-01	4.374939E-06
3.191045E+03	1.653817E-01	4.375751E-06
3.200986E+03	1.652436E-01	4.372096E-06
3.210927E+03	1.649518E-01	4.364376E-06
3.220868E+03	1.645345E-01	4.353336E-06
3.230809E+03	1.640302E-01	4.339991E-06
3.240750E+03	1.634885E-01	4.325660E-06
3.250691E+03	1.629524E-01	4.311477E-06
3.260632E+03	1.624875E-01	4.299174E-06
3.270573E+03	1.621395E-01	4.289967E-06
3.280514E+03	1.619633E-01	4.285305E-06
3.290455E+03	1.619937E-01	4.286108E-06
3.300396E+03	1.622762E-01	4.293584E-06
3.310337E+03	1.628316E-01	4.308278E-06
3.320278E+03	1.636500E-01	4.329931E-06
3.330219E+03	1.646614E-01	4.356693E-06
3.331598E+03	1.871341E-01	4.951286E-06
3.335643E+03	1.872826E-01	4.955216E-06
3.339689E+03	1.876787E-01	4.965696E-06
3.343734E+03	1.881175E-01	4.977306E-06
3.347779E+03	1.885776E-01	4.989479E-06
3.351825E+03	1.890696E-01	5.002496E-06
3.355870E+03	1.895935E-01	5.016358E-06
3.359915E+03	1.901278E-01	5.030496E-06
3.363960E+03	1.906725E-01	5.044907E-06
3.368006E+03	1.912059E-01	5.059021E-06
3.372051E+03	1.917176E-01	5.072558E-06
3.376096E+03	1.921965E-01	5.085230E-06
3.380142E+03	1.926321E-01	5.096756E-06
3.384187E+03	1.930244E-01	5.107135E-06
3.388232E+03	1.933519E-01	5.115799E-06
3.392277E+03	1.935609E-01	5.121330E-06
3.396323E+03	1.937375E-01	5.126003E-06
3.400368E+03	1.939246E-01	5.130952E-06
3.404413E+03	1.940792E-01	5.135042E-06
3.408458E+03	1.942336E-01	5.139127E-06
3.412504E+03	1.942697E-01	5.140084E-06
3.416549E+03	1.939519E-01	5.131675E-06
3.420594E+03	1.938270E-01	5.128371E-06
3.424639E+03	1.937556E-01	5.126480E-06
3.428685E+03	1.934269E-01	5.117783E-06
3.432730E+03	1.933016E-01	5.114469E-06
3.436775E+03	1.929514E-01	5.105203E-06
3.440821E+03	1.928045E-01	5.101316E-06
3.444865E+03	1.926254E-01	5.096577E-06
3.448910E+03	1.926601E-01	5.097496E-06
3.452955E+03	1.928657E-01	5.102936E-06
3.457001E+03	1.928999E-01	5.103841E-06
3.461046E+03	1.927415E-01	5.099650E-06
3.465091E+03	1.926043E-01	5.096019E-06
3.469137E+03	1.924563E-01	5.092103E-06
3.473182E+03	1.922120E-01	5.085639E-06
3.477227E+03	1.919996E-01	5.080021E-06
3.481272E+03	1.918833E-01	5.076941E-06
3.485318E+03	1.919054E-01	5.077527E-06
3.489363E+03	1.917886E-01	5.074438E-06
3.493408E+03	1.915650E-01	5.068521E-06
3.497453E+03	1.911921E-01	5.058653E-06
3.501499E+03	1.907444E-01	5.046810E-06
3.505544E+03	1.902754E-01	5.034401E-06
3.509589E+03	1.897426E-01	5.020304E-06
3.513635E+03	1.890181E-01	5.001134E-06
3.517680E+03	1.882725E-01	4.981405E-06
3.521725E+03	1.874099E-01	4.958584E-06
3.525770E+03	1.864093E-01	4.932109E-06
3.529816E+03	1.853983E-01	4.905359E-06
3.533861E+03	1.844089E-01	4.879182E-06
3.537906E+03	1.833987E-01	4.852452E-06
3.541951E+03	1.825587E-01	4.830228E-06
3.545997E+03	1.818891E-01	4.812511E-06
3.550042E+03	1.812515E-01	4.795640E-06
3.554087E+03	1.806352E-01	4.779334E-06
3.558133E+03	1.801358E-01	4.766121E-06
3.562178E+03	1.795940E-01	4.751787E-06
3.566223E+03	1.792963E-01	4.743910E-06
3.570268E+03	1.790092E-01	4.736312E-06
3.574314E+03	1.790082E-01	4.736287E-06
3.578359E+03	1.789858E-01	4.735694E-06
3.582404E+03	1.792705E-01	4.743226E-06
3.586449E+03	1.797560E-01	4.756072E-06
3.590494E+03	1.802304E-01	4.768623E-06
3.594539E+03	1.808842E-01	4.785923E-06
3.598584E+03	1.817808E-01	4.809645E-06
3.602630E+03	1.827929E-01	4.836424E-06
3.606675E+03	1.836878E-01	4.860103E-06
3.610720E+03	1.845713E-01	4.883478E-06
3.614765E+03	1.854540E-01	4.906832E-06
3.618811E+03	1.861244E-01	4.924571E-06
3.622856E+03	1.867625E-01	4.941454E-06
3.626901E+03	1.871676E-01	4.952173E-06
3.630947E+03	1.874454E-01	4.959523E-06
3.634992E+03	1.874695E-01	4.960160E-06
3.639037E+03	1.871452E-01	4.951580E-06
3.643082E+03	1.865993E-01	4.937135E-06
3.647128E+03	1.860007E-01	4.921298E-06
3.651173E+03	1.852758E-01	4.902118E-06
3.655218E+03	1.844352E-01	4.879877E-06
3.659263E+03	1.833210E-01	4.850396E-06
3.663309E+03	1.821652E-01	4.819815E-06
3.667354E+03	1.807678E-01	4.782843E-06
3.671399E+03	1.793816E-01	4.746166E-06
3.675444E+03	1.781328E-01	4.713125E-06
3.679490E+03	1.767690E-01	4.677039E-06
3.683535E+03	1.752691E-01	4.637355E-06
3.687580E+03	1.739697E-01	4.602976E-06
3.691626E+03	1.727445E-01	4.570559E-06
3.695671E+03	1.715515E-01	4.538993E-06
3.699716E+03	1.703905E-01	4.508274E-06
3.703761E+03	1.693035E-01	4.479515E-06
3.707807E+03	1.681122E-01	4.447993E-06
3.711852E+03	1.669739E-01	4.417876E-06
3.715897E+03	1.659725E-01	4.391380E-06
3.719943E+03	1.652126E-01	4.371275E-06
3.723988E+03	1.643064E-01	4.347298E-06
3.728032E+03	1.634110E-01	4.323607E-06
3.732077E+03	1.623800E-01	4.296328E-06
3.736123E+03	1.612553E-01	4.266571E-06
3.740168E+03	1.602881E-01	4.240980E-06
3.744213E+03	1.595515E-01	4.221492E-06
3.748258E+03	1.590034E-01	4.206990E-06
3.752304E+03	1.585287E-01	4.194431E-06
3.756349E+03	1.581795E-01	4.185190E-06
3.760394E+03	1.578930E-01	4.177610E-06
3.764440E+03	1.575648E-01	4.168926E-06
3.768485E+03	1.571531E-01	4.158034E-06
3.772530E+03	1.565643E-01	4.142453E-06
3.776575E+03	1.560173E-01	4.127982E-06
3.780621E+03	1.555852E-01	4.116549E-06
3.784666E+03	1.552159E-01	4.106777E-06
3.788711E+03	1.549924E-01	4.100865E-06
3.792756E+03	1.548835E-01	4.097984E-06
3.796802E+03	1.547433E-01	4.094272E-06
3.800847E+03	1.546134E-01	4.090836E-06
3.804892E+03	1.543793E-01	4.084644E-06
3.808938E+03	1.541350E-01	4.078178E-06
3.812983E+03	1.538594E-01	4.070887E-06
3.817028E+03	1.536775E-01	4.066073E-06
3.821073E+03	1.534435E-01	4.059883E-06
3.825119E+03	1.529915E-01	4.047925E-06
3.829164E+03	1.524775E-01	4.034322E-06
3.833209E+03	1.520467E-01	4.022925E-06
3.837255E+03	1.516056E-01	4.011256E-06
3.841300E+03	1.511026E-01	3.997946E-06
3.845345E+03	1.506205E-01	3.985189E-06
3.849390E+03	1.499936E-01	3.968603E-06
3.853436E+03	1.493877E-01	3.952573E-06
3.857481E+03	1.489582E-01	3.941207E-06
3.861526E+03	1.487254E-01	3.935048E-06
3.865571E+03	1.486271E-01	3.932448E-06
3.869616E+03	1.484977E-01	3.929023E-06
3.873661E+03	1.483579E-01	3.925325E-06
3.877706E+03	1.481355E-01	3.919440E-06
3.881751E+03	1.480370E-01	3.916836E-06
3.885797E+03	1.480830E-01	3.918052E-06
3.889842E+03	1.483353E-01	3.924726E-06
3.893887E+03	1.487212E-01	3.934938E-06
3.897933E+03	1.489521E-01	3.941047E-06
3.901978E+03	1.489250E-01	3.940330E-06
3.906023E+03	1.484136E-01	3.926799E-06
3.910068E+03	1.476141E-01	3.905645E-06
3.914114E+03	1.468871E-01	3.886411E-06
3.918159E+03	1.462532E-01	3.869639E-06
3.922204E+03	1.458769E-01	3.859683E-06
3.926250E+03	1.458196E-01	3.858165E-06
3.930295E+03	1.458032E-01	3.857733E-06
3.934340E+03	1.459718E-01	3.862192E-06
3.938385E+03	1.461914E-01	3.868004E-06
3.942431E+03	1.463595E-01	3.872450E-06
3.946476E+03	1.465786E-01	3.878246E-06
3.950521E+03	1.468487E-01	3.885395E-06
