#wls	flux	fluxerr
1.590552E+03	3.424495E-14	1.395022E-18
1.630316E+03	3.784076E-14	1.541502E-18
1.670080E+03	4.182471E-14	1.703795E-18
1.709844E+03	4.625048E-14	1.884085E-18
1.749607E+03	5.127788E-14	2.088884E-18
1.789371E+03	5.741347E-14	2.338827E-18
1.829135E+03	6.552254E-14	2.669162E-18
1.868899E+03	7.541675E-14	3.072218E-18
1.908663E+03	8.502113E-14	3.463467E-18
1.948426E+03	9.108736E-14	3.710584E-18
1.988190E+03	9.172818E-14	3.736688E-18
2.027954E+03	8.812953E-14	3.590091E-18
2.067718E+03	8.790131E-14	3.580794E-18
2.107482E+03	9.141683E-14	3.724004E-18
2.147245E+03	8.741232E-14	3.560874E-18
2.187009E+03	7.773152E-14	3.166511E-18
2.226773E+03	7.191608E-14	2.929610E-18
2.266537E+03	6.360870E-14	2.591197E-18
2.306301E+03	5.662446E-14	2.306683E-18
2.346064E+03	5.516214E-14	2.247113E-18
2.385828E+03	5.487344E-14	2.235352E-18
2.425592E+03	5.653402E-14	2.302998E-18
2.465356E+03	5.725747E-14	2.332469E-18
2.505120E+03	5.587666E-14	2.276220E-18
2.544883E+03	5.459670E-14	2.224078E-18
2.584647E+03	5.350262E-14	2.179509E-18
2.624411E+03	5.195716E-14	2.116552E-18
2.664175E+03	5.116112E-14	2.084125E-18
2.703939E+03	4.991252E-14	2.033261E-18
2.743702E+03	4.771106E-14	1.943581E-18
2.783466E+03	4.599405E-14	1.873636E-18
2.823230E+03	4.590938E-14	1.870187E-18
2.862994E+03	4.644980E-14	1.892201E-18
2.902758E+03	4.577481E-14	1.864705E-18
2.942521E+03	4.420229E-14	1.800646E-18
2.982285E+03	4.273485E-14	1.740867E-18
2.992226E+03	4.242752E-14	1.728348E-18
3.002167E+03	4.214413E-14	1.716803E-18
3.012108E+03	4.188430E-14	1.706219E-18
3.022049E+03	4.164770E-14	1.696581E-18
3.031990E+03	4.143123E-14	1.687763E-18
3.041931E+03	4.123264E-14	1.679673E-18
3.051872E+03	4.105622E-14	1.672486E-18
3.061813E+03	4.090248E-14	1.666223E-18
3.071754E+03	4.077555E-14	1.661053E-18
3.081695E+03	4.068404E-14	1.657325E-18
3.091636E+03	4.062994E-14	1.655121E-18
3.101577E+03	4.061589E-14	1.654548E-18
3.111518E+03	4.064223E-14	1.655622E-18
3.121459E+03	4.070082E-14	1.658008E-18
3.131399E+03	4.078053E-14	1.661255E-18
3.141340E+03	4.086976E-14	1.664890E-18
3.151281E+03	4.095324E-14	1.668291E-18
3.161222E+03	4.101775E-14	1.670919E-18
3.171163E+03	4.105274E-14	1.672344E-18
3.181104E+03	4.105009E-14	1.672236E-18
3.191045E+03	4.100691E-14	1.670477E-18
3.200986E+03	4.092409E-14	1.667103E-18
3.210927E+03	4.080176E-14	1.662120E-18
3.220868E+03	4.064370E-14	1.655681E-18
3.230809E+03	4.045779E-14	1.648108E-18
3.240750E+03	4.024941E-14	1.639619E-18
3.250691E+03	4.002616E-14	1.630525E-18
3.260632E+03	3.979591E-14	1.621145E-18
3.270573E+03	3.956020E-14	1.611543E-18
3.280514E+03	3.932036E-14	1.601773E-18
3.290455E+03	3.907708E-14	1.591863E-18
3.300396E+03	3.882765E-14	1.581702E-18
3.310337E+03	3.857005E-14	1.571208E-18
3.320278E+03	3.830811E-14	1.560537E-18
3.330219E+03	3.805254E-14	1.550126E-18
3.340159E+03	3.781780E-14	1.540564E-18
3.350100E+03	3.761666E-14	1.532370E-18
3.360041E+03	3.745476E-14	1.525775E-18
3.369982E+03	3.733538E-14	1.520912E-18
3.379923E+03	3.726093E-14	1.517879E-18
3.389864E+03	3.723237E-14	1.516716E-18
3.399805E+03	3.725450E-14	1.517617E-18
3.409746E+03	3.733052E-14	1.520714E-18
3.419687E+03	3.744182E-14	1.525248E-18
3.429628E+03	3.756534E-14	1.530280E-18
3.439569E+03	3.765484E-14	1.533926E-18
3.449510E+03	3.760399E-14	1.531854E-18
3.459451E+03	3.732927E-14	1.520663E-18
3.469392E+03	3.690290E-14	1.503294E-18
3.479333E+03	2.687506E-14	1.094795E-18
3.481034E+03	2.677133E-14	1.090570E-18
3.482735E+03	2.668540E-14	1.087069E-18
3.484435E+03	2.660894E-14	1.083955E-18
3.486137E+03	2.654788E-14	1.081467E-18
3.487838E+03	2.650935E-14	1.079898E-18
3.489539E+03	2.647195E-14	1.078374E-18
3.491240E+03	2.644280E-14	1.077187E-18
3.492941E+03	2.641479E-14	1.076046E-18
3.494642E+03	2.638911E-14	1.074999E-18
3.496343E+03	2.638354E-14	1.074772E-18
3.498044E+03	2.641823E-14	1.076186E-18
3.499745E+03	2.646827E-14	1.078224E-18
3.501445E+03	2.652770E-14	1.080645E-18
3.503147E+03	2.660009E-14	1.083594E-18
3.504848E+03	2.666527E-14	1.086249E-18
3.506549E+03	2.669601E-14	1.087501E-18
3.508250E+03	2.669707E-14	1.087545E-18
3.509951E+03	2.666846E-14	1.086379E-18
3.511652E+03	2.662678E-14	1.084681E-18
3.513353E+03	2.660401E-14	1.083754E-18
3.515054E+03	2.659303E-14	1.083306E-18
3.516754E+03	2.659974E-14	1.083580E-18
3.518456E+03	2.665134E-14	1.085682E-18
3.520157E+03	2.672770E-14	1.088792E-18
3.521858E+03	2.680278E-14	1.091851E-18
3.523559E+03	2.691204E-14	1.096302E-18
3.525260E+03	2.706019E-14	1.102337E-18
3.526961E+03	2.720349E-14	1.108175E-18
3.528662E+03	2.733013E-14	1.113333E-18
3.530363E+03	2.746257E-14	1.118729E-18
3.532064E+03	2.759843E-14	1.124263E-18
3.533765E+03	2.770937E-14	1.128782E-18
3.535466E+03	2.780606E-14	1.132721E-18
3.537167E+03	2.791326E-14	1.137088E-18
3.538868E+03	2.802153E-14	1.141499E-18
3.540569E+03	2.809433E-14	1.144464E-18
3.542270E+03	2.813169E-14	1.145986E-18
3.543971E+03	2.814894E-14	1.146689E-18
