#wls	flux	fluxerr
1.600000E+03	2.255529E-15	1.680350E-19
1.640000E+03	2.474802E-15	1.843706E-19
1.680000E+03	2.705200E-15	2.015350E-19
1.720000E+03	2.937451E-15	2.188375E-19
1.760000E+03	3.158111E-15	2.352764E-19
1.800000E+03	3.350513E-15	2.496102E-19
1.840000E+03	3.491675E-15	2.601266E-19
1.880000E+03	3.561065E-15	2.652961E-19
1.920000E+03	3.550832E-15	2.645337E-19
1.960000E+03	3.471993E-15	2.586602E-19
2.000000E+03	3.362118E-15	2.504746E-19
2.040000E+03	3.280534E-15	2.443966E-19
2.080000E+03	3.291950E-15	2.452471E-19
2.120000E+03	3.430721E-15	2.555854E-19
2.160000E+03	3.659575E-15	2.726347E-19
2.200000E+03	3.888596E-15	2.896965E-19
2.240000E+03	4.024316E-15	2.998075E-19
2.280000E+03	4.048932E-15	3.016414E-19
2.320000E+03	4.045127E-15	3.013578E-19
2.360000E+03	4.140097E-15	3.084330E-19
2.396000E+03	3.926523E-15	2.925218E-19
2.397000E+03	3.937419E-15	2.933336E-19
2.398000E+03	3.950030E-15	2.942732E-19
2.399000E+03	3.966587E-15	2.955066E-19
2.400000E+03	3.987090E-15	2.970340E-19
2.401000E+03	4.011281E-15	2.988363E-19
2.402000E+03	4.036846E-15	3.007408E-19
2.403000E+03	4.063529E-15	3.027287E-19
2.404000E+03	4.092700E-15	3.049019E-19
2.405000E+03	4.123676E-15	3.072096E-19
2.406000E+03	4.158600E-15	3.098113E-19
2.407000E+03	4.196699E-15	3.126497E-19
2.408000E+03	4.233773E-15	3.154117E-19
2.409000E+03	4.269222E-15	3.180526E-19
2.410000E+03	4.303129E-15	3.205787E-19
2.411000E+03	4.339270E-15	3.232711E-19
2.412000E+03	4.377559E-15	3.261236E-19
2.413000E+03	4.417482E-15	3.290978E-19
2.414000E+03	4.453891E-15	3.318102E-19
2.415000E+03	4.481981E-15	3.339029E-19
2.416000E+03	4.502952E-15	3.354652E-19
2.417000E+03	4.520150E-15	3.367464E-19
2.418000E+03	4.537693E-15	3.380534E-19
2.419000E+03	4.554980E-15	3.393413E-19
2.420000E+03	4.570468E-15	3.404951E-19
2.421000E+03	4.590075E-15	3.419558E-19
2.422000E+03	4.613118E-15	3.436725E-19
2.423000E+03	4.639853E-15	3.456642E-19
2.424000E+03	4.671398E-15	3.480143E-19
2.425000E+03	4.707410E-15	3.506971E-19
2.426000E+03	4.747545E-15	3.536871E-19
2.427000E+03	4.790172E-15	3.568628E-19
2.428000E+03	4.835209E-15	3.602180E-19
2.429000E+03	4.883083E-15	3.637846E-19
2.430000E+03	4.933794E-15	3.675625E-19
2.431000E+03	4.985111E-15	3.713856E-19
2.432000E+03	5.034031E-15	3.750300E-19
2.433000E+03	5.080205E-15	3.784700E-19
2.434000E+03	5.123637E-15	3.817056E-19
2.435000E+03	5.164411E-15	3.847432E-19
2.436000E+03	5.202870E-15	3.876083E-19
2.437000E+03	5.240216E-15	3.903906E-19
2.438000E+03	5.277566E-15	3.931732E-19
2.439000E+03	5.314577E-15	3.959304E-19
2.440000E+03	5.343774E-15	3.981056E-19
2.441000E+03	5.361377E-15	3.994170E-19
2.442000E+03	5.367128E-15	3.998454E-19
2.443000E+03	5.369100E-15	3.999923E-19
2.444000E+03	5.366519E-15	3.998000E-19
2.445000E+03	5.357922E-15	3.991596E-19
2.446000E+03	5.352248E-15	3.987369E-19
2.447000E+03	5.353533E-15	3.988326E-19
