#wls	flux	fluxerr	mangling_mask
3.800000E+03	2.504442E-14	1.065365E-15	1.163774E+00
3.801709E+03	2.512823E-14	1.065805E-15	1.163775E+00
3.803418E+03	2.523065E-14	1.066367E-15	1.163775E+00
3.805128E+03	2.531678E-14	1.066823E-15	1.163776E+00
3.806837E+03	2.537964E-14	1.067125E-15	1.163777E+00
3.808546E+03	2.542621E-14	1.067319E-15	1.163777E+00
3.810255E+03	2.546696E-14	1.067474E-15	1.163778E+00
3.811964E+03	2.551469E-14	1.067675E-15	1.163779E+00
3.813673E+03	2.557057E-14	1.067930E-15	1.163780E+00
3.815383E+03	2.563110E-14	1.068216E-15	1.163780E+00
3.817092E+03	2.568116E-14	1.068432E-15	1.163781E+00
3.818801E+03	2.572889E-14	1.068633E-15	1.163782E+00
3.820510E+03	2.577895E-14	1.068849E-15	1.163783E+00
3.822219E+03	2.580225E-14	1.068887E-15	1.163784E+00
3.823928E+03	2.580693E-14	1.068801E-15	1.163785E+00
3.825638E+03	2.582906E-14	1.062340E-15	1.163786E+00
3.827347E+03	2.586283E-14	1.034643E-15	1.163787E+00
3.829056E+03	2.590242E-14	1.010529E-15	1.163788E+00
3.830765E+03	2.593852E-14	9.971034E-16	1.163789E+00
3.832474E+03	2.593156E-14	9.892733E-16	1.163790E+00
3.834184E+03	2.587688E-14	9.879802E-16	1.163791E+00
3.835893E+03	2.581406E-14	9.835236E-16	1.163792E+00
3.837602E+03	2.574892E-14	8.964123E-16	1.163793E+00
3.839311E+03	2.566515E-14	7.871225E-16	1.163794E+00
3.841020E+03	2.557440E-14	7.290385E-16	1.163795E+00
3.842729E+03	2.548132E-14	7.939437E-16	1.163796E+00
3.844439E+03	2.538941E-14	8.873931E-16	1.163797E+00
3.846148E+03	2.532542E-14	9.076164E-16	1.163799E+00
3.847857E+03	2.528355E-14	8.951874E-16	1.163800E+00
3.849566E+03	2.523237E-14	8.939553E-16	1.163801E+00
3.851275E+03	2.518469E-14	8.941752E-16	1.163803E+00
3.852985E+03	2.515795E-14	8.937808E-16	1.163804E+00
3.854694E+03	2.514285E-14	9.085705E-16	1.163805E+00
3.856403E+03	2.513706E-14	9.136553E-16	1.163807E+00
3.858112E+03	2.513476E-14	9.129088E-16	1.163808E+00
3.859821E+03	2.512432E-14	9.158776E-16	1.163809E+00
3.861530E+03	2.512668E-14	9.483336E-16	1.163811E+00
3.863240E+03	2.515580E-14	9.607019E-16	1.163812E+00
3.864949E+03	2.518493E-14	9.621212E-16	1.163814E+00
3.866658E+03	2.521290E-14	9.446442E-16	1.163815E+00
3.868367E+03	2.526297E-14	9.140863E-16	1.163817E+00
3.870076E+03	2.533284E-14	9.184731E-16	1.163819E+00
3.871785E+03	2.539223E-14	9.352451E-16	1.163820E+00
3.873495E+03	2.543183E-14	9.285913E-16	1.163822E+00
3.875204E+03	2.547260E-14	9.165862E-16	1.163823E+00
3.876913E+03	2.551687E-14	9.225504E-16	1.163825E+00
3.878622E+03	2.557509E-14	9.711764E-16	1.163827E+00
3.880331E+03	2.564263E-14	1.128850E-15	1.163829E+00
3.882041E+03	2.570552E-14	1.378476E-15	1.163830E+00
3.883750E+03	2.577073E-14	1.499115E-15	1.163832E+00
3.885459E+03	2.583828E-14	1.519920E-15	1.163834E+00
3.887168E+03	2.588254E-14	1.533247E-15	1.163836E+00
3.888877E+03	2.589422E-14	1.542406E-15	1.163838E+00
3.890586E+03	2.589427E-14	1.534489E-15	1.163840E+00
3.892296E+03	2.589198E-14	1.487423E-15	1.163841E+00
3.894005E+03	2.588388E-14	1.432766E-15	1.163843E+00
3.895714E+03	2.588276E-14	1.456415E-15	1.163845E+00
3.897423E+03	2.587349E-14	1.473477E-15	1.163847E+00
3.899132E+03	2.583978E-14	1.475367E-15	1.163849E+00
3.900841E+03	2.579910E-14	1.477562E-15	1.163851E+00
3.902551E+03	2.577005E-14	1.506315E-15	1.163854E+00
3.904260E+03	2.573750E-14	1.514828E-15	1.163856E+00
3.905969E+03	2.567819E-14	1.519871E-15	1.163858E+00
3.907678E+03	2.560725E-14	1.521730E-15	1.163860E+00
3.909387E+03	2.553746E-14	1.507796E-15	1.163862E+00
3.911097E+03	2.546884E-14	1.504399E-15	1.163864E+00
3.912806E+03	2.539208E-14	1.503433E-15	1.163867E+00
3.914515E+03	2.530484E-14	1.496596E-15	1.163869E+00
3.916224E+03	2.521643E-14	1.497824E-15	1.163871E+00
3.917933E+03	2.510359E-14	1.501307E-15	1.163873E+00
3.919642E+03	2.496397E-14	1.501093E-15	1.163876E+00
3.921352E+03	2.482087E-14	1.516482E-15	1.163878E+00
3.923061E+03	2.466845E-14	1.525790E-15	1.163881E+00
3.924770E+03	2.449508E-14	1.517253E-15	1.163883E+00
3.926479E+03	2.432172E-14	1.516031E-15	1.163886E+00
3.928188E+03	2.417163E-14	1.485431E-15	1.163888E+00
3.929898E+03	2.402852E-14	1.376200E-15	1.163891E+00
3.931607E+03	2.388541E-14	1.135192E-15	1.163893E+00
3.933316E+03	2.375511E-14	9.498217E-16	1.163896E+00
3.935025E+03	2.364226E-14	8.898544E-16	1.163898E+00
3.936734E+03	2.352709E-14	8.399970E-16	1.163901E+00
3.938443E+03	2.340494E-14	7.798691E-16	1.163903E+00
3.940153E+03	2.328743E-14	7.700108E-16	1.163906E+00
3.941862E+03	2.319787E-14	7.850931E-16	1.163909E+00
3.943571E+03	2.315253E-14	8.020385E-16	1.163912E+00
3.945280E+03	2.313047E-14	7.745199E-16	1.163914E+00
3.946989E+03	2.311423E-14	7.642864E-16	1.163917E+00
3.948698E+03	2.309566E-14	7.681248E-16	1.163920E+00
3.950408E+03	2.308059E-14	7.629662E-16	1.163923E+00
3.952117E+03	2.307134E-14	7.295357E-16	1.163926E+00
3.953826E+03	2.306092E-14	7.183687E-16	1.163929E+00
3.955535E+03	2.304119E-14	7.191623E-16	1.163932E+00
3.957244E+03	2.302844E-14	7.189161E-16	1.163935E+00
3.958954E+03	2.303898E-14	7.210886E-16	1.163938E+00
3.960663E+03	2.308327E-14	6.858894E-16	1.163941E+00
3.962372E+03	2.315084E-14	6.476993E-16	1.163944E+00
3.964081E+03	2.322539E-14	6.545097E-16	1.163947E+00
3.965790E+03	2.329878E-14	6.986015E-16	1.163950E+00
3.967499E+03	2.337799E-14	7.519725E-16	1.163953E+00
3.969209E+03	2.346885E-14	8.179759E-16	1.163956E+00
3.970918E+03	2.356785E-14	8.281575E-16	1.163959E+00
3.972627E+03	2.365055E-14	8.127632E-16	1.163962E+00
3.974336E+03	2.374141E-14	8.372823E-16	1.163966E+00
3.976045E+03	2.386718E-14	8.857921E-16	1.163969E+00
3.977754E+03	2.395804E-14	9.449958E-16	1.163972E+00
3.979464E+03	2.399303E-14	9.738476E-16	1.163976E+00
3.981173E+03	2.399659E-14	9.732125E-16	1.163979E+00
3.982882E+03	2.396756E-14	9.621347E-16	1.163982E+00
3.984591E+03	2.394552E-14	9.645461E-16	1.163986E+00
3.986300E+03	2.396537E-14	9.593392E-16	1.163989E+00
3.988010E+03	2.398640E-14	9.488837E-16	1.163993E+00
3.989719E+03	2.397716E-14	9.567143E-16	1.163996E+00
3.991428E+03	2.394697E-14	9.865176E-16	1.164000E+00
3.993137E+03	2.390281E-14	9.856706E-16	1.164003E+00
