#wls	flux	fluxerr
1.577598E+03	2.361202E-04	1.248281E-05
1.617038E+03	2.364562E-04	1.249184E-05
1.656478E+03	2.367974E-04	1.250088E-05
1.695918E+03	2.371450E-04	1.250999E-05
1.735358E+03	2.375428E-04	1.252148E-05
1.774798E+03	2.379081E-04	1.253098E-05
1.814238E+03	2.383280E-04	1.254306E-05
1.853678E+03	2.387630E-04	1.255565E-05
1.893118E+03	2.391738E-04	1.256665E-05
1.932558E+03	2.396494E-04	1.258076E-05
1.971998E+03	2.401947E-04	1.259819E-05
2.011438E+03	2.407296E-04	1.261475E-05
2.050878E+03	2.413030E-04	1.263298E-05
2.090317E+03	2.419647E-04	1.265548E-05
2.129757E+03	2.426372E-04	1.267817E-05
2.169197E+03	2.434152E-04	1.270600E-05
2.208637E+03	2.442664E-04	1.273725E-05
2.248077E+03	2.452021E-04	1.277248E-05
2.287517E+03	2.462354E-04	1.281236E-05
2.326957E+03	2.473805E-04	1.285761E-05
2.366397E+03	2.486535E-04	1.290902E-05
2.405837E+03	2.501162E-04	1.296976E-05
2.445277E+03	2.517003E-04	1.303627E-05
2.484717E+03	2.535158E-04	1.311418E-05
2.524157E+03	2.555426E-04	1.320240E-05
2.563597E+03	2.578070E-04	1.330224E-05
2.603037E+03	2.603378E-04	1.341513E-05
2.642477E+03	2.631668E-04	1.354261E-05
2.681917E+03	2.663752E-04	1.368879E-05
2.721357E+03	2.699086E-04	1.385078E-05
2.760797E+03	2.739025E-04	1.403543E-05
2.800237E+03	2.783567E-04	1.424259E-05
2.839677E+03	2.832722E-04	1.447220E-05
2.879117E+03	2.888026E-04	1.473195E-05
2.918556E+03	2.949605E-04	1.502232E-05
2.957996E+03	3.018660E-04	1.534921E-05
2.967856E+03	3.036573E-04	1.543398E-05
2.977716E+03	3.055505E-04	1.552381E-05
2.987576E+03	3.074943E-04	1.561611E-05
2.997436E+03	3.094903E-04	1.571095E-05
3.007296E+03	3.115397E-04	1.580838E-05
3.017156E+03	3.135896E-04	1.590571E-05
3.027016E+03	3.157496E-04	1.600851E-05
3.036876E+03	3.179674E-04	1.611411E-05
3.046736E+03	3.202443E-04	1.622257E-05
3.056596E+03	3.225820E-04	1.633398E-05
3.066456E+03	3.249819E-04	1.644841E-05
3.076316E+03	3.274458E-04	1.656593E-05
3.086176E+03	3.299752E-04	1.668663E-05
3.096036E+03	3.325146E-04	1.680768E-05
3.105896E+03	3.351801E-04	1.693495E-05
3.115756E+03	3.379163E-04	1.706565E-05
3.125616E+03	3.407254E-04	1.719986E-05
3.135476E+03	3.436091E-04	1.733768E-05
3.145336E+03	3.465694E-04	1.747920E-05
3.155196E+03	3.496085E-04	1.762451E-05
3.165056E+03	3.527282E-04	1.777371E-05
3.174916E+03	3.559308E-04	1.792691E-05
3.184776E+03	3.592186E-04	1.808421E-05
3.194636E+03	3.625937E-04	1.824572E-05
3.204496E+03	3.660585E-04	1.841154E-05
3.214356E+03	3.695519E-04	1.857860E-05
3.224216E+03	3.732028E-04	1.875338E-05
