#wls	flux	fluxerr
1.577598E+03	3.039952E-05	1.780057E-06
1.617038E+03	3.094768E-05	1.811390E-06
1.656478E+03	3.134148E-05	1.833643E-06
1.695918E+03	3.157087E-05	1.846239E-06
1.735358E+03	3.162065E-05	1.848300E-06
1.774798E+03	3.145056E-05	1.837490E-06
1.814238E+03	3.101212E-05	1.810994E-06
1.853678E+03	3.025505E-05	1.765901E-06
1.893118E+03	2.913996E-05	1.699943E-06
1.932558E+03	2.766372E-05	1.612972E-06
1.971998E+03	2.589873E-05	1.509243E-06
2.011438E+03	2.403266E-05	1.399717E-06
2.050878E+03	2.237190E-05	1.302244E-06
2.090317E+03	2.127020E-05	1.237387E-06
2.129757E+03	2.100046E-05	1.220956E-06
2.169197E+03	2.165407E-05	1.258175E-06
2.208637E+03	2.313164E-05	1.343170E-06
2.248077E+03	2.521166E-05	1.462991E-06
2.287517E+03	2.764794E-05	1.603285E-06
2.326957E+03	3.021938E-05	1.751193E-06
2.366397E+03	3.278654E-05	1.898612E-06
2.405837E+03	3.526951E-05	2.040912E-06
2.445277E+03	3.764217E-05	2.176584E-06
2.484717E+03	3.988782E-05	2.304670E-06
2.524157E+03	4.202535E-05	2.426268E-06
2.563597E+03	4.408279E-05	2.543002E-06
2.603037E+03	4.606766E-05	2.655310E-06
2.642477E+03	4.801089E-05	2.764974E-06
2.681917E+03	4.994410E-05	2.873814E-06
2.721357E+03	5.187137E-05	2.982057E-06
2.760797E+03	5.383165E-05	3.091932E-06
2.800237E+03	5.582593E-05	3.203484E-06
2.839677E+03	5.789339E-05	3.318945E-06
2.879117E+03	6.003314E-05	3.438243E-06
2.918556E+03	6.228598E-05	3.563690E-06
2.957996E+03	6.465033E-05	3.695168E-06
2.967856E+03	6.527175E-05	3.729714E-06
2.977716E+03	6.589083E-05	3.764102E-06
2.987576E+03	6.653142E-05	3.799695E-06
2.997436E+03	6.717181E-05	3.835251E-06
3.007296E+03	6.783008E-05	3.871803E-06
3.017156E+03	6.852508E-05	3.910425E-06
3.027016E+03	6.923102E-05	3.949643E-06
3.036876E+03	6.995879E-05	3.990080E-06
3.046736E+03	7.071998E-05	4.032394E-06
3.056596E+03	7.148843E-05	4.075091E-06
3.066456E+03	7.228877E-05	4.119576E-06
3.076316E+03	7.309453E-05	4.164338E-06
3.086176E+03	7.391789E-05	4.210070E-06
3.096036E+03	7.477169E-05	4.257503E-06
3.105896E+03	7.562889E-05	4.305096E-06
3.115756E+03	7.651606E-05	4.354360E-06
3.125616E+03	7.740572E-05	4.403731E-06
3.135476E+03	7.831122E-05	4.453967E-06
3.145336E+03	7.924663E-05	4.505867E-06
3.155196E+03	8.018374E-05	4.557825E-06
3.165056E+03	8.115106E-05	4.611463E-06
3.174916E+03	8.211989E-05	4.665147E-06
3.184776E+03	8.311955E-05	4.720542E-06
3.194636E+03	8.412073E-05	4.775983E-06
3.204496E+03	8.513839E-05	4.832317E-06
3.214356E+03	8.618826E-05	4.890438E-06
3.224216E+03	8.724007E-05	4.948625E-06
3.234076E+03	8.832528E-05	5.008662E-06
3.243936E+03	8.941299E-05	5.068794E-06
3.253796E+03	9.051929E-05	5.129936E-06
3.263656E+03	9.166115E-05	5.193044E-06
3.273516E+03	9.280660E-05	5.256309E-06
3.283376E+03	9.398926E-05	5.321631E-06
3.293236E+03	9.517647E-05	5.387161E-06
3.303096E+03	9.638552E-05	5.453875E-06
3.312956E+03	9.763462E-05	5.522803E-06
3.322816E+03	9.888991E-05	5.592027E-06
3.332676E+03	1.001873E-04	5.663578E-06
3.342536E+03	1.014922E-04	5.735496E-06
3.352396E+03	1.028415E-04	5.809863E-06
3.362256E+03	1.041996E-04	5.884672E-06
3.372116E+03	1.055856E-04	5.960997E-06
3.381976E+03	1.070197E-04	6.039974E-06
3.391836E+03	1.084649E-04	6.119516E-06
3.401696E+03	1.099608E-04	6.201850E-06
3.411556E+03	1.114695E-04	6.284841E-06
3.421416E+03	1.130115E-04	6.369640E-06
3.431276E+03	1.146083E-04	6.457463E-06
3.441136E+03	1.162207E-04	6.546087E-06
3.450996E+03	1.178909E-04	6.637899E-06
3.460856E+03	1.195785E-04	6.730613E-06
3.470716E+03	1.213272E-04	6.826688E-06
3.480576E+03	1.230953E-04	6.923774E-06
3.490436E+03	1.249055E-04	7.023147E-06
3.500296E+03	1.267818E-04	7.126152E-06
3.510156E+03	1.286807E-04	7.230342E-06
3.520016E+03	1.306492E-04	7.338355E-06
3.529876E+03	1.326425E-04	7.447674E-06
3.539736E+03	1.346852E-04	7.559670E-06
3.549596E+03	1.368032E-04	7.675794E-06
3.559456E+03	1.389495E-04	7.793413E-06
3.569316E+03	1.411751E-04	7.915373E-06
3.579176E+03	1.434316E-04	8.038963E-06
3.589036E+03	1.457714E-04	8.167116E-06
