#wls	flux	fluxerr
1.577598E+03	5.687031E-19	3.083835E-20
1.617038E+03	5.831839E-19	3.160321E-20
1.656478E+03	5.937102E-19	3.215236E-20
1.695918E+03	6.000786E-19	3.247515E-20
1.735358E+03	6.016862E-19	3.253943E-20
1.774798E+03	5.977926E-19	3.230569E-20
1.814238E+03	5.869968E-19	3.169892E-20
1.853678E+03	5.683394E-19	3.066820E-20
1.893118E+03	5.408920E-19	2.916447E-20
1.932558E+03	5.047058E-19	2.719168E-20
1.971998E+03	4.619298E-19	2.486673E-20
2.011438E+03	4.169691E-19	2.242758E-20
2.050878E+03	3.766511E-19	2.024157E-20
2.090317E+03	3.484711E-19	1.871063E-20
2.129757E+03	3.379000E-19	1.812662E-20
2.169197E+03	3.472725E-19	1.861212E-20
2.208637E+03	3.755535E-19	2.010869E-20
2.248077E+03	4.193538E-19	2.243204E-20
2.287517E+03	4.738291E-19	2.532069E-20
2.326957E+03	5.344300E-19	2.852985E-20
2.366397E+03	5.972678E-19	3.185089E-20
2.405837E+03	6.597633E-19	3.514579E-20
2.445277E+03	7.203453E-19	3.833074E-20
2.484717E+03	7.786600E-19	4.138701E-20
2.524157E+03	8.345374E-19	4.430574E-20
2.563597E+03	8.883994E-19	4.710950E-20
2.603037E+03	9.403709E-19	4.980505E-20
2.642477E+03	9.911057E-19	5.242710E-20
2.681917E+03	1.041137E-18	5.500383E-20
2.721357E+03	1.091194E-18	5.757361E-20
2.760797E+03	1.141432E-18	6.014438E-20
2.800237E+03	1.192770E-18	6.276428E-20
2.839677E+03	1.245324E-18	6.543882E-20
2.879117E+03	1.300052E-18	6.821787E-20
2.918556E+03	1.357290E-18	7.111822E-20
2.957996E+03	1.417605E-18	7.416864E-20
2.967856E+03	1.433170E-18	7.495490E-20
2.977716E+03	1.448973E-18	7.575284E-20
2.987576E+03	1.465024E-18	7.656295E-20
2.997436E+03	1.481628E-18	7.740120E-20
3.007296E+03	1.498410E-18	7.824796E-20
3.017156E+03	1.515777E-18	7.912437E-20
3.027016E+03	1.533700E-18	8.002898E-20
3.036876E+03	1.552444E-18	8.097558E-20
3.046736E+03	1.571455E-18	8.193512E-20
3.056596E+03	1.591084E-18	8.292597E-20
3.066456E+03	1.611302E-18	8.394654E-20
3.076316E+03	1.632368E-18	8.501029E-20
3.086176E+03	1.653691E-18	8.608640E-20
3.096036E+03	1.675534E-18	8.718851E-20
3.105896E+03	1.697880E-18	8.831569E-20
3.115756E+03	1.721015E-18	8.948280E-20
3.125616E+03	1.744330E-18	9.065810E-20
3.135476E+03	1.768112E-18	9.185654E-20
3.145336E+03	1.792669E-18	9.309399E-20
3.155196E+03	1.817372E-18	9.433783E-20
3.165056E+03	1.842529E-18	9.560398E-20
3.174916E+03	1.868139E-18	9.689236E-20
3.184776E+03	1.894535E-18	9.822018E-20
3.194636E+03	1.921063E-18	9.955351E-20
3.204496E+03	1.948055E-18	1.009095E-19
3.214356E+03	1.975862E-18	1.023063E-19
3.224216E+03	2.003808E-18	1.037090E-19
3.234076E+03	2.032245E-18	1.051355E-19
3.243936E+03	2.061542E-18	1.066051E-19
3.253796E+03	2.091000E-18	1.080815E-19
3.263656E+03	2.120989E-18	1.095838E-19
3.273516E+03	2.151524E-18	1.111127E-19
3.283376E+03	2.183004E-18	1.126888E-19
3.293236E+03	2.214693E-18	1.142740E-19
3.303096E+03	2.246986E-18	1.158888E-19
3.312956E+03	2.280302E-18	1.175545E-19
3.322816E+03	2.313875E-18	1.192318E-19
3.332676E+03	2.348122E-18	1.209420E-19
3.342536E+03	2.383483E-18	1.227077E-19
3.352396E+03	2.419161E-18	1.244879E-19
3.362256E+03	2.455593E-18	1.263049E-19
3.372116E+03	2.493242E-18	1.281825E-19
3.381976E+03	2.531276E-18	1.300779E-19
3.391836E+03	2.570155E-18	1.320147E-19
3.401696E+03	2.610366E-18	1.340177E-19
3.411556E+03	2.651040E-18	1.360423E-19
3.421416E+03	2.692662E-18	1.381133E-19
3.431276E+03	2.735741E-18	1.402568E-19
3.441136E+03	2.779370E-18	1.424261E-19
3.450996E+03	2.824551E-18	1.446725E-19
3.460856E+03	2.870345E-18	1.469478E-19
3.470716E+03	2.917277E-18	1.492788E-19
3.480576E+03	2.965903E-18	1.516939E-19
3.490436E+03	3.015248E-18	1.541431E-19
3.500296E+03	3.065861E-18	1.566542E-19
3.510156E+03	3.118327E-18	1.592573E-19
3.520016E+03	3.171621E-18	1.618997E-19
3.529876E+03	3.226322E-18	1.646109E-19
3.539736E+03	3.283050E-18	1.674224E-19
3.549596E+03	3.340726E-18	1.702791E-19
3.559456E+03	3.399959E-18	1.732119E-19
3.569316E+03	3.461405E-18	1.762540E-19
3.579176E+03	3.523927E-18	1.793474E-19
3.589036E+03	3.588789E-18	1.825563E-19
3.598896E+03	3.654818E-18	1.858210E-19
3.608756E+03	3.722683E-18	1.891751E-19
3.618616E+03	3.793095E-18	1.926548E-19
3.628476E+03	3.864818E-18	1.961970E-19
3.638336E+03	3.938559E-18	1.998376E-19
3.648196E+03	4.015067E-18	2.036142E-19
3.658056E+03	4.093035E-18	2.074605E-19
3.667916E+03	4.173210E-18	2.114141E-19
3.677776E+03	4.256387E-18	2.155151E-19
3.687636E+03	4.341183E-18	2.196933E-19
3.697496E+03	4.429147E-18	2.240268E-19
3.707356E+03	4.518837E-18	2.284425E-19
3.717216E+03	4.611067E-18	2.329814E-19
3.727076E+03	4.706723E-18	2.376879E-19
3.736936E+03	4.804267E-18	2.424841E-19
3.746796E+03	4.904563E-18	2.474136E-19
3.756655E+03	5.008551E-18	2.525232E-19
3.766515E+03	5.114587E-18	2.577301E-19
3.776375E+03	5.223594E-18	2.630804E-19
3.786235E+03	5.336564E-18	2.686237E-19
3.796095E+03	5.451743E-18	2.742716E-19
3.805955E+03	5.570109E-18	2.800730E-19
3.815815E+03	5.692711E-18	2.860802E-19
3.825675E+03	5.817675E-18	2.921988E-19
3.835535E+03	5.947062E-18	2.985321E-19
3.845395E+03	6.078904E-18	3.049809E-19
3.855255E+03	6.214277E-18	3.115989E-19
3.865115E+03	6.354334E-18	3.184437E-19
3.874975E+03	6.496976E-18	3.254095E-19
3.884835E+03	6.643333E-18	3.325528E-19
3.894695E+03	6.794622E-18	3.399341E-19
3.904555E+03	6.948596E-18	3.474407E-19
3.914415E+03	7.106441E-18	3.551314E-19
3.924275E+03	7.269449E-18	3.630706E-19
3.934135E+03	7.435196E-18	3.711366E-19
3.943995E+03	7.604933E-18	3.793918E-19
3.953855E+03	7.780028E-18	3.879038E-19
3.963715E+03	7.957865E-18	3.965420E-19
3.973575E+03	8.139761E-18	4.053715E-19
3.983435E+03	8.327157E-18	4.144637E-19
3.993295E+03	8.517229E-18	4.236777E-19
4.003155E+03	8.711366E-18	4.330823E-19
4.013015E+03	8.911078E-18	4.427521E-19
4.022875E+03	9.113322E-18	4.525354E-19
4.032735E+03	9.319552E-18	4.625042E-19
4.042595E+03	9.529721E-18	4.726558E-19
4.052455E+03	9.745435E-18	4.830694E-19
4.062315E+03	9.963328E-18	4.935778E-19
4.072175E+03	1.018495E-17	5.042573E-19
4.082035E+03	1.041197E-17	5.151906E-19
4.091895E+03	1.064077E-17	5.261978E-19
4.101755E+03	1.087296E-17	5.373585E-19
4.111615E+03	1.111029E-17	5.487592E-19
4.121475E+03	1.134886E-17	5.602060E-19
4.131335E+03	1.159036E-17	5.717827E-19
4.141195E+03	1.183459E-17	5.834792E-19
4.151055E+03	1.208342E-17	5.953874E-19
4.160915E+03	1.233256E-17	6.072949E-19
4.170775E+03	1.258377E-17	6.192898E-19
4.180635E+03	1.283683E-17	6.313596E-19
4.190495E+03	1.309371E-17	6.436014E-19
4.200355E+03	1.334970E-17	6.557840E-19
4.210215E+03	1.360672E-17	6.680011E-19
4.220075E+03	1.386448E-17	6.802382E-19
4.229935E+03	1.412507E-17	6.925984E-19
4.239795E+03	1.438341E-17	7.048325E-19
4.249655E+03	1.464156E-17	7.170411E-19
4.259515E+03	1.489920E-17	7.292087E-19
4.269375E+03	1.515860E-17	7.414462E-19
4.279235E+03	1.541433E-17	7.534882E-19
4.289095E+03	1.566861E-17	7.654439E-19
4.298955E+03	1.592116E-17	7.772995E-19
4.308815E+03	1.617171E-17	7.890412E-19
4.318675E+03	1.642276E-17	8.007924E-19
4.328535E+03	1.666854E-17	8.122711E-19
4.338395E+03	1.691157E-17	8.236005E-19
4.348255E+03	1.715164E-17	8.347708E-19
4.358115E+03	1.738857E-17	8.457734E-19
4.367975E+03	1.762518E-17	8.567466E-19
4.377835E+03	1.785542E-17	8.673949E-19
4.387695E+03	1.808210E-17	8.778570E-19
4.397555E+03	1.830517E-17	8.881297E-19
4.407415E+03	1.852456E-17	8.982104E-19
4.417275E+03	1.874025E-17	9.080982E-19
4.427135E+03	1.895543E-17	9.179487E-19
4.436995E+03	1.916374E-17	9.274532E-19
4.446855E+03	1.936838E-17	9.367679E-19
4.456715E+03	1.956942E-17	9.458960E-19
4.466575E+03	1.976692E-17	9.548412E-19
4.476435E+03	1.996097E-17	9.636083E-19
4.486295E+03	2.015169E-17	9.722028E-19
4.496155E+03	2.033919E-17	9.806307E-19
4.506015E+03	2.052709E-17	9.890663E-19
4.515875E+03	2.070859E-17	9.971831E-19
4.525735E+03	2.088730E-17	1.005155E-18
4.535595E+03	2.106339E-17	1.012990E-18
4.545455E+03	2.123702E-17	1.020696E-18
4.555315E+03	2.140838E-17	1.028283E-18
