#wls	flux	fluxerr
1.600000E+03	1.331202E-17	6.098853E-19
1.640000E+03	1.335846E-17	6.114729E-19
1.680000E+03	1.340327E-17	6.129677E-19
1.720000E+03	1.345087E-17	6.145717E-19
1.760000E+03	1.349403E-17	6.159539E-19
1.800000E+03	1.353948E-17	6.174214E-19
1.840000E+03	1.358235E-17	6.187512E-19
1.880000E+03	1.362471E-17	6.200378E-19
1.920000E+03	1.366403E-17	6.211656E-19
1.960000E+03	1.370245E-17	6.222319E-19
2.000000E+03	1.373981E-17	6.232285E-19
2.040000E+03	1.377597E-17	6.241498E-19
2.080000E+03	1.381087E-17	6.249922E-19
2.120000E+03	1.384449E-17	6.257546E-19
2.160000E+03	1.387453E-17	6.263325E-19
2.200000E+03	1.390346E-17	6.268382E-19
2.240000E+03	1.393380E-17	6.273846E-19
2.280000E+03	1.396122E-17	6.277762E-19
2.320000E+03	1.398850E-17	6.281375E-19
2.360000E+03	1.401615E-17	6.284921E-19
2.400000E+03	1.404489E-17	6.288705E-19
2.440000E+03	1.407786E-17	6.294129E-19
2.480000E+03	1.411147E-17	6.299584E-19
2.520000E+03	1.414921E-17	6.306606E-19
2.560000E+03	1.419475E-17	6.316824E-19
2.600000E+03	1.424738E-17	6.329900E-19
2.640000E+03	1.430891E-17	6.346616E-19
2.680000E+03	1.438138E-17	6.367847E-19
2.720000E+03	1.446709E-17	6.394579E-19
2.760000E+03	1.456856E-17	6.427888E-19
2.800000E+03	1.469088E-17	6.469970E-19
2.840000E+03	1.483488E-17	6.521127E-19
2.880000E+03	1.500392E-17	6.582772E-19
2.920000E+03	1.520393E-17	6.657432E-19
2.960000E+03	1.543423E-17	6.744708E-19
3.000000E+03	1.570362E-17	6.848351E-19
3.010000E+03	1.577863E-17	6.877483E-19
3.020000E+03	1.585378E-17	6.906621E-19
3.030000E+03	1.593385E-17	6.937852E-19
3.040000E+03	1.601657E-17	6.970182E-19
3.050000E+03	1.610201E-17	7.003637E-19
3.060000E+03	1.618782E-17	7.037195E-19
3.070000E+03	1.627888E-17	7.072978E-19
3.080000E+03	1.637288E-17	7.109972E-19
3.090000E+03	1.646987E-17	7.148205E-19
3.100000E+03	1.657237E-17	7.188764E-19
3.110000E+03	1.667558E-17	7.229563E-19
3.120000E+03	1.678201E-17	7.271686E-19
3.130000E+03	1.689172E-17	7.315163E-19
3.140000E+03	1.700728E-17	7.361100E-19
3.150000E+03	1.712628E-17	7.408449E-19
3.160000E+03	1.724630E-17	7.456158E-19
3.170000E+03	1.737241E-17	7.506424E-19
3.180000E+03	1.750217E-17	7.558186E-19
3.190000E+03	1.763567E-17	7.611476E-19
3.200000E+03	1.777039E-17	7.665204E-19
3.210000E+03	1.791152E-17	7.721613E-19
3.220000E+03	1.805921E-17	7.780752E-19
3.230000E+03	1.820829E-17	7.840401E-19
3.240000E+03	1.836144E-17	7.901698E-19
3.250000E+03	1.851870E-17	7.964670E-19
3.260000E+03	1.868284E-17	8.030495E-19
3.270000E+03	1.884856E-17	8.096895E-19
3.280000E+03	1.902131E-17	8.166204E-19
3.290000E+03	1.919572E-17	8.236120E-19
3.300000E+03	1.937733E-17	8.309004E-19
3.310000E+03	1.956345E-17	8.383709E-19
3.320000E+03	1.975418E-17	8.460267E-19
3.330000E+03	1.994672E-17	8.537477E-19
3.340000E+03	2.014677E-17	8.617776E-19
3.350000E+03	2.035160E-17	8.699988E-19
3.360000E+03	2.056415E-17	8.785369E-19
3.370000E+03	2.077872E-17	8.871474E-19
3.380000E+03	2.099826E-17	8.959562E-19
3.390000E+03	2.122283E-17	9.049651E-19
3.400000E+03	2.145550E-17	9.143044E-19
3.410000E+03	2.169036E-17	9.237223E-19
3.420000E+03	2.193354E-17	9.334790E-19
3.430000E+03	2.217903E-17	9.433181E-19
3.440000E+03	2.243306E-17	9.535040E-19
3.450000E+03	2.269266E-17	9.639103E-19
3.460000E+03	2.295797E-17	9.745416E-19
3.470000E+03	2.322588E-17	9.852660E-19
3.480000E+03	2.350287E-17	9.963580E-19
3.490000E+03	2.378593E-17	1.007689E-18
3.500000E+03	2.407520E-17	1.019264E-18
3.510000E+03	2.437084E-17	1.031090E-18
3.520000E+03	2.467637E-17	1.043314E-18
3.530000E+03	2.498531E-17	1.055662E-18
3.540000E+03	2.530117E-17	1.068282E-18
3.550000E+03	2.562418E-17	1.081183E-18
3.560000E+03	2.595808E-17	1.094522E-18
3.570000E+03	2.629615E-17	1.108014E-18
3.580000E+03	2.664572E-17	1.121968E-18
3.590000E+03	2.699996E-17	1.136094E-18
3.600000E+03	2.736638E-17	1.150710E-18
3.610000E+03	2.773806E-17	1.165522E-18
3.620000E+03	2.812271E-17	1.180854E-18
3.630000E+03	2.851707E-17	1.196567E-18
3.640000E+03	2.892153E-17	1.212678E-18
3.650000E+03	2.933653E-17	1.229202E-18
3.660000E+03	2.975860E-17	1.245995E-18
3.670000E+03	3.019603E-17	1.263403E-18
3.680000E+03	3.064544E-17	1.281281E-18
3.690000E+03	3.110736E-17	1.299652E-18
3.700000E+03	3.158234E-17	1.318537E-18
3.710000E+03	3.207093E-17	1.337958E-18
3.720000E+03	3.257799E-17	1.358115E-18
3.730000E+03	3.309569E-17	1.378681E-18
