#wls	flux	fluxerr	mangling_mask
3.965329E+03	7.672235E-16	2.617537E-16	7.034231E+01
3.966800E+03	7.782689E-16	2.368786E-16	7.034245E+01
3.968271E+03	7.966299E-16	2.361430E-16	7.034260E+01
3.969741E+03	8.166089E-16	2.338501E-16	7.034274E+01
3.971212E+03	8.380652E-16	2.318333E-16	7.034289E+01
3.972682E+03	8.577631E-16	2.371327E-16	7.034304E+01
3.974153E+03	8.719743E-16	2.461139E-16	7.034320E+01
3.975623E+03	8.839346E-16	2.347844E-16	7.034335E+01
3.977094E+03	8.994121E-16	2.298219E-16	7.034351E+01
3.978565E+03	9.161559E-16	2.248129E-16	7.034367E+01
3.980025E+03	9.300861E-16	2.231642E-16	7.034383E+01
3.981496E+03	9.413432E-16	2.242150E-16	7.034399E+01
3.982966E+03	9.492240E-16	2.250588E-16	7.034415E+01
3.984437E+03	9.514772E-16	2.226190E-16	7.034432E+01
3.985907E+03	9.431085E-16	2.236135E-16	7.034448E+01
3.987378E+03	9.387494E-16	2.307122E-16	7.034465E+01
3.988849E+03	9.379075E-16	2.356675E-16	7.034482E+01
3.990319E+03	9.459995E-16	2.366587E-16	7.034499E+01
3.991790E+03	9.596488E-16	2.384489E-16	7.034517E+01
3.993260E+03	9.754789E-16	2.405783E-16	7.034534E+01
3.994731E+03	9.832193E-16	2.412323E-16	7.034552E+01
3.996202E+03	9.889902E-16	2.407540E-16	7.034570E+01
3.997672E+03	9.987005E-16	2.403713E-16	7.034588E+01
3.999143E+03	1.010803E-15	2.370644E-16	7.034606E+01
4.000613E+03	1.021498E-15	2.368516E-16	7.034625E+01
4.002084E+03	1.022415E-15	2.430710E-16	7.034643E+01
4.003555E+03	1.020589E-15	2.411320E-16	7.034662E+01
4.005025E+03	1.020381E-15	2.409284E-16	7.034681E+01
4.006485E+03	1.016725E-15	2.270572E-16	7.034700E+01
4.007956E+03	1.011874E-15	2.182253E-16	7.034720E+01
4.009427E+03	1.007375E-15	2.133935E-16	7.034739E+01
4.010897E+03	9.995689E-16	2.149207E-16	7.034759E+01
4.012368E+03	9.997828E-16	2.178115E-16	7.034779E+01
4.013838E+03	1.013785E-15	2.192731E-16	7.034799E+01
4.015309E+03	1.022300E-15	2.202442E-16	7.034819E+01
4.016780E+03	1.031800E-15	2.203466E-16	7.034840E+01
4.018250E+03	1.049179E-15	2.201778E-16	7.034860E+01
4.019721E+03	1.060579E-15	2.205984E-16	7.034881E+01
4.021191E+03	1.062270E-15	2.137409E-16	7.034902E+01
4.022662E+03	1.059248E-15	1.998047E-16	7.034923E+01
4.024133E+03	1.057141E-15	2.039874E-16	7.034945E+01
4.025603E+03	1.061717E-15	1.882086E-16	7.034966E+01
4.027074E+03	1.071992E-15	1.799848E-16	7.034988E+01
4.028544E+03	1.090849E-15	1.783112E-16	7.035010E+01
4.030015E+03	1.108791E-15	1.778204E-16	7.035032E+01
4.031475E+03	1.115549E-15	1.795668E-16	7.035055E+01
4.032946E+03	1.121602E-15	1.760268E-16	7.035077E+01
4.034417E+03	1.132792E-15	1.695436E-16	7.035100E+01
4.035887E+03	1.136313E-15	1.590591E-16	7.035123E+01
4.037358E+03	1.136387E-15	1.655617E-16	7.035146E+01
4.038828E+03	1.146803E-15	1.877427E-16	7.035169E+01
4.040299E+03	1.166224E-15	1.907409E-16	7.035193E+01
4.041770E+03	1.183042E-15	1.851516E-16	7.035216E+01
4.043240E+03	1.192051E-15	1.815753E-16	7.035240E+01
4.044711E+03	1.201060E-15	1.753703E-16	7.035264E+01
4.046181E+03	1.209366E-15	1.753839E-16	7.035289E+01
4.047652E+03	1.212747E-15	1.746549E-16	7.035313E+01
4.049122E+03	1.219083E-15	1.764977E-16	7.035338E+01
4.050593E+03	1.234354E-15	1.753695E-16	7.035362E+01
4.052064E+03	1.249344E-15	1.754231E-16	7.035388E+01
4.053534E+03	1.258846E-15	1.780611E-16	7.035413E+01
4.055005E+03	1.271093E-15	1.836972E-16	7.035438E+01
4.056465E+03	1.283198E-15	1.871236E-16	7.035464E+01
4.057936E+03	1.290379E-15	1.859672E-16	7.035490E+01
4.059407E+03	1.294042E-15	1.862178E-16	7.035516E+01
4.060877E+03	1.295103E-15	1.805482E-16	7.035542E+01
4.062348E+03	1.302143E-15	1.813780E-16	7.035568E+01
4.063818E+03	1.317415E-15	1.828375E-16	7.035595E+01
4.065289E+03	1.328748E-15	1.853178E-16	7.035622E+01
4.066759E+03	1.339236E-15	1.857202E-16	7.035649E+01
4.068230E+03	1.342759E-15	1.852436E-16	7.035676E+01
