#wls	flux	fluxerr
1.587302E+03	8.381242E-04	3.706653E-06
1.626984E+03	8.409332E-04	3.719076E-06
1.666667E+03	8.443503E-04	3.734189E-06
1.706349E+03	8.482470E-04	3.751422E-06
1.746032E+03	8.529876E-04	3.772387E-06
1.785714E+03	8.584529E-04	3.796558E-06
1.825397E+03	8.646921E-04	3.824151E-06
1.865079E+03	8.719264E-04	3.856145E-06
1.904762E+03	8.800536E-04	3.892088E-06
1.944444E+03	8.893124E-04	3.933036E-06
1.984127E+03	8.999558E-04	3.980106E-06
2.023810E+03	9.117393E-04	4.032220E-06
2.063492E+03	9.252838E-04	4.092121E-06
2.103175E+03	9.403715E-04	4.158847E-06
2.142857E+03	9.573170E-04	4.233789E-06
2.182540E+03	9.764625E-04	4.318461E-06
2.222222E+03	9.978203E-04	4.412917E-06
2.261905E+03	1.021787E-03	4.518910E-06
2.301587E+03	1.048614E-03	4.637553E-06
2.341270E+03	1.078778E-03	4.770955E-06
2.380952E+03	1.112617E-03	4.920611E-06
2.420635E+03	1.150518E-03	5.088230E-06
2.460317E+03	1.193123E-03	5.276656E-06
2.500000E+03	1.240949E-03	5.488168E-06
2.539683E+03	1.294792E-03	5.726288E-06
2.579365E+03	1.355327E-03	5.994011E-06
2.619048E+03	1.423771E-03	6.296705E-06
2.658730E+03	1.500773E-03	6.637253E-06
2.698413E+03	1.588012E-03	7.023073E-06
2.738095E+03	1.686335E-03	7.457910E-06
2.777778E+03	1.797651E-03	7.950210E-06
2.817460E+03	1.922905E-03	8.504154E-06
2.857143E+03	2.064344E-03	9.129677E-06
2.896825E+03	2.223017E-03	9.831414E-06
2.936508E+03	2.400513E-03	1.061640E-05
2.976190E+03	2.597587E-03	1.148797E-05
2.986111E+03	2.649946E-03	1.171953E-05
2.996032E+03	2.703333E-03	1.195564E-05
3.005952E+03	2.758048E-03	1.219762E-05
3.015873E+03	2.814061E-03	1.244534E-05
3.025794E+03	2.870983E-03	1.269708E-05
3.035714E+03	2.929105E-03	1.295413E-05
3.045635E+03	2.988014E-03	1.321466E-05
3.055556E+03	3.048353E-03	1.348151E-05
3.065476E+03	3.109330E-03	1.375118E-05
3.075397E+03	3.171582E-03	1.402649E-05
3.085317E+03	3.234280E-03	1.430378E-05
3.095238E+03	3.297682E-03	1.458418E-05
3.105159E+03	3.362045E-03	1.486883E-05
3.115079E+03	3.426484E-03	1.515381E-05
3.125000E+03	3.491618E-03	1.544187E-05
3.134921E+03	3.556912E-03	1.573064E-05
3.144841E+03	3.622587E-03	1.602109E-05
3.154762E+03	3.687688E-03	1.630900E-05
3.164683E+03	3.752807E-03	1.659699E-05
3.174603E+03	3.817749E-03	1.688420E-05
3.184524E+03	3.881906E-03	1.716794E-05
3.194444E+03	3.945458E-03	1.744900E-05
3.204365E+03	4.008177E-03	1.772638E-05
3.214286E+03	4.069420E-03	1.799723E-05
3.224206E+03	4.129752E-03	1.826405E-05
3.234127E+03	4.188105E-03	1.852212E-05
3.244048E+03	4.244623E-03	1.877208E-05
3.253968E+03	4.299445E-03	1.901453E-05
3.263889E+03	4.351886E-03	1.924645E-05
3.273810E+03	4.401652E-03	1.946655E-05
3.283730E+03	4.448441E-03	1.967347E-05
3.293651E+03	4.492332E-03	1.986758E-05
3.303571E+03	4.532565E-03	2.004552E-05
3.313492E+03	4.569152E-03	2.020732E-05
3.323413E+03	4.601653E-03	2.035106E-05
3.333333E+03	4.629577E-03	2.047455E-05
3.343254E+03	4.652380E-03	2.057541E-05
3.353175E+03	4.669087E-03	2.064929E-05
3.363095E+03	4.679877E-03	2.069701E-05
3.373016E+03	4.684152E-03	2.071592E-05
3.382937E+03	4.680651E-03	2.070044E-05
3.392857E+03	4.669811E-03	2.065249E-05
3.402778E+03	4.651577E-03	2.057185E-05
3.412698E+03	4.625922E-03	2.045839E-05
3.422619E+03	4.594356E-03	2.031879E-05
3.432540E+03	4.557484E-03	2.015572E-05
3.442460E+03	4.517788E-03	1.998017E-05
3.452381E+03	4.476795E-03	1.979887E-05
3.462302E+03	4.437620E-03	1.962562E-05
3.472222E+03	4.402794E-03	1.947160E-05
3.482143E+03	4.374457E-03	1.934627E-05
3.492063E+03	4.355111E-03	1.926071E-05
3.501984E+03	4.346538E-03	1.922280E-05
3.511905E+03	4.349988E-03	1.923806E-05
3.521825E+03	4.366076E-03	1.930921E-05
3.531746E+03	4.394661E-03	1.943563E-05
3.541667E+03	4.435033E-03	1.961417E-05
3.551587E+03	4.485401E-03	1.983693E-05
3.561508E+03	4.543091E-03	2.009207E-05
3.571429E+03	4.606224E-03	2.037127E-05
3.581349E+03	4.673113E-03	2.066710E-05
3.591270E+03	4.743718E-03	2.097935E-05
3.601190E+03	4.816725E-03	2.130223E-05
3.611111E+03	4.890279E-03	2.162752E-05
3.621032E+03	4.961809E-03	2.194387E-05
3.625685E+03	6.910074E-03	3.056017E-05
3.627143E+03	7.032646E-03	3.110226E-05
3.628601E+03	7.112239E-03	3.145426E-05
3.630060E+03	7.098528E-03	3.139362E-05
3.631518E+03	7.092391E-03	3.136648E-05
3.632976E+03	7.163447E-03	3.168073E-05
3.634435E+03	7.218141E-03	3.192262E-05
3.635893E+03	7.202484E-03	3.185337E-05
3.637351E+03	7.284058E-03	3.221414E-05
3.638810E+03	7.305051E-03	3.230698E-05
3.640268E+03	7.389812E-03	3.268184E-05
3.641726E+03	7.484354E-03	3.309996E-05
3.643185E+03	7.687628E-03	3.399895E-05
3.644643E+03	7.690072E-03	3.400976E-05
3.646101E+03	7.616770E-03	3.368558E-05
3.647560E+03	7.629721E-03	3.374285E-05
3.649018E+03	7.621660E-03	3.370720E-05
3.650476E+03	7.574011E-03	3.349647E-05
3.651935E+03	7.606760E-03	3.364131E-05
3.653393E+03	7.543959E-03	3.336356E-05
3.654851E+03	7.466491E-03	3.302096E-05
3.656310E+03	7.410037E-03	3.277129E-05
3.657768E+03	7.259239E-03	3.210438E-05
3.659226E+03	7.207177E-03	3.187413E-05
3.660685E+03	7.130426E-03	3.153469E-05
3.662143E+03	7.102069E-03	3.140928E-05
3.663601E+03	7.120888E-03	3.149251E-05
3.665060E+03	7.087398E-03	3.134440E-05
3.666518E+03	7.110377E-03	3.144602E-05
3.667976E+03	7.132136E-03	3.154226E-05
3.669435E+03	7.238977E-03	3.201477E-05
3.670893E+03	7.234340E-03	3.199426E-05
3.672351E+03	7.190341E-03	3.179967E-05
3.673810E+03	7.290107E-03	3.224089E-05
3.675268E+03	7.430227E-03	3.286058E-05
3.676726E+03	7.499203E-03	3.316563E-05
3.678185E+03	7.516099E-03	3.324035E-05
3.679643E+03	7.531531E-03	3.330860E-05
3.681101E+03	7.492186E-03	3.313460E-05
3.682560E+03	7.381919E-03	3.264694E-05
3.684018E+03	7.322026E-03	3.238205E-05
3.685476E+03	7.280472E-03	3.219828E-05
3.686935E+03	7.275115E-03	3.217459E-05
3.688393E+03	7.356834E-03	3.253599E-05
3.689851E+03	7.366401E-03	3.257831E-05
3.691310E+03	7.305035E-03	3.230691E-05
3.692768E+03	7.205994E-03	3.186890E-05
3.694226E+03	7.175931E-03	3.173594E-05
3.695685E+03	7.182319E-03	3.176419E-05
3.697143E+03	7.145160E-03	3.159986E-05
3.698601E+03	7.091609E-03	3.136302E-05
3.700060E+03	7.021173E-03	3.105151E-05
3.701518E+03	6.888340E-03	3.046405E-05
3.702976E+03	6.801743E-03	3.008107E-05
3.704435E+03	6.809837E-03	3.011687E-05
3.705893E+03	6.791505E-03	3.003580E-05
3.707351E+03	6.756288E-03	2.988005E-05
3.708810E+03	6.706874E-03	2.966151E-05
3.710268E+03	6.721824E-03	2.972763E-05
3.711726E+03	6.772017E-03	2.994961E-05
3.713185E+03	6.787217E-03	3.001683E-05
3.714643E+03	6.768151E-03	2.993251E-05
3.716101E+03	6.716532E-03	2.970422E-05
3.717560E+03	6.685715E-03	2.956793E-05
3.719018E+03	6.599329E-03	2.918589E-05
3.720476E+03	6.487723E-03	2.869230E-05
3.721935E+03	6.403282E-03	2.831886E-05
3.723393E+03	6.358498E-03	2.812080E-05
3.724851E+03	6.282861E-03	2.778629E-05
3.726310E+03	6.223869E-03	2.752539E-05
3.727768E+03	6.230982E-03	2.755685E-05
3.729226E+03	6.161211E-03	2.724829E-05
3.730685E+03	6.040501E-03	2.671444E-05
3.732143E+03	5.982962E-03	2.645997E-05
3.733601E+03	5.904113E-03	2.611126E-05
3.735060E+03	5.827707E-03	2.577335E-05
3.736518E+03	5.871794E-03	2.596832E-05
3.737976E+03	5.906087E-03	2.611999E-05
3.739435E+03	5.874253E-03	2.597920E-05
3.740893E+03	5.903652E-03	2.610922E-05
3.742351E+03	5.826745E-03	2.576909E-05
3.743810E+03	5.733664E-03	2.535744E-05
3.745268E+03	5.687857E-03	2.515485E-05
3.746726E+03	5.660420E-03	2.503351E-05
3.748185E+03	5.612157E-03	2.482007E-05
3.749643E+03	5.566341E-03	2.461744E-05
3.751101E+03	5.586431E-03	2.470629E-05
3.752560E+03	5.583983E-03	2.469546E-05
3.754018E+03	5.497730E-03	2.431401E-05
3.755476E+03	5.401669E-03	2.388917E-05
3.756935E+03	5.386714E-03	2.382303E-05
3.758393E+03	5.349704E-03	2.365935E-05
3.759851E+03	5.310975E-03	2.348807E-05
3.761310E+03	5.307292E-03	2.347179E-05
3.762768E+03	5.292090E-03	2.340455E-05
3.764226E+03	5.305320E-03	2.346306E-05
3.765685E+03	5.304091E-03	2.345763E-05
3.767143E+03	5.282024E-03	2.336004E-05
3.768601E+03	5.338405E-03	2.360938E-05
3.770060E+03	5.374444E-03	2.376877E-05
3.771518E+03	5.342818E-03	2.362890E-05
3.772976E+03	5.379106E-03	2.378939E-05
3.774435E+03	5.499257E-03	2.432076E-05
3.775893E+03	5.537274E-03	2.448889E-05
3.777351E+03	5.523063E-03	2.442604E-05
3.778810E+03	5.502232E-03	2.433392E-05
3.780268E+03	5.438972E-03	2.405415E-05
3.781726E+03	5.378896E-03	2.378846E-05
3.783185E+03	5.353642E-03	2.367677E-05
3.784643E+03	5.353403E-03	2.367571E-05
3.786101E+03	5.400508E-03	2.388404E-05
3.787560E+03	5.466750E-03	2.417700E-05
3.789018E+03	5.517546E-03	2.440164E-05
3.790476E+03	5.538662E-03	2.449503E-05
3.791935E+03	5.510470E-03	2.437035E-05
3.793393E+03	5.496995E-03	2.431076E-05
3.794851E+03	5.523514E-03	2.442804E-05
3.796310E+03	5.498755E-03	2.431854E-05
3.797768E+03	5.461232E-03	2.415259E-05
3.799226E+03	5.449475E-03	2.410060E-05
3.800685E+03	5.419311E-03	2.396719E-05
3.802143E+03	5.373437E-03	2.376431E-05
3.803601E+03	5.341795E-03	2.362438E-05
3.805060E+03	5.311133E-03	2.348877E-05
3.806518E+03	5.283905E-03	2.336835E-05
3.807976E+03	5.275085E-03	2.332935E-05
3.809435E+03	5.280011E-03	2.335113E-05
3.810893E+03	5.301633E-03	2.344675E-05
3.812351E+03	5.258197E-03	2.325466E-05
3.813810E+03	5.232927E-03	2.314290E-05
3.815268E+03	5.260199E-03	2.326351E-05
3.816726E+03	5.284282E-03	2.337002E-05
3.818185E+03	5.337588E-03	2.360577E-05
3.819643E+03	5.335894E-03	2.359828E-05
3.821101E+03	5.341569E-03	2.362338E-05
3.822560E+03	5.431482E-03	2.402102E-05
3.824018E+03	5.481371E-03	2.424166E-05
3.825476E+03	5.499828E-03	2.432328E-05
3.826935E+03	5.538919E-03	2.449617E-05
3.828393E+03	5.585878E-03	2.470384E-05
3.829851E+03	5.598694E-03	2.476052E-05
3.831310E+03	5.645169E-03	2.496606E-05
3.832768E+03	5.743981E-03	2.540306E-05
3.834226E+03	5.854841E-03	2.589335E-05
3.835685E+03	5.984387E-03	2.646627E-05
3.837143E+03	6.107560E-03	2.701101E-05
3.838601E+03	6.156781E-03	2.722870E-05
3.840060E+03	6.157597E-03	2.723230E-05
3.841518E+03	6.216166E-03	2.749133E-05
3.842976E+03	6.314557E-03	2.792647E-05
3.844435E+03	6.439258E-03	2.847796E-05
3.845893E+03	6.520713E-03	2.883820E-05
3.847351E+03	6.575385E-03	2.907999E-05
3.848810E+03	6.640387E-03	2.936747E-05
3.850268E+03	6.692369E-03	2.959736E-05
3.851726E+03	6.763286E-03	2.991100E-05
3.853185E+03	6.878222E-03	3.041931E-05
3.854643E+03	7.014562E-03	3.102228E-05
3.856101E+03	7.128788E-03	3.152745E-05
3.857560E+03	7.240568E-03	3.202180E-05
3.859018E+03	7.375723E-03	3.261953E-05
3.860476E+03	7.466627E-03	3.302156E-05
3.861935E+03	7.504418E-03	3.318869E-05
3.863393E+03	7.551807E-03	3.339827E-05
3.864851E+03	7.634130E-03	3.376235E-05
3.866310E+03	7.752376E-03	3.428530E-05
3.867768E+03	7.857351E-03	3.474956E-05
3.869226E+03	7.939953E-03	3.511487E-05
3.870685E+03	8.044953E-03	3.557923E-05
3.872143E+03	8.132743E-03	3.596749E-05
3.873601E+03	8.248841E-03	3.648094E-05
3.875060E+03	8.393494E-03	3.712068E-05
3.876518E+03	8.501747E-03	3.759943E-05
3.877976E+03	8.594016E-03	3.800750E-05
3.879435E+03	8.753976E-03	3.871493E-05
3.880893E+03	8.934136E-03	3.951170E-05
3.882351E+03	9.087736E-03	4.019100E-05
3.883810E+03	9.226093E-03	4.080289E-05
3.885268E+03	9.348959E-03	4.134627E-05
3.886726E+03	9.435406E-03	4.172859E-05
3.888185E+03	9.548699E-03	4.222963E-05
3.889643E+03	9.691550E-03	4.286140E-05
3.891101E+03	9.777789E-03	4.324280E-05
3.892560E+03	9.879798E-03	4.369394E-05
3.894018E+03	9.974433E-03	4.411246E-05
3.895476E+03	1.001466E-02	4.429035E-05
3.896935E+03	1.005439E-02	4.446609E-05
3.898393E+03	1.016507E-02	4.495555E-05
3.899851E+03	1.026024E-02	4.537644E-05
3.901310E+03	1.030049E-02	4.555447E-05
3.902768E+03	1.037253E-02	4.587306E-05
3.904226E+03	1.048793E-02	4.638343E-05
3.905685E+03	1.060631E-02	4.690695E-05
3.907143E+03	1.068700E-02	4.726383E-05
3.908601E+03	1.077288E-02	4.764363E-05
3.910060E+03	1.089672E-02	4.819131E-05
3.911518E+03	1.097621E-02	4.854289E-05
3.912976E+03	1.102960E-02	4.877900E-05
