#wls	flux	fluxerr
1.587302E+03	3.562303E-04	7.232903E-06
1.626984E+03	3.592949E-04	7.273062E-06
1.666667E+03	3.626000E-04	7.317164E-06
1.706349E+03	3.661605E-04	7.365437E-06
1.746032E+03	3.699919E-04	7.418118E-06
1.785714E+03	3.741752E-04	7.476743E-06
1.825397E+03	3.786014E-04	7.539044E-06
1.865079E+03	3.834179E-04	7.607861E-06
1.904762E+03	3.886470E-04	7.683519E-06
1.944444E+03	3.942466E-04	7.765065E-06
1.984127E+03	4.002400E-04	7.852836E-06
2.023810E+03	4.067193E-04	7.948499E-06
2.063492E+03	4.136444E-04	8.051120E-06
2.103175E+03	4.211806E-04	8.163748E-06
2.142857E+03	4.292215E-04	8.284134E-06
2.182540E+03	4.378674E-04	8.414024E-06
2.222222E+03	4.471513E-04	8.553839E-06
2.261905E+03	4.571074E-04	8.704003E-06
2.301587E+03	4.677696E-04	8.864915E-06
2.341270E+03	4.791725E-04	9.036967E-06
2.380952E+03	4.914266E-04	9.221953E-06
2.420635E+03	5.044906E-04	9.418781E-06
2.460317E+03	5.183961E-04	9.627717E-06
2.500000E+03	5.332531E-04	9.850457E-06
2.539683E+03	5.490926E-04	1.008719E-05
2.579365E+03	5.658577E-04	1.033647E-05
2.619048E+03	5.836537E-04	1.059980E-05
2.658730E+03	6.025899E-04	1.087873E-05
2.698413E+03	6.225088E-04	1.116994E-05
2.738095E+03	6.435133E-04	1.147480E-05
2.777778E+03	6.657154E-04	1.179479E-05
2.817460E+03	6.890475E-04	1.212819E-05
2.857143E+03	7.135444E-04	1.247504E-05
2.896825E+03	7.393638E-04	1.283753E-05
2.936508E+03	7.666036E-04	1.321671E-05
2.976190E+03	7.953075E-04	1.361263E-05
2.986111E+03	8.027392E-04	1.371460E-05
2.996032E+03	8.102596E-04	1.381751E-05
3.005952E+03	8.179816E-04	1.392327E-05
3.015873E+03	8.258031E-04	1.403013E-05
3.025794E+03	8.337293E-04	1.413816E-05
3.035714E+03	8.417661E-04	1.424744E-05
3.045635E+03	8.500315E-04	1.435996E-05
3.055556E+03	8.584226E-04	1.447396E-05
3.065476E+03	8.669475E-04	1.458955E-05
3.075397E+03	8.756147E-04	1.470687E-05
3.085317E+03	8.845479E-04	1.482797E-05
3.095238E+03	8.935300E-04	1.494919E-05
3.105159E+03	9.029168E-04	1.507646E-05
3.115079E+03	9.123758E-04	1.520420E-05
3.125000E+03	9.220356E-04	1.533453E-05
3.134921E+03	9.320288E-04	1.546964E-05
3.144841E+03	9.422545E-04	1.560781E-05
3.154762E+03	9.528502E-04	1.575130E-05
3.164683E+03	9.635951E-04	1.589641E-05
3.174603E+03	9.747506E-04	1.604744E-05
3.184524E+03	9.862185E-04	1.620272E-05
3.194444E+03	9.981465E-04	1.636463E-05
3.204365E+03	1.010313E-03	1.652952E-05
3.214286E+03	1.022996E-03	1.670186E-05
3.224206E+03	1.036100E-03	1.688008E-05
3.234127E+03	1.049788E-03	1.706675E-05
3.244048E+03	1.063837E-03	1.725820E-05
3.253968E+03	1.078544E-03	1.745920E-05
3.263889E+03	1.093955E-03	1.767042E-05
3.273810E+03	1.109851E-03	1.788823E-05
3.283730E+03	1.126544E-03	1.811761E-05
3.293651E+03	1.143956E-03	1.835721E-05
3.303571E+03	1.162141E-03	1.860782E-05
3.313492E+03	1.181159E-03	1.887031E-05
3.323413E+03	1.201217E-03	1.914788E-05
3.333333E+03	1.222246E-03	1.943932E-05
3.343254E+03	1.244466E-03	1.974802E-05
3.353175E+03	1.267669E-03	2.007052E-05
3.363095E+03	1.292234E-03	2.041272E-05
3.373016E+03	1.318108E-03	2.077362E-05
3.382937E+03	1.345387E-03	2.115459E-05
3.392857E+03	1.374337E-03	2.155962E-05
3.402778E+03	1.404915E-03	2.198785E-05
3.412698E+03	1.437237E-03	2.244093E-05
3.422619E+03	1.471428E-03	2.292057E-05
