#wls	flux	fluxerr
1.587302E+03	6.098273E-04	3.663650E-05
1.626984E+03	6.140586E-04	3.672506E-05
1.666667E+03	6.183363E-04	3.681025E-05
1.706349E+03	6.225527E-04	3.688553E-05
1.746032E+03	6.268148E-04	3.695710E-05
1.785714E+03	6.311579E-04	3.702686E-05
1.825397E+03	6.353458E-04	3.708082E-05
1.865079E+03	6.393462E-04	3.711710E-05
1.904762E+03	6.429964E-04	3.712634E-05
1.944444E+03	6.461813E-04	3.710214E-05
1.984127E+03	6.489695E-04	3.704874E-05
2.023810E+03	6.518353E-04	3.699335E-05
2.063492E+03	6.561108E-04	3.701093E-05
2.103175E+03	6.632168E-04	3.717952E-05
2.142857E+03	6.750314E-04	3.760058E-05
2.182540E+03	6.922495E-04	3.830721E-05
2.222222E+03	7.146713E-04	3.928211E-05
2.261905E+03	7.414263E-04	4.047140E-05
2.301587E+03	7.713921E-04	4.180870E-05
2.341270E+03	8.042163E-04	4.327062E-05
2.380952E+03	8.395819E-04	4.483608E-05
2.420635E+03	8.777590E-04	4.651551E-05
2.460317E+03	9.192335E-04	4.833013E-05
2.500000E+03	9.644757E-04	5.029937E-05
2.539683E+03	1.014189E-03	5.245381E-05
2.579365E+03	1.069153E-03	5.482647E-05
2.619048E+03	1.130213E-03	5.745217E-05
2.658730E+03	1.198105E-03	6.035852E-05
2.698413E+03	1.273964E-03	6.359130E-05
2.738095E+03	1.358808E-03	6.718819E-05
2.777778E+03	1.453680E-03	7.118581E-05
2.817460E+03	1.559601E-03	7.561733E-05
2.857143E+03	1.677722E-03	8.051976E-05
2.896825E+03	1.809039E-03	8.592011E-05
2.936508E+03	1.954495E-03	9.184043E-05
2.976190E+03	2.113855E-03	9.824555E-05
2.986111E+03	2.155806E-03	9.991690E-05
2.996032E+03	2.198938E-03	1.016311E-04
3.005952E+03	2.242464E-03	1.033513E-04
3.015873E+03	2.287122E-03	1.051114E-04
3.025794E+03	2.332651E-03	1.068988E-04
3.035714E+03	2.378776E-03	1.087005E-04
3.045635E+03	2.425703E-03	1.105258E-04
3.055556E+03	2.473645E-03	1.123838E-04
3.065476E+03	2.522000E-03	1.142469E-04
3.075397E+03	2.570967E-03	1.161238E-04
3.085317E+03	2.620745E-03	1.180233E-04
3.095238E+03	2.670701E-03	1.199165E-04
3.105159E+03	2.721305E-03	1.218243E-04
3.115079E+03	2.772469E-03	1.237425E-04
3.125000E+03	2.823524E-03	1.256412E-04
3.134921E+03	2.874935E-03	1.275408E-04
3.144841E+03	2.926303E-03	1.294236E-04
3.154762E+03	2.977802E-03	1.312972E-04
3.164683E+03	3.029311E-03	1.331562E-04
3.174603E+03	3.080407E-03	1.349820E-04
3.184524E+03	3.131254E-03	1.367819E-04
3.194444E+03	3.181712E-03	1.385499E-04
3.204365E+03	3.231639E-03	1.402800E-04
3.214286E+03	3.280585E-03	1.419528E-04
3.224206E+03	3.328998E-03	1.435881E-04
3.234127E+03	3.376115E-03	1.451532E-04
3.244048E+03	3.422376E-03	1.466675E-04
3.253968E+03	3.467308E-03	1.481111E-04
3.263889E+03	3.510728E-03	1.494769E-04
3.273810E+03	3.552754E-03	1.507702E-04
3.283730E+03	3.592881E-03	1.519706E-04
3.293651E+03	3.631200E-03	1.530824E-04
3.303571E+03	3.667485E-03	1.540970E-04
3.313492E+03	3.701191E-03	1.549924E-04
3.323413E+03	3.732363E-03	1.557716E-04
3.333333E+03	3.760730E-03	1.564243E-04
3.343254E+03	3.786009E-03	1.569400E-04
3.353175E+03	3.807917E-03	1.573084E-04
3.363095E+03	3.826462E-03	1.575312E-04
3.373016E+03	3.841096E-03	1.575874E-04
3.382937E+03	3.851605E-03	1.574698E-04
3.392857E+03	3.858126E-03	1.571860E-04
3.402778E+03	3.860344E-03	1.567248E-04
3.412698E+03	3.858648E-03	1.561038E-04
3.422619E+03	3.853338E-03	1.553369E-04
3.432540E+03	3.844942E-03	1.544468E-04
3.442460E+03	3.834229E-03	1.534656E-04
3.452381E+03	3.822463E-03	1.524449E-04
3.462302E+03	3.810351E-03	1.514131E-04
3.472222E+03	3.799759E-03	1.504445E-04
3.482143E+03	3.792102E-03	1.495940E-04
3.492063E+03	3.788526E-03	1.489057E-04
3.501984E+03	3.790762E-03	1.484455E-04
3.511905E+03	3.799360E-03	1.482323E-04
3.521825E+03	3.815262E-03	1.483002E-04
3.531746E+03	3.839012E-03	1.486669E-04
3.541667E+03	3.870061E-03	1.493080E-04
3.551587E+03	3.908558E-03	1.502259E-04
3.561508E+03	3.953157E-03	1.513660E-04
3.571429E+03	4.002873E-03	1.526881E-04
3.581349E+03	4.056049E-03	1.541270E-04
3.591270E+03	4.111502E-03	1.556363E-04
3.601190E+03	4.167199E-03	1.571386E-04
3.611111E+03	4.221131E-03	1.585582E-04
3.621032E+03	4.271114E-03	1.598142E-04
3.630952E+03	4.315269E-03	1.608384E-04
3.640873E+03	4.350860E-03	1.615316E-04
3.650794E+03	4.375740E-03	1.618183E-04
3.660714E+03	4.388569E-03	1.616537E-04
3.670635E+03	4.388000E-03	1.609938E-04
3.680556E+03	4.373780E-03	1.598351E-04
3.690476E+03	4.346933E-03	1.582209E-04
3.700397E+03	4.309258E-03	1.562219E-04
3.710317E+03	4.264077E-03	1.539628E-04
3.720238E+03	4.215295E-03	1.515874E-04
3.730159E+03	4.168045E-03	1.492811E-04
3.740079E+03	4.127300E-03	1.472205E-04
3.750000E+03	4.098147E-03	1.455837E-04
3.759921E+03	4.086060E-03	1.445592E-04
3.769841E+03	4.095909E-03	1.443111E-04
3.779762E+03	4.132092E-03	1.449842E-04
3.789683E+03	4.198805E-03	1.467136E-04
3.799603E+03	4.300152E-03	1.496289E-04
3.809524E+03	4.439116E-03	1.538183E-04
3.819444E+03	4.618321E-03	1.593559E-04
3.829365E+03	4.839793E-03	1.662938E-04
3.839286E+03	5.103775E-03	1.746220E-04
3.849206E+03	5.408956E-03	1.842773E-04
3.859127E+03	5.751875E-03	1.951245E-04
3.869048E+03	6.126605E-03	2.069468E-04
3.878968E+03	6.524671E-03	2.194457E-04
3.888889E+03	6.935333E-03	2.322514E-04
3.898810E+03	7.346512E-03	2.449557E-04
3.908730E+03	7.744978E-03	2.571195E-04
3.918651E+03	8.119184E-03	2.683667E-04
3.928571E+03	8.458854E-03	2.783699E-04
3.938492E+03	8.756695E-03	2.869053E-04
3.948413E+03	9.008136E-03	2.938421E-04
3.958333E+03	9.211951E-03	2.991608E-04
3.968254E+03	9.367622E-03	3.028654E-04
3.978175E+03	9.476034E-03	3.050054E-04
3.988095E+03	9.537248E-03	3.056032E-04
3.998016E+03	9.550949E-03	3.046694E-04
4.007937E+03	9.515474E-03	3.021717E-04
4.017857E+03	9.429172E-03	2.980791E-04
4.027778E+03	9.290927E-03	2.923785E-04
4.037698E+03	9.101911E-03	2.851289E-04
4.047619E+03	8.865252E-03	2.764495E-04
4.057540E+03	8.587876E-03	2.665757E-04
4.067460E+03	8.278754E-03	2.558021E-04
4.077381E+03	7.948707E-03	2.444749E-04
4.087302E+03	7.610120E-03	2.329820E-04
4.097222E+03	7.275072E-03	2.216949E-04
4.107143E+03	6.954450E-03	2.109421E-04
4.117063E+03	6.657585E-03	2.009992E-04
4.126984E+03	6.391605E-03	1.920700E-04
4.136905E+03	6.161560E-03	1.842923E-04
4.146825E+03	5.970837E-03	1.777519E-04
4.156746E+03	5.820965E-03	1.724773E-04
4.166667E+03	5.712231E-03	1.684598E-04
4.176587E+03	5.644097E-03	1.656663E-04
4.186508E+03	5.615211E-03	1.640405E-04
4.196429E+03	5.623786E-03	1.635142E-04
4.206349E+03	5.667516E-03	1.640052E-04
4.216270E+03	5.743886E-03	1.654266E-04
4.226190E+03	5.850121E-03	1.676857E-04
4.236111E+03	5.983457E-03	1.706915E-04
4.246032E+03	6.141531E-03	1.743663E-04
4.255952E+03	6.322068E-03	1.786359E-04
4.265873E+03	6.522992E-03	1.834332E-04
4.275794E+03	6.742039E-03	1.886871E-04
4.285714E+03	6.976198E-03	1.943067E-04
4.295635E+03	7.220135E-03	2.001387E-04
4.305556E+03	7.465072E-03	2.059376E-04
4.315476E+03	7.697884E-03	2.113431E-04
4.325397E+03	7.900201E-03	2.158587E-04
4.335317E+03	8.050662E-03	2.189160E-04
4.345238E+03	8.128794E-03	2.199819E-04
4.355159E+03	8.122771E-03	2.187662E-04
4.365079E+03	8.036116E-03	2.153965E-04
4.375000E+03	7.887530E-03	2.104025E-04
4.384921E+03	7.704630E-03	2.045411E-04
4.394841E+03	7.515970E-03	1.985797E-04
4.404762E+03	7.347337E-03	1.931982E-04
