#wls	flux	fluxerr
1.600000E+03	1.346776E-17	7.838929E-19
1.640000E+03	1.354503E-17	7.850820E-19
1.680000E+03	1.362613E-17	7.863808E-19
1.720000E+03	1.371639E-17	7.880903E-19
1.760000E+03	1.381383E-17	7.900877E-19
1.800000E+03	1.391897E-17	7.923949E-19
1.840000E+03	1.403235E-17	7.950328E-19
1.880000E+03	1.415454E-17	7.980246E-19
1.920000E+03	1.428615E-17	8.013946E-19
1.960000E+03	1.443042E-17	8.053117E-19
2.000000E+03	1.458296E-17	8.095188E-19
2.040000E+03	1.474971E-17	8.143319E-19
2.080000E+03	1.492627E-17	8.194947E-19
2.120000E+03	1.511885E-17	8.253316E-19
2.160000E+03	1.532581E-17	8.317361E-19
2.200000E+03	1.554824E-17	8.387480E-19
2.240000E+03	1.578731E-17	8.464112E-19
2.280000E+03	1.604436E-17	8.547752E-19
2.320000E+03	1.632081E-17	8.638923E-19
2.360000E+03	1.662121E-17	8.739772E-19
2.400000E+03	1.694154E-17	8.847884E-19
2.440000E+03	1.728973E-17	8.967110E-19
2.480000E+03	1.766200E-17	9.095138E-19
2.520000E+03	1.806711E-17	9.236115E-19
2.560000E+03	1.850491E-17	9.389532E-19
2.600000E+03	1.897876E-17	9.556638E-19
2.640000E+03	1.949249E-17	9.738856E-19
2.680000E+03	2.005051E-17	9.937826E-19
2.720000E+03	2.065794E-17	1.015546E-18
2.760000E+03	2.132445E-17	1.039578E-18
2.800000E+03	2.204958E-17	1.065776E-18
2.840000E+03	2.284898E-17	1.094808E-18
2.880000E+03	2.372419E-17	1.126642E-18
2.920000E+03	2.469435E-17	1.162074E-18
2.960000E+03	2.576834E-17	1.201384E-18
3.000000E+03	2.696123E-17	1.245122E-18
3.010000E+03	2.727765E-17	1.256712E-18
3.020000E+03	2.760765E-17	1.268847E-18
3.030000E+03	2.794196E-17	1.281099E-18
3.040000E+03	2.829060E-17	1.293925E-18
3.050000E+03	2.864410E-17	1.306886E-18
3.060000E+03	2.901274E-17	1.320450E-18
3.070000E+03	2.938684E-17	1.334171E-18
3.080000E+03	2.977694E-17	1.348525E-18
3.090000E+03	3.017315E-17	1.363060E-18
3.100000E+03	3.058629E-17	1.378261E-18
