#wls	flux	fluxerr
1.600000E+03	1.875389E-16	2.128729E-16
1.640000E+03	1.876972E-16	2.127672E-16
1.680000E+03	1.879224E-16	2.126969E-16
1.720000E+03	1.882884E-16	2.127399E-16
1.760000E+03	1.887308E-16	2.128166E-16
1.800000E+03	1.893250E-16	2.130047E-16
1.840000E+03	1.900779E-16	2.133028E-16
1.880000E+03	1.909973E-16	2.137095E-16
1.920000E+03	1.921626E-16	2.143015E-16
1.960000E+03	1.935139E-16	2.149982E-16
2.000000E+03	1.951695E-16	2.159150E-16
2.040000E+03	1.971442E-16	2.170487E-16
2.080000E+03	1.994193E-16	2.183565E-16
2.120000E+03	2.021220E-16	2.199516E-16
2.160000E+03	2.052403E-16	2.217896E-16
2.200000E+03	2.088380E-16	2.239030E-16
2.240000E+03	2.129479E-16	2.262840E-16
2.280000E+03	2.175709E-16	2.288840E-16
2.320000E+03	2.228254E-16	2.317693E-16
2.360000E+03	2.286885E-16	2.348477E-16
2.400000E+03	2.352579E-16	2.381405E-16
2.440000E+03	2.425655E-16	2.415871E-16
2.480000E+03	2.506922E-16	2.451610E-16
2.520000E+03	2.596926E-16	2.487903E-16
2.560000E+03	2.697160E-16	2.524724E-16
2.600000E+03	2.808915E-16	2.561552E-16
2.640000E+03	2.933275E-16	2.597357E-16
2.680000E+03	3.072410E-16	2.631702E-16
2.720000E+03	3.227921E-16	2.663183E-16
2.760000E+03	3.402148E-16	2.690516E-16
2.800000E+03	3.597788E-16	2.712089E-16
2.840000E+03	3.817915E-16	2.725890E-16
2.880000E+03	4.064942E-16	2.728733E-16
2.920000E+03	4.343042E-16	2.717960E-16
2.960000E+03	4.656053E-16	2.689948E-16
3.000000E+03	5.008827E-16	2.641109E-16
3.010000E+03	5.103715E-16	2.625140E-16
3.020000E+03	5.201669E-16	2.607666E-16
3.030000E+03	5.302729E-16	2.588601E-16
3.040000E+03	5.406298E-16	2.567562E-16
3.050000E+03	5.512369E-16	2.544478E-16
3.060000E+03	5.622216E-16	2.519861E-16
3.070000E+03	5.734543E-16	2.493047E-16
3.080000E+03	5.850625E-16	2.464537E-16
3.090000E+03	5.969093E-16	2.433697E-16
3.100000E+03	6.090529E-16	2.400751E-16
3.110000E+03	6.214829E-16	2.365646E-16
3.120000E+03	6.341863E-16	2.328341E-16
3.130000E+03	6.471459E-16	2.288811E-16
3.140000E+03	6.604132E-16	2.247289E-16
3.150000E+03	6.738196E-16	2.203287E-16
3.160000E+03	6.874803E-16	2.157318E-16
3.170000E+03	7.013628E-16	2.109417E-16
3.180000E+03	7.153531E-16	2.059423E-16
3.190000E+03	7.294815E-16	2.007657E-16
3.200000E+03	7.436196E-16	1.954029E-16
3.210000E+03	7.578658E-16	1.899103E-16
3.220000E+03	7.720002E-16	1.842651E-16
3.230000E+03	7.860313E-16	1.785079E-16
3.240000E+03	7.998835E-16	1.726609E-16
3.250000E+03	8.135574E-16	1.667647E-16
3.260000E+03	8.268855E-16	1.608257E-16
3.270000E+03	8.397759E-16	1.548683E-16
3.280000E+03	8.522160E-16	1.489302E-16
3.290000E+03	8.641061E-16	1.430303E-16
3.300000E+03	8.753416E-16	1.371841E-16
3.310000E+03	8.858124E-16	1.314038E-16
3.320000E+03	8.954866E-16	1.257095E-16
3.330000E+03	9.041553E-16	1.200927E-16
3.340000E+03	9.116846E-16	1.145560E-16
3.350000E+03	9.180156E-16	1.091106E-16
3.360000E+03	9.230774E-16	1.037663E-16
3.370000E+03	9.265381E-16	9.850612E-17
3.380000E+03	9.283976E-16	9.335467E-17
3.390000E+03	9.284106E-16	8.831366E-17
3.400000E+03	9.265992E-16	8.341355E-17
3.410000E+03	9.227021E-16	7.865767E-17
3.420000E+03	9.168501E-16	7.408037E-17
3.430000E+03	9.090326E-16	6.969361E-17
3.440000E+03	8.995186E-16	6.551748E-17
3.450000E+03	8.886384E-16	6.155821E-17
3.460000E+03	8.768653E-16	5.781446E-17
3.470000E+03	8.648682E-16	5.428393E-17
3.480000E+03	8.532675E-16	5.095476E-17
3.490000E+03	8.428647E-16	4.782932E-17
3.500000E+03	8.343775E-16	4.491523E-17
3.510000E+03	8.285139E-16	4.223246E-17
3.520000E+03	8.257268E-16	3.979653E-17
3.530000E+03	8.264180E-16	3.762636E-17
3.540000E+03	8.307183E-16	3.573293E-17
3.550000E+03	8.385124E-16	3.410676E-17
3.560000E+03	8.494554E-16	3.271108E-17
3.570000E+03	8.627831E-16	3.151590E-17
3.580000E+03	8.775274E-16	3.054734E-17
3.590000E+03	8.922579E-16	2.988983E-17
3.600000E+03	9.057343E-16	2.965937E-17
3.610000E+03	9.178069E-16	2.980759E-17
3.620000E+03	9.287728E-16	3.017715E-17
3.630000E+03	9.388765E-16	3.063044E-17
3.640000E+03	9.483331E-16	3.107729E-17
3.650000E+03	9.570382E-16	3.143256E-17
3.660000E+03	9.647135E-16	3.165303E-17
3.670000E+03	9.706606E-16	3.173080E-17
3.680000E+03	9.731466E-16	3.163739E-17
3.690000E+03	9.702211E-16	3.137374E-17
3.700000E+03	9.601586E-16	3.096233E-17
3.710000E+03	9.414293E-16	3.039028E-17
3.720000E+03	9.137946E-16	2.966962E-17
3.730000E+03	8.785319E-16	2.882958E-17
3.740000E+03	8.384767E-16	2.788086E-17
3.750000E+03	7.973555E-16	2.685603E-17
3.760000E+03	7.590164E-16	2.581091E-17
3.770000E+03	7.267444E-16	2.478253E-17
3.780000E+03	7.033375E-16	2.382148E-17
3.790000E+03	6.910668E-16	2.299782E-17
3.800000E+03	6.919182E-16	2.238841E-17
3.810000E+03	7.077652E-16	2.208166E-17
3.820000E+03	7.407493E-16	2.216571E-17
3.830000E+03	7.934264E-16	2.270466E-17
3.840000E+03	8.688412E-16	2.377957E-17
3.850000E+03	9.703319E-16	2.547595E-17
3.860000E+03	1.100959E-15	2.781092E-17
3.870000E+03	1.262949E-15	3.078651E-17
3.880000E+03	1.456326E-15	3.438813E-17
3.890000E+03	1.678051E-15	3.850475E-17
3.900000E+03	1.920485E-15	4.301297E-17
3.910000E+03	2.171668E-15	4.777756E-17
