#wls	flux	fluxerr
1.589667E+03	2.612216E-17	1.500186E-19
1.629409E+03	2.632506E-17	1.511838E-19
1.669151E+03	2.651081E-17	1.522506E-19
1.708892E+03	2.668771E-17	1.532665E-19
1.748634E+03	2.685374E-17	1.542201E-19
1.788376E+03	2.700412E-17	1.550836E-19
1.828117E+03	2.712442E-17	1.557745E-19
1.867859E+03	2.720156E-17	1.562175E-19
1.907601E+03	2.721520E-17	1.562959E-19
1.947342E+03	2.715751E-17	1.559646E-19
1.987084E+03	2.702384E-17	1.551969E-19
2.026826E+03	2.684662E-17	1.541791E-19
2.066567E+03	2.671132E-17	1.534021E-19
2.106309E+03	2.675997E-17	1.536815E-19
2.146051E+03	2.714316E-17	1.558821E-19
2.185792E+03	2.797851E-17	1.606795E-19
2.225534E+03	2.926868E-17	1.680890E-19
2.265276E+03	3.094219E-17	1.776999E-19
2.305017E+03	3.288303E-17	1.888460E-19
2.344759E+03	3.501407E-17	2.010845E-19
2.384501E+03	3.727599E-17	2.140746E-19
2.424242E+03	3.964522E-17	2.276810E-19
2.463984E+03	4.211856E-17	2.418853E-19
2.503726E+03	4.471090E-17	2.567730E-19
2.543467E+03	4.743639E-17	2.724254E-19
2.583209E+03	5.031832E-17	2.889762E-19
2.622951E+03	5.337373E-17	3.065233E-19
2.662692E+03	5.663413E-17	3.252477E-19
2.702434E+03	6.012416E-17	3.452908E-19
2.742176E+03	6.386854E-17	3.667946E-19
2.781918E+03	6.790003E-17	3.899473E-19
2.821659E+03	7.225247E-17	4.149432E-19
2.861401E+03	7.696894E-17	4.420297E-19
2.901143E+03	8.208629E-17	4.714185E-19
2.940884E+03	8.765154E-17	5.033795E-19
2.980626E+03	9.371423E-17	5.381973E-19
2.990561E+03	9.530965E-17	5.473597E-19
3.000497E+03	9.695156E-17	5.567892E-19
3.010432E+03	9.861567E-17	5.663460E-19
3.020368E+03	1.003271E-16	5.761746E-19
3.030303E+03	1.020779E-16	5.862293E-19
3.040238E+03	1.038610E-16	5.964700E-19
3.050174E+03	1.056884E-16	6.069642E-19
3.060109E+03	1.075718E-16	6.177807E-19
3.070045E+03	1.094942E-16	6.288211E-19
3.079980E+03	1.114722E-16	6.401804E-19
3.089916E+03	1.134971E-16	6.518094E-19
3.099851E+03	1.155689E-16	6.637081E-19
3.109786E+03	1.176960E-16	6.759238E-19
3.119722E+03	1.198700E-16	6.884088E-19
3.129657E+03	1.220992E-16	7.012113E-19
3.139593E+03	1.243754E-16	7.142835E-19
3.149528E+03	1.267072E-16	7.276749E-19
3.159463E+03	1.290949E-16	7.413871E-19
3.169399E+03	1.315300E-16	7.553720E-19
3.179334E+03	1.340214E-16	7.696798E-19
3.189270E+03	1.365783E-16	7.843637E-19
3.199205E+03	1.391834E-16	7.993252E-19
3.209141E+03	1.418460E-16	8.146162E-19
3.219076E+03	1.445753E-16	8.302905E-19
3.229011E+03	1.473543E-16	8.462499E-19
3.238947E+03	1.502008E-16	8.625976E-19
3.248882E+03	1.531158E-16	8.793381E-19
3.258818E+03	1.560908E-16	8.964236E-19
3.268753E+03	1.591265E-16	9.138576E-19
3.278689E+03	1.622325E-16	9.316952E-19
3.288624E+03	1.654005E-16	9.498887E-19
3.298559E+03	1.686492E-16	9.685458E-19
3.308495E+03	1.719613E-16	9.875673E-19
3.318430E+03	1.753467E-16	1.007009E-18
3.328366E+03	1.788062E-16	1.026877E-18
3.338301E+03	1.823406E-16	1.047175E-18
3.348236E+03	1.859508E-16	1.067908E-18
3.358172E+03	1.896376E-16	1.089082E-18
3.368107E+03	1.934019E-16	1.110700E-18
3.378043E+03	1.972537E-16	1.132821E-18
3.387978E+03	2.011849E-16	1.155397E-18
3.397914E+03	2.052054E-16	1.178487E-18
3.407849E+03	2.093070E-16	1.202042E-18
3.417784E+03	2.134997E-16	1.226121E-18
3.427720E+03	2.177753E-16	1.250675E-18
3.437655E+03	2.221532E-16	1.275817E-18
3.447591E+03	2.266155E-16	1.301444E-18
3.447591E+03	2.095499E-16	1.203437E-18
3.449578E+03	2.090629E-16	1.200640E-18
3.451565E+03	2.119711E-16	1.217342E-18
3.453552E+03	2.188498E-16	1.256846E-18
3.455539E+03	2.199502E-16	1.263166E-18
3.457526E+03	2.220028E-16	1.274954E-18
3.459513E+03	2.234625E-16	1.283337E-18
3.461500E+03	2.241242E-16	1.287137E-18
3.463487E+03	2.238234E-16	1.285409E-18
3.465474E+03	2.242805E-16	1.288034E-18
3.467462E+03	2.263769E-16	1.300074E-18
3.469449E+03	2.311487E-16	1.327478E-18
3.471436E+03	2.337906E-16	1.342651E-18
3.473423E+03	2.333888E-16	1.340343E-18
3.475410E+03	2.361348E-16	1.356113E-18
3.477397E+03	2.396818E-16	1.376483E-18
3.479384E+03	2.412401E-16	1.385433E-18
3.481371E+03	2.398442E-16	1.377416E-18
3.483358E+03	2.395457E-16	1.375702E-18
3.485345E+03	2.399861E-16	1.378231E-18
3.487332E+03	2.401084E-16	1.378933E-18
3.489319E+03	2.405183E-16	1.381287E-18
3.491307E+03	2.396957E-16	1.376563E-18
3.493294E+03	2.424273E-16	1.392251E-18
3.495281E+03	2.449751E-16	1.406882E-18
3.497268E+03	2.445434E-16	1.404403E-18
3.499255E+03	2.438648E-16	1.400506E-18
3.501242E+03	2.462603E-16	1.414263E-18
3.503229E+03	2.492428E-16	1.431392E-18
3.505216E+03	2.505602E-16	1.438958E-18
3.507203E+03	2.503865E-16	1.437960E-18
3.509190E+03	2.506139E-16	1.439266E-18
3.511177E+03	2.528690E-16	1.452217E-18
3.513164E+03	2.530868E-16	1.453468E-18
3.515152E+03	2.548903E-16	1.463825E-18
3.517139E+03	2.563753E-16	1.472354E-18
3.519126E+03	2.579331E-16	1.481300E-18
3.521113E+03	2.587909E-16	1.486226E-18
3.523100E+03	2.615761E-16	1.502222E-18
3.525087E+03	2.623423E-16	1.506622E-18
3.527074E+03	2.624901E-16	1.507471E-18
3.529061E+03	2.664742E-16	1.530351E-18
3.531048E+03	2.698823E-16	1.549924E-18
3.533035E+03	2.687423E-16	1.543377E-18
3.535022E+03	2.720697E-16	1.562486E-18
3.537009E+03	2.747278E-16	1.577751E-18
3.538997E+03	2.760760E-16	1.585494E-18
3.540984E+03	2.792316E-16	1.603617E-18
3.542971E+03	2.807879E-16	1.612554E-18
3.544958E+03	2.810330E-16	1.613962E-18
3.546945E+03	2.816502E-16	1.617507E-18
3.548932E+03	2.816786E-16	1.617670E-18
3.550919E+03	2.813557E-16	1.615815E-18
3.552906E+03	2.842581E-16	1.632484E-18
3.554893E+03	2.907190E-16	1.669588E-18
3.556880E+03	2.912459E-16	1.672614E-18
3.558867E+03	2.949800E-16	1.694059E-18
3.560854E+03	2.932629E-16	1.684197E-18
3.562842E+03	2.930250E-16	1.682831E-18
3.564829E+03	2.943811E-16	1.690619E-18
3.566816E+03	2.935636E-16	1.685925E-18
3.568803E+03	2.946617E-16	1.692231E-18
3.570790E+03	2.941030E-16	1.689022E-18
3.572777E+03	2.950981E-16	1.694737E-18
3.574764E+03	2.963009E-16	1.701645E-18
3.576751E+03	2.976287E-16	1.709270E-18
3.578738E+03	2.986047E-16	1.714875E-18
3.580725E+03	3.010534E-16	1.728938E-18
3.582712E+03	2.975607E-16	1.708880E-18
3.584699E+03	2.970229E-16	1.705791E-18
3.586687E+03	2.982799E-16	1.713010E-18
3.588674E+03	2.962996E-16	1.701638E-18
3.590661E+03	2.960105E-16	1.699977E-18
3.592648E+03	2.953060E-16	1.695931E-18
3.594635E+03	2.960344E-16	1.700115E-18
3.596622E+03	2.952155E-16	1.695412E-18
3.598609E+03	3.004533E-16	1.725492E-18
3.600596E+03	3.050802E-16	1.752064E-18
3.602583E+03	3.042214E-16	1.747132E-18
3.604570E+03	3.064187E-16	1.759751E-18
3.606557E+03	3.049881E-16	1.751535E-18
3.608544E+03	3.061154E-16	1.758009E-18
3.610532E+03	3.072330E-16	1.764427E-18
3.612519E+03	3.112125E-16	1.787281E-18
3.614506E+03	3.152146E-16	1.810265E-18
3.616493E+03	3.175946E-16	1.823934E-18
3.618480E+03	3.172583E-16	1.822003E-18
3.620467E+03	3.183905E-16	1.828504E-18
3.622454E+03	3.235125E-16	1.857920E-18
3.624441E+03	3.259178E-16	1.871733E-18
3.626428E+03	3.248227E-16	1.865445E-18
3.628415E+03	3.223827E-16	1.851431E-18
3.630402E+03	3.257070E-16	1.870523E-18
3.632389E+03	3.265927E-16	1.875610E-18
3.634377E+03	3.245064E-16	1.863628E-18
3.636364E+03	3.225027E-16	1.852121E-18
3.638351E+03	3.218861E-16	1.848579E-18
3.640338E+03	3.230436E-16	1.855227E-18
3.642325E+03	3.208402E-16	1.842573E-18
3.644312E+03	3.176231E-16	1.824097E-18
3.646299E+03	3.171932E-16	1.821629E-18
3.648286E+03	3.181945E-16	1.827379E-18
3.650273E+03	3.165319E-16	1.817831E-18
3.652260E+03	3.131859E-16	1.798615E-18
3.654247E+03	3.104971E-16	1.783173E-18
3.656234E+03	3.093757E-16	1.776733E-18
3.658222E+03	3.085363E-16	1.771912E-18
3.660209E+03	3.056044E-16	1.755074E-18
3.662196E+03	3.047848E-16	1.750368E-18
3.664183E+03	3.027510E-16	1.738688E-18
3.666170E+03	3.002872E-16	1.724538E-18
3.668157E+03	2.992883E-16	1.718801E-18
3.670144E+03	2.990430E-16	1.717393E-18
3.672131E+03	2.993111E-16	1.718932E-18
3.674118E+03	2.986678E-16	1.715238E-18
3.676105E+03	3.003510E-16	1.724904E-18
3.678092E+03	3.033664E-16	1.742221E-18
3.680079E+03	3.041394E-16	1.746661E-18
3.682067E+03	3.079963E-16	1.768811E-18
3.684054E+03	3.110475E-16	1.786334E-18
3.686041E+03	3.106796E-16	1.784221E-18
