#wls	flux	fluxerr
1.589667E+03	1.191363E-17	2.556219E-19
1.629409E+03	1.209068E-17	2.586868E-19
1.669151E+03	1.226601E-17	2.616746E-19
1.708892E+03	1.243880E-17	2.645676E-19
1.748634E+03	1.260777E-17	2.673377E-19
1.788376E+03	1.276355E-17	2.697863E-19
1.828117E+03	1.290768E-17	2.719475E-19
1.867859E+03	1.302653E-17	2.735365E-19
1.907601E+03	1.311418E-17	2.744336E-19
1.947342E+03	1.315677E-17	2.743557E-19
1.987084E+03	1.316035E-17	2.734378E-19
2.026826E+03	1.313337E-17	2.718633E-19
2.066567E+03	1.311539E-17	2.704550E-19
2.106309E+03	1.317892E-17	2.706995E-19
2.146051E+03	1.340186E-17	2.741701E-19
2.185792E+03	1.383649E-17	2.818905E-19
2.225534E+03	1.448940E-17	2.939381E-19
2.265276E+03	1.532036E-17	3.094392E-19
2.305017E+03	1.627408E-17	3.272296E-19
2.344759E+03	1.730332E-17	3.463240E-19
2.384501E+03	1.838272E-17	3.661899E-19
2.424242E+03	1.949726E-17	3.865080E-19
2.463984E+03	2.064753E-17	4.072723E-19
2.503726E+03	2.183460E-17	4.284854E-19
2.543467E+03	2.306797E-17	4.503135E-19
2.583209E+03	2.436456E-17	4.730625E-19
2.622951E+03	2.571770E-17	4.965745E-19
2.662692E+03	2.715686E-17	5.213875E-19
2.702434E+03	2.868723E-17	5.475627E-19
2.742176E+03	3.031331E-17	5.751435E-19
2.781918E+03	3.205869E-17	6.045308E-19
2.821659E+03	3.393409E-17	6.358715E-19
2.861401E+03	3.595674E-17	6.694266E-19
2.901143E+03	3.813693E-17	7.053191E-19
2.940884E+03	4.049854E-17	7.439136E-19
2.980626E+03	4.305851E-17	7.854341E-19
2.990561E+03	4.372868E-17	7.962456E-19
3.000497E+03	4.441452E-17	8.072923E-19
3.010432E+03	4.511609E-17	8.185732E-19
3.020368E+03	4.583342E-17	8.300871E-19
3.030303E+03	4.655938E-17	8.417033E-19
3.040238E+03	4.730872E-17	8.536867E-19
3.050174E+03	4.807571E-17	8.659316E-19
3.060109E+03	4.885453E-17	8.783311E-19
3.070045E+03	4.965930E-17	8.911372E-19
3.079980E+03	5.048248E-17	9.042120E-19
3.089916E+03	5.132380E-17	9.175479E-19
3.099851E+03	5.219024E-17	9.312680E-19
3.109786E+03	5.306696E-17	9.451045E-19
3.119722E+03	5.396830E-17	9.593113E-19
3.129657E+03	5.489408E-17	9.738821E-19
3.139593E+03	5.583672E-17	9.886796E-19
3.149528E+03	5.680336E-17	1.003828E-18
3.159463E+03	5.778640E-17	1.019190E-18
3.169399E+03	5.879304E-17	1.034891E-18
3.179334E+03	5.982310E-17	1.050925E-18
3.189270E+03	6.086892E-17	1.067154E-18
3.199205E+03	6.194519E-17	1.083833E-18
3.209141E+03	6.303689E-17	1.100696E-18
3.219076E+03	6.415117E-17	1.117866E-18
3.229011E+03	6.529546E-17	1.135470E-18
3.238947E+03	6.646203E-17	1.153368E-18
3.248882E+03	6.765066E-17	1.171555E-18
3.258818E+03	6.886109E-17	1.190024E-18
3.268753E+03	7.010082E-17	1.208900E-18
3.278689E+03	7.136192E-17	1.228043E-18
3.288624E+03	7.265185E-17	1.247580E-18
3.298559E+03	7.397035E-17	1.267501E-18
3.308495E+03	7.530964E-17	1.287670E-18
3.318430E+03	7.668462E-17	1.308339E-18
3.328366E+03	7.807979E-17	1.329238E-18
3.338301E+03	7.950257E-17	1.350492E-18
3.348236E+03	8.095258E-17	1.372090E-18
3.358172E+03	8.243729E-17	1.394154E-18
3.368107E+03	8.394868E-17	1.416546E-18
3.378043E+03	8.548633E-17	1.439254E-18
3.387978E+03	8.704994E-17	1.462270E-18
3.397914E+03	8.865451E-17	1.485841E-18
3.407849E+03	9.028429E-17	1.509700E-18
3.417784E+03	9.194650E-17	1.533962E-18
3.427720E+03	9.363303E-17	1.558489E-18
3.437655E+03	9.535872E-17	1.583524E-18
3.447591E+03	9.711548E-17	1.608927E-18
3.457526E+03	9.890280E-17	1.634686E-18
3.467462E+03	1.007200E-16	1.660785E-18
3.477397E+03	1.025742E-16	1.687337E-18
3.487332E+03	1.044572E-16	1.714204E-18
3.497268E+03	1.063760E-16	1.741494E-18
3.507203E+03	1.083299E-16	1.769192E-18
3.517139E+03	1.103104E-16	1.797156E-18
3.527074E+03	1.123246E-16	1.825495E-18
3.537009E+03	1.143792E-16	1.854317E-18
3.546945E+03	1.164582E-16	1.883352E-18
3.556880E+03	1.185759E-16	1.912832E-18
3.566816E+03	1.207239E-16	1.942613E-18
3.576751E+03	1.229088E-16	1.972799E-18
3.586687E+03	1.251296E-16	2.003368E-18
3.596622E+03	1.273776E-16	2.034176E-18
3.606557E+03	1.296594E-16	2.065325E-18
3.616493E+03	1.319739E-16	2.096792E-18
3.626428E+03	1.343199E-16	2.128552E-18
3.636364E+03	1.367038E-16	2.160704E-18
3.646299E+03	1.391091E-16	2.192982E-18
3.656234E+03	1.415574E-16	2.225722E-18
3.666170E+03	1.440321E-16	2.258656E-18
3.676105E+03	1.465395E-16	2.291881E-18
3.686041E+03	1.490780E-16	2.325367E-18
3.695976E+03	1.516462E-16	2.359088E-18
3.705912E+03	1.542427E-16	2.393017E-18
3.715847E+03	1.568658E-16	2.427124E-18
3.725782E+03	1.595216E-16	2.461499E-18
3.735718E+03	1.622083E-16	2.496111E-18
3.745653E+03	1.649170E-16	2.530817E-18
3.755589E+03	1.676460E-16	2.565587E-18
3.765524E+03	1.704084E-16	2.600621E-18
3.775460E+03	1.731951E-16	2.635774E-18
3.785395E+03	1.759971E-16	2.670905E-18
3.795330E+03	1.788274E-16	2.706209E-18
3.805266E+03	1.816768E-16	2.741545E-18
3.815201E+03	1.845510E-16	2.776994E-18
3.825137E+03	1.874410E-16	2.812418E-18
3.835072E+03	1.903452E-16	2.847789E-18
3.845007E+03	1.932691E-16	2.883189E-18
3.854943E+03	1.962111E-16	2.918591E-18
3.864878E+03	1.991695E-16	2.953967E-18
