#wls	flux	fluxerr
1.573255E+03	3.406056E-05	8.138786E-06
1.612586E+03	3.549002E-05	8.473653E-06
1.651917E+03	3.699435E-05	8.825703E-06
1.691249E+03	3.860377E-05	9.202076E-06
1.730580E+03	4.029588E-05	9.597350E-06
1.769912E+03	4.210214E-05	1.001895E-05
1.809243E+03	4.402757E-05	1.046796E-05
1.848574E+03	4.604585E-05	1.093804E-05
1.887906E+03	4.822187E-05	1.144450E-05
1.927237E+03	5.049631E-05	1.197315E-05
1.966568E+03	5.290281E-05	1.253185E-05
2.005900E+03	5.544361E-05	1.312102E-05
2.045231E+03	5.815672E-05	1.374951E-05
2.084562E+03	6.100908E-05	1.440936E-05
2.123894E+03	6.400137E-05	1.510059E-05
2.163225E+03	6.717416E-05	1.583262E-05
2.202557E+03	7.049000E-05	1.659646E-05
2.241888E+03	7.399199E-05	1.740208E-05
2.281219E+03	7.772868E-05	1.826070E-05
2.320551E+03	8.161746E-05	1.915271E-05
2.359882E+03	8.575249E-05	2.009999E-05
2.399213E+03	9.009362E-05	2.109289E-05
2.438545E+03	9.464383E-05	2.213188E-05
2.477876E+03	9.945525E-05	2.322889E-05
2.517207E+03	1.044780E-04	2.437202E-05
2.556539E+03	1.097601E-04	2.557216E-05
2.595870E+03	1.152944E-04	2.682740E-05
2.635202E+03	1.210674E-04	2.813427E-05
2.674533E+03	1.271723E-04	2.951413E-05
2.713864E+03	1.335275E-04	3.094769E-05
2.753196E+03	1.401566E-04	3.244005E-05
2.792527E+03	1.470773E-04	3.399500E-05
2.831858E+03	1.543015E-04	3.561492E-05
2.871190E+03	1.617731E-04	3.728649E-05
2.910521E+03	1.695536E-04	3.902354E-05
2.949853E+03	1.777028E-04	4.083940E-05
2.959685E+03	1.797916E-04	4.130423E-05
2.969518E+03	1.818543E-04	4.176266E-05
2.979351E+03	1.840168E-04	4.224361E-05
2.989184E+03	1.861508E-04	4.271761E-05
2.999017E+03	1.883189E-04	4.319900E-05
3.008850E+03	1.905198E-04	4.368750E-05
3.018682E+03	1.927525E-04	4.418285E-05
3.028515E+03	1.949518E-04	4.467014E-05
3.038348E+03	1.972444E-04	4.517835E-05
3.048181E+03	1.995651E-04	4.569256E-05
3.058014E+03	2.019128E-04	4.621249E-05
3.067847E+03	2.042862E-04	4.673784E-05
3.077679E+03	2.066842E-04	4.726834E-05
3.087512E+03	2.091054E-04	4.780368E-05
3.097345E+03	2.116122E-04	4.835812E-05
3.107178E+03	2.140761E-04	4.890227E-05
3.117011E+03	2.166230E-04	4.946487E-05
3.126844E+03	2.192512E-04	5.004552E-05
