#wls	flux	fluxerr
1.600000E+03	1.564577E-19	2.373187E-19
1.640000E+03	1.613839E-19	2.439741E-19
1.680000E+03	1.665614E-19	2.509611E-19
1.720000E+03	1.719089E-19	2.581564E-19
1.760000E+03	1.775194E-19	2.656987E-19
1.800000E+03	1.833998E-19	2.735967E-19
1.840000E+03	1.894625E-19	2.817185E-19
1.880000E+03	1.958995E-19	2.903479E-19
1.920000E+03	2.025264E-19	2.992088E-19
1.960000E+03	2.095408E-19	3.085912E-19
2.000000E+03	2.167492E-19	3.182062E-19
2.040000E+03	2.243549E-19	3.283492E-19
2.080000E+03	2.322596E-19	3.388711E-19
2.120000E+03	2.405706E-19	3.499227E-19
2.160000E+03	2.491828E-19	3.613438E-19
2.200000E+03	2.582039E-19	3.732831E-19
2.240000E+03	2.676345E-19	3.857314E-19
2.280000E+03	2.775880E-19	3.988403E-19
2.320000E+03	2.878303E-19	4.122600E-19
2.360000E+03	2.985866E-19	4.262987E-19
2.400000E+03	3.098508E-19	4.409295E-19
2.440000E+03	3.216125E-19	4.561170E-19
2.480000E+03	3.338559E-19	4.718161E-19
2.520000E+03	3.466868E-19	4.881507E-19
2.560000E+03	3.600822E-19	5.050588E-19
2.600000E+03	3.741425E-19	5.226481E-19
2.640000E+03	3.886997E-19	5.406479E-19
2.680000E+03	4.038383E-19	5.591379E-19
2.720000E+03	4.196375E-19	5.781854E-19
2.760000E+03	4.360322E-19	5.976551E-19
2.800000E+03	4.530812E-19	6.175796E-19
2.840000E+03	4.706927E-19	6.377839E-19
2.880000E+03	4.888977E-19	6.582596E-19
2.920000E+03	5.075710E-19	6.787881E-19
2.960000E+03	5.268494E-19	6.995032E-19
3.000000E+03	5.465687E-19	7.201386E-19
3.010000E+03	5.515723E-19	7.252864E-19
3.020000E+03	5.566415E-19	7.304758E-19
3.030000E+03	5.616325E-19	7.355176E-19
3.040000E+03	5.666825E-19	7.405912E-19
3.050000E+03	5.717878E-19	7.456913E-19
3.060000E+03	5.769450E-19	7.508124E-19
3.070000E+03	5.820104E-19	7.557672E-19
3.080000E+03	5.872600E-19	7.609139E-19
3.090000E+03	5.924104E-19	7.658842E-19
3.100000E+03	5.975973E-19	7.708538E-19
3.110000E+03	6.028166E-19	7.758170E-19
3.120000E+03	6.080641E-19	7.807677E-19
3.130000E+03	6.131970E-19	7.855228E-19
3.140000E+03	6.184878E-19	7.904315E-19
3.150000E+03	6.237935E-19	7.953097E-19
3.160000E+03	6.289718E-19	7.999766E-19
3.170000E+03	6.342934E-19	8.047764E-19
3.180000E+03	6.396155E-19	8.095275E-19
3.190000E+03	6.447971E-19	8.140514E-19
3.200000E+03	6.501061E-19	8.186874E-19
3.210000E+03	6.554009E-19	8.232561E-19
3.220000E+03	6.606763E-19	8.277516E-19
3.230000E+03	6.659272E-19	8.321677E-19
3.240000E+03	6.712824E-19	8.366654E-19
3.250000E+03	6.764683E-19	8.409037E-19
3.260000E+03	6.817469E-19	8.452096E-19
3.270000E+03	6.869790E-19	8.494101E-19
3.280000E+03	6.922909E-19	8.536620E-19
3.290000E+03	6.975446E-19	8.577947E-19
3.300000E+03	7.027345E-19	8.618027E-19
3.310000E+03	7.079851E-19	8.658392E-19
3.320000E+03	7.131601E-19	8.697377E-19
3.330000E+03	7.182541E-19	8.734928E-19
3.340000E+03	7.233895E-19	8.772543E-19
3.350000E+03	7.285591E-19	8.810134E-19
3.360000E+03	7.336291E-19	8.846092E-19
3.370000E+03	7.387200E-19	8.881877E-19
3.380000E+03	7.436998E-19	8.915911E-19
3.390000E+03	7.486873E-19	8.949631E-19
3.400000E+03	7.536753E-19	8.982956E-19
3.410000E+03	7.586566E-19	9.015804E-19
3.420000E+03	7.635028E-19	9.046662E-19
3.430000E+03	7.684502E-19	9.078337E-19
3.440000E+03	7.732504E-19	9.107900E-19
3.450000E+03	7.780178E-19	9.136713E-19
3.460000E+03	7.827458E-19	9.164708E-19
3.470000E+03	7.875442E-19	9.193177E-19
3.480000E+03	7.921730E-19	9.219319E-19
3.490000E+03	7.967433E-19	9.244450E-19
3.500000E+03	8.013628E-19	9.269823E-19
3.510000E+03	8.059103E-19	9.294038E-19
3.520000E+03	8.103801E-19	9.317044E-19
3.530000E+03	8.148777E-19	9.340057E-19
3.540000E+03	8.192853E-19	9.361733E-19
3.550000E+03	8.235983E-19	9.382030E-19
3.560000E+03	8.279196E-19	9.402129E-19
3.570000E+03	8.322418E-19	9.421946E-19
3.580000E+03	8.364527E-19	9.440217E-19
3.590000E+03	8.406528E-19	9.458083E-19
3.600000E+03	8.447328E-19	9.474321E-19
3.610000E+03	8.488936E-19	9.491187E-19
3.620000E+03	8.529244E-19	9.506326E-19
3.630000E+03	8.569229E-19	9.520833E-19
3.640000E+03	8.608840E-19	9.534654E-19
