#wls	flux	fluxerr
1.596488E+03	1.362257E-04	4.784255E-09
1.636400E+03	1.397971E-04	4.909682E-09
1.676312E+03	1.435521E-04	5.041559E-09
1.716224E+03	1.475275E-04	5.181173E-09
1.756136E+03	1.517089E-04	5.328025E-09
1.796049E+03	1.561353E-04	5.483481E-09
1.835961E+03	1.608209E-04	5.648038E-09
1.875873E+03	1.657804E-04	5.822217E-09
1.915785E+03	1.710441E-04	6.007077E-09
1.955697E+03	1.766150E-04	6.202729E-09
1.995610E+03	1.825259E-04	6.410318E-09
2.035522E+03	1.888116E-04	6.631071E-09
2.075434E+03	1.954787E-04	6.865220E-09
2.115346E+03	2.025809E-04	7.114648E-09
2.155258E+03	2.101436E-04	7.380251E-09
2.195171E+03	2.181936E-04	7.662967E-09
2.235083E+03	2.267758E-04	7.964375E-09
2.274995E+03	2.359212E-04	8.285560E-09
2.314907E+03	2.456966E-04	8.628872E-09
2.354819E+03	2.561380E-04	8.995575E-09
2.394732E+03	2.672828E-04	9.386978E-09
2.434644E+03	2.792067E-04	9.805746E-09
2.474556E+03	2.919522E-04	1.025337E-08
2.514468E+03	3.055814E-04	1.073202E-08
2.554380E+03	3.201595E-04	1.124401E-08
2.594293E+03	3.357736E-04	1.179237E-08
2.634205E+03	3.524503E-04	1.237806E-08
2.674117E+03	3.702994E-04	1.300492E-08
2.714029E+03	3.893894E-04	1.367536E-08
2.753941E+03	4.097622E-04	1.439085E-08
2.793854E+03	4.315240E-04	1.515512E-08
2.833766E+03	4.547286E-04	1.597007E-08
2.873678E+03	4.794431E-04	1.683804E-08
2.913590E+03	5.056943E-04	1.775998E-08
2.953502E+03	5.335117E-04	1.873692E-08
2.993414E+03	5.628953E-04	1.976887E-08
3.003393E+03	5.704664E-04	2.003477E-08
3.013371E+03	5.781567E-04	2.030485E-08
3.023349E+03	5.859368E-04	2.057809E-08
3.033327E+03	5.938041E-04	2.085439E-08
3.043305E+03	6.017557E-04	2.113365E-08
3.053283E+03	6.097886E-04	2.141576E-08
3.063261E+03	6.179278E-04	2.170161E-08
3.073239E+03	6.261411E-04	2.199006E-08
3.083217E+03	6.344245E-04	2.228097E-08
3.093195E+03	6.428022E-04	2.257520E-08
3.103173E+03	6.512405E-04	2.287155E-08
3.113151E+03	6.597338E-04	2.316983E-08
3.123129E+03	6.683055E-04	2.347087E-08
3.133107E+03	6.769198E-04	2.377340E-08
3.143085E+03	6.855991E-04	2.407822E-08
3.153063E+03	6.943359E-04	2.438506E-08
3.163041E+03	7.030921E-04	2.469257E-08
3.173019E+03	7.118882E-04	2.500149E-08
3.182997E+03	7.206841E-04	2.531040E-08
3.192975E+03	7.294988E-04	2.561997E-08
3.202954E+03	7.383203E-04	2.592978E-08
3.212932E+03	7.471352E-04	2.623936E-08
3.222910E+03	7.558980E-04	2.654711E-08
3.232888E+03	7.646531E-04	2.685459E-08
3.242866E+03	7.733203E-04	2.715898E-08
3.252844E+03	7.819077E-04	2.746057E-08
3.262822E+03	7.904196E-04	2.775950E-08
3.272800E+03	7.987615E-04	2.805247E-08
3.282778E+03	8.069256E-04	2.833919E-08
3.292756E+03	8.148992E-04	2.861922E-08
3.302734E+03	8.226048E-04	2.888984E-08
3.312712E+03	8.299966E-04	2.914944E-08
3.322690E+03	8.370323E-04	2.939653E-08
3.332668E+03	8.436772E-04	2.962990E-08
3.342646E+03	8.499383E-04	2.984979E-08
3.352624E+03	8.557807E-04	3.005497E-08
3.362602E+03	8.612869E-04	3.024835E-08
3.372580E+03	8.665593E-04	3.043352E-08
3.382558E+03	8.718092E-04	3.061789E-08
3.392536E+03	8.772054E-04	3.080741E-08
3.402514E+03	8.829903E-04	3.101057E-08
3.412493E+03	8.893507E-04	3.123395E-08
3.422471E+03	8.963819E-04	3.148088E-08
3.432449E+03	9.041604E-04	3.175406E-08
3.442427E+03	9.126424E-04	3.205195E-08
3.452405E+03	9.216881E-04	3.236963E-08
3.462383E+03	9.310615E-04	3.269882E-08
3.472361E+03	9.404111E-04	3.302718E-08
3.482339E+03	9.494283E-04	3.334386E-08
3.492317E+03	9.577043E-04	3.363452E-08
3.502295E+03	9.648355E-04	3.388496E-08
3.512273E+03	9.705871E-04	3.408696E-08
3.522251E+03	9.747698E-04	3.423385E-08
3.532229E+03	9.772917E-04	3.432242E-08
3.542207E+03	9.781091E-04	3.435113E-08
3.552185E+03	9.773477E-04	3.432438E-08
3.562163E+03	9.759028E-04	3.427364E-08
3.572141E+03	9.745730E-04	3.422693E-08
3.582119E+03	9.739634E-04	3.420552E-08
3.592097E+03	9.743634E-04	3.421957E-08
3.595876E+03	1.022897E-03	3.592408E-08
3.600530E+03	1.026419E-03	3.604776E-08
3.605184E+03	1.029200E-03	3.614545E-08
3.609836E+03	1.033392E-03	3.629264E-08
3.614490E+03	1.039570E-03	3.650963E-08
3.619144E+03	1.045055E-03	3.670224E-08
3.623797E+03	1.046922E-03	3.676783E-08
3.628450E+03	1.050016E-03	3.687649E-08
3.633104E+03	1.054576E-03	3.703664E-08
3.637757E+03	1.056078E-03	3.708937E-08
3.642411E+03	1.055226E-03	3.705946E-08
3.647064E+03	1.052715E-03	3.697128E-08
3.651718E+03	1.048034E-03	3.680687E-08
3.656371E+03	1.043728E-03	3.665566E-08
3.661025E+03	1.039742E-03	3.651565E-08
3.665679E+03	1.035392E-03	3.636287E-08
3.670331E+03	1.030668E-03	3.619698E-08
3.674985E+03	1.027490E-03	3.608536E-08
3.679639E+03	1.023244E-03	3.593626E-08
3.684293E+03	1.018818E-03	3.578081E-08
3.688945E+03	1.016618E-03	3.570354E-08
3.693599E+03	1.014963E-03	3.564542E-08
3.698253E+03	1.015954E-03	3.568023E-08
3.702906E+03	1.014709E-03	3.563650E-08
3.707559E+03	1.015043E-03	3.564821E-08
3.712213E+03	1.018145E-03	3.575716E-08
3.716867E+03	1.016991E-03	3.571664E-08
3.721520E+03	1.025473E-03	3.601452E-08
3.726173E+03	1.034781E-03	3.634141E-08
3.730827E+03	1.053619E-03	3.700301E-08
3.735480E+03	1.074168E-03	3.772468E-08
3.740134E+03	1.092104E-03	3.835461E-08
3.744787E+03	1.106260E-03	3.885176E-08
3.749440E+03	1.123284E-03	3.944962E-08
3.754094E+03	1.144626E-03	4.019916E-08
3.758748E+03	1.166646E-03	4.097251E-08
3.763402E+03	1.187074E-03	4.168994E-08
3.768054E+03	1.202625E-03	4.223607E-08
3.772708E+03	1.214543E-03	4.265465E-08
3.777362E+03	1.221473E-03	4.289802E-08
3.782015E+03	1.230102E-03	4.320107E-08
3.786668E+03	1.234876E-03	4.336874E-08
3.791322E+03	1.230356E-03	4.320999E-08
3.795976E+03	1.219490E-03	4.282836E-08
3.800629E+03	1.207379E-03	4.240304E-08
3.805282E+03	1.194704E-03	4.195790E-08
3.809936E+03	1.178746E-03	4.139746E-08
3.814589E+03	1.157465E-03	4.065008E-08
3.819243E+03	1.132122E-03	3.976002E-08
3.823896E+03	1.105967E-03	3.884144E-08
3.828549E+03	1.075636E-03	3.777624E-08
3.833203E+03	1.041392E-03	3.657360E-08
3.837857E+03	1.006531E-03	3.534928E-08
3.842510E+03	9.713805E-04	3.411479E-08
3.847163E+03	9.354101E-04	3.285151E-08
3.851817E+03	8.990030E-04	3.157290E-08
3.856471E+03	8.642212E-04	3.035137E-08
3.861125E+03	8.328413E-04	2.924930E-08
3.865777E+03	8.055983E-04	2.829253E-08
3.870431E+03	7.818800E-04	2.745955E-08
3.875085E+03	7.583579E-04	2.663346E-08
3.879738E+03	7.409398E-04	2.602173E-08
3.884391E+03	7.312767E-04	2.568237E-08
3.889045E+03	7.246252E-04	2.544877E-08
3.893699E+03	7.233610E-04	2.540437E-08
3.898352E+03	7.238961E-04	2.542316E-08
3.903005E+03	7.280517E-04	2.556910E-08
3.907659E+03	7.317543E-04	2.569914E-08
3.912312E+03	7.390085E-04	2.595390E-08
3.916966E+03	7.574372E-04	2.660112E-08
3.921619E+03	7.788944E-04	2.735469E-08
3.926272E+03	8.066708E-04	2.833019E-08
3.930926E+03	8.381524E-04	2.943582E-08
3.935580E+03	8.764596E-04	3.078117E-08
3.940232E+03	9.137324E-04	3.209019E-08
3.944886E+03	9.524128E-04	3.344864E-08
3.949540E+03	9.937909E-04	3.490183E-08
3.954194E+03	1.033342E-03	3.629085E-08
3.958847E+03	1.071554E-03	3.763288E-08
3.963500E+03	1.106562E-03	3.886234E-08
3.968154E+03	1.141520E-03	4.009006E-08
3.972808E+03	1.175907E-03	4.129773E-08
3.977461E+03	1.207691E-03	4.241396E-08
3.982114E+03	1.230543E-03	4.321653E-08
3.986768E+03	1.250567E-03	4.391979E-08
3.991421E+03	1.271265E-03	4.464670E-08
3.996075E+03	1.290719E-03	4.532990E-08
4.000728E+03	1.310395E-03	4.602091E-08
4.005381E+03	1.327696E-03	4.662852E-08
4.010035E+03	1.342057E-03	4.713290E-08
4.014689E+03	1.353932E-03	4.754993E-08
4.019342E+03	1.365578E-03	4.795894E-08
4.023995E+03	1.375754E-03	4.831632E-08
4.028649E+03	1.386266E-03	4.868552E-08
4.033303E+03	1.397681E-03	4.908639E-08
4.037955E+03	1.406609E-03	4.939994E-08
4.042609E+03	1.412826E-03	4.961828E-08
4.047263E+03	1.414074E-03	4.966212E-08
4.051917E+03	1.416563E-03	4.974954E-08
4.056570E+03	1.421873E-03	4.993602E-08
4.061223E+03	1.425488E-03	5.006299E-08
4.065877E+03	1.425717E-03	5.007100E-08
4.070530E+03	1.421317E-03	4.991649E-08
