#wls	flux	fluxerr
1.596488E+03	1.395486E-05	5.978580E-06
1.636400E+03	1.415334E-05	6.045345E-06
1.676312E+03	1.435388E-05	6.112019E-06
1.716224E+03	1.455708E-05	6.178817E-06
1.756136E+03	1.476149E-05	6.245085E-06
1.796049E+03	1.496659E-05	6.310566E-06
1.835961E+03	1.517176E-05	6.374965E-06
1.875873E+03	1.537735E-05	6.438395E-06
1.915785E+03	1.558157E-05	6.500077E-06
1.955697E+03	1.578356E-05	6.559622E-06
1.995610E+03	1.598346E-05	6.617059E-06
2.035522E+03	1.617809E-05	6.671060E-06
2.075434E+03	1.636848E-05	6.722032E-06
2.115346E+03	1.655237E-05	6.769035E-06
2.155258E+03	1.672847E-05	6.811545E-06
2.195171E+03	1.689655E-05	6.849470E-06
2.235083E+03	1.705305E-05	6.881383E-06
2.274995E+03	1.719876E-05	6.907626E-06
2.314907E+03	1.733118E-05	6.927232E-06
2.354819E+03	1.744896E-05	6.939705E-06
2.394732E+03	1.755083E-05	6.944598E-06
2.434644E+03	1.763569E-05	6.941542E-06
2.474556E+03	1.770259E-05	6.930246E-06
2.514468E+03	1.775089E-05	6.910544E-06
2.554380E+03	1.778140E-05	6.882850E-06
2.594293E+03	1.779206E-05	6.846466E-06
2.634205E+03	1.778574E-05	6.802603E-06
2.674117E+03	1.776157E-05	6.751038E-06
2.714029E+03	1.772378E-05	6.693483E-06
2.753941E+03	1.767316E-05	6.630312E-06
2.793854E+03	1.761572E-05	6.563860E-06
2.833766E+03	1.755431E-05	6.495221E-06
2.873678E+03	1.749619E-05	6.427085E-06
2.913590E+03	1.744988E-05	6.362525E-06
2.953502E+03	1.742223E-05	6.303913E-06
2.993414E+03	1.742481E-05	6.255230E-06
3.003393E+03	1.743131E-05	6.244985E-06
3.013371E+03	1.744170E-05	6.236051E-06
3.023349E+03	1.745414E-05	6.227764E-06
3.033327E+03	1.746988E-05	6.220564E-06
3.043305E+03	1.748914E-05	6.214525E-06
3.053283E+03	1.751321E-05	6.210088E-06
3.063261E+03	1.754028E-05	6.206608E-06
3.073239E+03	1.757164E-05	6.204531E-06
3.083217E+03	1.760754E-05	6.203937E-06
3.093195E+03	1.764828E-05	6.204917E-06
3.103173E+03	1.769517E-05	6.207922E-06
3.113151E+03	1.774646E-05	6.212319E-06
3.123129E+03	1.780347E-05	6.218564E-06
3.133107E+03	1.786654E-05	6.226757E-06
3.143085E+03	1.793598E-05	6.236996E-06
3.153063E+03	1.801216E-05	6.249385E-06
3.163041E+03	1.809541E-05	6.264030E-06
3.173019E+03	1.818716E-05	6.281401E-06
3.182997E+03	1.828570E-05	6.300888E-06
3.192975E+03	1.839246E-05	6.322968E-06
3.202954E+03	1.850785E-05	6.347758E-06
3.212932E+03	1.863230E-05	6.375381E-06
3.222910E+03	1.876623E-05	6.405959E-06
3.232888E+03	1.891010E-05	6.439621E-06
3.242866E+03	1.906438E-05	6.476502E-06
3.252844E+03	1.922955E-05	6.516734E-06
3.262822E+03	1.940609E-05	6.560455E-06
3.272800E+03	1.959452E-05	6.607803E-06
3.282778E+03	1.979536E-05	6.658929E-06
3.292756E+03	2.000916E-05	6.713973E-06
3.302734E+03	2.023646E-05	6.773085E-06
3.312712E+03	2.047784E-05	6.836421E-06
3.322690E+03	2.073387E-05	6.904131E-06
3.332668E+03	2.100395E-05	6.975974E-06
3.342646E+03	2.129106E-05	7.052900E-06
3.352624E+03	2.159464E-05	7.134666E-06
3.362602E+03	2.191529E-05	7.221432E-06
3.372580E+03	2.225365E-05	7.313357E-06
3.382558E+03	2.261036E-05	7.410594E-06
3.392536E+03	2.298603E-05	7.513294E-06
3.402514E+03	2.337999E-05	7.621175E-06
3.412493E+03	2.379545E-05	7.735236E-06
3.422471E+03	2.423174E-05	7.855187E-06
3.432449E+03	2.468944E-05	7.981158E-06
3.442427E+03	2.516773E-05	8.112816E-06
3.452405E+03	2.566994E-05	8.251168E-06
3.462383E+03	2.619521E-05	8.395864E-06
3.472361E+03	2.674250E-05	8.546505E-06
3.482339E+03	2.731521E-05	8.704102E-06
3.492317E+03	2.791069E-05	8.867733E-06
3.502295E+03	2.853234E-05	9.038401E-06
3.512273E+03	2.917886E-05	9.215614E-06
3.522251E+03	2.984877E-05	9.398824E-06
3.532229E+03	3.054543E-05	9.589009E-06
3.542207E+03	3.126544E-05	9.785021E-06
3.552185E+03	3.201214E-05	9.987820E-06
3.562163E+03	3.278177E-05	1.019615E-05
3.572141E+03	3.357758E-05	1.041093E-05
3.582119E+03	3.439542E-05	1.063081E-05
3.592097E+03	3.523649E-05	1.085606E-05
3.602075E+03	3.610205E-05	1.108700E-05
