#wls	flux	fluxerr
1.596488E+03	2.073452E-17	2.572088E-18
1.636400E+03	2.131699E-17	2.637117E-18
1.676312E+03	2.188269E-17	2.699503E-18
1.716224E+03	2.242787E-17	2.758783E-18
1.756136E+03	2.294975E-17	2.814622E-18
1.796049E+03	2.343397E-17	2.865270E-18
1.835961E+03	2.386753E-17	2.909169E-18
1.875873E+03	2.422888E-17	2.943742E-18
1.915785E+03	2.449880E-17	2.966733E-18
1.955697E+03	2.466050E-17	2.976211E-18
1.995610E+03	2.471240E-17	2.972112E-18
2.035522E+03	2.468642E-17	2.958391E-18
2.075434E+03	2.466353E-17	2.944815E-18
2.115346E+03	2.477281E-17	2.946727E-18
2.155258E+03	2.513746E-17	2.978539E-18
2.195171E+03	2.581538E-17	3.046717E-18
2.235083E+03	2.677072E-17	3.146576E-18
2.274995E+03	2.790382E-17	3.266015E-18
2.314907E+03	2.910948E-17	3.392466E-18
2.354819E+03	3.030270E-17	3.515912E-18
2.394732E+03	3.142953E-17	3.630093E-18
2.434644E+03	3.246449E-17	3.732138E-18
2.474556E+03	3.339112E-17	3.820269E-18
2.514468E+03	3.420632E-17	3.894270E-18
2.554380E+03	3.490429E-17	3.953637E-18
2.594293E+03	3.548484E-17	3.998515E-18
2.634205E+03	3.594654E-17	4.028923E-18
2.674117E+03	3.628669E-17	4.044748E-18
2.714029E+03	3.650614E-17	4.046288E-18
2.753941E+03	3.660531E-17	4.033801E-18
2.793854E+03	3.658637E-17	4.007741E-18
2.833766E+03	3.645103E-17	3.968523E-18
2.873678E+03	3.621140E-17	3.917688E-18
2.913590E+03	3.587489E-17	3.856249E-18
2.953502E+03	3.546050E-17	3.786446E-18
2.993414E+03	3.498818E-17	3.710570E-18
3.003393E+03	3.486412E-17	3.690994E-18
3.013371E+03	3.473833E-17	3.671249E-18
3.023349E+03	3.461133E-17	3.651389E-18
3.033327E+03	3.448535E-17	3.631651E-18
3.043305E+03	3.435937E-17	3.611928E-18
3.053283E+03	3.423594E-17	3.592488E-18
3.063261E+03	3.411534E-17	3.573357E-18
3.073239E+03	3.399788E-17	3.554569E-18
3.083217E+03	3.388394E-17	3.536160E-18
3.093195E+03	3.377520E-17	3.518304E-18
3.103173E+03	3.367090E-17	3.500919E-18
3.113151E+03	3.357162E-17	3.484063E-18
3.123129E+03	3.347795E-17	3.467794E-18
3.133107E+03	3.339056E-17	3.452178E-18
3.143085E+03	3.331133E-17	3.437406E-18
3.153063E+03	3.323867E-17	3.423310E-18
3.163041E+03	3.317573E-17	3.410210E-18
3.173019E+03	3.312220E-17	3.398066E-18
3.182997E+03	3.307899E-17	3.386968E-18
3.192975E+03	3.304821E-17	3.377126E-18
3.202954E+03	3.302857E-17	3.368399E-18
