#wls	flux	fluxerr
1.600000E+03	2.973253E-17	5.420378E-18
1.640000E+03	3.035993E-17	5.518839E-18
1.680000E+03	3.100130E-17	5.618777E-18
1.720000E+03	3.165780E-17	5.720349E-18
1.760000E+03	3.232867E-17	5.823356E-18
1.800000E+03	3.301107E-17	5.927228E-18
1.840000E+03	3.370556E-17	6.032008E-18
1.880000E+03	3.440875E-17	6.137031E-18
1.920000E+03	3.512067E-17	6.242245E-18
1.960000E+03	3.583914E-17	6.347208E-18
2.000000E+03	3.655970E-17	6.451075E-18
2.040000E+03	3.728129E-17	6.553613E-18
2.080000E+03	3.799853E-17	6.653833E-18
2.120000E+03	3.870949E-17	6.751358E-18
2.160000E+03	3.940780E-17	6.845050E-18
2.200000E+03	4.009052E-17	6.934381E-18
2.240000E+03	4.075020E-17	7.018054E-18
2.280000E+03	4.138290E-17	7.095396E-18
2.320000E+03	4.198013E-17	7.164973E-18
2.360000E+03	4.253699E-17	7.225991E-18
2.400000E+03	4.304417E-17	7.276926E-18
2.440000E+03	4.349612E-17	7.316925E-18
2.480000E+03	4.388311E-17	7.344457E-18
2.520000E+03	4.419752E-17	7.358381E-18
2.560000E+03	4.443205E-17	7.357648E-18
2.600000E+03	4.458202E-17	7.341666E-18
2.640000E+03	4.463966E-17	7.309375E-18
2.680000E+03	4.460061E-17	7.260302E-18
2.720000E+03	4.446236E-17	7.194307E-18
2.760000E+03	4.422476E-17	7.111646E-18
2.800000E+03	4.389050E-17	7.013049E-18
2.840000E+03	4.346577E-17	6.899799E-18
2.880000E+03	4.295892E-17	6.773510E-18
2.920000E+03	4.238825E-17	6.637329E-18
2.960000E+03	4.176993E-17	6.494002E-18
3.000000E+03	4.113089E-17	6.347872E-18
3.010000E+03	4.097088E-17	6.311374E-18
3.020000E+03	4.081345E-17	6.275303E-18
3.030000E+03	4.065592E-17	6.239245E-18
3.040000E+03	4.050212E-17	6.203789E-18
3.050000E+03	4.034946E-17	6.168535E-18
3.060000E+03	4.020179E-17	6.134069E-18
3.070000E+03	4.005817E-17	6.100247E-18
3.080000E+03	3.991931E-17	6.067171E-18
3.090000E+03	3.978594E-17	6.034949E-18
3.100000E+03	3.965882E-17	6.003691E-18
3.110000E+03	3.953874E-17	5.973511E-18
3.120000E+03	3.942651E-17	5.944526E-18
3.130000E+03	3.932298E-17	5.916857E-18
3.140000E+03	3.923055E-17	5.890855E-18
3.150000E+03	3.914710E-17	5.866193E-18
3.160000E+03	3.907660E-17	5.843458E-18
3.170000E+03	3.901702E-17	5.822332E-18
3.180000E+03	3.897238E-17	5.803406E-18
3.190000E+03	3.894224E-17	5.786602E-18
3.200000E+03	3.892772E-17	5.772067E-18
3.210000E+03	3.892993E-17	5.759956E-18
3.220000E+03	3.895011E-17	5.750431E-18
3.230000E+03	3.898948E-17	5.743656E-18
3.240000E+03	3.904933E-17	5.739804E-18
3.250000E+03	3.913103E-17	5.739052E-18
3.260000E+03	3.923598E-17	5.741583E-18
3.270000E+03	3.936711E-17	5.747805E-18
3.280000E+03	3.952304E-17	5.757486E-18
3.290000E+03	3.970831E-17	5.771261E-18
3.300000E+03	3.992166E-17	5.788919E-18
3.310000E+03	4.016780E-17	5.811111E-18
3.320000E+03	4.044563E-17	5.837642E-18
3.330000E+03	4.076005E-17	5.869187E-18
3.340000E+03	4.111162E-17	5.905784E-18
3.350000E+03	4.150245E-17	5.947698E-18
3.360000E+03	4.193325E-17	5.994986E-18
3.370000E+03	4.240939E-17	6.048371E-18
3.380000E+03	4.293181E-17	6.107937E-18
3.390000E+03	4.350303E-17	6.173990E-18
3.400000E+03	4.412571E-17	6.246853E-18
3.410000E+03	4.480261E-17	6.326858E-18
3.420000E+03	4.553658E-17	6.414345E-18
3.430000E+03	4.633224E-17	6.509898E-18
3.440000E+03	4.718932E-17	6.613409E-18
3.450000E+03	4.811256E-17	6.725469E-18
3.460000E+03	4.910511E-17	6.846442E-18
3.470000E+03	5.017189E-17	6.976931E-18
3.480000E+03	5.131255E-17	7.116801E-18
3.490000E+03	5.253192E-17	7.266633E-18
3.500000E+03	5.383490E-17	7.427008E-18
3.510000E+03	5.522059E-17	7.597703E-18
3.520000E+03	5.669346E-17	7.779232E-18
3.530000E+03	5.825784E-17	7.972084E-18
3.540000E+03	5.991168E-17	8.175864E-18
3.550000E+03	6.166057E-17	8.391226E-18
3.560000E+03	6.350117E-17	8.617597E-18
3.570000E+03	6.543807E-17	8.855485E-18
3.580000E+03	6.746626E-17	9.104092E-18
3.590000E+03	6.958893E-17	9.363732E-18
3.600000E+03	7.179899E-17	9.633331E-18
3.610000E+03	7.409789E-17	9.912972E-18
3.620000E+03	7.647611E-17	1.020127E-17
3.630000E+03	7.893315E-17	1.049804E-17
3.640000E+03	8.145687E-17	1.080158E-17
3.650000E+03	8.404477E-17	1.111146E-17
3.660000E+03	8.668218E-17	1.142567E-17
3.670000E+03	8.936473E-17	1.174353E-17
3.680000E+03	9.207874E-17	1.206321E-17
3.690000E+03	9.480925E-17	1.238269E-17
3.700000E+03	9.755029E-17	1.270115E-17
3.710000E+03	1.002830E-16	1.301613E-17
3.720000E+03	1.030013E-16	1.332682E-17
3.730000E+03	1.056860E-16	1.363076E-17
3.740000E+03	1.083284E-16	1.392686E-17
3.750000E+03	1.109209E-16	1.421418E-17
3.760000E+03	1.134459E-16	1.449051E-17
3.770000E+03	1.159014E-16	1.475567E-17
3.780000E+03	1.182720E-16	1.500779E-17
3.790000E+03	1.205547E-16	1.524658E-17
3.800000E+03	1.227486E-16	1.547202E-17
3.810000E+03	1.248420E-16	1.568273E-17
3.820000E+03	1.268368E-16	1.587908E-17
3.830000E+03	1.287323E-16	1.606109E-17
3.840000E+03	1.305289E-16	1.622893E-17
3.850000E+03	1.322325E-16	1.638346E-17
3.860000E+03	1.338371E-16	1.652403E-17
3.870000E+03	1.353500E-16	1.665167E-17
3.880000E+03	1.367747E-16	1.676692E-17
3.890000E+03	1.381105E-16	1.686979E-17
3.900000E+03	1.393696E-16	1.696190E-17
3.910000E+03	1.405509E-16	1.704319E-17
3.920000E+03	1.416571E-16	1.711408E-17
3.930000E+03	1.426901E-16	1.717492E-17
3.940000E+03	1.436465E-16	1.722537E-17
3.950000E+03	1.445354E-16	1.726663E-17
3.960000E+03	1.453469E-16	1.729759E-17
3.970000E+03	1.460882E-16	1.731922E-17
3.980000E+03	1.467470E-16	1.733015E-17
3.990000E+03	1.473287E-16	1.733114E-17
4.000000E+03	1.478192E-16	1.732064E-17
4.010000E+03	1.482179E-16	1.729868E-17
4.020000E+03	1.485189E-16	1.726472E-17
4.030000E+03	1.487162E-16	1.721820E-17
4.040000E+03	1.488050E-16	1.715869E-17
4.050000E+03	1.487807E-16	1.708585E-17
4.060000E+03	1.486400E-16	1.699943E-17
4.070000E+03	1.483766E-16	1.689890E-17
4.080000E+03	1.479995E-16	1.678545E-17
4.090000E+03	1.475057E-16	1.665891E-17
4.100000E+03	1.468944E-16	1.651934E-17
4.110000E+03	1.461753E-16	1.636803E-17
4.120000E+03	1.453552E-16	1.620588E-17
4.130000E+03	1.444466E-16	1.603444E-17
4.140000E+03	1.434503E-16	1.585393E-17
4.150000E+03	1.423807E-16	1.566605E-17
4.160000E+03	1.412439E-16	1.547161E-17
4.170000E+03	1.400597E-16	1.527287E-17
4.180000E+03	1.388348E-16	1.507062E-17
4.190000E+03	1.375764E-16	1.486572E-17
4.200000E+03	1.363001E-16	1.465990E-17
4.210000E+03	1.350207E-16	1.445478E-17
4.220000E+03	1.337414E-16	1.425071E-17
4.230000E+03	1.324770E-16	1.404928E-17
4.240000E+03	1.312387E-16	1.385163E-17
4.250000E+03	1.300376E-16	1.365892E-17
4.260000E+03	1.288811E-16	1.347187E-17
4.270000E+03	1.277876E-16	1.329233E-17
4.280000E+03	1.267593E-16	1.312044E-17
4.290000E+03	1.258091E-16	1.295743E-17
4.300000E+03	1.249445E-16	1.280396E-17
4.310000E+03	1.241720E-16	1.266056E-17
4.320000E+03	1.234963E-16	1.252757E-17
4.330000E+03	1.229207E-16	1.240520E-17
4.340000E+03	1.224438E-16	1.229312E-17
4.350000E+03	1.220733E-16	1.219196E-17
4.360000E+03	1.218017E-16	1.210084E-17
4.370000E+03	1.216318E-16	1.201985E-17
4.380000E+03	1.215620E-16	1.194869E-17
4.390000E+03	1.215914E-16	1.188711E-17
4.400000E+03	1.217162E-16	1.183460E-17
4.410000E+03	1.219440E-16	1.179172E-17
4.420000E+03	1.222692E-16	1.175778E-17
4.430000E+03	1.226974E-16	1.173316E-17
4.440000E+03	1.232317E-16	1.171800E-17
4.450000E+03	1.238758E-16	1.171246E-17
4.460000E+03	1.246336E-16	1.171675E-17
4.470000E+03	1.255058E-16	1.173072E-17
4.480000E+03	1.265005E-16	1.175497E-17
4.490000E+03	1.276229E-16	1.178976E-17
4.500000E+03	1.288778E-16	1.183533E-17
4.510000E+03	1.302692E-16	1.189182E-17
4.520000E+03	1.317992E-16	1.195920E-17
4.530000E+03	1.334641E-16	1.203689E-17
