#wls	flux	fluxerr
1.600000E+03	1.270114E-16	1.230528E-16
1.640000E+03	1.312304E-16	1.266152E-16
1.680000E+03	1.357075E-16	1.303444E-16
1.720000E+03	1.404901E-16	1.342736E-16
1.760000E+03	1.455954E-16	1.384054E-16
1.800000E+03	1.510421E-16	1.427416E-16
1.840000E+03	1.568616E-16	1.472935E-16
1.880000E+03	1.630991E-16	1.520828E-16
1.920000E+03	1.697797E-16	1.571088E-16
1.960000E+03	1.769422E-16	1.623800E-16
2.000000E+03	1.846162E-16	1.678922E-16
2.040000E+03	1.928706E-16	1.736724E-16
2.080000E+03	2.017419E-16	1.797118E-16
2.120000E+03	2.112817E-16	1.860095E-16
2.160000E+03	2.215590E-16	1.925721E-16
2.200000E+03	2.326478E-16	1.994017E-16
2.240000E+03	2.445864E-16	2.064602E-16
2.280000E+03	2.574859E-16	2.137605E-16
2.320000E+03	2.714226E-16	2.212726E-16
2.360000E+03	2.864780E-16	2.289568E-16
2.400000E+03	3.027388E-16	2.367617E-16
2.440000E+03	3.203435E-16	2.446583E-16
2.480000E+03	3.393927E-16	2.525660E-16
2.520000E+03	3.599917E-16	2.603858E-16
2.560000E+03	3.822844E-16	2.680217E-16
2.600000E+03	4.064042E-16	2.753412E-16
2.640000E+03	4.325071E-16	2.821964E-16
2.680000E+03	4.607169E-16	2.883853E-16
2.720000E+03	4.911933E-16	2.936956E-16
2.760000E+03	5.240952E-16	2.978785E-16
2.800000E+03	5.595756E-16	3.006462E-16
2.840000E+03	5.977341E-16	3.016514E-16
2.880000E+03	6.387081E-16	3.005425E-16
2.920000E+03	6.825818E-16	2.969253E-16
2.960000E+03	7.293672E-16	2.903766E-16
3.000000E+03	7.790234E-16	2.804828E-16
3.010000E+03	7.918760E-16	2.774418E-16
3.020000E+03	8.048864E-16	2.741587E-16
3.030000E+03	8.180493E-16	2.706281E-16
3.040000E+03	8.313818E-16	2.668528E-16
3.050000E+03	8.448540E-16	2.628207E-16
3.060000E+03	8.584819E-16	2.585353E-16
3.070000E+03	8.722334E-16	2.539863E-16
3.080000E+03	8.860990E-16	2.491716E-16
3.090000E+03	9.001163E-16	2.441032E-16
3.100000E+03	9.142258E-16	2.387672E-16
3.110000E+03	9.284145E-16	2.331649E-16
3.120000E+03	9.426924E-16	2.273048E-16
3.130000E+03	9.570442E-16	2.211906E-16
3.140000E+03	9.714279E-16	2.148221E-16
3.150000E+03	9.858741E-16	2.082179E-16
3.160000E+03	1.000312E-15	2.013772E-16
3.170000E+03	1.014720E-15	1.943131E-16
3.180000E+03	1.029121E-15	1.870509E-16
3.190000E+03	1.043439E-15	1.796001E-16
3.200000E+03	1.057668E-15	1.719883E-16
3.210000E+03	1.071775E-15	1.642428E-16
3.220000E+03	1.085699E-15	1.563924E-16
3.230000E+03	1.099452E-15	1.484827E-16
3.240000E+03	1.112941E-15	1.405513E-16
3.250000E+03	1.126145E-15	1.326535E-16
3.260000E+03	1.139014E-15	1.248487E-16
3.270000E+03	1.151493E-15	1.172031E-16
3.280000E+03	1.163516E-15	1.097862E-16
3.290000E+03	1.175003E-15	1.026671E-16
3.300000E+03	1.185841E-15	9.591308E-17
3.310000E+03	1.195971E-15	8.959189E-17
3.320000E+03	1.205347E-15	8.375999E-17
3.330000E+03	1.213871E-15	7.845577E-17
3.340000E+03	1.221565E-15	7.370228E-17
3.350000E+03	1.228471E-15	6.948779E-17
3.360000E+03	1.234763E-15	6.577967E-17
3.370000E+03	1.240551E-15	6.251906E-17
3.380000E+03	1.246042E-15	5.963222E-17
3.390000E+03	1.251437E-15	5.703939E-17
