#wls	flux	fluxerr
1.600000E+03	1.404839E-16	1.361052E-16
1.640000E+03	1.440739E-16	1.390084E-16
1.680000E+03	1.478228E-16	1.419843E-16
1.720000E+03	1.517264E-16	1.450189E-16
1.760000E+03	1.557927E-16	1.481087E-16
1.800000E+03	1.600298E-16	1.512491E-16
1.840000E+03	1.644589E-16	1.544465E-16
1.880000E+03	1.690761E-16	1.576818E-16
1.920000E+03	1.738904E-16	1.609464E-16
1.960000E+03	1.789239E-16	1.642422E-16
2.000000E+03	1.841590E-16	1.675321E-16
2.040000E+03	1.896317E-16	1.708262E-16
2.080000E+03	1.953512E-16	1.741071E-16
2.120000E+03	2.012982E-16	1.773298E-16
2.160000E+03	2.075090E-16	1.804959E-16
2.200000E+03	2.139917E-16	1.835785E-16
2.240000E+03	2.207382E-16	1.865340E-16
2.280000E+03	2.277848E-16	1.893528E-16
2.320000E+03	2.351209E-16	1.919823E-16
2.360000E+03	2.427814E-16	1.944031E-16
2.400000E+03	2.507683E-16	1.965647E-16
2.440000E+03	2.590808E-16	1.984106E-16
2.480000E+03	2.677485E-16	1.999035E-16
2.520000E+03	2.767646E-16	2.009738E-16
2.560000E+03	2.861342E-16	2.015579E-16
2.600000E+03	2.958758E-16	2.015975E-16
2.640000E+03	3.059652E-16	2.010023E-16
2.680000E+03	3.163873E-16	1.996883E-16
2.720000E+03	3.271356E-16	1.975782E-16
2.760000E+03	3.381723E-16	1.945783E-16
2.800000E+03	3.494430E-16	1.905941E-16
2.840000E+03	3.608934E-16	1.855437E-16
2.880000E+03	3.724247E-16	1.793413E-16
2.920000E+03	3.839282E-16	1.719248E-16
2.960000E+03	3.952160E-16	1.632354E-16
3.000000E+03	4.061375E-16	1.532842E-16
3.010000E+03	4.087865E-16	1.506036E-16
3.020000E+03	4.113802E-16	1.478428E-16
3.030000E+03	4.139344E-16	1.450105E-16
3.040000E+03	4.164433E-16	1.421081E-16
3.050000E+03	4.188793E-16	1.391299E-16
3.060000E+03	4.212361E-16	1.360784E-16
3.070000E+03	4.235495E-16	1.329698E-16
3.080000E+03	4.257694E-16	1.297932E-16
3.090000E+03	4.279096E-16	1.265583E-16
3.100000E+03	4.299621E-16	1.232686E-16
3.110000E+03	4.318968E-16	1.199219E-16
3.120000E+03	4.337476E-16	1.165344E-16
3.130000E+03	4.354621E-16	1.130993E-16
3.140000E+03	4.370516E-16	1.096274E-16
3.150000E+03	4.385268E-16	1.061293E-16
3.160000E+03	4.398339E-16	1.026005E-16
3.170000E+03	4.409824E-16	9.905274E-17
3.180000E+03	4.419808E-16	9.549708E-17
3.190000E+03	4.427949E-16	9.193566E-17
3.200000E+03	4.434110E-16	8.837580E-17
3.210000E+03	4.438148E-16	8.482508E-17
3.220000E+03	4.439914E-16	8.129123E-17
