#wls	flux	fluxerr
1.597604E+03	4.506838E-05	1.896861E-06
1.637544E+03	4.446901E-05	1.861286E-06
1.677484E+03	4.388961E-05	1.826582E-06
1.717424E+03	4.331808E-05	1.792240E-06
1.757364E+03	4.276560E-05	1.758720E-06
1.797304E+03	4.223612E-05	1.726176E-06
1.837244E+03	4.174121E-05	1.695065E-06
1.877184E+03	4.127154E-05	1.664989E-06
1.917124E+03	4.084681E-05	1.636723E-06
1.957064E+03	4.046629E-05	1.610204E-06
1.997004E+03	4.014387E-05	1.585950E-06
2.036945E+03	3.987419E-05	1.563703E-06
2.076885E+03	3.967996E-05	1.544304E-06
2.116825E+03	3.957173E-05	1.528093E-06
2.156765E+03	3.955524E-05	1.515212E-06
2.196705E+03	3.964497E-05	1.506125E-06
2.236645E+03	3.987074E-05	1.501849E-06
2.276585E+03	4.023973E-05	1.502517E-06
2.316525E+03	4.077576E-05	1.508858E-06
2.356465E+03	4.152081E-05	1.522233E-06
2.396405E+03	4.249666E-05	1.543201E-06
2.436345E+03	4.375945E-05	1.573521E-06
2.476286E+03	4.534823E-05	1.614252E-06
2.516226E+03	4.734221E-05	1.667799E-06
2.556166E+03	4.980828E-05	1.736007E-06
2.596106E+03	5.286335E-05	1.822328E-06
2.636046E+03	5.662852E-05	1.930158E-06
2.675986E+03	6.127518E-05	2.064373E-06
2.715926E+03	6.700103E-05	2.230425E-06
2.755866E+03	7.407727E-05	2.435832E-06
2.795806E+03	8.282399E-05	2.689208E-06
2.835746E+03	9.365440E-05	3.001574E-06
2.875686E+03	1.071117E-04	3.387301E-06
2.915627E+03	1.237996E-04	3.861639E-06
2.955567E+03	1.444630E-04	4.443058E-06
2.995507E+03	1.699964E-04	5.153145E-06
3.005492E+03	1.772397E-04	5.352964E-06
3.015477E+03	1.848783E-04	5.563000E-06
3.025462E+03	1.928756E-04	5.782024E-06
3.035447E+03	2.012966E-04	6.011846E-06
3.045432E+03	2.101284E-04	6.251930E-06
3.055417E+03	2.193822E-04	6.502466E-06
3.065402E+03	2.290683E-04	6.763607E-06
3.075387E+03	2.391956E-04	7.035460E-06
3.085372E+03	2.498048E-04	7.319056E-06
3.095357E+03	2.608698E-04	7.613466E-06
3.105342E+03	2.723933E-04	7.918600E-06
3.115327E+03	2.843751E-04	8.234288E-06
3.125312E+03	2.968116E-04	8.560260E-06
3.135297E+03	3.097366E-04	8.897323E-06
3.145282E+03	3.230580E-04	9.242664E-06
3.155267E+03	3.368437E-04	9.598071E-06
3.165252E+03	3.510312E-04	9.961602E-06
3.175237E+03	3.656416E-04	1.033370E-05
3.185222E+03	3.805475E-04	1.071064E-05
3.195207E+03	3.958070E-04	1.109392E-05
3.205192E+03	4.113250E-04	1.148076E-05
3.215177E+03	4.270478E-04	1.186958E-05
3.225162E+03	4.429122E-04	1.225853E-05
3.235147E+03	4.588480E-04	1.264564E-05
3.245132E+03	4.748373E-04	1.303038E-05
3.255117E+03	4.907361E-04	1.340879E-05
3.265102E+03	5.064482E-04	1.377829E-05
3.275087E+03	5.218706E-04	1.413613E-05
3.285072E+03	5.368910E-04	1.447940E-05
3.295057E+03	5.514611E-04	1.480694E-05
3.305042E+03	5.653894E-04	1.511378E-05
3.315027E+03	5.785448E-04	1.539667E-05
3.325012E+03	5.907936E-04	1.565234E-05
3.334998E+03	6.019978E-04	1.587748E-05
3.344983E+03	6.120960E-04	1.607084E-05
3.354968E+03	6.207996E-04	1.622529E-05
3.364953E+03	6.281273E-04	1.634181E-05
3.374938E+03	6.338756E-04	1.641563E-05
3.384923E+03	6.380018E-04	1.644622E-05
3.394908E+03	6.402426E-04	1.642742E-05
3.404893E+03	6.406608E-04	1.636151E-05
3.414878E+03	6.390268E-04	1.624332E-05
3.424863E+03	6.355235E-04	1.607821E-05
3.434848E+03	6.298994E-04	1.586054E-05
3.444833E+03	6.222495E-04	1.559345E-05
3.454818E+03	6.127122E-04	1.528114E-05
3.464803E+03	6.012594E-04	1.492358E-05
3.474788E+03	5.882235E-04	1.452968E-05
3.484773E+03	5.737909E-04	1.410461E-05
3.494758E+03	5.583622E-04	1.365866E-05
3.504743E+03	5.422038E-04	1.319868E-05
3.514728E+03	5.258920E-04	1.273889E-05
3.524713E+03	5.098247E-04	1.228894E-05
3.534698E+03	4.944488E-04	1.185948E-05
3.544683E+03	4.801598E-04	1.145968E-05
3.554668E+03	4.672815E-04	1.109686E-05
3.564653E+03	4.561075E-04	1.077745E-05
3.574638E+03	4.466937E-04	1.050215E-05
3.584623E+03	4.392315E-04	1.027484E-05
3.594608E+03	4.336684E-04	1.009358E-05
3.604593E+03	4.298876E-04	9.955010E-06
3.614578E+03	4.277306E-04	9.854848E-06
3.624563E+03	4.268320E-04	9.784150E-06
3.634548E+03	4.269606E-04	9.737204E-06
3.644533E+03	4.276312E-04	9.702645E-06
3.654518E+03	4.284896E-04	9.672293E-06
3.664503E+03	4.289856E-04	9.633737E-06
3.674488E+03	4.286313E-04	9.576202E-06
3.684473E+03	4.267871E-04	9.485776E-06
3.694458E+03	4.230351E-04	9.353738E-06
3.704443E+03	4.168610E-04	9.169434E-06
3.714428E+03	4.080979E-04	8.930045E-06
3.724413E+03	3.966709E-04	8.634822E-06
3.734398E+03	3.828300E-04	8.290086E-06
3.744383E+03	3.671075E-04	7.908112E-06
3.754368E+03	3.503102E-04	7.506810E-06
3.764353E+03	3.332750E-04	7.104375E-06
3.774338E+03	3.170267E-04	6.722592E-06
3.784324E+03	3.024193E-04	6.379200E-06
3.794309E+03	2.901980E-04	6.089269E-06
3.804294E+03	2.810756E-04	5.866873E-06
3.814279E+03	2.756009E-04	5.722374E-06
3.824264E+03	2.742207E-04	5.663797E-06
3.834249E+03	2.774843E-04	5.701088E-06
3.844234E+03	2.859857E-04	5.844890E-06
3.854219E+03	3.004770E-04	6.108817E-06
3.864204E+03	3.218075E-04	6.508154E-06
3.874189E+03	3.509459E-04	7.060252E-06
3.884174E+03	3.889926E-04	7.784714E-06
3.894159E+03	4.368405E-04	8.696599E-06
3.904144E+03	4.950265E-04	9.803577E-06
3.914129E+03	5.632497E-04	1.109665E-05
3.924114E+03	6.400120E-04	1.254353E-05
3.934099E+03	7.224285E-04	1.408555E-05
3.944084E+03	8.062832E-04	1.563945E-05
3.954069E+03	8.865044E-04	1.710717E-05
3.964054E+03	9.578705E-04	1.838978E-05
3.974039E+03	1.017009E-03	1.942573E-05
3.984024E+03	1.061998E-03	2.018227E-05
3.994009E+03	1.093032E-03	2.066736E-05
4.003994E+03	1.111411E-03	2.090961E-05
4.013979E+03	1.119671E-03	2.096017E-05
4.023964E+03	1.119967E-03	2.086209E-05
4.033949E+03	1.113878E-03	2.064692E-05
4.043934E+03	1.102810E-03	2.034233E-05
4.053919E+03	1.087570E-03	1.996448E-05
4.063904E+03	1.068862E-03	1.952735E-05
4.073889E+03	1.047711E-03	1.905046E-05
4.083874E+03	1.024915E-03	1.854883E-05
4.093859E+03	1.001485E-03	1.804104E-05
4.103844E+03	9.784343E-04	1.754537E-05
4.113829E+03	9.565798E-04	1.707624E-05
4.123814E+03	9.363141E-04	1.664030E-05
4.133799E+03	9.180878E-04	1.624507E-05
4.143784E+03	9.020016E-04	1.589182E-05
4.153769E+03	8.882026E-04	1.558260E-05
4.163754E+03	8.768043E-04	1.531885E-05
4.173739E+03	8.678159E-04	1.510019E-05
4.183724E+03	8.614647E-04	1.493003E-05
4.193709E+03	8.576917E-04	1.480683E-05
4.203694E+03	8.563441E-04	1.472744E-05
4.213679E+03	8.573661E-04	1.469046E-05
4.223665E+03	8.603187E-04	1.468800E-05
4.233650E+03	8.651103E-04	1.471820E-05
4.243635E+03	8.714345E-04	1.477561E-05
4.253620E+03	8.793842E-04	1.486160E-05
4.263605E+03	8.888407E-04	1.497400E-05
4.273590E+03	9.000579E-04	1.511694E-05
4.283575E+03	9.132377E-04	1.529365E-05
4.293560E+03	9.284700E-04	1.550547E-05
4.303545E+03	9.456312E-04	1.575020E-05
4.313530E+03	9.643485E-04	1.602156E-05
4.323515E+03	9.839803E-04	1.630890E-05
4.333500E+03	1.003505E-03	1.659540E-05
4.343485E+03	1.021803E-03	1.686279E-05
4.353470E+03	1.036949E-03	1.707967E-05
4.363455E+03	1.047059E-03	1.721553E-05
4.373440E+03	1.050264E-03	1.724025E-05
4.383425E+03	1.046025E-03	1.714563E-05
4.393410E+03	1.035102E-03	1.694461E-05
4.403395E+03	1.019809E-03	1.667547E-05
4.413380E+03	1.003248E-03	1.638897E-05
4.423365E+03	9.881075E-04	1.612899E-05
4.433350E+03	9.767208E-04	1.593344E-05
4.443335E+03	9.704631E-04	1.582456E-05
4.453320E+03	9.703571E-04	1.581889E-05
4.463305E+03	9.769642E-04	1.592553E-05
4.473290E+03	9.906969E-04	1.615120E-05
4.483275E+03	1.011864E-03	1.650107E-05
4.493260E+03	1.041045E-03	1.698480E-05
4.503245E+03	1.078361E-03	1.760477E-05
4.513230E+03	1.123874E-03	1.836249E-05
4.523215E+03	1.177200E-03	1.925231E-05
4.533200E+03	1.237359E-03	2.025891E-05
4.543185E+03	1.302398E-03	2.135107E-05
4.553170E+03	1.369423E-03	2.248200E-05
4.563155E+03	1.435353E-03	2.360161E-05
4.573140E+03	1.497020E-03	2.465801E-05
4.583125E+03	1.551401E-03	2.560134E-05
4.593110E+03	1.595806E-03	2.638673E-05
4.603095E+03	1.628846E-03	2.699037E-05
4.613080E+03	1.649395E-03	2.739249E-05
4.623065E+03	1.657359E-03	2.759017E-05
4.633050E+03	1.653197E-03	2.758953E-05
4.643035E+03	1.637844E-03	2.740456E-05
4.653020E+03	1.613251E-03	2.706637E-05
4.663005E+03	1.582225E-03	2.662069E-05
4.672991E+03	1.547374E-03	2.611035E-05
4.682976E+03	1.511850E-03	2.558783E-05
4.692961E+03	1.477723E-03	2.508791E-05
4.702946E+03	1.446880E-03	2.464272E-05
4.712931E+03	1.420246E-03	2.426831E-05
4.722916E+03	1.397680E-03	2.396282E-05
4.732901E+03	1.378338E-03	2.371221E-05
4.742886E+03	1.361386E-03	2.350251E-05
4.752871E+03	1.345759E-03	2.331553E-05
4.762856E+03	1.330355E-03	2.313223E-05
4.772841E+03	1.313966E-03	2.293145E-05
4.782826E+03	1.295708E-03	2.269738E-05
4.792811E+03	1.274373E-03	2.240825E-05
4.802796E+03	1.249855E-03	2.206148E-05
4.812781E+03	1.222252E-03	2.165801E-05
4.822766E+03	1.192514E-03	2.121394E-05
4.832751E+03	1.161961E-03	2.075226E-05
4.842736E+03	1.132375E-03	2.030462E-05
4.852721E+03	1.105594E-03	1.990419E-05
4.862706E+03	1.083395E-03	1.958358E-05
4.872691E+03	1.067046E-03	1.936668E-05
4.882676E+03	1.057480E-03	1.927173E-05
4.892661E+03	1.055794E-03	1.932024E-05
4.902646E+03	1.062730E-03	1.952756E-05
4.912631E+03	1.079204E-03	1.991255E-05
4.922616E+03	1.106341E-03	2.049818E-05
4.932601E+03	1.144951E-03	2.130197E-05
4.942586E+03	1.195845E-03	2.234178E-05
4.952571E+03	1.259300E-03	2.362564E-05
4.962556E+03	1.333746E-03	2.512699E-05
4.972541E+03	1.416272E-03	2.679333E-05
4.982526E+03	1.501908E-03	2.853220E-05
4.992511E+03	1.583084E-03	3.019997E-05
5.002496E+03	1.650773E-03	3.162264E-05
5.012481E+03	1.696190E-03	3.262798E-05
5.022466E+03	1.713189E-03	3.309192E-05
5.032451E+03	1.699145E-03	3.295670E-05
5.042436E+03	1.656696E-03	3.226615E-05
5.052421E+03	1.594011E-03	3.117316E-05
5.062406E+03	1.521627E-03	2.987973E-05
5.072391E+03	1.449704E-03	2.858376E-05
5.082376E+03	1.386392E-03	2.744668E-05
5.092361E+03	1.337685E-03	2.658969E-05
5.102346E+03	1.306891E-03	2.608229E-05
5.112332E+03	1.294675E-03	2.594208E-05
5.122317E+03	1.300022E-03	2.615306E-05
5.132302E+03	1.320801E-03	2.667638E-05
5.142287E+03	1.353825E-03	2.745107E-05
5.152272E+03	1.394437E-03	2.838519E-05
5.162257E+03	1.438293E-03	2.939171E-05
5.172242E+03	1.480819E-03	3.037754E-05
5.182227E+03	1.518193E-03	3.126356E-05
5.192212E+03	1.547562E-03	3.198951E-05
5.202197E+03	1.567997E-03	3.253422E-05
5.212182E+03	1.579878E-03	3.290342E-05
5.222167E+03	1.584467E-03	3.312150E-05
5.232152E+03	1.583068E-03	3.321405E-05
5.242137E+03	1.577449E-03	3.321689E-05
5.252122E+03	1.568819E-03	3.315461E-05
5.262107E+03	1.558439E-03	3.305323E-05
5.272092E+03	1.547114E-03	3.292947E-05
5.282077E+03	1.535718E-03	3.280178E-05
5.292062E+03	1.524263E-03	3.267040E-05
5.302047E+03	1.512776E-03	3.253588E-05
5.312032E+03	1.501311E-03	3.239939E-05
5.322017E+03	1.489177E-03	3.224593E-05
5.332002E+03	1.475966E-03	3.206652E-05
5.341987E+03	1.461352E-03	3.185382E-05
5.351972E+03	1.445158E-03	3.160363E-05
5.361957E+03	1.427647E-03	3.132142E-05
5.371942E+03	1.409119E-03	3.101354E-05
5.381927E+03	1.389930E-03	3.068761E-05
5.391912E+03	1.370441E-03	3.035154E-05
5.401897E+03	1.351377E-03	3.002137E-05
5.411882E+03	1.333525E-03	2.971476E-05
5.421867E+03	1.317857E-03	2.945368E-05
5.431852E+03	1.305554E-03	2.926507E-05
5.441837E+03	1.298396E-03	2.918963E-05
5.451822E+03	1.298273E-03	2.927100E-05
5.461807E+03	1.306961E-03	2.955063E-05
5.471792E+03	1.325787E-03	3.006034E-05
5.481777E+03	1.355923E-03	3.082860E-05
5.491762E+03	1.397467E-03	3.185972E-05
5.501747E+03	1.448577E-03	3.311359E-05
5.511732E+03	1.505707E-03	3.451057E-05
5.521717E+03	1.564180E-03	3.594414E-05
5.531702E+03	1.617109E-03	3.725570E-05
5.541687E+03	1.656884E-03	3.826840E-05
5.551672E+03	1.677155E-03	3.883279E-05
5.561658E+03	1.673985E-03	3.885406E-05
5.571643E+03	1.646638E-03	3.831114E-05
5.581628E+03	1.597167E-03	3.724787E-05
5.591613E+03	1.530640E-03	3.577922E-05
5.601598E+03	1.453128E-03	3.404479E-05
5.611583E+03	1.369744E-03	3.216306E-05
5.621568E+03	1.283262E-03	3.019856E-05
5.631553E+03	1.195139E-03	2.818546E-05
5.641538E+03	1.106029E-03	2.613910E-05
5.651523E+03	1.015784E-03	2.405609E-05
5.661508E+03	9.246907E-04	2.194332E-05
5.671493E+03	8.343103E-04	1.983797E-05
5.681478E+03	7.476817E-04	1.781281E-05
5.691463E+03	6.678919E-04	1.594225E-05
5.701448E+03	5.975348E-04	1.428949E-05
5.711433E+03	5.383541E-04	1.289774E-05
5.721418E+03	4.914389E-04	1.179476E-05
5.731403E+03	4.570813E-04	1.098927E-05
5.741388E+03	4.351041E-04	1.047868E-05
5.751373E+03	4.254459E-04	1.026307E-05
5.761358E+03	4.282642E-04	1.034776E-05
5.771343E+03	4.438217E-04	1.074056E-05
5.781328E+03	4.729453E-04	1.146290E-05
5.791313E+03	5.169244E-04	1.254753E-05
5.801298E+03	5.774114E-04	1.403608E-05
5.811283E+03	6.560090E-04	1.596913E-05
5.821268E+03	7.541299E-04	1.838275E-05
5.831253E+03	8.720124E-04	2.128442E-05
5.841238E+03	1.007993E-03	2.463503E-05
5.851223E+03	1.157769E-03	2.833062E-05
5.861208E+03	1.314243E-03	3.219807E-05
5.871193E+03	1.466953E-03	3.598091E-05
5.881178E+03	1.604006E-03	3.938635E-05
5.891163E+03	1.714241E-03	4.213830E-05
5.901148E+03	1.788920E-03	4.401933E-05
5.911133E+03	1.823424E-03	4.491268E-05
5.921118E+03	1.818601E-03	4.483626E-05
5.931103E+03	1.780149E-03	4.392792E-05
5.941088E+03	1.715780E-03	4.237601E-05
5.951073E+03	1.634612E-03	4.040440E-05
5.961058E+03	1.545184E-03	3.822361E-05
5.971043E+03	1.454179E-03	3.599881E-05
5.981028E+03	1.365641E-03	3.383041E-05
5.991013E+03	1.282281E-03	3.178601E-05
6.000999E+03	1.205559E-03	2.990235E-05
6.010984E+03	1.136707E-03	2.821048E-05
6.020969E+03	1.076225E-03	2.672340E-05
6.030954E+03	1.024704E-03	2.545632E-05
6.040939E+03	9.826287E-04	2.442172E-05
6.050924E+03	9.503163E-04	2.362796E-05
6.060909E+03	9.279283E-04	2.307943E-05
6.070894E+03	9.147956E-04	2.275982E-05
6.080879E+03	9.102877E-04	2.265369E-05
6.090864E+03	9.134104E-04	2.273647E-05
6.100849E+03	9.231336E-04	2.298263E-05
6.110834E+03	9.382906E-04	2.336318E-05
6.120819E+03	9.579038E-04	2.385377E-05
6.130804E+03	9.813674E-04	2.443930E-05
6.140789E+03	1.008415E-03	2.511304E-05
6.150774E+03	1.039257E-03	2.588017E-05
6.160759E+03	1.075233E-03	2.677394E-05
6.170744E+03	1.118048E-03	2.783661E-05
6.180729E+03	1.169998E-03	2.912518E-05
6.190714E+03	1.233159E-03	3.069098E-05
6.200699E+03	1.309875E-03	3.259200E-05
6.210684E+03	1.401783E-03	3.486842E-05
6.220669E+03	1.508817E-03	3.751794E-05
6.230654E+03	1.629219E-03	4.049614E-05
6.240639E+03	1.759446E-03	4.371422E-05
6.250624E+03	1.893447E-03	4.702116E-05
6.260609E+03	2.023446E-03	5.022336E-05
6.270594E+03	2.140291E-03	5.309351E-05
6.280579E+03	2.236301E-03	5.544137E-05
6.290564E+03	2.304680E-03	5.709917E-05
6.300549E+03	2.341495E-03	5.797068E-05
6.310534E+03	2.346362E-03	5.804790E-05
6.320519E+03	2.321282E-03	5.738205E-05
6.330504E+03	2.270727E-03	5.608540E-05
6.340489E+03	2.200365E-03	5.429959E-05
6.350474E+03	2.116418E-03	5.217954E-05
6.360459E+03	2.024946E-03	4.987574E-05
6.370444E+03	1.932133E-03	4.754117E-05
6.380429E+03	1.842895E-03	4.529709E-05
6.390414E+03	1.761075E-03	4.323786E-05
6.400399E+03	1.689063E-03	4.142174E-05
6.410384E+03	1.628619E-03	3.989128E-05
6.420369E+03	1.579966E-03	3.865109E-05
6.430354E+03	1.542464E-03	3.768461E-05
6.440339E+03	1.514827E-03	3.695950E-05
6.450325E+03	1.495074E-03	3.642666E-05
6.460310E+03	1.481087E-03	3.603378E-05
6.470295E+03	1.470425E-03	3.572104E-05
6.480280E+03	1.460719E-03	3.543061E-05
6.490265E+03	1.449886E-03	3.511199E-05
6.500250E+03	1.435804E-03	3.471405E-05
6.510235E+03	1.417304E-03	3.420898E-05
6.520220E+03	1.393970E-03	3.358740E-05
6.530205E+03	1.366323E-03	3.286248E-05
6.540190E+03	1.335108E-03	3.205279E-05
6.550175E+03	1.301878E-03	3.119610E-05
6.560160E+03	1.268438E-03	3.033597E-05
6.570145E+03	1.236332E-03	2.950942E-05
6.580130E+03	1.207060E-03	2.875206E-05
6.590115E+03	1.181427E-03	2.808271E-05
6.600100E+03	1.160105E-03	2.751688E-05
6.610085E+03	1.142864E-03	2.704853E-05
6.620070E+03	1.129069E-03	2.666207E-05
6.630055E+03	1.117924E-03	2.633829E-05
6.640040E+03	1.108228E-03	2.604851E-05
6.650025E+03	1.098341E-03	2.575410E-05
6.660010E+03	1.086967E-03	2.542480E-05
6.669995E+03	1.072612E-03	2.502606E-05
6.679980E+03	1.054257E-03	2.453474E-05
6.689965E+03	1.031255E-03	2.393658E-05
6.699950E+03	1.003593E-03	2.323225E-05
6.709935E+03	9.717956E-04	2.243478E-05
6.719920E+03	9.365159E-04	2.156011E-05
6.729905E+03	8.989527E-04	2.063655E-05
6.739890E+03	8.603342E-04	1.969279E-05
6.749875E+03	8.218126E-04	1.875547E-05
6.759860E+03	7.843926E-04	1.784755E-05
6.769845E+03	7.488798E-04	1.698721E-05
6.779830E+03	7.158173E-04	1.618646E-05
6.789815E+03	6.854026E-04	1.544932E-05
6.799800E+03	6.577887E-04	1.477877E-05
