#wls	flux	fluxerr
1.597604E+03	7.984831E-06	2.484300E-07
1.637544E+03	8.004462E-06	2.478999E-07
1.677484E+03	8.023075E-06	2.473076E-07
1.717424E+03	8.041440E-06	2.466768E-07
1.757364E+03	8.059982E-06	2.460202E-07
1.797304E+03	8.077585E-06	2.453033E-07
1.837244E+03	8.092435E-06	2.444713E-07
1.877184E+03	8.102116E-06	2.434526E-07
1.917124E+03	8.104049E-06	2.421723E-07
1.957064E+03	8.096742E-06	2.405898E-07
1.997004E+03	8.082571E-06	2.387798E-07
2.036945E+03	8.072254E-06	2.370605E-07
2.076885E+03	8.089036E-06	2.361086E-07
2.116825E+03	8.167352E-06	2.369080E-07
2.156765E+03	8.341559E-06	2.404146E-07
2.196705E+03	8.630353E-06	2.471085E-07
2.236645E+03	9.030730E-06	2.568364E-07
2.276585E+03	9.526299E-06	2.690672E-07
2.316525E+03	1.010202E-05	2.833182E-07
2.356465E+03	1.074484E-05	2.991725E-07
2.396405E+03	1.145562E-05	3.166070E-07
2.436345E+03	1.224044E-05	3.357403E-07
2.476286E+03	1.311263E-05	3.568809E-07
2.516226E+03	1.408189E-05	3.802281E-07
2.556166E+03	1.516722E-05	4.062190E-07
2.596106E+03	1.639045E-05	4.353488E-07
2.636046E+03	1.776689E-05	4.679191E-07
2.675986E+03	1.932220E-05	5.044860E-07
2.715926E+03	2.108508E-05	5.456592E-07
2.755866E+03	2.307513E-05	5.917856E-07
2.795806E+03	2.532883E-05	6.436211E-07
2.835746E+03	2.786735E-05	7.014989E-07
2.875686E+03	3.073091E-05	7.662061E-07
2.915627E+03	3.393984E-05	8.379967E-07
2.955567E+03	3.753607E-05	9.176332E-07
2.995507E+03	4.153593E-05	1.005216E-06
3.005492E+03	4.260890E-05	1.028557E-06
3.015477E+03	4.370209E-05	1.052249E-06
3.025462E+03	4.483136E-05	1.076669E-06
3.035447E+03	4.598150E-05	1.101446E-06
3.045432E+03	4.716172E-05	1.126796E-06
3.055417E+03	4.838206E-05	1.152952E-06
3.065402E+03	4.962565E-05	1.179507E-06
3.075387E+03	5.090115E-05	1.206661E-06
3.085372E+03	5.221812E-05	1.234634E-06
3.095357E+03	5.355835E-05	1.262989E-06
3.105342E+03	5.494103E-05	1.292173E-06
