#wls	flux	fluxerr
1.600000E+03	2.556662E-16	3.993294E-18
1.640000E+03	2.510422E-16	3.915247E-18
1.680000E+03	2.463036E-16	3.835499E-18
1.720000E+03	2.414987E-16	3.754816E-18
1.760000E+03	2.366732E-16	3.673919E-18
1.800000E+03	2.317878E-16	3.592202E-18
1.840000E+03	2.268891E-16	3.510403E-18
1.880000E+03	2.219822E-16	3.428606E-18
1.920000E+03	2.170366E-16	3.346348E-18
1.960000E+03	2.121387E-16	3.264968E-18
2.000000E+03	2.072610E-16	3.184050E-18
2.040000E+03	2.024531E-16	3.104357E-18
2.080000E+03	1.977288E-16	3.026103E-18
2.120000E+03	1.931383E-16	2.950056E-18
2.160000E+03	1.886365E-16	2.875522E-18
2.200000E+03	1.843433E-16	2.804325E-18
2.240000E+03	1.802530E-16	2.736367E-18
2.280000E+03	1.764269E-16	2.672563E-18
2.320000E+03	1.728738E-16	2.613026E-18
2.360000E+03	1.697206E-16	2.559652E-18
2.400000E+03	1.669647E-16	2.512364E-18
2.440000E+03	1.647220E-16	2.472867E-18
2.480000E+03	1.630690E-16	2.442260E-18
2.520000E+03	1.621017E-16	2.421913E-18
2.560000E+03	1.620110E-16	2.414603E-18
2.600000E+03	1.629013E-16	2.421783E-18
2.640000E+03	1.650378E-16	2.447276E-18
2.680000E+03	1.686526E-16	2.494369E-18
2.720000E+03	1.741519E-16	2.568878E-18
2.760000E+03	1.819878E-16	2.677221E-18
2.800000E+03	1.927945E-16	2.828413E-18
2.840000E+03	2.074551E-16	3.034996E-18
2.880000E+03	2.271165E-16	3.313202E-18
2.920000E+03	2.534708E-16	3.686994E-18
2.960000E+03	2.887116E-16	4.187300E-18
3.000000E+03	3.358981E-16	4.857166E-18
3.010000E+03	3.500033E-16	5.057325E-18
3.020000E+03	3.651955E-16	5.272860E-18
3.030000E+03	3.815555E-16	5.504900E-18
3.040000E+03	3.991269E-16	5.754036E-18
3.050000E+03	4.180389E-16	6.022083E-18
3.060000E+03	4.383861E-16	6.310362E-18
3.070000E+03	4.602679E-16	6.620249E-18
3.080000E+03	4.837379E-16	6.952464E-18
3.090000E+03	5.089978E-16	7.309850E-18
3.100000E+03	5.360558E-16	7.692461E-18
3.110000E+03	5.650690E-16	8.102487E-18
3.120000E+03	5.961452E-16	8.541405E-18
3.130000E+03	6.294502E-16	9.011518E-18
3.140000E+03	6.649658E-16	9.512485E-18
3.150000E+03	7.029087E-16	1.004733E-17
3.160000E+03	7.432311E-16	1.061528E-17
3.170000E+03	7.861359E-16	1.121916E-17
3.180000E+03	8.316816E-16	1.185969E-17
3.190000E+03	8.797451E-16	1.253504E-17
3.200000E+03	9.304794E-16	1.324730E-17
3.210000E+03	9.838599E-16	1.399601E-17
3.220000E+03	1.039732E-15	1.477890E-17
3.230000E+03	1.097978E-15	1.559418E-17
3.240000E+03	1.158527E-15	1.644078E-17
3.250000E+03	1.221169E-15	1.731564E-17
3.260000E+03	1.285530E-15	1.821338E-17
3.270000E+03	1.351492E-15	1.913225E-17
3.280000E+03	1.418444E-15	2.006357E-17
3.290000E+03	1.486043E-15	2.100244E-17
3.300000E+03	1.553777E-15	2.194161E-17
3.310000E+03	1.621080E-15	2.287309E-17
3.320000E+03	1.687344E-15	2.378831E-17
3.330000E+03	1.751920E-15	2.467816E-17
3.340000E+03	1.814280E-15	2.553528E-17
3.350000E+03	1.873475E-15	2.634638E-17
3.360000E+03	1.929118E-15	2.710615E-17
3.370000E+03	1.980580E-15	2.780587E-17
3.380000E+03	2.027126E-15	2.843539E-17
3.390000E+03	2.068370E-15	2.898945E-17
3.400000E+03	2.103693E-15	2.945960E-17
3.410000E+03	2.132842E-15	2.984248E-17
3.420000E+03	2.155467E-15	3.013343E-17
3.430000E+03	2.171275E-15	3.032860E-17
3.440000E+03	2.180042E-15	3.042509E-17
3.450000E+03	2.181648E-15	3.042148E-17
3.460000E+03	2.176150E-15	3.031883E-17
3.470000E+03	2.163858E-15	3.012172E-17
3.480000E+03	2.145553E-15	2.984124E-17
3.490000E+03	2.122111E-15	2.948979E-17
3.500000E+03	2.094915E-15	2.908676E-17
3.510000E+03	2.065888E-15	2.865896E-17
3.520000E+03	2.036461E-15	2.822629E-17
3.530000E+03	2.008830E-15	2.781918E-17
3.540000E+03	1.984556E-15	2.745918E-17
3.550000E+03	1.964961E-15	2.716441E-17
3.560000E+03	1.951376E-15	2.695314E-17
3.570000E+03	1.944396E-15	2.683331E-17
3.580000E+03	1.944307E-15	2.680868E-17
3.590000E+03	1.950974E-15	2.687709E-17
3.600000E+03	1.963947E-15	2.703215E-17
3.610000E+03	1.982282E-15	2.726064E-17
3.620000E+03	2.004535E-15	2.754250E-17
3.630000E+03	2.029056E-15	2.785495E-17
3.640000E+03	2.053627E-15	2.816752E-17
3.650000E+03	2.075551E-15	2.844320E-17
3.660000E+03	2.091616E-15	2.863815E-17
3.670000E+03	2.098169E-15	2.870259E-17
3.680000E+03	2.091371E-15	2.858439E-17
3.690000E+03	2.067236E-15	2.822963E-17
3.700000E+03	2.022561E-15	2.759521E-17
3.710000E+03	1.955218E-15	2.665288E-17
3.720000E+03	1.865234E-15	2.540382E-17
3.730000E+03	1.755064E-15	2.388225E-17
3.740000E+03	1.629364E-15	2.215220E-17
3.750000E+03	1.494910E-15	2.030627E-17
3.760000E+03	1.359264E-15	1.844741E-17
3.770000E+03	1.229765E-15	1.667517E-17
3.780000E+03	1.112427E-15	1.507079E-17
3.790000E+03	1.011677E-15	1.369377E-17
3.800000E+03	9.301874E-16	1.257965E-17
3.810000E+03	8.694509E-16	1.174789E-17
3.820000E+03	8.302199E-16	1.120792E-17
3.830000E+03	8.131324E-16	1.096757E-17
3.840000E+03	8.192140E-16	1.103987E-17
3.850000E+03	8.502636E-16	1.144822E-17
3.860000E+03	9.091373E-16	1.223016E-17
3.870000E+03	9.996959E-16	1.343658E-17
3.880000E+03	1.126853E-15	1.513237E-17
3.890000E+03	1.295840E-15	1.738642E-17
3.900000E+03	1.511211E-15	2.025833E-17
3.910000E+03	1.775498E-15	2.378039E-17
3.920000E+03	2.087253E-15	2.793152E-17
3.930000E+03	2.439865E-15	3.262169E-17
3.940000E+03	2.820584E-15	3.767918E-17
3.950000E+03	3.212055E-15	4.287143E-17
3.960000E+03	3.594487E-15	4.793414E-17
3.970000E+03	3.949524E-15	5.262313E-17
3.980000E+03	4.262663E-15	5.674630E-17
3.990000E+03	4.525195E-15	6.018930E-17
4.000000E+03	4.734514E-15	6.291927E-17
