#wls	flux	fluxerr
1.600000E+03	1.514157E-16	2.496721E-16
1.640000E+03	1.491997E-16	2.445985E-16
1.680000E+03	1.470062E-16	2.394967E-16
1.720000E+03	1.448169E-16	2.343350E-16
1.760000E+03	1.426411E-16	2.291269E-16
1.800000E+03	1.405370E-16	2.239634E-16
1.840000E+03	1.384670E-16	2.187814E-16
1.880000E+03	1.364445E-16	2.135997E-16
1.920000E+03	1.345297E-16	2.085089E-16
1.960000E+03	1.327152E-16	2.034920E-16
2.000000E+03	1.310190E-16	1.985713E-16
2.040000E+03	1.294621E-16	1.937713E-16
2.080000E+03	1.280891E-16	1.891499E-16
2.120000E+03	1.269060E-16	1.847044E-16
2.160000E+03	1.259446E-16	1.804677E-16
2.200000E+03	1.252817E-16	1.765326E-16
2.240000E+03	1.249198E-16	1.728796E-16
2.280000E+03	1.249489E-16	1.696070E-16
2.320000E+03	1.253900E-16	1.667088E-16
2.360000E+03	1.263546E-16	1.642923E-16
2.400000E+03	1.279307E-16	1.624185E-16
2.440000E+03	1.302065E-16	1.611343E-16
2.480000E+03	1.333349E-16	1.605485E-16
2.520000E+03	1.374823E-16	1.607600E-16
2.560000E+03	1.428786E-16	1.619103E-16
2.600000E+03	1.497482E-16	1.640935E-16
2.640000E+03	1.584941E-16	1.675506E-16
2.680000E+03	1.695339E-16	1.724637E-16
2.720000E+03	1.834342E-16	1.790804E-16
2.760000E+03	2.009291E-16	1.876958E-16
2.800000E+03	2.230017E-16	1.986825E-16
2.840000E+03	2.508636E-16	2.124110E-16
2.880000E+03	2.861829E-16	2.293699E-16
2.920000E+03	3.309777E-16	2.499662E-16
2.960000E+03	3.878568E-16	2.745947E-16
3.000000E+03	4.599432E-16	3.034197E-16
3.010000E+03	4.807489E-16	3.112618E-16
3.020000E+03	5.028222E-16	3.193662E-16
3.030000E+03	5.261633E-16	3.276816E-16
3.040000E+03	5.508958E-16	3.362313E-16
3.050000E+03	5.770143E-16	3.449550E-16
3.060000E+03	6.045732E-16	3.538268E-16
3.070000E+03	6.336997E-16	3.628594E-16
