#wls	flux	fluxerr
1.585257E+03	4.746513E-04	9.767352E-06
1.624889E+03	5.137466E-04	1.055289E-05
1.664520E+03	5.540147E-04	1.135910E-05
1.704151E+03	5.951110E-04	1.217868E-05
1.743783E+03	6.362918E-04	1.299623E-05
1.783414E+03	6.763397E-04	1.378679E-05
1.823046E+03	7.134098E-04	1.451286E-05
1.862677E+03	7.452796E-04	1.512957E-05
1.902309E+03	7.693556E-04	1.558494E-05
1.941940E+03	7.833230E-04	1.583312E-05
1.981571E+03	7.862346E-04	1.585629E-05
2.021203E+03	7.804582E-04	1.570359E-05
2.060834E+03	7.728102E-04	1.551306E-05
2.100466E+03	7.739136E-04	1.549771E-05
2.140097E+03	7.948382E-04	1.587738E-05
2.179729E+03	8.418835E-04	1.677456E-05
2.219360E+03	9.145107E-04	1.817442E-05
2.258991E+03	1.007368E-03	1.996669E-05
2.298623E+03	1.113628E-03	2.201288E-05
2.338254E+03	1.228200E-03	2.421011E-05
2.377886E+03	1.348319E-03	2.650227E-05
2.417517E+03	1.473428E-03	2.887711E-05
2.457149E+03	1.604760E-03	3.135741E-05
2.496780E+03	1.744304E-03	3.398037E-05
2.536411E+03	1.894166E-03	3.678494E-05
2.576043E+03	2.056278E-03	3.980609E-05
2.615674E+03	2.231767E-03	4.306275E-05
2.655306E+03	2.422809E-03	4.659359E-05
2.694937E+03	2.632078E-03	5.044618E-05
2.734569E+03	2.861824E-03	5.465925E-05
2.774200E+03	3.112728E-03	5.924078E-05
2.813831E+03	3.384234E-03	6.417512E-05
2.853463E+03	3.674279E-03	6.941805E-05
2.893094E+03	3.979089E-03	7.489367E-05
2.932726E+03	4.292952E-03	8.049070E-05
2.972357E+03	4.607883E-03	8.605694E-05
2.982265E+03	4.685552E-03	8.742060E-05
2.992173E+03	4.762485E-03	8.876731E-05
3.002081E+03	4.838343E-03	9.009079E-05
3.011989E+03	4.913193E-03	9.139234E-05
3.021896E+03	4.987026E-03	9.267185E-05
3.031804E+03	5.059951E-03	9.393133E-05
3.041712E+03	5.131588E-03	9.516383E-05
3.051620E+03	5.201771E-03	9.636630E-05
3.061528E+03	5.269893E-03	9.752760E-05
3.071436E+03	5.335771E-03	9.864443E-05
3.081344E+03	5.398892E-03	9.970745E-05
3.091251E+03	5.458956E-03	1.007113E-04
3.101159E+03	5.515548E-03	1.016484E-04
3.111067E+03	5.568253E-03	1.025114E-04
3.120975E+03	5.616657E-03	1.032928E-04
3.130883E+03	5.660451E-03	1.039873E-04
3.140791E+03	5.699122E-03	1.045857E-04
3.150699E+03	5.732374E-03	1.050828E-04
3.160606E+03	5.759820E-03	1.054719E-04
3.170514E+03	5.781085E-03	1.057465E-04
3.180422E+03	5.795919E-03	1.059023E-04
3.190330E+03	5.803795E-03	1.059302E-04
3.200238E+03	5.804722E-03	1.058307E-04
3.210146E+03	5.798146E-03	1.055941E-04
3.220054E+03	5.784154E-03	1.052225E-04
3.229961E+03	5.762399E-03	1.047100E-04
3.239869E+03	5.732880E-03	1.040572E-04
3.249777E+03	5.695573E-03	1.032639E-04
3.259685E+03	5.650436E-03	1.023301E-04
3.269593E+03	5.597772E-03	1.012615E-04
3.279501E+03	5.537616E-03	1.000594E-04
3.289409E+03	5.470268E-03	9.872961E-05
3.299316E+03	5.396270E-03	9.728240E-05
3.309224E+03	5.315925E-03	9.572364E-05
3.319132E+03	5.229783E-03	9.406363E-05
3.329040E+03	5.138470E-03	9.231398E-05
3.338948E+03	5.042753E-03	9.048885E-05
3.348856E+03	4.943250E-03	8.859955E-05
3.358763E+03	4.840782E-03	8.666108E-05
3.368671E+03	4.736284E-03	8.469036E-05
3.378579E+03	4.630598E-03	8.270255E-05
3.388487E+03	4.524661E-03	8.071449E-05
3.398395E+03	4.419251E-03	7.874007E-05
3.408303E+03	4.315167E-03	7.679348E-05
3.418211E+03	4.213116E-03	7.488726E-05
3.428118E+03	4.113617E-03	7.303047E-05
3.438026E+03	4.017026E-03	7.122929E-05
