#wls	flux	fluxerr
1.600000E+03	1.639208E-16	4.518762E-18
1.640000E+03	1.745888E-16	4.799321E-18
1.680000E+03	1.860433E-16	5.099466E-18
1.720000E+03	1.983142E-16	5.419764E-18
1.760000E+03	2.113971E-16	5.759830E-18
1.800000E+03	2.252871E-16	6.119255E-18
1.840000E+03	2.399329E-16	6.496363E-18
1.880000E+03	2.552924E-16	6.889740E-18
1.920000E+03	2.712619E-16	7.296315E-18
1.960000E+03	2.876616E-16	7.711012E-18
2.000000E+03	3.042865E-16	8.128140E-18
2.040000E+03	3.207803E-16	8.538049E-18
2.080000E+03	3.366147E-16	8.926671E-18
2.120000E+03	3.513605E-16	9.282758E-18
2.160000E+03	3.651494E-16	9.610016E-18
2.200000E+03	3.783195E-16	9.917510E-18
2.240000E+03	3.911005E-16	1.021135E-17
2.280000E+03	4.035612E-16	1.049336E-17
2.320000E+03	4.163311E-16	1.077988E-17
2.360000E+03	4.300968E-16	1.108843E-17
2.400000E+03	4.454912E-16	1.143483E-17
2.440000E+03	4.631245E-16	1.183403E-17
2.480000E+03	4.836324E-16	1.230132E-17
2.520000E+03	5.076429E-16	1.285147E-17
2.560000E+03	5.357095E-16	1.349703E-17
2.600000E+03	5.682406E-16	1.424661E-17
2.640000E+03	6.053253E-16	1.510059E-17
2.680000E+03	6.474901E-16	1.607012E-17
2.720000E+03	6.955547E-16	1.717328E-17
2.760000E+03	7.500293E-16	1.842007E-17
2.800000E+03	8.110023E-16	1.980983E-17
2.840000E+03	8.782593E-16	2.133447E-17
2.880000E+03	9.513074E-16	2.297921E-17
2.920000E+03	1.029301E-15	2.472103E-17
2.960000E+03	1.111090E-15	2.653010E-17
3.000000E+03	1.195050E-15	2.836592E-17
3.010000E+03	1.216119E-15	2.882273E-17
3.020000E+03	1.237136E-15	2.927670E-17
3.030000E+03	1.258074E-15	2.972717E-17
3.040000E+03	1.278875E-15	3.017280E-17
3.050000E+03	1.299477E-15	3.061213E-17
3.060000E+03	1.319842E-15	3.104428E-17
3.070000E+03	1.339872E-15	3.146699E-17
3.080000E+03	1.359552E-15	3.187991E-17
3.090000E+03	1.378776E-15	3.228062E-17
3.100000E+03	1.397494E-15	3.266796E-17
3.110000E+03	1.415622E-15	3.304006E-17
3.120000E+03	1.433101E-15	3.339561E-17
3.130000E+03	1.449842E-15	3.373256E-17
3.140000E+03	1.465751E-15	3.404887E-17
3.150000E+03	1.480762E-15	3.434304E-17
3.160000E+03	1.494746E-15	3.461222E-17
3.170000E+03	1.507661E-15	3.485553E-17
3.180000E+03	1.519376E-15	3.507009E-17
3.190000E+03	1.529816E-15	3.525426E-17
3.200000E+03	1.538876E-15	3.540582E-17
3.210000E+03	1.546456E-15	3.552258E-17
3.220000E+03	1.552481E-15	3.560303E-17
3.230000E+03	1.556853E-15	3.564508E-17
3.240000E+03	1.559455E-15	3.564624E-17
3.250000E+03	1.560280E-15	3.560654E-17
3.260000E+03	1.559176E-15	3.552276E-17
3.270000E+03	1.556157E-15	3.539541E-17
3.280000E+03	1.551126E-15	3.522250E-17
3.290000E+03	1.544080E-15	3.500419E-17
3.300000E+03	1.535032E-15	3.474106E-17
3.310000E+03	1.523951E-15	3.443257E-17
3.320000E+03	1.510919E-15	3.408084E-17
3.330000E+03	1.495996E-15	3.368746E-17
3.340000E+03	1.479247E-15	3.325410E-17
3.350000E+03	1.460782E-15	3.278343E-17
3.360000E+03	1.440739E-15	3.227874E-17
3.370000E+03	1.419293E-15	3.174415E-17
3.380000E+03	1.396584E-15	3.118296E-17
3.390000E+03	1.372845E-15	3.060050E-17
3.400000E+03	1.348251E-15	3.000078E-17
3.410000E+03	1.323022E-15	2.938879E-17
3.420000E+03	1.297394E-15	2.876985E-17
3.430000E+03	1.271528E-15	2.814757E-17
3.440000E+03	1.245645E-15	2.752688E-17
3.450000E+03	1.219896E-15	2.691109E-17
3.460000E+03	1.194375E-15	2.630230E-17
3.470000E+03	1.169225E-15	2.570360E-17
3.480000E+03	1.144497E-15	2.511608E-17
3.490000E+03	1.120275E-15	2.454152E-17
3.500000E+03	1.096625E-15	2.398134E-17
3.510000E+03	1.073577E-15	2.343611E-17
3.520000E+03	1.051215E-15	2.290760E-17
3.530000E+03	1.029580E-15	2.239662E-17
3.540000E+03	1.008713E-15	2.190399E-17
3.550000E+03	9.886578E-16	2.143057E-17
3.560000E+03	9.694242E-16	2.097648E-17
3.570000E+03	9.510184E-16	2.054176E-17
3.580000E+03	9.334252E-16	2.012600E-17
3.590000E+03	9.166363E-16	1.972891E-17
3.600000E+03	9.006238E-16	1.934982E-17
3.610000E+03	8.853486E-16	1.898778E-17
3.620000E+03	8.707872E-16	1.864223E-17
3.630000E+03	8.569109E-16	1.831246E-17
3.640000E+03	8.436658E-16	1.799726E-17
3.650000E+03	8.310288E-16	1.769604E-17
3.660000E+03	8.189349E-16	1.740737E-17
3.670000E+03	8.073570E-16	1.713062E-17
3.680000E+03	7.962799E-16	1.686539E-17
3.690000E+03	7.857205E-16	1.661200E-17
3.700000E+03	7.757509E-16	1.637190E-17
3.710000E+03	7.665062E-16	1.614788E-17
3.720000E+03	7.581486E-16	1.594326E-17
3.730000E+03	7.509232E-16	1.576310E-17
3.740000E+03	7.450744E-16	1.561239E-17
3.750000E+03	7.408836E-16	1.549685E-17
3.760000E+03	7.386280E-16	1.542210E-17
3.770000E+03	7.385471E-16	1.539291E-17
3.780000E+03	7.408799E-16	1.541402E-17
3.790000E+03	7.457984E-16	1.548873E-17
3.800000E+03	7.534315E-16	1.561943E-17
3.810000E+03	7.638317E-16	1.580691E-17
3.820000E+03	7.769696E-16	1.605027E-17
3.830000E+03	7.927013E-16	1.634624E-17
3.840000E+03	8.107675E-16	1.668922E-17
3.850000E+03	8.307709E-16	1.707079E-17
3.860000E+03	8.521956E-16	1.748017E-17
3.870000E+03	8.744042E-16	1.790418E-17
3.880000E+03	8.967049E-16	1.832859E-17
3.890000E+03	9.184190E-16	1.873957E-17
3.900000E+03	9.389054E-16	1.912413E-17
3.910000E+03	9.576283E-16	1.947153E-17
3.920000E+03	9.741713E-16	1.977351E-17
3.930000E+03	9.882594E-16	2.002474E-17
3.940000E+03	9.997243E-16	2.022210E-17
3.950000E+03	1.008497E-15	2.036447E-17
3.960000E+03	1.014593E-15	2.045247E-17
3.970000E+03	1.018008E-15	2.048628E-17
3.980000E+03	1.018758E-15	2.046651E-17
3.990000E+03	1.016828E-15	2.039315E-17
4.000000E+03	1.012209E-15	2.026628E-17
4.010000E+03	1.004894E-15	2.008607E-17
4.020000E+03	9.949060E-16	1.985320E-17
4.030000E+03	9.823622E-16	1.957032E-17
4.040000E+03	9.674632E-16	1.924164E-17
4.050000E+03	9.505105E-16	1.887339E-17
4.060000E+03	9.318838E-16	1.847328E-17
4.070000E+03	9.120335E-16	1.805040E-17
4.080000E+03	8.914558E-16	1.761464E-17
4.090000E+03	8.706192E-16	1.717531E-17
4.100000E+03	8.499791E-16	1.674140E-17
4.110000E+03	8.299524E-16	1.632107E-17
4.120000E+03	8.109063E-16	1.592147E-17
4.130000E+03	7.931934E-16	1.554940E-17
4.140000E+03	7.771152E-16	1.521063E-17
4.150000E+03	7.629543E-16	1.491053E-17
4.160000E+03	7.509612E-16	1.465381E-17
4.170000E+03	7.413285E-16	1.444402E-17
4.180000E+03	7.341972E-16	1.428368E-17
4.190000E+03	7.295971E-16	1.417317E-17
4.200000E+03	7.274826E-16	1.411136E-17
4.210000E+03	7.276507E-16	1.409413E-17
4.220000E+03	7.297677E-16	1.411483E-17
4.230000E+03	7.333696E-16	1.416434E-17
4.240000E+03	7.379088E-16	1.423199E-17
4.250000E+03	7.427664E-16	1.430578E-17
4.260000E+03	7.473506E-16	1.437433E-17
4.270000E+03	7.511371E-16	1.442759E-17
4.280000E+03	7.537484E-16	1.445839E-17
4.290000E+03	7.549817E-16	1.446295E-17
4.300000E+03	7.547913E-16	1.444049E-17
4.310000E+03	7.532738E-16	1.439299E-17
4.320000E+03	7.506509E-16	1.432477E-17
4.330000E+03	7.472020E-16	1.424122E-17
4.340000E+03	7.432183E-16	1.414796E-17
4.350000E+03	7.389667E-16	1.405008E-17
4.360000E+03	7.346589E-16	1.395161E-17
4.370000E+03	7.304884E-16	1.385622E-17
4.380000E+03	7.267812E-16	1.377007E-17
4.390000E+03	7.238267E-16	1.369859E-17
4.400000E+03	7.217968E-16	1.364499E-17
4.410000E+03	7.207818E-16	1.361089E-17
4.420000E+03	7.208130E-16	1.359684E-17
4.430000E+03	7.218691E-16	1.360235E-17
4.440000E+03	7.238836E-16	1.362612E-17
4.450000E+03	7.267689E-16	1.366643E-17
4.460000E+03	7.303991E-16	1.372087E-17
4.470000E+03	7.346183E-16	1.378648E-17
4.480000E+03	7.392183E-16	1.385932E-17
4.490000E+03	7.439158E-16	1.393406E-17
4.500000E+03	7.483822E-16	1.400455E-17
