#wls	flux	fluxerr
1.600000E+03	8.691584E-17	5.075874E-17
1.640000E+03	8.864354E-17	4.948666E-17
1.680000E+03	9.030665E-17	4.803610E-17
1.720000E+03	9.186538E-17	4.640858E-17
1.760000E+03	9.332805E-17	4.464055E-17
1.800000E+03	9.467098E-17	4.276218E-17
1.840000E+03	9.585457E-17	4.080940E-17
1.880000E+03	9.690991E-17	3.886078E-17
1.920000E+03	9.780483E-17	3.697639E-17
1.960000E+03	9.854715E-17	3.523706E-17
2.000000E+03	9.915193E-17	3.371936E-17
2.040000E+03	9.962439E-17	3.247580E-17
2.080000E+03	1.000113E-16	3.153659E-17
2.120000E+03	1.003482E-16	3.088170E-17
2.160000E+03	1.006596E-16	3.044353E-17
2.200000E+03	1.009936E-16	3.013175E-17
2.240000E+03	1.013895E-16	2.984334E-17
2.280000E+03	1.018965E-16	2.948693E-17
2.320000E+03	1.025744E-16	2.899566E-17
2.360000E+03	1.034954E-16	2.833442E-17
2.400000E+03	1.047286E-16	2.750047E-17
2.440000E+03	1.063586E-16	2.653464E-17
2.480000E+03	1.085186E-16	2.553929E-17
2.520000E+03	1.113280E-16	2.467648E-17
2.560000E+03	1.149221E-16	2.418585E-17
2.600000E+03	1.194892E-16	2.437067E-17
2.640000E+03	1.251322E-16	2.548736E-17
2.680000E+03	1.319492E-16	2.765334E-17
2.720000E+03	1.399553E-16	3.079681E-17
2.760000E+03	1.491234E-16	3.472682E-17
2.800000E+03	1.593360E-16	3.919389E-17
2.840000E+03	1.704149E-16	4.392955E-17
2.880000E+03	1.821315E-16	4.865675E-17
2.920000E+03	1.941568E-16	5.307761E-17
2.960000E+03	2.060703E-16	5.688038E-17
3.000000E+03	2.174067E-16	5.976447E-17
3.010000E+03	2.200988E-16	6.031123E-17
3.020000E+03	2.227251E-16	6.078239E-17
3.030000E+03	2.252290E-16	6.116131E-17
3.040000E+03	2.276711E-16	6.146351E-17
3.050000E+03	2.299947E-16	6.167292E-17
3.060000E+03	2.321896E-16	6.178654E-17
3.070000E+03	2.342697E-16	6.180810E-17
3.080000E+03	2.362254E-16	6.173528E-17
3.090000E+03	2.380469E-16	6.156620E-17
3.100000E+03	2.397250E-16	6.129938E-17
3.110000E+03	2.412266E-16	6.092780E-17
3.120000E+03	2.425908E-16	6.046310E-17
3.130000E+03	2.437616E-16	5.989332E-17
3.140000E+03	2.447790E-16	5.923082E-17
3.150000E+03	2.455883E-16	5.846510E-17
3.160000E+03	2.462309E-16	5.760923E-17
3.170000E+03	2.466774E-16	5.665968E-17
3.180000E+03	2.469469E-16	5.562451E-17
3.190000E+03	2.470124E-16	5.450157E-17
3.200000E+03	2.468717E-16	5.329478E-17
3.210000E+03	2.465694E-16	5.201820E-17
3.220000E+03	2.460597E-16	5.066660E-17
3.230000E+03	2.453667E-16	4.924995E-17
3.240000E+03	2.444931E-16	4.777370E-17
3.250000E+03	2.434430E-16	4.624375E-17
3.260000E+03	2.422436E-16	4.467036E-17
3.270000E+03	2.408801E-16	4.305589E-17
3.280000E+03	2.393613E-16	4.140736E-17
3.290000E+03	2.377386E-16	3.973900E-17
3.300000E+03	2.360018E-16	3.805413E-17
3.310000E+03	2.341434E-16	3.635708E-17
3.320000E+03	2.322171E-16	3.466189E-17
3.330000E+03	2.302369E-16	3.297606E-17
3.340000E+03	2.281992E-16	3.130480E-17
3.350000E+03	2.261579E-16	2.966167E-17
3.360000E+03	2.241109E-16	2.805254E-17
3.370000E+03	2.220757E-16	2.648657E-17
3.380000E+03	2.200875E-16	2.497550E-17
3.390000E+03	2.181803E-16	2.353122E-17
3.400000E+03	2.163361E-16	2.216078E-17
3.410000E+03	2.146209E-16	2.088106E-17
3.420000E+03	2.130152E-16	1.970085E-17
3.430000E+03	2.115628E-16	1.863586E-17
3.440000E+03	2.102719E-16	1.769827E-17
3.450000E+03	2.091314E-16	1.689797E-17
3.460000E+03	2.081874E-16	1.624726E-17
3.470000E+03	2.073894E-16	1.574688E-17
3.480000E+03	2.067741E-16	1.539804E-17
3.490000E+03	2.063364E-16	1.518785E-17
3.500000E+03	2.060547E-16	1.509596E-17
3.510000E+03	2.059453E-16	1.510191E-17
3.520000E+03	2.059774E-16	1.518116E-17
3.530000E+03	2.061446E-16	1.531203E-17
3.540000E+03	2.064234E-16	1.547396E-17
3.550000E+03	2.067886E-16	1.564918E-17
3.560000E+03	2.072259E-16	1.582397E-17
3.570000E+03	2.076942E-16	1.598564E-17
3.580000E+03	2.081893E-16	1.612720E-17
3.590000E+03	2.086566E-16	1.624029E-17
3.600000E+03	2.090668E-16	1.632073E-17
3.610000E+03	2.094149E-16	1.636810E-17
3.620000E+03	2.096603E-16	1.638077E-17
3.630000E+03	2.097651E-16	1.635863E-17
3.640000E+03	2.097171E-16	1.630457E-17
3.650000E+03	2.094959E-16	1.622157E-17
3.660000E+03	2.090858E-16	1.611350E-17
3.670000E+03	2.084677E-16	1.598409E-17
3.680000E+03	2.076522E-16	1.583923E-17
3.690000E+03	2.066498E-16	1.568425E-17
3.700000E+03	2.054739E-16	1.552378E-17
3.710000E+03	2.041624E-16	1.536311E-17
3.720000E+03	2.027678E-16	1.520717E-17
3.730000E+03	2.013565E-16	1.506047E-17
3.740000E+03	2.000160E-16	1.492768E-17
3.750000E+03	1.988175E-16	1.481106E-17
3.760000E+03	1.978570E-16	1.471388E-17
3.770000E+03	1.972429E-16	1.463971E-17
3.780000E+03	1.970682E-16	1.459068E-17
3.790000E+03	1.974339E-16	1.456938E-17
3.800000E+03	1.984393E-16	1.457819E-17
3.810000E+03	2.001737E-16	1.461873E-17
3.820000E+03	2.027313E-16	1.469282E-17
3.830000E+03	2.062108E-16	1.480239E-17
3.840000E+03	2.106930E-16	1.494767E-17
3.850000E+03	2.162474E-16	1.512768E-17
3.860000E+03	2.229763E-16	1.534314E-17
3.870000E+03	2.309307E-16	1.559062E-17
3.880000E+03	2.401824E-16	1.586762E-17
3.890000E+03	2.507757E-16	1.616939E-17
3.900000E+03	2.627539E-16	1.649107E-17
3.910000E+03	2.761136E-16	1.682526E-17
3.920000E+03	2.908473E-16	1.716536E-17
3.930000E+03	3.068934E-16	1.750332E-17
3.940000E+03	3.241530E-16	1.783162E-17
3.942988E+03	2.797919E-16	9.714413E-17
3.944867E+03	2.773926E-16	9.264112E-17
3.946745E+03	2.757402E-16	9.090944E-17
3.948623E+03	2.784287E-16	8.396373E-17
3.950502E+03	2.831043E-16	8.748224E-17
3.952380E+03	2.853134E-16	8.936452E-17
3.954258E+03	2.849572E-16	8.931968E-17
3.956137E+03	2.850379E-16	8.697944E-17
3.958015E+03	2.869647E-16	8.888497E-17
3.959894E+03	2.919636E-16	8.897190E-17
3.961772E+03	2.987943E-16	8.981566E-17
3.963650E+03	3.062870E-16	9.257738E-17
3.965529E+03	3.133990E-16	9.377290E-17
3.967407E+03	3.169031E-16	9.731124E-17
3.969285E+03	3.197305E-16	1.034465E-16
3.971164E+03	3.264330E-16	1.088688E-16
3.973042E+03	3.342483E-16	1.089020E-16
3.974921E+03	3.404992E-16	1.109505E-16
3.976799E+03	3.496666E-16	1.117409E-16
3.978677E+03	3.611585E-16	1.117962E-16
3.980556E+03	3.705926E-16	1.056917E-16
3.982434E+03	3.783496E-16	9.596879E-17
3.984312E+03	3.860780E-16	9.228977E-17
3.986191E+03	3.964126E-16	9.208921E-17
3.988069E+03	4.061549E-16	9.216179E-17
3.989948E+03	4.166857E-16	9.221001E-17
3.991826E+03	4.285121E-16	9.235707E-17
3.993704E+03	4.382528E-16	9.291286E-17
3.995583E+03	4.464433E-16	8.485295E-17
3.997461E+03	4.531822E-16	8.956020E-17
3.999340E+03	4.599065E-16	9.856229E-17
4.001218E+03	4.665460E-16	1.017517E-16
4.003096E+03	4.710860E-16	1.012515E-16
4.004975E+03	4.767807E-16	1.026121E-16
4.006853E+03	4.819116E-16	1.067217E-16
4.008731E+03	4.830698E-16	1.102242E-16
4.010610E+03	4.840728E-16	1.105023E-16
4.012488E+03	4.857659E-16	1.064606E-16
4.014367E+03	4.894165E-16	1.057532E-16
4.016245E+03	4.949400E-16	1.036307E-16
4.018123E+03	5.018856E-16	9.528476E-17
4.020002E+03	5.099293E-16	8.643445E-17
4.021880E+03	5.178879E-16	8.533559E-17
4.023758E+03	5.240996E-16	8.615408E-17
4.025637E+03	5.253535E-16	8.607888E-17
4.027515E+03	5.269593E-16	8.610956E-17
4.029394E+03	5.260441E-16	8.390382E-17
4.031272E+03	5.235938E-16	8.559441E-17
4.033150E+03	5.231712E-16	9.143377E-17
4.035029E+03	5.224245E-16	9.556270E-17
4.036907E+03	5.210300E-16	9.573555E-17
4.038785E+03	5.206070E-16	9.588067E-17
